the	det.定冠词;表示特指
passion	n.激怒;激情
interior	adj.国内的;内的n.本质;内部
scarce	adj.难得的;缺乏的
lightly	adv.轻轻地;少许
disturb	v.搞乱;扰乱
supreme	adj.最大的;最高的
hang	v.吊死;悬挂
shock	n.冲击;震动v.使震惊;震扰
exception	n.除外;异议
offer	n.发价;给予v.给予;提出
display	n.展览;展示v.陈列;炫耀
strain	n.品质;系v.拉紧;被扭
exhaust	n.废气;排出v.用完;排出气体
poet	n.诗人
sound	adj.健康的;牢固的n.声;音v.宣告;发音
aim	n.瞄准;目的v.制导;打算
critical	adj.批评的
direction	n.管理;指示
fearful	adj.担心的;惧怕的
standard	adj.标准的;普通的n.标准
bag	n.袋;猎袋v.猎获;收割
repeat	n.复写;重复v.复述;重复
beast	n.动物;畜生
track	n.轨道;小道v.跟踪;走过
hold	n.拿;船舱v.表现;掌着
residence	n.居住;住处
steadily	adv.稳健地
intimate	adj.个人的;熟悉的n.至交v.暗示;宣布
drink	n.喝酒;饮料v.喝
swear	v.宣;宣誓;咒骂
treasure	n.金银财主;珍品v.储存;铭记
fun	adj.古怪的n.嘲笑;娱乐
throw	n.冒险;投掷v.发射;投
apt	adj.聪明的;恰当的adv.倾向于
enterprise	n.办企业;企业单位
queer	adj.古怪的;可疑的n.怪人;伪币v.毁坏
seed	n.精子;种v.播;播种
tower	n.堡垒;塔v.高飞;高耸
run	n.跑步;赛跑v.跑;逃
defend	v.防御;防守
desire	n.要求;愿望v.渴望;要求
heavily	adv.大量地;严重地
exist	v.存在;发生
depend	v.信赖;依靠
poem	n.诗
stuff	n.料子;物品v.填没;饱食
section	n.部分;乐器组v.将...切片;被切成片
settlement	n.安顿;移民
star	n.星;星宿v.用星装饰;当明星
sole	adj.单独的;仅有的n.底部;鳎v.给...装底
road	n.街道;路
plate	n.盘状物;盆子v.覆镀
overcome	v.克服;胜过
pain	n.痛;痛苦
perform	v.履行;做
dwell	v.居住;生活
marble	adj.大理石的n.大理石v.使具有大理石花纹
recent	adj.全新世的;最近的
tone	n.音;语气v.增强;调和
ability	n.能力;能耐
awake	adj.警觉的;醒着的v.唤起;醒
wave	n.波;高潮;挥手;浪v.招手;波动;飘摇
folk	adj.现代民间音乐的n.各位;家属
butter	n.奉承;黄油v.涂黄油于...
fury	n.狂暴;狂怒
march	n.3月n.行军;边界v.进展;前进
write	v.记述;写
sail	n.帆;帆船v.驾驶;漂浮
hatred	n.仇恨
pursuit	n.实行;追赶;追求
pull	n.拉;拉力v.采;拉
furniture	n.帆具;家
addition	n.加;增加的人
rope	n.粗绳;绞索v.用绳捆;成绳状
adventure	n.冒险;生意v.拿...冒险;冒险
royalty	n.堂皇;王位
vanish	v.使不见;变为零
art	n.美术;艺术
elder	adj.过去的n.长者;老年人
signal	n.标志;导因v.是...的标志;发信号
want	n.缺乏;需要v.缺乏;要
feast	n.节日;盛宴v.设宴招待;参加宴会
safe	adj.安全的;谨慎的n.保险箱;家用冰箱
burn	n.燃烧;烧伤v.点燃;烧掉
describe	v.画出;描写
reference	n.参照;引文出处v.提出...作参考
lesson	n.功课;教程
annual	adj.每年的n.年报
card	n.卡;卡片v.得;梳理
county	n.郡;县
present	adj.出席的;现在的n.现在;礼物v.表示;提出
format	n.版式;格式v.为...安排版式
flow	v.流出;流
sixty	n.第六十;六十
scale	n.翅瓣;鳞;天平;标尺v.剥落;生鳞;攀登
damage	n.代价;损害v.损害;受到损坏
mark	n.马可福音;马可n.短线;符号v.标明;评分
obtain	v.持有;达到
moreover	adv.而且
commerce	n.交往;商业v.交往
southern	adj.向南方的
consequent	adj.顺向的n.后件;后项
outer	adj.在外的
belong	v.合适;属
average	adj.平均的;中等的n.平均分数;平均数v.平均做;平均为
naked	adj.赤裸裸的;光赤的
conduct	n.处理;举止v.表现;处理
river	n.河;巨流
song	n.歌;诗歌
obvious	adj.挡道的;显然的
foundation	n.底座;地基
concern	n.公司;关心v.涉及;使挂念
ceremony	n.典礼;礼节
magic	adj.巫术的;有魔力的n.魔法;魔力
campaign	n.运动;战役v.参加运动;作战
hunt	n.打猎;猎区v.追猎;摆动
liberal	adj.大量的;慷慨的n.自由主义者
whisper	n.低语;微量v.低声说出;低语
large	adj.大的;开阔的
commonly	adv.粗俗地;通常地
exist	v.存在;发生
hunt	n.打猎;猎区v.追猎;摆动
teacher	n.教员
lawyer	n.律师
operation	n.操作;活动
detail	n.细部;细节v.列举;详述
shortly	adv.简短地;立刻
wonder	n.惊奇;奇迹v.感到惊讶;感到疑惑
leader	n.领先者;领袖
bless	v.使神圣;为...祝福
princess	n.公主;女王;王妃
altar	n.圣餐台;圣坛
tiny	adj.极小的
web	n.网;织物
cardinal	adj.鲜红的;最重要的n.红衣主教;鲜红
sharp	adj.锋利的;尖的
regiment	n.大批;团v.把...编成团;使系统化
chest	n.箱;胸
distinct	adj.明显的;有区别的
purple	adj.帝王的;紫的n.梅红;紫色
gather	v.收集;积聚
depth	n.深;深处
election	n.当选;选举
prosperity	n.茂盛;兴旺
gloomy	adj.黑暗的
conception	n.构想;设计
clerk	n.办事员;售货员v.当售货员
decide	v.解决;决定
victim	n.牺牲;牺牲者
reflect	v.反射;反映
pour	v.倒;倾泻
preceding	adj.在前的
individual	adj.独特的;个别的n.个人;人
absurd	adj.荒诞派的;荒谬的n.荒诞
lift	n.提;天空v.鼓舞;提
gesture	n.手势;姿态v.做手势
limb	n.大枝;肢;翅膀
manage	v.管理;控制
play	n.比赛;玩v.开;玩
hasten	v.催促;加速
whatsoever	pron.无论什么
point	n.尖;尖形部件v.显示;指
verse	n.韵文;诗;节v.使熟练
exchange	n.交换;交火v.换;交换
definite	adj.明确的;限定的
emperor	n.皇帝
tendency	n.倾向;趋势
remote	adj.边远的;远的
finish	n.结束;抛光v.结束;用完
flag	n.旗;小旗v.变慢;变弱
boot	n.靴;罩v.猛踢;逐出
rarely	adv.不常
earnest	adj.认真的;重要的n.保证;定金
consider	v.考虑;认为
previous	adj.过早的;以前的
ugly	adj.可怕的;难看的
bear	n.玩具熊;熊v.忍;压
sign	n.标志;符号v.签;写下
genuine	adj.真诚的;真诚
harmless	adj.无恶意的;无害的
obedience	n.服从;顺从
walk	n.行走路程;走v.走遍;走
train	n.连串;列车v.把...对准;训练
badly	adv.坏;顽皮地
feed	n.饲料;喂食v.维持;喂
central	adj.为首的;中心的
contrast	n.对比;悬殊差别v.使成对比
structure	n.机构;结构v.建立;建筑
payment	n.报偿;支付
pace	n.步;步速v.步测;踱步于
passage	n.经过;迁移;通道;走廊
succession	n.接替;连续
source	n.出处;源
inquiry	n.打听;调查
angel	n.安琪儿;天使
roll	n.小圆面包;一卷v.卷;推
wilt	n.枯萎;萎缩v.使枯萎;枯萎
inch	n.身材;英寸v.缓慢地移动
trouble	n.烦恼;困难v.麻烦;折磨
perfection	n.精良;完美
lee	n.庇护所;庇荫
wherever	pron.无论哪里
owe	v.欠;欠钱
handle	n.把柄;柄v.操作;触
advantage	n.好处;有利地位v.有利于;获利
trip	n.绊;旅行v.将...绊倒;旅行
shoot	n.射击;芽v.发射;开
fortunate	adj.幸运的
newspaper	n.报社;报纸
employment	n.工作;雇用;使用
refuge	n.躲避;收容所
misfortune	n.不幸;不幸事故
own	adj.自己的n.属于自己的东西v.承认;有
beard	n.胡须;芒v.公然反对;充当掩护
tear	n.悲痛;撕v.流泪;撕
resist	v.抵抗;抗
bob	n.一柬;一先令v.行;剪短
depth	n.深;深处
maiden	adj.少女的;首次的n.处女;少女
determine	v.决定;确定
commission	n.授权;委任状v.委任;委托制作
merchant	n.零售商;商人
whereas	n.以鉴于...开头的文件conj.鉴于;然而
cross	adj.交叉的;相互的adv.横跨地n.十字架v.穿过;交叉
lively	adj.活泼的;灵敏的
breeze	n.微风;和风v.吹微风;随风传送
province	n.本份;省
jean	n.牛仔裤
virtue	n.美德;贞操
relative	adj.比较的;相对的n.关系代词;亲戚
solitary	adj.单独的;单个的n.单独监禁;独居者
smell	n.气味;嗅觉v.感觉到;嗅
wander	n.漫游;漂移v.漫游;蜿蜒
thereby	adv.因此
eighteen	n.第十八;丁八
lock	n.锁;闸v.拴住;锁
provision	n.供应;条文v.向...供应食品和其他必需品
court	n.法庭;球场v.招致;求爱
historical	adj.历史的
regard	n.关系;敬爱v.敬爱;看待
pick	n.掏;凿v.掏;凿
ruin	n.毁灭;破产v.毁坏;毁灭
vanity	n.空虚;虚荣
condemn	v.判刑;谴责
deliver	v.交出;投递
unexpected	adj.没有料到的
desk	n.读经台;书桌
gross	adj.恶劣的;总的n.罗;总额v.赚得总收入
lane	n.车道;小路
happen	v.发生;碰巧
represent	v.代表;使有代表
root	n.底部;根v.生根;搜寻
mud	n.干泥地;泥
clear	adj.纯色的;清晰的adv.离开着;完全v.扫清;变晴
feel	n.触;触觉v.触;发觉
fruit	n.果实;水果v.使结果实;结果实
testimony	n.记述;声明
exist	v.存在;发生
bride	n.新娘;帽带
rank	adj.极度肥沃的n.排;行列v.把...分等;级别高于
beat	adj.筋疲力尽的n.跳动v.打;拍打
disappoint	v.失信于;使破灭
suitable	adj.合适的;类似的
depend	v.信赖;依靠
judge	n.法官;鉴定人v.裁决;断定
giant	n.巨人;水枪
grasp	n.紧抓;理解v.理解;抓
arrive	v.抵达;出生
simplicity	n.简单;简朴
autumn	n.成熟期;秋
absent	adj.不在场的;缺乏的v.使缺席
legal	adj.法律的;合法的
veil	n.面纱;幕v.遮盖;变暗
gloom	n.暗处;黑暗v.使暗;变暗
doubtful	adj.可怀疑的;疑惑的
suspect	adj.可疑的n.被怀疑的人v.怀疑;疑有
weapon	n.武器;袭击器官
limit	n.范围;限度v.限定;限制
feeble	adj.弱的;无效的
prophet	n.先知;宣扬者
gather	v.收集;积聚
basis	n.基础;主要部分
examine	v.查讯;检查
corrupt	adj.堕落的v.讹用;腐蚀
payment	n.报偿;支付
return	n.回;送回v.回报;回
lay	adj.世俗的;外行的n.层;歌曲v.置放;产卵
prize	n.奖赏;撬v.估价;撬
instance	n.例子;情况v.举...为例;举例
theatre	n.戏剧界;戏院
purchase	n.购买;购置物v.换得;买
comparison	n.比较;相似
rival	adj.竞争的n.竞争对手;同事v.与...竞争;竞争
someone	pron.某人
realize	v.实现;领悟
defeat	n.废除;击败v.挫败;击败
demand	n.需要;要求v.强要;询问
foe	n.敌国;敌人
consist	v.一致;在于
balance	n.平衡轮;天平v.称;权衡
form	n.模型;形体v.构成;形成
slender	adj.苗条的;细的
coach	n.活动房屋;旅客车厢v.训练;当教练
criminal	adj.犯罪的;刑事的n.罪犯
knock	n.一击;指责v.敲;敲
silly	adj.无聊的;晕眩的n.傻瓜
humour	n.心情;幽默v.迁就
recall	n.返回通知;回想v.记得;叫回
occupation	n.占领;占有;职业
discourse	n.论文;谈话v.发出;说
keep	n.保持;供养v.保管;保守
region	n.地区;各地区
interval	n.差别;间隔
assist	n.帮助v.帮助;促进
novel	adj.新的n.小说;新附律
intellect	n.大智;智力
lead	n.指引;铅v.牵;致使
hither	adj.位于这一边的adv.到这儿
tale	n.陈述;故事
sale	n.卖;销路
revenge	n.复仇;复仇心v.报...之仇;报仇
yonder	adv.在那边pron.那边
resource	n.储备力量;资源
jealous	adj.妒忌的;妒羡的
wheel	n.轮;轮状物v.旋转;转弯
invitation	n.吸引;邀请
narrative	adj.叙事的n.记叙文;叙述
sentiment	n.感情;情绪
inferior	adj.差的;低等的n.次品;下标
amusement	n.乐;娱乐
flash	n.闪光;闪亮v.闪;飞驰
recognize	v.承认;明白
swift	adj.迅速的n.褐雨燕
portrait	n.画;肖像
create	v.创建;创造
summon	v.传讯;召唤
suggest	v.建议;意思是
conflict	n.冲突;战斗v.冲突;战斗
curse	n.灾祸;诅咒v.使遭难;诅咒
helpless	adj.无助的;无助益的
zeal	n.热心
group	n.集体;组v.簇射;形成组
positive	adj.武断的;有把握的
attract	v.偷窃;吸引
vengeance	n.报复;报复心
fort	n.堡垒;要塞
club	n.大头棒;球棒v.缴纳;捐献
cure	n.药;治疗v.消除;治愈
stout	adj.结实的;勇子的n.胖子
miss	n.失败;逃脱v.没找到;失败
gracious	adj.亲切的;体恤的
include	v.包括;包住
flood	n.洪水;水v.淹没;涌到
satisfy	v.符合;满足
agony	n.爆发;痛苦
respect	n.敬意;尊敬v.关于;敬意
stupid	adj.麻木的;无聊的
sea	n.海;内海
grain	n.谷;谷粒
enjoyment	n.享有;愉快
wear	n.穿;服装v.穿着;蓄
conceal	v.隐藏;隐瞒
horizon	n.地平;范围
pleasure	n.高兴;娱乐v.使高兴;觉得高兴
precise	adj.精确的;清晰的
assume	v.呈现;承担
register	n.登记;登记簿v.登记;指示
estimate	n.估计;看法v.估计
steep	adj.陡的;过高的n.陡坡;泡v.陡斜;泡
route	n.路;途径v.为...安排路线
garden	n.公园;花园v.用花园点缀
visitor	n.参观者;访问者
harmony	n.和睦;和谐
thunder	n.雷;恼怒v.打雷;怒喝
wire	n.电线;金属丝v.打电报给;打电报
graceful	adj.优美的
childhood	n.童年;早期
knee	n.膝部;膝关节v.向...下跪
saddle	n.鞍;鞍形山v.给...装鞍;强加
weeping	adj.滴水的;哭泣的
mostly	adv.一般地;主要地
paragraph	n.短文;段落v.写短文
mutual	adj.共同的;亲密的
scorn	n.嘲弄;轻蔑v.嘲弄;拒绝
grow	v.种;长
external	adj.外表的;外面的n.外表;外面
agent	n.代理人;动源
software	n.软件
universe	n.世界;星系;宇宙
clock	n.示速计;钟v.测...的时间;测出
attempt	n.攻击;企图v.企图;引诱
injury	n.伤害;损伤
root	n.底部;根v.生根;搜寻
receipt	n.发票;收到
jump	n.跳;心神不安v.使跳;跳
sore	adj.悲伤的;痛的n.痛处
enable	v.使能够;授权给
discipline	n.纪律;克制v.控制
fasten	v.集中;强加
convert	n.归附者v.使转变;转变
wilderness	n.莽原
office	n.办公室;处
slip	n.失脚;片v.滑落;滑行
revolution	n.革命;旋转
wedding	n.婚礼;结婚
farmer	n.包税人;农民
silent	adj.安静的;不作声的
fire	n.电炉;火v.烧制;发热
behalf	n.利益
reckon	v.估计;计算
respond	v.应答;作答
uncertain	adj.不确定的;无常的
neglect	n.忽略v.忽视;漏做
stroke	n.敲;一次v.划去;敲击
exquisite	adj.精美的n.服饰过于讲究的男子
engagement	n.订婚;约会
dirty	adj.肮脏的;污染的adv.肮脏地;很v.弄脏;玷污
rolling	adj.滚的;起伏的
platform	n.讲台;台
messenger	n.送信人;先驱
privilege	n.特权;特权授予
admirable	adj.绝妙的
offer	n.发价;给予v.给予;提出
mischief	n.恶作剧;顽皮
physician	n.医生;医治者
cover	n.书壳;掩蔽v.盖;代替
student	n.学生;学者
cave	n.酒窖;地窖v.塌落;当心
war	n.斗争;战斗v.击败;斗争
convey	v.表达;传送
sincere	adj.不搀假的;诚实的
tradition	n.传统;口传;惯例
grave	adj.暗淡的;低沉的n.墓碑;墓穴
gallant	adj.华丽的;英勇的n.时髦男子v.伴送;向...献殷勤
sensation	n.感觉;轰动
charge	n.价钱;应付v.要;冲锋
submit	v.建议;提交
tragedy	n.悲剧;悲剧理论
specific	adj.明确的;特有的n.特效药;特性
commander	n.海军中校;指挥官
inn	n.宿舍;小酒店
stiff	adj.绷紧的;硬的adv.僵硬地;完全地n.死尸;醉汉
accompany	v.伴随;补充
score	n.得分;分;乐谱v.得;赢得
virgin	adj.处女的;纯洁的n.处女;童男
paradise	n.乐园;天堂
village	n.居民村;乡村
hunger	n.饿;饥荒v.挨饿;热望
favorite	adj.特别受喜爱的n.受宠的人
criticism	n.批评;评论
custom	n.光顾;习惯
cotton	n.棉;棉树v.娇惯;领会
hospital	n.兽医院;医院
outward	adj.外表的;外面的adv.出海;向外
impress	n.特征;压印v.传送;印
blow	n.吹;花v.吹;吹响
plain	adj.单色的;朴素的n.平原;平针
flash	n.闪光;闪亮v.闪;飞驰
prey	n.捕食;牺牲品v.捕食
long	adj.长的;长时间的adv.长久;始终v.渴望;归属
musical	adj.音乐般的;音乐的
ridiculous	adj.呱呱叫的
sheet	n.薄片;被单
disgrace	n.丢脸;失宠v.使丢脸;使失宠
colored	adj.有...色的;有颜色的n.有色人种的人
original	adj.起初的n.原型;原作
wage	n.报酬;工资v.抵押;雇用
papa	n.爸爸;丈夫
gas	n.麻醉气;气v.加汽油;空谈
inevitable	adj.照例必有的
extensive	adj.广泛的;广阔的;大量的
leisure	n.空闲时间;悠闲
deadly	adj.极有害的;致死的adv.非常;死一般地
chin	n.聊天;颏v.与...谈话;聊天;振作起来
claim	n.权利;要求v.要求;主张
glow	n.光亮;灼热v.发红;洋溢
emotion	n.动;情感
jealousy	n.猜忌;妒忌
leaf	n.长叶;叶v.翻书叶;生叶片
hostile	adj.敌人的;怀敌意的n.敌对分子
wander	n.漫游;漂移v.漫游;蜿蜒
railway	n.轨道;铁轨
procession	n.接续;行列
betray	v.背叛;泄露
pound	n.磅;镑v.捣碎;剧跳
elect	adj.精选的n.特权集团v.挑选;选举
ruin	n.毁灭;破产v.毁坏;毁灭
eastern	adj.向东方的
rose	n.玫瑰;玫瑰色;玫瑰香水
citizen	n.公民;平民
remind	v.说...以提醒;提醒
table	n.一桌酒菜;桌子v.把...列表
beach	n.海滩;湖滨v.把...拖上岸;上岸
start	n.惊跳;开始v.出现;惊动
funeral	n.葬礼
arrest	n.逮捕;停止v.逮捕;吸引
flour	n.粉状物质;面粉v.撒粉于;成球
feature	n.脸型;面貌v.是...的特色;以...为特色
consist	v.一致;在于
count	n.计算;数数v.数;值
reserve	n.藏量;储备v.保留;预订
roar	n.大笑声;吼声v.吼叫;喧哗
romantic	adj.有浪漫色彩的n.浪漫的人
hut	n.棚屋;小屋
strange	adj.陌生的;外地的
absorb	v.把...并入;吸收
propose	v.提;提出
seat	n.坐部;座v.供给...座位;使坐下
bark	n.树皮;吠声v.吠;咳嗽
reception	n.接待;接受
attain	v.达到;到达
wake	n.守候;守夜v.唤醒;醒
research	n.研究;研究才能v.研究
pray	adv.请v.祈望;做
monarch	n.君主;王
clothing	n.帆装;衣服
dollar	n.美元;一元银币
illness	n.病;恶意
calm	adj.安静的;平静的n.安静;镇静v.使平静;平静下来
obey	v.服从;遵守
heartily	adv.起劲地;热诚地
press	n.按;压力v.按;挤出
daylight	n.光明;日光
warrior	n.勇士;战士
jest	n.打趣;玩笑v.戏弄;开玩笑
abrupt	adj.陡峭的;唐突的
wash	n.洗;洗东西处v.洗;洗去
comment	n.批评;闲话v.评论;注释
metal	n.金属;金属制品
nerve	n.神经;神经质v.使有劲
solution	n.解;解决
pretend	v.伪称;装扮
sixteen	n.第十六;十六
assembly	n.集会;与会者
tobacco	n.抽烟;烟草
entity	n.本质;存在
dwell	v.居住;生活
depart	v.离开;死
bitter	adj.有苦味的n.苦;苦味
alteration	n.改变
colony	n.移民队;殖民地
wing	n.翅;翅膀v.飞过;飞
peaceful	adj.和平的;平静的
lion	n.名人;狮子
alarm	n.惊恐;警报v.打扰;使惊恐
furnish	v.供应;装设备于
rest	n.长眠;平静v.长眠;休息
culture	n.耕作;教养v.耕作;培养adj.文化的
conquer	v.攻取;破除
trick	n.诡计;技巧v.打扮;哄骗
trust	n.信任;信心v.想;信任
column	n.支柱;纵队
financial	adj.财政的
cunning	adj.狡猾的;精巧的n.狡猾;灵巧
drama	n.戏;戏剧艺术
joke	n.笑话v.取笑;说笑话
entertain	v.接受;招待;娱乐
mist	n.薄雾;霭v.起薄雾
shell	n.蛋壳;壳v.脱壳;剥去;炮轰
medicine	n.药;医学
proofread	v.校对
nest	n.鸟巢;窝v.套叠;筑巢
reverence	n.受尊敬;尊敬v.尊敬
situated	adj.位于...的
yield	v.产生;给
conceive	v.怀有;认为
lesson	n.功课;教程
fetch	n.拿;灵魂v.拿来;请来
tomb	n.坟墓;墓碑v.埋葬
candle	n.堪;蜡烛
offence	n.犯法行为;冒犯
coarse	adj.粗的;质量差的
heap	n.大量;堆v.使成堆;装满
mixture	n.混合;混血儿
home	adv.在家;在家乡n.家;家庭v.回家;有家
model	n.模型;原型v.使仿效;做模型
defect	n.缺点;缺乏v.逃跑
destined	adj.命中注定的
occasional	adj.临时的;偶尔的
fourteen	n.十四
hint	n.暗示;建议v.暗示;作暗示
knight	n.爵士;骑士v.授...以爵士品位
solicit	v.请求;招揽
dream	n.出神;梦v.做;想
objection	n.不喜欢;反对
craft	n.工艺;行会v.精心制作
acid	adj.酸的n.尖刻;酸
namely	adv.即
neglect	n.忽略v.忽视;漏做
weapon	n.武器;袭击器官
confess	v.坦白;忏悔
repose	n.安详;长眠v.长眠;躺
comply	v.遵从
pink	adj.粉红色的;眯着的n.石竹;微光v.刺;刺痛
user	n.使用者;吸毒者
heel	n.跟;后跟v.紧跟;倾侧
income	n.流入;收入
regard	n.关系;敬爱v.敬爱;看待
stream	n.河;流v.流;飞奔
vigorous	adj.强健的;用力的
accept	v.承认;接受
bishop	n.象;主教
lightning	n.闪电
author	n.发起人;著作者v.发起;著作
flame	n.光辉;火焰v.变热;发光
compress	n.打包机;敷布v.压紧;镇压
sport	n.玩笑;游戏;运动v.夸示;浪费
powder	n.粉;药粉v.搽粉;逃跑
bed	n.床;卧室v.睡;性交
orange	adj.橙黄色的;柑橘的n.橙;橙树
paint	n.涂漆;颜料v.画;描写
shout	n.呼喊v.呼喊;叫嚷
bath	n.浴;浴水
careless	adj.粗心的;随便的
chap	n.皲裂;颌;小伙子v.使皲裂;皲裂
primitive	adj.简单的;原始的n.原人
doorway	n.出入口;门路
climb	n.爬升;攀登v.攀登;爬
volume	n.音量;卷;体积
vulgar	adj.粗鲁的;庸俗的
argument	n.理由;说理
sunset	n.日没;晚霞
convenient	adj.近处的;省力的
mail	n.邮件;邮政v.邮寄;寄出
recall	n.返回通知;回想v.记得;叫回
plant	n.秧苗;植物v.插;种
paint	n.涂漆;颜料v.画;描写
surrender	n.放弃;投降v.放弃;屈服
establish	v.安置;建立
mild	adj.味淡的;温和的n.淡味啤酒
prompt	adj.即时的;敏捷的n.催促;提示v.促使;引起
appear	v.出现;露面
department	n.部;省
parish	n.堂区;行政堂区
nay	adv.不;否n.否定;否决票
basket	n.篮;篮状物
deserve	v.应受;应受报答
quit	v.停止;放弃;离开
assurance	n.把握;保证
mirror	n.镜;镜子v.反射;反映
plot	n.平面图;情节v.用坐标定;密谋
upward	adj.向上的adv.向上地;向上游
sad	adj.悲哀的;可悲的
secretary	n.秘书;书记
add	v.添加;做加法
modest	adj.端庄的;谦虚的
dish	n.碟;一盘菜v.挫败;闲谈
care	n.小心;忧虑v.喜欢;关心
straw	adj.稻草色的;禾秆的n.禾秆;麦秆吸管
net	n.网;网罗v.捕获;织网
heavenly	adj.天国的;天空的adv.至高无上地
proceed	v.进而做;进行
impatient	adj.切望的;无耐性的
warmth	n.激动;暖和
certainty	n.必然的事;确信
meantime	adv.在间隔时间里n.间隔时间
ray	n.光线;鳐v.放射;照射
salvation	n.救助;救助者
lover	n.爱人;情夫
experiment	n.实验v.进行实验
shore	n.滨;陆地
today	n.今天;现在
tremendous	adj.非常的;精彩的
afford	v.买得起;提供
moonlight	n.夜间潜逃;月光v.夜间活动;夜间潜逃
intend	v.想要;意指
flush	adj.充裕的;紧接的adv.齐平地;直接地n.冲洗;急流v.发红;涌
newspaper	n.报社;报纸
rocky	adj.岩石的;摇动的
pious	adj.尽责的;虔诚的
steam	n.力量;水汽v.发出;蒸发
garment	n.外观;衣服v.给...穿衣服
treasury	n.宝库;集锦
merchant	n.零售商;商人
perpetual	adj.无限期的;永久的
train	n.连串;列车v.把...对准;训练
product	n.产品;产物
dispute	n.斗殴;争吵v.阻止;争吵
visitor	n.参观者;访问者
poison	n.毒物v.给...服毒药;放毒
maybe	adv.或许n.可能性
rifle	n.来复枪;来复线v.猛投;搜劫
warn	v.警告;通知
part	n.一部分;组成部分v.放弃;分开
shield	n.保护物;盾v.保护;庇护
erect	adj.竖起的;竖直的v.安装;架设
employ	n.工作;使用v.雇用;用
prevail	v.成功;获胜
talent	n.明星;天才
rise	n.岗;上涨v.登上;离席
climate	n.风气;气候
chair	n.椅子;主席v.使入座
search	n.检查;搜查v.探;细察
unlike	adj.不等同的;不相似的prep.不像的
recover	v.恢复;追回
mate	n.偶;配偶v.使交配;交配
arrange	v.安排;整理
fortune	n.富有;好运
committee	n.促进会;委员会
ghost	n.鬼;灵魂v.代...作文;当捉刀人
promise	n.可能;允诺v.向...保证;允诺
effective	adj.生效的
manifest	adj.显然的n.船货清单;提货单v.表露;显示
esteem	n.价值;看法v.把...看作;尊重
revelation	n.揭示;启示
wash	n.洗;洗东西处v.洗;洗去
confession	n.承认;忏悔
clay	n.泥土;黏土
nonsense	n.胡说
trunk	n.躯干;树干
management	n.管理;管理人员
undoubted	adj.无疑的
chief	adj.为首的;主要的n.酋长;首领
coal	n.煤;煤块
earthly	adj.尘世的;可能的
restore	v.恢复;使复原
indirect	adj.不坦率的;间接的
last	adj.最低的;最后的adv.上一次;最后v.度过;楦
selfish	adj.自私的
renew	v.补缀;更换
canoe	nv.小划子;独木舟
protest	n.抗议;申明v.抗议;申明
vice	adj.代替的n.邪恶;淫乱
race	n.比赛;族v.疾走;猛转
deem	v.认为
temporary	adj.短暂的;暂时的n.临时雇员
pile	n.一堆;桩v.把...堆积;拥
moderate	adj.适中的;中等的n.稳健派v.使和缓;主持
spell	n.符咒;魔力v.拼作;拼字
upright	adj.竖的;挺直的adv.挺直着n.垂直
area	n.地区;面积
bone	n.骨;骨质v.施骨肥于;苦学
solitude	n.单独;偏僻
instrument	n.器械;手段v.向...提交文书
formal	adj.正式的;克式量的n.礼服;甲缩醛
student	n.学生;学者
greatness	n.巨大
reproach	n.斥责;责备v.责备;指责别人
alter	v.改变;阉割
grim	adj.坚定的;无情的
leap	n.跳;跳跃距离v.使跳;跳
federal	adj.联邦的;联合的n.联邦制拥护者
question	n.难题;问题v.怀疑;问
editor	n.编辑;编者
desirable	adj.可取的n.合意的人
motionless	adj.不动的
remedy	n.补偿;药方v.补救;革除
bestow	v.嫁;用;给予
pursue	v.追赶;追
pole	n.波兰人n.撑竿;杆v.用杆撑;用篙撑船
glad	adj.高兴的;乐意的
linen	adj.亚麻制的n.内衣裤;亚麻布
vital	adj.生命的;有生命的;紧要的
sink	n.落水洞;污水井v.下沉;下落
pacific	n.太平洋adj.和解的;宁静的
hopeless	adj.医治不好的
danger	n.危险;危险示意
grateful	adj.感激的
president	n.主管人;总统
ward	n.病房;牢房;区v.守护;抵挡
nephew	n.后裔;侄子
cheer	n.欢呼;心情v.对...欢呼;欢呼
bloody	adj.嗜杀的;血污的v.使流血
siege	n.包围;长期折磨v.包围
command	n.命令;指挥v.俯临;命令
stomach	n.胃;胃口v.承受;吃下
admire	v.称赞;钦佩
open	adj.开着的;空旷的n.旷野;露天v.开;开辟
sailor	n.乘船者;水手
abide	v.忍耐;居住
forest	n.林区;一丛
record	n.记录;履历v.登记;记录
record	n.记录;履历v.登记;记录
dramatic	adj.戏剧般的;戏剧的
statement	n.陈述;声明
upstairs	adv.在高空;在楼上n.东家;楼层
comrade	n.伙伴;同人
set	n.集子;一套v.放;落
descent	n.下降;斜坡
whither	adv.什么目的;往何处
envy	n.妒忌;恶意v.妒忌;感到妒忌
load	n.负荷;思想负担v.装;装货
pretend	v.伪称;装扮
fold	n.教会;褶v.交叠;收拢
brass	n.黄铜;黄铜器
internal	adj.内的;内服的n.本质;精神
furious	adj.狂暴的;狂怒的
curtain	n.帘;幕v.用帘遮蔽
healthy	adj.健康的
obscure	adj.晦涩的;无名的v.使变暗;使难解
summit	n.顶峰;最高点
alas	adv.哎呀
fifth	n.第五;第五日
cheap	adj.廉价的adv.廉价地
saint	n.圣徒v.正式封...为圣徒
colonel	n.长官;上校
contest	n.竞赛;争夺v.竞赛
