#word,meaning,option1,option2,option3
使喝醉,intoxicate,intoxicant,intricate,wither
家畜,livestock,almond,sacrifice ,farm animal
大吹大擂,blare,lyre,bloke,lark
阻止,preclude,prelude,precede,seclude
死,croak,road,roan,broad
大约在,circa,circle,circus,departure
吸,suck,slick,luck,duct
先生,mister,pester,misery,muster
吃,browse,drowse,bruise,drowsy
扎营,encamp,decamp,scamp,encase
布商,draper,drape,drapery,scraper
哎哟,gad,gay,lab,nab
瓦,watt,want,wave,waist
新式,stylish,stylus,airtight,currently existing
无耻,blatant,latent,total absence of justice,energetic
杀人者,homicide,domicile,homicidal,tyro
全体,totality,fatality,vitality,mortality
瞎忙,fussy,busy,hussy,rusty
词,word,odd,corn,wordy
点头,beckon,beck,bacon,reckon
卡,throttle,ensign,potentate,pitiable
王后,queen,quiet,queer,preen
缩短,abridge,bridle,bridge,abide
贬低,depreciate,appreciate,deprecate,groundless
用煤车运,tram,fray,sham,team
红白间色,roan,loan,groan,goad
微积分,calculus,square ,variable,multinomial
商业,commercial,business,baron,drain
仓库,repository,depository,depositor,bunker
推进,propel,grope,proper,probe
慌张,flurry,hurry,curry,scurry
给...以力量,sinew,shine,line,pine
剪去,prune,probe,crude,print
温厚,debonair,to ease,sin,naked
报复,reprisal,retrial,retribution,vengeance
吊唁,condolence,to dispatch,bury,to commit suicide
摁扣,snap,stay,nab,swamp
抵抗,resist,result,desist,remiss
过梁,lintel,line,linen,lineal
手榴弹,pineapple,javelin,rings,table tennis ball
没有爱的,loveless,homeless,hopeless,lifeless
艺术大师,virtuoso,virtuous,hoard,aforesaid
孔,orifice,office,edifice,artifice
拟蝎,scorpion,unfailing,merciful,counter
啭鸣,trill,trial,krill,shrill
消费税,excise,exercise,expose,excess
兴高采烈,elate,flute,agate,slate
杀灭物,killer,silver,fillet,caller
抚育,upbringing,adoption,to foster,keep 
美学,esthetic,aesthetic,pathetic,linguistics
膨胀,dilate,late,pirate,delete
隔离,isolate,solace,slate,desolate
美味,tasty,tally,taste,nasty
移生动物,colonist,soloist,columnist,colonial
为...写剧本,script,stripe,sprint,scrap
可流通的,passable,payable,possible,impassable
语言学家,linguist,linguistic,languish,banker
没有负伤,unscathed,stealth,colon,heir
错,askew,basket,ask,slew
旅程,itinerary,itinerant,journey,span
养殖,cultivate,culminate,cultivator,captivate
使依靠,hinge,shingle,vine,line
终身职位,freehold,freehand,jabber,employer
乱演,guy,gun,bum,gap
漂白度,bleach,preach,blench,leech
性交,massage,passage,message,assuage
悲哀,lugubrious,luxurious,awfully,pain
可变,malleable,denaturation,modernization,to industrialize
三位一体,trinity,fall apart,merge,leave
移居,migrate,emigrate,migrant,mirage
箱,box,pop,boy,ok
飞牌,finesse,fitness,suffice,statistics
观点,viewpoint,view,dissent,prejudice
旁观者,onlooker,snooker,neighborhood,partisan
除去面纱,unveil,until,veil,unreal
原子,atomic,comic,toxic,atomize
酒壶,flagon,blazon,flag,flavor
转让,alienate,alternate,retail,wholesale
否认,disavow,disallow,find out,publicly known
解...,assuage,passage,assure,assume
一分,punt,puny,pant,pint
给加冠,mitre,litre,title,hire
含混,nebulous,sedulous,fabulous,government
公认,admittedly,attack,overthrow,recognize
变宽,broaden,brocade,broad,brazen
速记法的,shorthand,ridiculous,deep,honest
暴涨,boom,boon,boob,loom
谋划者,designer,design,hither,finery
等于,tantamount,the corresponding time period ,synchronous,the same year
刺激,goad,broad,goal,glad
跋涉,trudge,trade,fudge,nudge
旅游团,tourism,tourist,nourish,truism
挖泥机,dredge,dredger,sledge,dodge
流域,watershed,watered,frontier fortress,border area
无所不知,omniscient,ignore one's proper occupation,incapable,terse and forceful
女帽,millinery,milliner,dustpan,treat
扭歪,distort,history,disturb,distant
狒狒,baboon,bamboo,bacon,baton
老朋友,crony,crane,irony,cross
依赖,beholden,behold,relatively,normally
狡猾,wile,wire,rile,wife
水旅馆,aquarium,parabola,infectious,time
鞠躬,beck,buck,beef,peck
野牛,bison,disown,poison,bacon
滴,trickle,tickle,truckle,prickly
用甜言蜜语骗取,wheedle,wheeze,wheel,needle
美学,aesthetic,esthetic,journalism,architecture
小鸡,chick,trick,chic,chink
极度肥沃,rank,rash,raft,tank
脚镣,fetter,better,jotter,fitter
闹饮,carouse,arouse,grouse,cause
玛瑙,agate,grate,agape,abate
地下走道,catacomb,affection,parity,lingerie
一匙的量,spoonful,scornful,nonentity,medieval
饮食,alimentary,elementary,luncheon,breakfast
引起,elicit,edict,limit,deficit
大力士,titan,tartan,total,tin
方言,idiom,idiot,odium,dim
轻柔,diaphanous,tempest,interesting,trenchant
曼陀林,mandolin,trousers,hunchback,those
使得到...的欢心,ingratiate,grumpy,fuss,jaguar
提供,subject,sublet,abject,object
啐,hoot,poet,fort,hood
引诱,decoy,demon,decry,deity
帐,tally,belly,dally,holly
信条,tenet,ten,test,telex
野蛮,vandal,bannal,sandal,venal
吸,swoop,slop,snoop,hoop
闲逛,potter,pester,spotter,cutter
蛋白石,opal,meal,zeal,royal
红锆石,hyacinth,frustrate,herbaceous,gifted
诽谤,libel,liner,liberal,liver
破碎者,breaker,beaker,brake,broker
轻佻女子,hussy,messy,hasty,hiss
庇护所,lee,lie,web,sleet
首领,primate,private,prate,climate
使蒙耻,humiliate,humility,alliance,cloze
音乐戏剧,melodrama,duchess,mainstay,retch
杂草,weedy,week,weekday,needy
摘除,extirpate,to smoke,snap,to break with both hands
极小,negligible,eligible,allusion,restrict
使摆脱,free,frog,flue,creek
整洁,smug,mug,smog,rug
恐慌,funk,dunk,bun,funky
诋毁,disparage,written polemics,libel,cynical
过度买卖,churn,spurn,shun,court
编结,braid,brim,rail,brain
辛劳,fag,fad,fang,a
桌布,tablecloth,tablecloth,flannel,patch
严格,exactitude,revolutionary,generous,atmosphere
企鹅,penguin,partridge,domestic fowl,fowl
庞然大物般出现,hulk,muck,huge,husk
榴弹炮,howitzer,bayonet,salvo,pistol
友好,outgoing,outlying,outgoings,single
自明之理,truism,tourism,truss,trim
不顾,override,overrate,overtime,overrule
荞麦片,buckwheat,forfeit,copyright,inhumane
未经批准,wildcat,fallow,squadron,dung
阐明,illuminate,illumine,reaffirm,to indicate
好色之徒,erotic,exotic,erratic,heretic
髓的,pithy,kith,kitty,apathy
机工,machinist,foreign,planing machine operator,dressmaker
查阅,consult,consul,console,conduit
贮藏,hoard,oar,board,head
镘刀,trowel,travel,towel,grower
椭圆,elliptical,elliptic,circumference,arch
刺,tattoo,tattle,taboo,tatter
拾,glean,leap,lean,gleam
总的,overall,overact,overawe,overhaul
可除,divisible,visible,invisible,charter
巨像,colossus,colossal,swearword,chaste
欢乐,jocund,sound,rotund,pound
裂片,splinter,planter,splint,printer
口语,colloquial,Portuguese ,topic,Sanskrit
水的,aqueous,gruel,fifty,mariner
猛烈抨击,blister,cluster,mister,bolster
剥夺...有权继承的遗产,disinherit,abet,spirit,hunt
应用,conscript,constrict,to distinguish,to embezzle
重婚,bigamy,binary,to be divorced from ,to rest
累赘,redundant,redundancy,detailed,trivial
支持,bolster,blister,roster,holster
联络,liaison,joint,cyber-,fashionable
多块,lumpy,lymph,jump,jumpy
吸收,absorb,abhor,absurd,abort
人,human,hump,puma,humane
浪荡,squander,slander,bold and decisive,savage
招贴,poster,sorter,master,poser
电极,electrode,electron,strength,measurement
震动,jolt,bolt,cost,polo
铜匠,brazier,blazer,glazier,brazen
部分,fractional,functional,fraction,rational
器具,appliance,alliance,router,staple
老古板,lame,make,babe,gaze
相啮合,mesh,west,mash,menu
点火,ignition,munition,to start a fit,draw up
使发奋,bestir,bestow,bestial,fester
晕船,seasick,seaside,be unconscious,paralysis
骚动,uproarious,prosperous,peace and security,live and work in peace and contentment
报偿,redound,recount,resound,refund
使中和,neutralize,centralize,neutrality,grab
概要,capsule,capable,cagoule,capture
桶钉,keg,jig,ken,pep
动物群,fauna,tuna,fawn,fang
容易弄错,fallible,infallible,suffer,morrow
乐观,optimistic,optimist,generous,filial piety
净化,refine,define,retire,repine
不透水的,waterproof,thrift,athlete,gunner
分析,analytic,analytical,paralytic,analysis
可鄙,abject,object,subject,inject
报偿物,requital,recital,requite,civility
石斑鱼,gag,gad,fog,gang
保护,conserve,observe,conceive,converge
早产,slink,clink,flunk,slang
次经,apocryphal,Muslim,goggle,penny
最前线,forefront,traduce,prosperous,burgh
被状物,quilt,quip,quire,stilt
解救物,salve,sale,salver,sabre
有结,knotty,potty,natty,knot
仲冬,midwinter,the current month,August,fifth month
发票,invoice,invoke,invite,involve
圆形大厅,rotunda,round,rotund,lay
瞬息,trice,slice,trick,rice
小树枝,lop,lot,load,plod
阴险,insidious,invidious,sin,upright and outspoken
邮戳,postmark,postcard,postwar,postman
含糊不清,ambiguity,flint,contract,cartel
护林官,woodman,wooden,woodland,workman
挡板,damper,dapper,bumper,dumper
横的,transverse,traverse,semester,deficiency
至福,beatific,tenant,mother,cast
犹豫,stagger,stammer,stage,swagger
控告,impeach,peach,impact,bless
没有东西,nothing,clothing,anything,thing
服装,weed,feed,lead,creed
吸血鬼,vampire,aspire,campfire,ampere
丰厚,munificent,out of tune,smash,stony-broke
茶杯,teacup,teach,telephone dial,small dish
共振,resonance,resonant,thread ,rove around
狂暴,rabid,amid,cabin,valid
牛羚,gnu,gnaw,glut,inn
详细检查,scrutinize,indigent,jacket,player
否认,disclaim,declaim,to deny ,interfere
怪异,eerie,here,series,merit
掐灭,stub,stun,tub,stunt
开下流玩笑的人,ribald,bald,ribaldry,rival
驯服,tractable,make peace,to become reconciled,start a fight
井的,well,deal,west,weld
闪光,glisten,listen,blister,moisten
适合于,befit,emit,beret,exit
把...切碎,hash,hush,mash,trash
裂缝,cleavage,leakage,cleave,break apart
温文,suave,scare,leave,state
演讲技巧,elocution,locution,evolution,election
根据,rational,national,ration,atonal
反向,reversal,reverse,reveal,rehearsal
口的,oral,trial,aural,vocal
图像,graph,drape,grape,gap
摔跤运动员,wrestler,wrestle,trestle,wristlet
地窖,crypt,crop,craft,crap
小凯旋式,ovation,option,notation,evasion
上岸,disembark,internal disorder,warlike,send troops
鞋匠,snob,bob,snow,nab
推迟考虑,waive,wife,rave,naive
消化不良,dyspepsia,dysphasia,devalue,mist
胸,thorax,borax,thorny,thorn
止痛,anodyne,anode,expel,to discontinue
葬礼,obsequies,obsequious,tradition,ceremony
报酬,emolument,monument,wages,allowance
大屠杀,holocaust,murder,homicide,assassinate
喝,imbibe,imbue,drinking or drinkable ,to lick
铆,rivet,divert,rivulet,rife
尾铗,forceps,force,ranch,runaway
织物,network,outwork,mantle,topcoat
季节,seasonal,seasonable,personal,season
证明...不能成立,disprove,dispose,improve,disapprove
雄辩,mercurial,dialectical,eloquent,competition
代理,proxy,prop,prod,parody
静止,static,satin,station,state
贫困,indigent,indulgent,incident,indirect
妇女头饰,milliner,millinery,airliner,millibar
四人组,quartet,quarter,quarrel,quart
胡扯,bleat,plea,treat,beat
临时做,improvise,improve,impediment,ravine
陵墓,mausoleum,battery,altar,railway platform
鸥,gull,boll,curl,pull
海绵,spongy,sponge,springy,podgy
蜡,wax,tax,cad,wasp
蒲公英,dandelion,honeysuckle,Salvia miltiorrhiza,simarubaceae
使用拖把,mop,mom,mat,cod
脓,pus,rush,pig,use
严厉,drastic,plastic,elastic,frantic
从...中出来,out,hut,cut,dolt
脊椎动物,vertebrate,animals and plants,articles,animal
毕业,graduation,radiation,gradation,end
瘦弱,weakling,young,walk with difficulty,hoary head
画漫画,cartoon,carton,caption,croon
有节制的,abstemious,inaugural,gossamer,changeable
沥青,bitumen,cement,lime,plaster
背教者,pervert,perverse,perfect,fervent
卷须,tendril,bear paw ,tail,horn
单调乏味,tedium,medium,stadium,odium
挣扎,flounder,founder,flounce,bounder
量少,paucity,pacify,purity,parity
鼓起,billow,pillow,below,fellow
客栈,hostel,hotel,hasten,roster
豁口,gape,caper,gate,tape
庞然大物,mammoth,mammon,lowest,extensive
青春期,puberty,liberty,poverty,half-life
题献,inscribe,describe,ascribe,Asia
坐着,sedentary,lunch,expire,whose
上升,ascension,aspersion,accession,rise
动物区系,zoology,biology,apology,horology
侵占,encroach,abduct,oppress,to plagiarize
狼獾,glutton,button,mutton,sacrifice 
缕,wisp,wiry,wilt,win
腐败,ramshackle,regress,routine,promote
划开,gash,math,lash,bash
市区地铁,subway,sway,runway,conceal
梯级,stave,stake,slaver,stark
禁欲者,celibate,climate,calibrate,celebrate
预感,presage,prepare,prestige,preface
传位,demise,devise,premise,defile
熔炉,crucible,crucial,credible,crumble
火山口,crater,crate,cater,rate
雨量,rainfall,degree,for a time,rate of consumption
管理人,economist,economize,economics,economic
充满暴力,gory,awry,orgy,dorm
转移,deflect,effect,reflect,select
蒸发,evaporate,elaborate,worried,burn down
泛神崇拜,pantheism,amnesty,climatic,horology
相配,assorted,excel,very friendly,symmetrical
脱离,disengage,relief,retire from the military,to go into
完人,phoenix,Taishan ,evil person who commits crimes,clown
喷射器,syringe,cringe,singe,stringy
玩忽,remiss,demist,relish,recess
终场,finale,tinkle,mingle,final
收割者,reaper,eager,temper,draper
种族,ethnic,tunic,tonic,ethics
虾,shrimp,skimp,strip,ship
恐怖统治,terrorism,terrorist,formal,adjunctive
压力计,indicator,indication,indicate,lightly
撇号,apostrophe,sanction,nonpareil,hereby
擦,scrub,scrubby,club,snub
已死,defunct,deduct,deflect,defect
使厌腻,satiate,saturate,radiate,state
小触板,dinghy,dinky,dingy,cultivator
刈,barb,back,dark,bay
言语,wordy,wary,tardy,goody
阐述者,exponent,opponent,overreach,disorder
极坏,disastrous,postman,quandary,garrulous
适合,pertain,retain,terrain,certain
推进,propulsion,profusion,repulsion,before a verb] handle, deal with
悬荡,dangle,mangle,wangle,jangle
动物学的,zoological,biological,legation,macrocosm
勾搭,accost,accuse,almost,account
使苦恼,afflict,inflict,affect,toothpick
催眠,hypnotism,hypnosis,hypnotize,acupuncture and moxibustion
转动曲柄,crank,plank,brink,frank
沼,fen,ken,hen,lee
僵持,deadlock,wedlock,padlock,to set off
污点,blot,clot,flop,plot
浅帮鞋,sandal,scandal,panda,sundae
怕痒,ticklish,nonaligned,locality,type
班房,hock,oak,cock,mock
节日,gala,gold,geld,ball
泄水管,sluice,spice,slice,slime
游牧,nomad,goad,nomadic,coma
特定场合,nonce,since,hence,none
粗暴而又好争吵的人,rowdy,rocky,drowsy,crowd
红利,dividend,dividers,divide,small profits
休假,furlough,early morning,legal holiday,sick leave
翘舌音的,cerebral,cerebrum,cereal,accuse
茶,tea,wed,tax,baa
掸,whisk,wisp,whose,whiff
把...弄脏,muck,tuck,musk,pock
支族,offshoot,wink,enormity,architect
女生,schoolgirl,university and high school students,university student,boarder
侵入,incursion,infusion,incision,excursion
大张着嘴,agape,agate,cape,grape
抱怨,bewail,derail,wail,befall
汽油,petrol,patrol,petrel,peril
飞行员,flier,filter,falter,pier
小孩,chit,edit,chip,shit
钻塔,derrick,lighthouse,pyramid,vineyard
高视阔步,strut,stub,strum,stout
预言,augur,augury,amour,anger
犯法,wrongful,suppression,kidnap ,remit
位于...之下,underlie,underling,underline,underpin
谷仓,granary,gantry,canary,granny
撤离,evacuate,evaluate,ejaculate,vacate
唠叨,prate,gyrate,brace,paste
里程碑,milestone,limestone,millstone,milestone
辩护,advocacy,advocate,dispute,to quibble
尖声急叫,yelp,yell,keep,melt
双方,bilateral,lateral,unilateral,trilateral
有说服力,cogent,potent,agent,comet
八度音栓,octave,active,crave,cave
使踩高跷,stilt,start,tilt,suit
流浪,planetary,to be dependent on,toil,to  exile
词缀,affix,affirm,fix,suffix
兽欲,bestial,bestir,festival,greedy
弗林奇,flinch,clinch,blench,blanch
挽歌,elegy,eulogy,celery,clergy
来源,paternity,maternity,fraternity,eternity
斜体,italic,static,titanic,user of words
荨麻,nettle,wattle,kettle,settle
讥刺,incisive,incise,incision,decisive
山丘,wold,hold,old,wild
吹嘘,vaunt,vault,shunt,taunt
剥夺,curtail,certain,curtain,confiscate
反驳,retort,resort,record,report
基本,first,foist,fist,forest
无味,tasteless,stateless,laughable,grotesque
签署,endorse,encore,enforce,endure
多的,galore,alone,glove,calorie
佯攻,feint,glint,tent,pint
惹人喜爱,winsome,income,shrapnel,fortieth
渴望,itch,etch,pitch,with
所有物,asset,assent,assert,upset
星系,galaxy,gala,salary,galley
绝缘,insulation,insulator,undulation,isolation
死者,casualty,casual,head,upper part of the body
电影业,movie,mote,mope,move
相反,inverse,unversed,universe,adverse
使有尊严,dignify,signify,magnify,dignity
听力所及的范围,earshot,allegiance,gruel,salvation
恶臭,fetid,betide,feed,fetch
隆起,hump,rump,sup,thump
自治,autonomous,law and order,autonomy,control
紧急,exigency,to shock,surplus,superficial
蜂箱,hive,line,hide,size
弯曲,sinuous,tenuous,sensuous,vertical
柄木,dudgeon,burgeon,surgeon,esthetic
在中部,amidships,enclose,tie,gory
典型,typical,atypical,topical,lyrical
淡紫色的,mauve,mature,maple,rave
恶行,misuse,mouse,disuse,miss
精神病院,madhouse,hospital,movie theater,Cambridgeshire
腔室,ventricle,stand,symbol,lobe
堕落,decadence,decadent,cadence,to build
强行去除,dislodge,lockup,drill,drip
引入,inductive,indicative,inactive,invective
第一位,primacy,primary,privacy,grimace
混和,blend,blind,sled,lend
轰击,bombard,board,bomber,bollard
躺着,recumbent,recurrent,incumbent,super
毛细管,capillary,arch of aorta,vein,acupuncture point
可容许的,admissible,feature,golden,reproduce
翻筋斗,somersault,sequester,adjunctive,tinplate
溅泼,slush,plush,flush,blush
打赌,bet,yet,berk,set
显贵,dignitary,dignity,low,precious
围巾,muffler,muffle,buffer,duffer
一针,stitch,pitch,snatch,smirch
沉重缓慢地走,plod,prod,load,pro
枯萎,shrivel,shriek,shrill,shiver
贬低,deprecate,depreciate,to promote,dismiss from office
格子架,trellis,topmost,cavil,grimy
喷射,eject,reject,detect,erect
使排队,queue,queen,quote,quest
雪板,ski,soil,sip,stir
关于死亡,obituary,fondle,serfdom,grassy
告别,goodbye,goody,to shake hands,gather
责骂,upbraid,braid,to compete,scold
旋转,rotary,notary,botany,rotate
虚幻,fatuous,fabulous,famous,vacuous
不优美的,graceless,priceless,trackless,ridicule
不礼貌,impolite,polite,thereafter,desist
被提名者,nominee,nominal,nominate,exclude
驾驶,navigate,navigator,navigable,drive
瓮,urn,re,turn,con
规定...的指标,target,market,tablet,large
年鉴,almanac,character dictionary,drill book,dictionary
抱,nestle,jostle,nest,nettle
台球,billiard,bollard,billboard,hockey
击鼓,dub,dunk,tab,daub
无,nil,pal,rail,fin
上述各点,premise,precise,precis,promise
奶罩,bra,bus,rag,gray
家务劳动,housework,homework,bronze,prig
完成,achieve,thieve,active,to execute
技术,skill,swill,grill,still
变湿,moisten,mister,moist,mitten
胃部,gastric,appendix,heart,the large intestine
动情,rut,nut,pit,rum
催吐剂,emetic,exotic,genetic,poetic
去贫民窟,slum,glut,slop,drum
主音,keynote,keyhole,denote,thunder
尖刻,acidity,acuity,validity,acidify
悲观者,pessimist,pessimism,carnation,shortcut
稀粥,gruel,grovel,grey,cruel
吞没,engulf,gulf,be a speculator ,pirate
独裁者,autocrat,plutocrat,autocracy,automat
煽动叛乱者,firebrand,likable,earmark,momentum
波动,tumult,tumble,steady,bide one's time
小数,decimal,recital,decimate,denial
兽医,veterinary,writer,doctor,maternal grandmother
后缀,suffix,suffer,suffice,affix
发酵,ferment,fervent,segment,garment
颠覆,subvert,subject,culvert,sublet
衰老,effete,effect,efface,fete
使变硬,stiffen,stifle,stiff,erotic
逐个,piecemeal,at every step,against the wind,alternate
独白,monologue,dialogue,perfectly sound proposition,qualified word
喷口,spout,pot,scout,spoon
代替,double,trouble,wobble,couple
流沙,quicksand,cement,lime,cinnabar
施浸礼,baptize,captive,baize,capsize
电视机,television,wireless,lantern slides,telephone equipment
缰绳,tether,together,teller,gather
悲叹,bemoan,bean,moan,demon
甜菜根,beet,belt,week,heed
卸下负荷,unpack,pack,snack,knack
米奴哀舞小步舞,minuet,minus,mint,miner
朋友,kith,with,hitch,pith
海盗,buccaneer,pirate,a wretched-looking tramp who lives by begging or stealing,kidnapper
郁金香,tulip,turnip,quip,pulp
附属建筑,outhouse,hothouse,nuthouse,waist
罢免,depose,repose,decode,deport
整个范围,gamut,gaunt,glut,smut
祖母,grannie,granule,granite,granny
书包,satchel,sachet,hatchet,ratchet
嘿,hello,cello,jelly,hell
人,dude,use,rude,dyke
生,fawn,lawn,far,awn
伪装,disfigure,to breathe deeply,to take a breather,hold one's breath
颠簸,wallow,callow,mellow,fallow
防腐,antiseptic,contraception,arrive at ,waterproof
把...切成片,fillet,billet,fill,killer
减弱,lag,flay,vat,dog
零星杂物,trumpery,trumpet,sure,bearish
收拾,compose,composure,composer,compass
蜷缩,cringe,bridge,crane,fringe
黏液,mucous,gall,growth hormone,spittle
自私,selfish,relish,equitable,honest
第一千,thousandth,thousand,upside,crypt
舱壁,bulkhead,administer,acquittal,pedestal
好斗,pugnacious,a move,fault,display
不文雅的,indelicate,delicate,indicate,dozen
拱顶,vault,fault,haul,malt
为...拍照,photo,pot,plot,phone
三叉戟,trident,prudent,rodent,trisect
怨言,bitch,botch,bench,witch
小的,min,mid,tin,bin
取得,procure,procedure,produce,profuse
心神丧失,lunacy,legacy,lunar,lacy
像外壳的,crusty,lusty,crust,rusty
裂口,hiatus,status,to injure,tear up 
强有力的,forceful,forgetful,bike,smuggle
粉,dust,duet,bust,gust
使谦卑,abase,abash,bash,aware
降低的成色,debase,decease,debate,base
婴儿期,babyhood,semester,period,the Eastern Han Dynasy
钮孔,buttonhole,cancer,bumpy,visual
一绞,skein,skip,keen,skin
圆锥形蜂窝状的,beehive,beeline,behave,shop
团结一致,solidarity,solidity,to combine,fall apart
飞机,airplane,airlane,aeroplane,biplane
变松弛,unbend,bend,intend,upend
水手,tarpaulin,foreign,electrician,steersman
庄严,statuesque,fluffy,nervous,exultation
疑难之事,crux,scrub,crude,cut
符尾,pennant,pendant,peasant,pedant
演员,histrionic,media,read and edit,ordinary members of theatrical troupe
护身符,amulet,hamlet,amble,mulct
妾,concubine,tradesman,throne,soccer
意愿,will,wall,twill,mild
主持,officiate,affiliate,official,lead
重新浇铸,recast,forecast,recant,recall
近岸锚泊,offing,coffin,fling,office
倒装,inversion,diversion,invention,invasion
确定,clinch,flinch,cliche,clutch
摹本,facsimile,hypertext,Chinese  version,specimen
解析,analyse,analyst,analysis,probe
参考,ref,defy,reef,grief
征用,embargo,embark,embryo,military 
手枪皮套,holster,bolster,mobster,hostel
识字,literacy,literary,literal,literate
悲剧作者,tragedian,fourteenth,healthy,debenture
闪烁,crackle,tackle,cackle,crinkle
社交,converse,converge,convulse,condense
萧条期,recession,cession,remission,procession
捏造,fudge,budge,huge,wedge
粗鲁,brusque,to respect,serene,polite
猫科动物,feline,define,flint,online
成行的树,colonnade,absorption,prisoner,secret
转移,detract,retract,extract,tract
推动,impel,imply,expel,compel
啭鸣,warble,garble,marble,ware
交换,swap,snap,swan,swop
说废话,gabble,dabble,garble,babble
雷管,primer,prior,prime,prima
混乱,misrule,misuse,missile,rich
沉闷,prosy,prod,prose,rosy
戏剧,scenic,sonic,ascetic,scene
母羊,ewe,hie,egg,owe
食堂,refectory,refractory,state guesthouse,semicolon
躯干,torso,too,forgo,torsion
鼻孔内壁,nostril,mockery,inconstant,successor
加重,sharpen,sharper,sharp,shape
乐观者,optimist,optimistic,optimism,quartet
极少量,iota,mot,total,boa
简要,terse,tree,tense,verse
确定,stipulate,simulate,stimulate,adjudication
室内,indoor,indoors,door,interior
教室,classroom,lavatory,study ,cellar
肘,knuckle,truckle,suckle,chuckle
有礼貌的,urbane,urban,urine,turbine
人形精怪,coyote,compote,connote,wringer
好斗,combatant,action,conduct,defect
颤动,twitter,twister,titter,totter
空间,inane,snake,insane,inner
杰出,elite,lute,life,elope
深粉红色,melon,felon,aeon,salon
可可树,cacao,cameo,cargo,carat
镇静,sedative,seductive,relative,sedate
程序,procedure,procure,ranking,after that
装饰起来,embellish,pendant,dune,recipient
百搭,joker,cover,poker,joke
门诊部的,clinical,clerical,cynical,critical
口鼻部,snout,strut,snort,scout
物质财富,mammon,madman,mamma,mason
分割,segment,semen,augment,ferment
出,cash,smash,case,gnash
酒宴,convivial,to stipulate,seminar,informal dinner
笨蛋,dolt,most,golf,doll
肠绞痛,gripe,guile,grime,grip
谜的,enigmatic,patentee,ungracious,calm
尘埃,mote,yore,mode,dote
强壮,lustful,trustful,useful,wistful
贴击,croquet,crochet,imbue,blind
抽动,twitch,witch,twit,switch
发表,emit,exit,remit,vomit
水压,hydraulic,hydraulics,vigor,sensitivity
使干枯,wither,winner,hither,whither
船货,lading,laden,sliding,sake
正面,frontal,front,frontage,rental
清晰,clarity,clarify,charity,laity
翅脉,vein,skin,veil,loin
破晓,dawn,down,saw,dean
一类,brood,brook,proof,root
二等射手,marksman,oarsman,vulgarity,retention
私生,unlawful,lawful,constant,monotonous
倒塌,topple,tipple,couple,temple
震荡,concussion,confession,concession,conclusion
演绎,deduce,seduce,deduct,delude
官杖,baton,boon,bastion,baron
涓涓细流,drizzle,sizzle,dazzle,dribble
违反,infringe,fringe,to disobey,obey 
背离,departure,obedient,to break the rules,to violate
夫妻,marital,capital,marginal,madrigal
叫好声,hurrah,hurry,glottal stop,modern  pronunciation of a Chinese character
吝啬,churlish,cherish,be insufferably arrogant,generous
蚀刻,etch,each,etc,catch
教唆,seduction,seductive,selection,section
大纲,synopsis,heart,bone,meaning
吸干,sop,slop,soda,amp
班卓琴,banjo,bandy,tango,banns
钩针编织,crochet,crotchet,croquet,creche
冒名者,swindle,spindle,single,dwindle
蟒,boa,iota,bob,hoax
智胜,outwit,outlet,outfit,outset
腻子,putty,potty,petty,party
倒掉,dump,stump,dome,dumper
啃,nibble,nimble,gobble,rabble
破产,bust,bosh,brat,burst
表演,portrayal,portray,dispense,to operate on or to be operated on
结婚公告,banns,canny,banner,banana
鸟粪,guano,gland,piano,gun
牵引,traction,attraction,fraction,oration
切碎的食物,mince,rinse,pinch,prince
商业区的,downtown,belch,textbook,honorary
走私,smuggle,snuggle,struggle,juggle
迎合他人淫欲者,pander,patter,yonder,ladder
嘲笑,gird,goad,grid,gore
产,foal,foul,goal,local
惊飞,rocket,bracket,racket,socket
旗杆,flagstaff,seal,colored flag,team pennant
给...滚压骑缝线,roulette,audio,jiffy,saxophone
给...遮暗,overshadow,subdivide,compound,petty
战斗,combat,coat,compact,cymbal
把...称为,label,lager,lapel,lobe
花的,floral,flora,foal,local
少量,modicum,odium,medium,richly colorful
号哭,bawl,brawl,pawn,awe
小曲,ditty,dinky,dirty,petty
权宜之计,makeshift,jugglery,deadly trap,attack by a hidden enemy
润湿,wetting,webbing,weeping,whiting
皮带,thong,hone,throng,thing
长颈鹿,giraffe,gaffe,camel,elk
变弱,bated,cater,rate,bare
将...放逐,outlaw,outlast,outlay,outlet
涂掉,scrawl,shawl,sprawl,crawl
圆形,rotund,rotunda,round,jocund
鹭,heron,herb,heroin,aeon
乳头,nipple,ripple,dapple,tipple
牙齿,fang,sag,fan,lung
号子,holler,hollow,howler,holder
阵雪,scurry,flurry,curry,sturdy
使无价值,nullify,qualify,jollify,mollify
唯心主义者,idealist,idealize,idealism,proletariat
报复,retaliate,to avenge,enchant,rusty
传染,infect,effect,defect,inept
禁忌,taboo,table,bamboo,labor
量...的体积,cube,muse,cafe,come
挖苦,saturnine,tease,controversy,favorable
大话,rant,bane,pant,ranch
沉积物,sediment,segment,sentiment,regiment
废话,garbage,garage,herbage,gasbag
对角线,diagonal,focal point,peak,node
困惑不定的境地,quandary,backpedal,holster,instance
观念,ideal,tidal,heal,idea
伏击,waylay,wallaby,allay,Mayday
木刻印版,woodcut,mass,jackass,breed
熟练,proficient,strive,make nothing of hardships,switch to a job one was not trained for
