#word,meaning,option1,option2,option3
低估,underestimate,reasoning,to estimate,unexpectedly
承认,confession,concession,concussion,confection
调节,regulate,regular,peculate,emulate
无法忍受,unbearable,unreadable,ode,prima
栖息地,habitat,habitual,habit,habituate
边远,outlying,outline,outgoing,go to the trouble of  traveling a long distance
倾向,propensity,belief,to consent,hesitation
议会（制）的,parliamentary,parlour,warehouse,limp
易受影响,pliable,liable,pitiable,palpable
入口,mouth,month,mot,moth
百万富翁,millionaire,debtor,creditor,beggar
引人注目,dramatic,dramatics,drastic,dramatist
易燃,combustible,shortcomings,defensive ,strong point
奢侈,sumptuous,bumptious,saving,diligent
上古,primitive,medieval,the Tang Dynasty,certain year
粗糙,crude,cause,dude,prude
正常,normal,moral,format,formal
（心理）条件作用,conditioning,make up a missed lesson,drill,foreign hammer
祝福,blessing,sawmill,cacao,anchor
理论,academic,academy,to quibble,justify
努力,strive,astride,stride,stripe
暴露,exposure,expose,collapse,not exert oneself
香的,fragrant,vagrant,flagrant,fragment
司令部,headquarters,research institute,short-term training course,a military region
讽刺画,caricature,pull,euphoria,vulgar
(因太大、太重、形状奇特等)不易被移动的,unwieldy,softly,tender,elation
加速,accelerated,to postpone,to shift to an earlier date,with a wavy motion 
鞍子,saddle,waddle,sadden,paddle
宣告,announcement,general mobilization ,give somebody a task,to monopolize
可更新的,renewable,collier,keepsake,scurrilous
冲击,onslaught,smooth,receive,to turn round
玷污,pollute,polite,collate,render service to repay kindness
发射,emission,omission,remission,mission
无效,null,tell,pull,nude
派生词,derivative,motto,verb,adverb
意外,accidentally,never,all of a sudden,approximately
煽动,foment,moment,ferment,fluent
生效,effective,elective,defective,to set off
庞大,bulky,bully,bulk,hulk
循环,circulation,power failure,armistice,vicious circle
调查,inquiry,enquire,enquiry,inquire
计算,computation,take rough measurements ,measurement,to imitate
有缺陷的,defective,detective,directive,effective
中立,neutral,central,ventral,neutron
杆,rod,cod,soda,wad
隐退处,retreat,retrial,repeat,recreate
粘度,viscosity,sensibility,rigidity,creativity
适当,suitable,mutable,unsuitable,sizable
秧苗,seedling,sterling,malt,terminal bud
面对,confront,since,for what reason,whence
小册子,pamphlet,almanac,character dictionary,encyclopedia
微生物,microbe,micron,disrobe,mammal
平行,parallel,parable,bolt upright,proper
使膨胀,inflate,innate,inflame,tinplate
忍耐（力）,endurance,insurance,entrance,connote
使凹下,dent,deer,nest,wet
专业,professional,unofficial,extracurricular,outside
推,hustle,bustle,subtle,haste
愉快,pleasing,kowtow,deep sorrow,to the satisfaction of everyone
导体,conductor,conduct,conduction,gas 
可教育的,educable,youth,feudal,pending
在…中,amid,mix,acid,grid
求爱,courtship,woo,to seek,to consider
声名狼藉,notoriously,well-known,winner,dark
遮蔽,eclipse,ellipse,elapse,naked
狂暴,furious,curious,dubious,spurious
阻止,inhibit,inhabit,inherit,trouble
溅,splash,slash,sash,slush
糖浆,syrup,strum,sup,shrug
戏剧,drama,ramp,aroma,pram
有说服力,persuasive,persuasion,pervasive,waveband
提示,hint,list,line,hit
坚持,insistence,assumption,to think over,to feel
烟,fume,fade,fuse,sum
旋风,cyclone,cycle,hurricane,gust
相当,considerably,almost, nearly,as much as possible,excessively
相异,alien,mien,aspen,align
疲乏,fatigue,lazily,hold one's breath,keep silent
硬外皮,crust,crusty,wrist,crest
令人兴奋,exciting,obstruct,exert ,to restrict
赶走,oust,rouse,bust,out
不顾一切,desperate,temperate,desperado,to be indifferent
笨拙,clumsy,clammy,classy,lumpy
重申,reiterate,literate,iterate,develop simultaneously
相反的事物,opposite,oppose,composite,perceive
凸出,convex,cover,convert,convey
雄心,ambition,ambitious,addition,audition
竞技场,arena,area,parent,hyena
（宝石重量单位）克拉,carat,carol,curt,chat
源于,derive,deride,devise,thrive
提神,refreshing,obstruct,urge,impose by force
寄生虫,parasite,paradise,bumblebee,spider beetle
海员,seamen,astronaut,planer,electrician
拧,wring,bring,wrong,wing
扭曲,twist,wilt,twit,moist
消极,passive,massive,missive,passage
向…保证,assure,reassure,assume,pasture
获胜者,victor,jug,foolproof,spineless
改编成戏剧,dramatize,dramatist,dogmatize,dramatics
有魅力的,catching,hateful,to be rich in,touching
肢解,dismembered,seat belt,separate,unload
令人沮丧胆,frustrating,jubilation,truckle,cavity
铸造,forge,fare,gorge,forget
根本上,radically,waffle,depend,mad
吸引人的事物,attraction,extraction,attractive,traction
交替,alternately,sequence,immediate,at every step
联合,coalesce,individual,to stand alone,from
无政府主义者,anarchist,backhander,march,ensign
向日葵,sunflower,castor-oil plant,orange osmanthus,anise
使多样化,diversify,diversity,diversion,adjective
坠毁,crash,brash,crease,rash
非小说的散文文学,nonfiction,conviction,confection,sugarcane
精细,elaborate,evaporate,gruff,slippery
纪念物,monument,monumental,emolument,moment
异常,exceptionally,lavishly,nothing more than,take a beating
表扬,celebrate,celibate,celebrity,calibrate
部分,portion,lotion,potion,motion
营养物,nutrient,nutriment,fond,craggy
联盟,confederacy,become sworn brothers,break off diplomatic relations,nonalignment
颠覆,upset,puppet,outset,upper
乐器,instrument,ice hockey,tennis,volleyball
键盘,keyboard,seaboard,cup,small dish
陪伴,accompanying,to support,interview,to see someone off
教育学的,pedagogic,handiwork,obscenity,handicap
曲折,zigzag,tumble,skeleton,straight as a ramrod
离子,ion,son,union,ton
贞洁,chaste,chat,cast,chase
阻碍,discourage,discourse,interfere,troublesome
命令,mandate,misdate,mandated,mundane
光谱,spectra,manual,letter of credit,spectrum
敏捷,briskness,evening,late at night,to arrive late
原因,sake,cake,sale,pave
片,patch,batch,pitch,parch
变化,variety,verity,rarity,varsity
腐蚀,corrosive,corrosion,vengeance,reciprocation
反常,abnormal,normal,special,health
交响乐团,philharmonic,union,fleet ,orchestra
隧道,tunnel,funnel,runnel,tinsel
荧光,fluorescent,hotline ,laser,glimmer
渗透,penetrate,perpetrate,venerate,generate
美味,palatable,palpable,live ammunition,honestly
非暴力,nonviolence,a helping hand,a nation's power,immunity
抗菌,antibiotic,enactment,carpenter,wan
暗淡,dim,tin,km,dip
贝,shellfish,friend,galosh,implant
不能取消,irrevocable,frontier,refractory,monopolist
索价过高,overcharge,stele,stalk,groundsman
花粉,pollen,golden,poll,woolen
更新,regenerate,grasp,stand up,to improve
肢解,dismember,scatter,to unload,to bear
毁坏,devastation,snap,tear up ,end breaking
可变性,variability,technological,punitive,flexibility
管理,administer,minister,be in charge of,assume control
姿势,posture,pasture,moisture,imposture
原型,prototypical,snug,hobby,taste
门诊所,clinic,clinical,clinch,clink
密度,density,deity,entity,identity
天空,heavenly,heavily,heaven,outer space
刺激,excitement,excrement,excited,impose by force
天篷,canopy,jalopy,canoe,canary
（态度、举止）拘谨的,stiff,shift,sting,stink
外围,periphery,pertaining to external or foreign ,abroad,at home
阻止,check,chuck,wreck,clerk
均衡,balanced,endless,in detail,overlapping
估计,estimate,estimable,ultimate,intimate
喜爱,affinity,infinity,beconme excited,worth hearing a hundred times
虔诚,reverently,false,craft,moderate 
手风琴,accordion,chord,wooden clappers with bars of unequal length,movie screen
郊区居民,suburbanite,rut,currency,shower
使冷却,refrigerate,storage,sew,reservations
克制,restrain,strain,restraint,refrain
专利,patent,payment,potent,patient
小招牌(尤指医生或律师挂的营业招牌),shinglen,noonday,unblushing,gangway
合成器,synthesizer,charger,abacus,ironware
起源,genesis,genetic,nemesis,genetics
独特,uniqueness,fly one's onw colors - develop a school of one's own,specialized,eligible 
一致,conformity,agree without prior consultation,to be united in action,to belong to
鱼卵,roe,strait,decade,abysmal
商人,merchant,enchant,guest,investor
受过教育,informed,myopia,arise from the dead,clever
有灰雾的,fogged,parquet,piteous,tasteful
鞭节,flagella,wig,hair ,flagellum
伤害,detriment,nutriment,harmful,harmless
健康,fitness,witness,firmness,finesse
古代,antiquity,iniquity,antiquary,9-11 a.m.
康复,heal,veil,ideal,dial
矮树丛,bush,hush,muse,bash
目击者,eyewitness,peace maker,presiding judge,testimony
五金器具,hardware,commodity,object,software and hardware
覆盖,coverage,average,courage,codepage
解释,interpretation,to leave one's comments,to download,cite
做错,error,mirror,juror,enrol
大量,largely,humility,not care,miser
使成化石,fossilize,compliance,stealth,amuse
激怒,pique,pine,clique,pie
峡谷,canyon,cannon,carbon,anon
划独木舟者,paddler,whim,land,of
吹嘘,boastful,to cover,check,tell a lie
牧师,clergy,cherry,clerk,allergy
战后,postwar,postmark,poster,postman
不能克服,insurmountable,browbeat,detour,nominate
开创性的,pioneering,poultry,vane,steal
泵,pump,trump,jump,pulp
同情,sympathize,spare,an understanding,pardon
亲手抓的,hands-on,debris,grin,appertain
概念,concept,conceit,contempt,concert
接近,contiguous,contagious,continuous,not less than
保证,guarantee,guaranty,guarantor,once again
堆积,stack,staff,stick,jack
（使）反跳,bounce,ounce,nonce,once
破坏,ruin,bun,gun,rut
格格声,rattle,dapple,bask,duffer
投票者,voter,loiter,utter,peter
黏液,slime,slide,side,slimy
来复枪,rifle,trifle,rile,Bible
改建,facelift,break ground,lay a foundation,to build
相反,contrary,contrast,honorary,contract
海湾,gulf,rule,gush,gulp
煽动,provocative,to make fun of,press for payment of debts,order subject about
图解,graphic,graphite,graph,reference
所有权,proprietorship,power,copyright,power
反常,eccentricity,laughable,comical,health
仪式,rite,note,rife,write
极好,terrific,terrify,sanitation,frill
标本,specimen,species,specie,acid
(士兵或徒步旅行者用的帆布或皮制的)背包,knapsack,snow,nightshirt,enter
都市人,urbanite,resident,ethnic Chinese,overseas Chinese
无数,innumerable,arch,oblate,circumference
健忘症,amnesia,magnesia,amnesty,yacht
理论上的,theoretical,turnstile,pyramid,turf
榛树,hazel,hovel,hare,hate
扩大,expanding,to rearrange,to cut over,to expand
代表,represent,present,reprehend,to be reflected in
突然,abrupt,abduct,erupt,brunt
无数,countless,countess,doubtless,pointless
穿透,pierce,piece,fierce,perch
易受伤害,vulnerable,venerable,coin,concession
补偿性的,compensatory,ordinal,axial,Japanese
屈服,succumb,tame,injure,mediate
富有表情,expressive,oppressive,excessive,expensive
跳跃,leap,leak,heap,flap
食橱,cupboard,effect,shoestring,roulette
笨重,cumbersome,softly,heavy,old 
预防措施,precaution,fascinate,to be fascinated,embarrassed
阻塞(道路、通道等),obstruct,construct,instruct,abstract
主管,supervisor,to conduct,to have a holiday or vacation,captain
颠覆性的,subversive,trance,lacerate,aura
发亮,shining,sob,refraction,diffraction
窗格玻璃,pane,lane,canoe,fate
南瓜,pumpkin,bumpkin,tomato,carrot
成褐色的,brownish,curd,monopolize,genial
失去平衡,overbalance,intoxicate,tollgate,Britain
娱乐,entertainment,to play mahjong or cards,to appreciate,art exhibition
潮湿,moist,foist,hoist,mist
方法,approach,reproach,routine,neutral
玉米,corn,cure,earn,coin
倾斜,sloping,glide,re on,soar
英雄传奇,saga,virile,histrionic,ventricle
风箱,bellows,bellows,case,mailbox
荒凉,barren,barred,barrel,barrow
教育,education,adulation,seduction,reduction
根除,eradicate,predicate,radiate,cause to perish
水汽,vapor,paper,vapour,vapid
贴金箔,gilding,to read,read newspapers,imitation
传染病,epidemic,endemic,pestilence,frequently-occurring disease
装饰,adorn,adore,anon,adjourn
行政,executive,elective,execute,execution
过时,outdated,pretty and flirtatious,originality,currently available
视觉,vision,fusion,revision,pinion
大提琴家,cellist,inside,ungainly,maiden
突出,protruding,bare,overhang,expose
拒绝,rejection,rebuff,to allow,declare to be at fault
合乎逻辑,logical,comical,local,lexical
有害,harmful,careful,artful,earful
深刻的印象,imprint,print,implant,misprint
描述,portray,portrait,poetry,Fortran
汉堡包,hamburger,birthday noodles ,maize or millet pancake,sesame butter etc
织巢鸟之一种,weaverbird,mercy,thresh,mumble
壁架,ledge,edge,wedge,sledge
占用,appropriate,carry away everything,valuable,contain
合并,coalescence,collapse,to have a reunion,married
环绕,encompass,cross,to blend,be separated by 
冠军,champion,enthusiast,example,champion
宣布,announce,announcer,renounce,denounce
反对,objection,objector,injection,subjection
不懂事故,unsophisticated,more than,solely,on the whole
明智,sensible,tensile,insensible,senile
导致,cause,pause,cube,course
有义务的,obligated,sail,masterly,moss
处罚,penalty,realty,penal,to expel
易受影响,susceptible,specific,tractable,poultry
必须做的,compulsory,tablespoon,rut,abundance
新纪元,epoch,pock,posh,porch
财政,financial,financier,event,postal
轶闻,anecdotal,homosexual,impediment,sextant
新陈代谢,metabolism,remodel,to cut over,reorganize
一副（纸牌）,deck,dock,neck,dew
使安静,lull,pull,null,gull
气象学者,meteorologist,execrable,void,cold
橡胶似的,rubbery,diction,entertain,annual
体操,gymnastic,test,to do physical training,to bring up
悲叹,complain,complaint,while others are not looking,to excite
成功,fruitful,trustful,fitful,not do one's best
讽刺,satiric,smear,resistance,fig.: wonderful!
节约,frugal,regal,brutal,feudal
象征学,symbology,entrance,chary,invisible
剧团或文工团,ensemble,dwindle,miscreant,memorial
化妆品,makeup,outside,barometer,crystal
独唱曲,aria,low key,rhythm,frequency modulation
电灯泡,bulb,pulp,balk,bulk
复制,replicate,explicate,duplicate,triplicate
支持者,proponent,prominent,voter,servant-girl
感情主意,sentimentalism,random,go down,display one's slight skill before an expert
厨房,culinary,luminary,urinary,classroom
报幕员,announcer,announce,employee,supervisor
游牧,nomadic,nomad,foster,to rear
失察,oversight,overnight,overweight,supervise and urge
星罗棋布于,dot,bet,cox,fop
打火石,flint,cling,lint,lift
注入,infusion,incision,incursion,confusion
随便,haphazard,therefore,in addition,thus
类比,analogy,anatomy,apology,analogue
甲壳动物,crustacean,poikilothermal  animal,ion,electron
清楚,distinctly,consciousness,forget,to remember
魔术师,magician,musician,prophet,laborer
丰满,chubby,hubby,stubby,shabby
剖面,profile,promise,profit,profane
结构复杂,complicated,place,thousand,palatial
漱,rinse,range,vine,cringe
适当,decent,decant,descent,defect
超心理学,parapsychology,peckish,marvel,festival
巧妙,smart,swarm,smack,start
使人兴奋,exhilarate,lawsuit,challenge,bust
专业,specialized,external,original,national
心理学,psychology,astronomy,engineering,research
写作等的)题目,theme,there,these,home
变迁,flux,flow,glum,flue
开垦,reclaim,proclaim,declaim,exclaim
吊裤带,suspender,suspend,suspense,surrender
粘的,sticky,stick,stocky,stingy
伴奏,accompaniment,to play,to accompany ,to play or strum a lute or other stringed instrument
尊敬,veneration,venerable,empty out,to yearn for
比赛,tournament,ornament,general,horse race
爱好,penchant,spoil ,misunderstanding,loyal to
按照惯例,conventionally,mister,changeable,petty
妨碍,hamper,pamper,hammer,sapper
威严,majesty,modesty,solemn,jumpy
坚决,resolute,absolute,resolve,desolate
军团,corps,core,cope,cos
收缩,shrink,shrine,shank,shriek
先天,innate,intake,inflate,inmate
固定设备,fixture,mixture,figure,future
症状,symptom,idea,indicator,whereabouts
讲道,discourse,discourage,disburse,chat
突出,projecting,naked,to cover,to raise
美味,delicious,felicitous,religious,malicious
英雄品质,heroism,heroine,heroin,egoism
缺乏,deficiency,deficient,efficiency,cannot
果肉,pulp,up,pomp,prep
微不足道,trivial,rival,trial,never mind
卫生,hygiene,hygienic,tense,a land swarming with disaster victims
消磁,demagnetize,multipolarity,automation,sentimental
确信,convinced,adore,confidence,take to heart
凭直觉地,instinctively,repairable,shotgun,biscuit
援助,assist,assert,fascist,casuist
效率,efficiency,deficiency,efficient,overnight
极好,sensational,be the very image of,chase the wind and clutch at shadows - make groundless accusations,smart
唤醒,arouse,rouse,ruse,carouse
语言学,philology,research,linguistics,engineering
舞蹈指导,choreographer,stupor,aroma,treble
环境,milieu,appearance,air,boundary
浮华,flashy,flash,flask,slash
十字路口,intersection,border checkpoint,gate,ferry
腐烂,decomposition,quick-freeze,cool off,to bear
污染物质,pollutant,insolent,pleasantry,peruse
大山洞,cavern,cover,caper,waver
协奏曲,concerto,conceit,convert,concert
手摸时有感觉的,textured,membership,underdone,cony
拖长,prolong,proton,to inflate,to spread
植物的茎,stem,seem,slim,stump
自由,available,to the greatest extent,unmanned,haven't
多样化,diversification,industrialization,automation,emotional
新奇,fancy,fact,zany,franc
贫困,poverty,puberty,novelty,property
计算,calculation,take rough measurements ,to calculate,to imitate
忍受,abide,oxide,aide,above
特殊,distinctively,pretty good,marvelous,adopt an original approach
海市蜃楼,mirage,forage,dirage,silage
出席,attendance,attendant,absent,deoxidation
讲述者,narrator,narration,narrate,barely
转变,transformation,to repeat,to develop,variation
咖啡壶,coffeepot,chopsticks,teapot,pot
前辈,predecessor,seniority in the family or clan,voter,peer
塔,tower,towel,flower,lower
茶碟,saucer,saucy,cancer,sauce
恼人,aggravating,be unpopular,moving,to be rich in
财产,propery,oil  price,estate,price
繁殖,propagate,undomesticated,lay ,alive
角色,character,charter,under,other people
漫游,roam,poem,room,foam
紧急情况,urgency,agency,urgent,currency
最低限要求者,minimalist,bowl,aeroplane,engineer
精疲力尽,exhausted,to pant,lazily,hold one's breath
革命,revolution,evolution,resolution,devolution
惊叫,exclaim,reclaim,declaim,explain
庇护,shield,child,yield,shred
收获,harvest,harness,earnest,harvester
容忍,tolerant,tolerate,tolerance,to endorse
省去,omit,oil,mat,kit
工业化的,industrialized,primate,entourage,wireless
被太阳晒成古铜色的,sun-bronzed,February,extra,hometown
使潮湿,dampen,dumper,damper,hamper
繁殖,proliferate,alive,undomesticated,breeding
人造丝,rayon,bacon,dragon,raven
冲洗,drift,adrift,raft,draft
参数,parameter,perimeter,barometer,volume of trade 
(墨西哥和美国西部产的)叉角羚,pronghorn,moderate,respectful,squat
好客,hospitable,hospital,not feel ashamed to ask and learn from one's subordinates,venerable
稳定性,stability,stabilize,ability,liability
注释,commentary,momentary,quote,postscript
解除,exemption,put an end to,surmount,brush
能力,competence,competent,high technology,conception
建立,erect,reject,defect,eject
主要产品,staple,stare,sable,stable
喇叭,trumpet,trumpery,trump,hyphen
登上,surmount,surround,go on ,to come
遗产,legacy,lacy,legal,legate
圣歌,anthem,them,panther,another
授权,authorize,authority,entrust,to give 
勇敢,intrepid,frail,keen,be slovenly
小屋,cabin,carbon,satin,robin
(生物)群落,community,communist,immunity,communism
名声,repute,refute,depute,respite
银行家,banker,beaker,banter,hanker
电路,circuit,circuitry,circus,biscuit
行走,tread,bread,spread,trend
灌木,shrub,shroud,cherub,shrug
犀鸟,hornbill,partridge,lark,nightingale
胃口,appetite,petite,appetizer,usage amount
恭维,compliment,complement,compliant,no matter what
整齐,neat,wheat,fat,meat
合成,synthesize,synthesis,mixture,average
水晶,crystalline,protein,crystal,butane
垂直,perpendicular,languish,parallel,stout
粗心,careless,ageless,tireless,caress
光线,ray,rely,raft,reap
分界线,boundary,bounder,foundry,destination
粘滞,viscous,punitive,constructive,compatibility
持久,enduring,haul,earnest,idleness
轨道,orbit,grit,habit,orb
旷课,absenteeism,to read,to study abroad,read newspapers
开发,exploitation,pay,pay an overdue tax,contribute
确实,assuredly,at all,simply,approximately
包,wrap,tram,crop,raw
可靠,reliable,readable,liable,pliable
非关联的,nonrelevant,masturbate,rue,bulb
刺激,excite,excuse,excise,exile
顽强,dogged,courageous,dare not go one step beyond the prescribed limit,frail
士气,morale,amoral,mirage,moral
病毒,viral,visa,final,vital
服装,garb,jamb,card,mar
巡回,itinerant,itinerary,to take shape,to follow the same road as
呼吸,respiratory,vomit,hold in the mouth,snore
织锦,tapestry,to train,serge,brocade
独占,monopolize,monopolist,remote control,give somebody a task
微观世界,microcosm,north,hemisphere,volume
体操,gymnastics,gymnastics,support,foreign hammer
下降,descend,distend,descent,decent
算数,arithmetic,break faith with somebody,to put into practice,to violate an agreement
路,pathway,railing,banister,stair
抑制,constricted,sanctions,restrict,to step across
加强,strengthen,strength,be further intensified,to improve
总统任期,presidency,residency,president,residence
承租人,tenant,recant,enact,pendant
污染,pollution,solution,collusion,to give rise to
攀登,ascend,append,accent,ascent
（公共、环境）卫生,sanitation,animation,agitation,habitation
遗产,inheritance,wealth,movables,property
望远镜,telescope,telescopic,sunglasses,microscope
绒毛,fluffy,plumage,felt,tree bark
联系,connect,cornet,convent,concoct
运转,functioning,swing,roll,aftershocks
通货膨胀,inflation,infection,infraction,deflation
挫败,frustrate,to close down,success,crumble
强烈,intense,incense,intend,intensive
能力,ability,stability,nobility,utility
排气,exhaust,to show tender care for,carry on one's shoulder,to write
海底山,seamount,hurdler,monsoon,chuckle
攀登,scale,scare,sable,same
赤字,deficit,defect,depict,deficient
脚趾,toe,mode,re,tot
晾干,air,hire,bird,ash
否决,veto,fete,hero,veal
生牛皮,rawhide,leadership,visor,catalyst
宣布,declare,deplore,deflate,declaim
不规则地,erratically,oneself,backside,aubergine
蚱蜢,grasshopper,fiery dragon,spider,butterfly
壮观,majestic,occasion,spectacle,marvel
（模仿性的）嘲笑,mock,more,muck,cook
幽默,humorous,timorous,numerous,amorous
口头,verbal,vernal,veal,venial
花瓣,petal,peat,metal,pedal
竞争,rival,tidal,ritual,drivel
盎司,ounce,mince,dunce,pounce
非常敏感,hypersensitive,clock,fop,sequence
写作,composition,imaginary,statistics,to reason by analogy
汽油,gasoline,vaseline,baseline,gas
恐怖,horror,borrow,error,torpor
使磁化,magnetize,magnetism,magnetic,cornea
解冻,thaw,chew,haw,trap
范例,sample,simple,ample,smile
家畜,livestock,sacrifice ,farm animal,almond
使商业化,commercialize,before,hygienic,shirk
重新计划,reschedule,magnet,litter,jiff
未开发的,unexplored,extremist,die,dock
简单,plain,pair,plaza,train
高原,plateau,plateful,plate,the surface of the river
珠宝,jewelry,coral,bracelet,lace
弓,bow,mow,go,bar
标度,calibration,openness,sensitivity,hardness
说起,mention,motion,munition,tension
不成比例,disproportionate,digestive,betray,recompense
便利,handy,dandy,bandy,happy
线,thread,threat,tread,three
居住,reside,residue,resign,revise
暗的,dismal,dismay,visual,dispel
反对,opposition,deposition,position,exposition
不满意,discontented,goose,schoolboy,ditch
不幸,misfortune,luckily,things don't turn out the way you want or plan,break out
扭矩,torque,torture,tongue,barque
乱丢垃圾,litter,otter,titter,blister
不合时令,unseasonably,gorgeous,prevalent,shabby
飞行员,aviator,steersman,seaman,astronaut
树懒,sloth,slosh,slot,cloth
公平,impartially,rash,develop,act in an arbitrary fashion
日光,sunlight,slight,skylight,incandescence
学习,assimilate,field work,to launch,make-up examination
包含,embody,moody,embed,body
引力,gravitation,violent,pressure,vigor of style in litery composition
危险,dangerous,laborious,miserable,safety
教义,doctrine,physical,truth,pathology
召集,rally,ally,all,racy
等同品,equivalent,view,kilocycle,spew
抽打,lash,lame,lark,mash
解散,dismiss,discuss,name,receive
（食物等）变质,spoilage,burst,empty out,tear up 
古生物学者,paleontologist,muddle,help,value
信心,confidence,confluence,confident,conference
牙科,dentistry,lesson,a required course,algebra
夜的,nocturnal,symphony,serenade,Beijing opera
丰富,abundantly,soak,appreciation,to concern
附带,incidentally,unconsciously,intentionally,as one wishes
迅速,swiftness,too soon,evening,gallop
胰岛素,insulin,root of herbaceous peony ,borneol,laxative
投票,vote,rota,mote,dote
灵感,inspiration,sensibility,emotion,malice
摇曳,flickering,shine,sob,scattering
排列,arrangement,to line up,be decorated with lanterns and colored banners,to extend 
收回,withdraw,withdrawal,name,dissolve
想要,desire,defile,reside,deride
毛皮,furry,rubber,nylon,polypropylene fiber
天然泉水,springwater,talent,wiper,pact
娱乐,entertain,uncertain,art exhibition,a finger-guessing game
柱,pillar,pillow,killer,pollard
利息,interest,intersect,interject,interact
外来的移民,immigration,undulation,woolen,colonist
侵犯（他人土地）者,trespasser,complicity,irrigation,convoke
苍白,pale,pole,pare,bale
规划,layout,lout,about,to plan
商业,commercial,farming,telecommunications,enterprise
立方体的,cubic,cubicle,civic,curio
个人主义,individualism,humanism,selfish departmentalism,money worship
镍,nickel,nicely,nice,ticket
推进,propel,probe,trowel,prop
跨越,span,impassable,inexpensive,suppress
坚实,squarely,feeble,interesting,coarse
种植园,plantation,plantain,Garden of Eden,pyramid
更可取的,preferable,alteration,fisherman,ferry
自满,complacence,dry,mean,numerous
预期,anticipate,to estimate,look forward to,surmise
擦亮,ploished,to wash,to clean,flit
袭击,raid,avid,rape,brand
短剑,dagger,jogger,hanger,swagger
点燃,ignite,incite,dignity,finite
危险,risky,confront a powerful enemy,help relieve ,public security
困扰,besiege,believe,siege,beige
自愿,volunteer,pay attention to,be unable to,should not
海星,starfish,tarnish,white dwarf,planet
盐度,saltiness,illumination,transparency,dynamism
葡萄藤,vine,vane,wife,vide
连续,consecutive,unlimited,without end,at every turn
规则,regulation,revelation,reputation,relation
突然抓住或握住,snap,nap,swab,snare
随意,liberally,doesn't exist,exhaustion,jolly
抵抗,resist,resort,revise,desist
考古学,archaeology,dynamics,engineering,astronomy
过剩,surplus,surpass,can't tell how many there are - there are numerous similar cases,rugged
不停,ceaseless,unbounded,take the lead ,to link
玷污,disgrace,displace,distract,struggle
凤梨,pineapple,plum,grape,strawberry
不满,discontent,disconcert,disconnect,be relieved
废奴主义者,abolitionist,manager,terrific,bulge
描写,depict,evict,demist,depot
冷藏,refrigeration,sew,stockpile,to keep
反映,reflection,election,selection,repletion
弊端,drawback,personal gain,discrepancy,formidable
骨干,backbone,backbite,inexpensive,it looks all  right
举止,behave,leave,beehive,behalf
愤怒,resent,repent,decent,recent
盐分,salinity,predicative,predicate,maxim
辛酸,bitterness,mixed feelings of grief and joy,painful,jubilation
汹涌,surging,robust,lit.: dragon flies, phoenix dances,promising
无可匹敌,unmatched,inflexible,ingredient,lake
过早,premature,armature,creature,rile
职业,vocation,vocational,location,vacation
开始,threshold,new term begins,start building,to start
自省,introspective,pay attention to,cannot get,look cold and indifferent
血统,lineage,vintage,lineal,mileage
新生,revitalization,stand up,decay,decline 
排外,exclusively,touch,kill with poison,stab in the back
舒适,cozy,to plan,to meet ,comfort
使膨胀,dilate,late,dilute,dirage
使隔离,isolate,violate,inflate,desolate
美味,tasty,natty,trusty,testy
抱怨,complaint,compliant,complain,have a gnawing regret
要塞,fort,fob,feat,rout
涉水,wade,ware,shade,fade
被日光照射了的,sunlit,pudding,inning,bow
爬行动物,reptile,textile,retire,revile
邮政,postal,hostel,coastal,portal
缺乏,meager,superfluous,not worth,deficit
使恐怖,terrify,petrify,testify,terrific
佣金,commission,omission,compassion,salary
抗生素,antibiotics,amoeba,vitamin,borneol
渗出,ooze,ode,oz,dozen
复写,duplicate,replicate,duplicator,explicate
路线,itinerary,itinerant,snare,limit to
耕种,cultivate,captivate,culminate,cultivator
包租,charter,barter,chatter,character
雕刻,sculpt,to make a definite diagnosis,portrait,to draft
缺口,crevice,revile,revise,revive
缩短,abbreviate,soak,additional,shrink
（门等）铰链,hinge,tinge,shingle,hike
蛋壳,eggshell,shell,liver,eggshell
去色,bleach,breach,beach,bleary
（言语、举止等的）文雅,refinement,retirement,simple and unadorned,heroic
(大学)毕业生,graduate,gradual,radiate,beginning student
职业,occupation,accusation,advocate,project
追踪,track,truck,trade,rack
动机,incentive,intensive,invective,position
胡桃,walnut,want,wallet,pineapple
在…方面发动革命,revolutionize,shotgun,kitten,cadge
照耀,shine,whine,think,shin
至高无上的权力,supremacy,rivet,personify,corporate
表现…的特色,characterize,racial,widower,rule
残余,residue,reside,rescue,beside
法庭,court,curt,couch,count
剽窃,plagiarism,abduct,to bribe,oppress
开拓,exploit,explode,explain,export
可塑,malleable,convince,upbringing,neutral
灵活性,mobility,machine,wise and farsighted,dare not go one step beyond the prescribed limit
不可渗透,impermeable,composer,sweat,sophism
化合物,compound,confound,impound,protoplasm
移动,migrate,migrant,emigrate,immigrate
斜坡,slope,sloth,scope,rope
有灭绝危险的,endangered,clothe,opal,vodka
混合,mingling,intersect,transmission,to surround
由地震引起的,seismic,loose,supersede,cavy
灌溉,irrigate,frigate,arrogate,exploit
各种,various,vicious,curious,vicarious
苹果酒,cider,miser,cinder,wide
研究生,postgraduate,university and high school students,student studying abroad,graduate 
火柴杆,matchstick,puff,belly,bedevil
在伦理上,ethically,lantern,personable,whale
木材,lumber,slumber,plumber,ember
