#word,meaning,option1,option2,option3
重新点燃,rekindle,saucer,jerk,emancipate
虚弱,wan,war,saw,band
哄笑,guffaw,mature,germinate,to have the ears of grain come up
耀眼,lurid,lucid,florid,curio
重建,reconstruct,to establish,to establish diplomatic relations,settle
充气,aerate,narrate,pirate,rebate
奔流,flush,push,blush,lush
骑士精神,chivalry,war,larceny,baize
婚姻(生活),matrimony,distance,judge,harmonious
破旧,dilapidation,graceful,good-looking,shabby
吸引人的,alluring,hateful,terribly,not enjoy popular support
(爱情或友谊上)易变的,fickle,sickly,tickle,cackle
自传,autobiography,chronicle,feature article,journal
乞讨,cadge,rage,cafe,badge
清洁剂,detergent,emergent,deterrent,venom
溯及既往,retroactive,limit,reverent,warpath
大草原,prairie,praise,pathetic,elect
呈锯齿状,serrated,evidence,storage,clippers
用计谋战胜或规避,circumvent,piss,payee,purser
羊皮纸,parchment,parchment,statistical form,notebook
冷静,phlegmatic,tranquility,easy,leisure
困境,predicament,level,circumstances,hell
摄取,ingestion,give something and get something in return,try to gain,to achieve
鲦鱼,minnow,reverence,requisite,sublet
排印错误,typo,type,to,tiro
表皮,epidermis,eyelid,foreskin,scalp
木头,log,hug,rob,lot
奔流,torrential,slump,carried by the current,lower
欺骗,double-cross,to hoodwink,put under one's protection,to gain by cheating
开始,initial,instil,inimical,initiate
有触觉的,tactile,tactics,ductile,pantile
滤器,colander,calender,commander,cylinder
谦虚,modest,modesty,modish,immodest
卖国贼,quisling,traitor,criminal,murderer
纱线,yarn,harm,arc,urn
中止,abeyance,weaning,to stop,armistice
集邮,philately,odor,indulgence,local style
受欺负者,underdog,underdone,undergo,sturdy
起草术,draftsmanship,obvious,danger,pernickety
厚道,guilelessness,sin,immoral,harsh
非个人的,impersonal,personal,despise,to pay attention to
贸易,mercantile,volume of trade ,import,foreign trade
多毛,hirsute,hero,bullion,detect
确定,assess,assist,possess,assert
发泄,unleash,harbor,to appear,seize
烦躁,fidgety,to take one's anger out on sb ,extremely angry,feel wronged and act rashly
排出,expel,excel,extol,easel
疾走,hie,pin,shoe,hoe
漫不经心,inadvertence,duration,to squander,careful
(医)顺势疗法,homeopathy,snap,carbuncle,almighty
猫头鹰,owl,odd,of,oil
言外之意,connotation,skill,imply ,bone
楚楚动人,taking,beautiful,glorious,pretty and flirtatious
使人震惊,astounding,alkali,racecourse,marked
不受拘束,unfettered,gall,sloth,sniff
稳定,constant,inconstant,consonant,instant
艰苦跋涉,trek,trip,tress,then
紧紧抓住注意力的,gripping,engage,radiograph,builder
灌输,inculcate,incubate,insulate,reeducation through labor
女高音,soprano,applause,tenor,accent
自动戒绝,abstain,sustain,obtain,attain
纯熟,dexterity,haul,make nothing of hardships,childish
不屈不挠,undaunted,to be indifferent,be slovenly,bold and decisive
发生率,incidence,accidence,incident,incidence of a disease
重击,sock,jack,lock,sick
消化,digestion,to cough,to have diarrhea,cold
背叛行为,betrayal,unilateral,rebut,bifocals
机敏,astute,assure,acute,assume
胁迫,duress,guess,digress,dress
削,pare,ware,ease,pave
改正,redress,recess,regress,repress
琐碎,petty,putty,pity,petite
废止,desuetude,relieve ,disband,free 
政治上不满,disaffection,subversion,to betray,to outfit with
荒原,wasteland,lowland,Western Hemisphere,North America
爱管闲事,meddlesome,indoors,restart,bifocals
干枯,sere,moisten,warm,newest
不恭,discourteous,thud,roundly,hem
皮,husk,lurk,hush,hunk
裂缝,fissure,figure,insure,tissue
充公,expropriate,behead,to quell,expropriate
能恢复活力的,resilient,wretch,musk,finery
精华,quintessence,political views,consensus,heritage
看守人,warden,darken,warn,widen
叱责,chide,hide,shade,elide
上升,orient,priest,mordent,print
欢喜,glee,sleep,lee,flee
共同,corporate,cooperate,corporal,one another
鼓掌表示欢迎或赞赏,applaud,applause,windward,distaste
受人支配,other-directed,rodent,quay,portrayal
溺爱,coddle,module,muddle,saddle
吝啬,skimpy,White ,extend ,to advance
邪恶,baleful,sin,mercy,good and honest
值得,merit,emit,media,eerie
不费力,effortless,sublime,quit,bombard
神志清楚,sane,salve,song,cane
敞篷车,convertible,racing bike,trolley,motorcycle
事与愿违,counterproductive,cover a retreat,imprison,reap what one has sown
神鹰,condor,enable,machine,upstream
不纯,impurity,impunity,purity,immunity
深奥,recondite,reconcile,fluent,initial
洞察力,perception,deception,exception,perceptive
疑虑,misgiving,approve,half-believe, half-doubt,confidence
心烦意乱,distracted,be outraged by an injustice,ashamed,discontented
嘲弄,gibe,glide,dike,vice
纺织品,fabric,cambric,rubric,vessel
取消律师资格,disbar,weird,either,transistor
溶解力,solvency,ensign,plaintive,expectancy
肉体,carnal,vernal,carnival,cardinal
沉闷,tame,make,lake,camp
疏忽,negligence,concentration,sag,willing to help but unable to do so
监护,tutelage,escort the Emperor,public security,wait upon
毁坏形状或外观,deform,inform,before,reform
恶名声,opprobrium,fraught,malicious,sentinel
变小,dwindle,swindle,twiddle,twinkle
北欧古代文字的,runic,part,underrate,conqueror
薄纸,tissue,issue,fissure,tussle
让步,concede,concept,conceal,convene
叛教者,renegade,White bandits,assailant,butcher
内在,intrinsic,extrinsic,outdoor,indoor
三段论法,syllogism,since,cavil,mop
调解人,moderator,eyewitness,to stand for,defendant
(空气)不新鲜的,stuffy,stuff,stiff,scruffy
拒绝,naysay,to allow,to encourage,promise
合适的位置,niche,cache,ache,nice
保留,retain,obtain,detail,detain
群岛,archipelago,delta,Central America,peak
摧毁,devastate,recovery ,prevail,stage a comeback
不喜欢,dislike,holler,dearth,noun
无法抗拒,irresistible,marauder,privileged,unbroken
古代,archaic,arctic,armchair,archaism
磨刀石,whetstone,lever ,funnel,knife
搁浅,stranded,develop simultaneously,to stop,to relieve pain
笨拙,ungainly,sensible,flexibility,silly
删除,expurgate,adorn,publish,to correct printing errors
下流,scurrilous,seductive,genuine,nobly
摘要,synoptic,handwriting,writing on the blackboard,postscript
断裂,rift,end breaking,bury,break apart
喜好,relish,polish,realism,remiss
犯错误,err,enter a country,haunt,to input
婚姻,conjugal,conjugate,anecdote,news
才华横溢,scintillating,smatterer,be ignorant and incompetent,clever
花哨的小玩意儿,bauble,gable,ramble,marble
深不可测,unfathomed,narrow,tiny,big and small
好处,virtue,virile,virtual,virus
避开,eschew,screw,chew,contraception
会合,convergent,to shake hands,to have a reunion,as a large crowd
陈词滥调,clich,unalterable truth,expression of  opinion,qualified word
秘密会议,conclave,concave,conceive,conclude
凝视,gaze,grace,game,sale
倒脂油于(烤肉上,baste,taste,babe,haste
委派...为代表,delegate,relegate,elevate,delete
泥龟,terrapin,confirm,restraint,injurious
收入,proceeds,surplus,penalty,cash
浸透了的,sodden,apocryphal,enigmatic,prig
勤奋,sedulity,in charge of,passive,diligent
贪财,avarice,literal: get an inch, want a foot,seductive,philistine
人口稠密,populous,telepathy,droop,recompense
运动,locomotion,locomotive,current,convection
(作品等)体系,scheme,schema,shame,theme
不洁,squalor,equator,squalid,squall
词典编纂人,lexicographer,spank,cultivate,sachet
饱经风霜的,careworn,dust,aim,premium
宣传,publicity,duplicity,publicize,call out
不规则的,offbeat,crush,efficient,dialect
树脂,resin,remain,rain,rein
刽子手,executioner,counter-revolutionary,churchman,apostle
草书,cursive,lean type,a vowel followed by a nasal consonant,user of words
隐士,anchorite,Mencius,Nobel ,Newton
突袭,inroad,road,unload,byroad
共同做的,concerted,sombre,itinerary,hue
挑逗,flirt,flier,blurt,fit
教学纲要,syllabus,syllable,mothball,electric
含蓄,implicit,explicit,implicate,simplicity
有效,efficacious,no use,inwardly,faint
发臭,stink,shine,stark,stint
像尸体的,cadaverous,grey,tan,brown 
诅咒,malediction,strife,abuse,competition
围巾,scarf,start,scar,scurf
好像真实,verisimilar,uninhabited,cannot go so far,unexpectedly
固定某物,fasten,fatten,paste,listen
精神抖擞,mettlesome,to arouse,tired,to take a breather
严峻,grave,gravel,gate,grade
勾引,seduce,deduce,reduce,adduce
撤消保密,declassify,offertory,rivalry,transcribe
骚扰,infest,infect,infant,inert
替代,vicarious,various,victorious,vicious
(寒风)刺骨的,piercing,culture,unwind,deface
同形异义字,homograph,painful,notable,oil
付款,defray,defeat,betray,dearly
剩余物,remainder,reminder,cos,asphyxiate
愿意,disposed,inadvertent,ignore,to be expert in
不炫耀的,unpretentious,silhouette,treasurer,impregnate
美丽,pulchritude,good-looking,pretty and flirtatious,gorgeous
全等,congruous,conjugal,stocky,thrice
抱怨,querulous,venerable,to esteem,accept responsibility 
易于...的,apt,aid,spot,halt
限制,hedge,heave,here,ledge
分裂,sunder,leave without saying good-bye,for a long time,alongside
女修道院,nunnery,shrine,monastery,palace hall
鲁莽,temerity,celerity,demerit,impatient
有偿债能力的,solvent,salient,convent,silent
剥掉(豆荚),pod,god,pen,ok
用手猛击,clout,clot,clock,cost
切线,tangent,pungent,agent,talent
免职,deprivation,Chinese style,to lose one's job,complacent
魅力,fascination,a nation's power,motion,strength
将某物系在(另一物)上,attach,attract,attache,attack
有光泽的,lustrous,luscious,mine,eight
浅滩,shoal,beach,Nansha  Islands,hidden shoal
水獭,beaver,leaven,dealer,never
借口,alibi,alive,alike,alien
未开发的,untapped,untoward,arsenal,tankard
松弛,relaxation,reparation,relation,good-looking
积习已深,inveterate,effusion,roof,prolific
颂词,eulogy,elegy,ecology,geology
近视,myopia,myopic,boyish,mature
汽笛,siren,size,mire,linen
具体存在,concrete,concede,contrite,socialism
辞职,resignation,military service,responsible,enter the army
贫瘠,infertility,"not even a blade of grass grows",blank space,saturation
人种学,ethnography,ambrosia,excellent,john
人口统计,census,genus,consul,censer
查出,detection,detention,deception,detective
扣留,withhold,imprison,to capture,extort a confession
突出,obtrude,obtuse,intrude,barefooted
(艺术、建筑等)过分雕琢的,baroque,fuse,trillion,straiten
裙带关系,nepotism,be irrelevant,interrelated,involve
舞蹈,terpsichorean,to play or strum a lute or other stringed instrument,modified tone,to chorus
行善,beneficent,support,express sympathy, greetings, consolation, etc.,reinforce
破裂,fragmentation,broken end,to break,destruction
慈祥,benign,ensign,feign,design
将...倒入另一容器,decant,recent,decent,cant
怨恨,rankle,take the blame,plaintive,have a gnawing regret
过激,forward,coward,foreword,onward
优雅,graceful,peaceful,grateful,shabby
阴郁,bleak,bleach,blink,plea
公平,equity,entity,enmity,equip
拳击手,pugilist,pugilism,beginning student,seed
不可相信,incredible,credible,album,occurrence
痛饮,swill,spill,spell,swell
植物学,botany,bony,bonny,notary
任命(神职),ordain,origin,organ,train
(四指套在一起拇指分开的)连指手套,mitten,kitten,matter,batten
暴行,tyranny,granny,tyrant,leadership authority
唱片分类目录,discography,fillet,prospect,initial
富有洞察力的,insightful,nor,tantamount,majority
长篇的攻击性讲话,tirade,tide,parade,mirage
开心地笑,chortle,decamp,scum,melodrama
含盐,saliferous,lonesome,wisdom,kangaroo
受惠者,beneficiary,bastardize,ash,gang
活泼,racy,ray,hazy,rash
(宗教,bigot,horseplay,giveaway,chlorinate
整洁,shipshape,filthy,miserable,dignified
配偶,mate,matted,mace,pate
节约,frugality,extract,enough,equilibrium
将某物排列在一条直线上,align,malign,assign,alien
叙事诗,epic,emir,evil,pick
(豪猪等动物的)刺,quill,direct,pert,he
旷野地,moor,honor,door,mode
家系,pedigree,people,peer,ape man
揉制,knead,sneak,ahead,head
平静,serenity,treat somebody fairly,smooth and steady,find it embarrassing 
伸展,stretch,stitch,wretch,screech
四足兽,quadruped,quadruple,decimal,riotous
达到,attain,again,strain,retain
误导,misguide,disguise,to lead,makeup
成直线的,linear,liner,lineal,linger
地形学,topography,typography,piteous,batter
必需品,desideratum,souvenir,house pet,antique
要价过低,underbid,glad,continuous,cargo
天然热喷泉,geyser,who,shiftless,proclivity
敏锐,penetrating,inflexible,silly,to have good eyes
页岩,shale,limestone,pegmatite,earth
小溪,rivulet,rivet,pond,lagoon
可解救的,extricable,inveterate,picture,degrade
似蛇般绕曲的,serpentine,turpentine,next,specie
报酬高的,remunerative,centimetre,circumvent,boyfriend
隐藏,obscure,obscene,evade,fix one's eyes on
有毒,poisonous,poisonous,tobacco,hemp
宽恕,remit,emit,credit,admit
风采,mien,fin,moan,pied
预算,budget,fidget,bucket,budge
旧习惯),reversion,transfer,weak,recovery 
染色,stain,train,spin,stair
综合,synthetic,synthesis,summary,research
重新安置,relocate,stop over,custom,move 
证明,attest,detest,arrest,attend
痛苦,gnawing,gloomy,mixed feelings of grief and joy,great celebration
退潮,ebb,eel,fob,end
掩饰,belie,belief,bole,bee
未意识到,unaware,unawares,aware,lacy
孢子,spore,cereal,edible tree fungus,spore
调味品,condiment,confident,continent,fermented bean curd
呼出(气),exhale,exalt,inhale,exile
美丽,gorgeous,currently existing,magnificent,fashionable
讽刺,satirize,satirist,satire,libel
美食法,gastronomy,astronomy,washstand,gather
吞下,swallow,wallow,shallow,hallow
意思明确,univocal,cash,abate,delete
悲悼,deplore,declare,depose,explore
有恶意的,malevolent,other,kindly ,honest and sincere
应允,accede,secede,access,accept
步法,gait,raft,grit,tact
赏心悦目,delectable,preparation,conspire,to meet 
影响深远,far-reaching,ark,exactly,fruitless
依法逮捕,arrest,harvest,crest,wrest
填泥料(用以填塞裂缝和洞穴),spackle,feminism,tomfool,signatory
(信息的)反馈,feedback,gale,anneal,push
分离,dissociation,to divide,to shake hands,to compile
救助,succor,subsidize,comfort,express sympathy, greetings, consolation, etc.
附加物,appendage,fur,allusion,rotation
(色彩等)弥漫,suffuse,diffuse,suffice,accretion
滑行,glide,elite,olive,slide
挤出,extrude,saving,sufficient,to waste
疯狂,possessed,be in a coma,blockage,not benevolent
宽敞,commodious,extensive,stout,deep
气化,gasification,pathological changes,become rigid,come to the surface
拖着脚走,scuff,relegate,trim,roomy
古怪,outlandish,magical mystical,state in writing,peculiarity
人口统计学的,demographic,sunny,loath,gesture
大屠杀,carnage,manage,garage,carriage
(指水)略咸的,brackish,titter,fifty,vaporize
燕麦片,oatmeal,taxpayer,hyperbolic,reproach
催化作用,catalysis,crab,historical,diligent
残余,residual,riddled with gaping wounds,sag,chip
卑贱,mean,mar,bean,dean
拙劣的工作,bungle,jungle,mingle,wangle
传播,diffusion,cross,hereditary,rumor
(复)拍板,clapper,tunic,stroll,telex
低温,cryogenic,travel route,amplitude,temperature
是...的典型,exemplify,exemplary,spacecraft,irritation
不遵守,nonobservance,appetizer,wintry,chiropody
统一,unification,married,"Unity of will is an impregnable stronghold" ,trinity
冒充内行之人,quack,duck,quick,luck
神话,mythical,book,novel,prose
(长度,denomination,bathrobe,tack,singer
应罚款的,finable,grass,confidence,horsepower
(婚姻)宣誓,troth,authentic,artful,biological
连生,accrete,plebiscite,faint,emperor
爆炸性的,explosive,expansive,explosion,expensive
感情流露,effusion,effusive,fusion,infusion
笨拙,gauche,weak,muddled,flexibility
(刀、剑)鞘、套,sheath,sheathe,heath,seat
乏味,drabness,pitiful,comical,health
长钉,spike,spree,spoke,spare
津贴,subsidize,subside,wage,pension
古怪的人,eccentric,geocentric,fishy,lair
按时间顺序的,chronological,every,tentative,permit
雪堆,snowdrift,style,storm wind,icicle
躲债,bilk,spend a holiday at a summer resort,stay away from trouble,avoid doing anything that may arouse suspicion
改变宗教信仰者,proselytizer,southerly,outspoken,equipment
不解自明,self-explanatory,stubble,castigate,riddle
期刊,periodical,periodic,newspaper,journal
安息所,haven,raven,heaven,have
恢复活力,reactivate,rear,unseat,lore
不敢想,boggle,bottle,juggle,bugle
难以想像,inconceivable,biology,mahogany,notary
吹毛求疵,captious,cautious,caption,capacious
外来,extraneous,innate skill,dependable,specialized field
现存,extant,sextant,extent,expand
令人恶心,queasy,greasy,query,easy
性急,brash,brawn,gnash,broth
对照,collate,college,pollute,collide
拖船,tugboat,aboard,large wheel,regular steamship service
可了解的,intelligible,long distance,muddled,dim
羞耻,ignominy,darkly,promising,corruption
监狱,penitentiary,arsenal,repair shop,police department
以高人一等的态度对待,patronize,patronage,celerity,hurtle
住处,domicile,homicide,docile,network station
尖刻,acrimony,cruelty,sin,open
许多,myriad,byroad,circumference,a little
特殊能力,knack,neck,slack,knock
极凶恶的,fiendish,penitent,pyjamas,broody
厌恶女人的人,misogynist,file,certainly,debilitate
外伤,trauma,trump,drama,tram
码头,pier,poser,per,pew
半球,hemisphere,hemisphere,area,system
有理由的,grounded,inventor,crater,who
无思想的,incogitant,tough,aim,layman
热诚,fervor,false,turn ,rough
高血压,hypertension,epidemic disease,focus ,arteriosclerosis
(便携式)枪支,firearm,forearm,drape,hectic
忧愁,depression,repression,oppression,expression
壁画,fresco,fiasco,fresh,simple and straightforward style of writing
冻原,tundra,Malacca,South America,southeast
拱墙,buttress,mattress,restrain,loll
使...享受,regale,hyperbolic,undermine,streamline
不威胁的,unthreatening,merchant,celebrity,narcissus
味觉,gustation,sensibility,inspiration,ill
毁损,mangle,handle,mingle,wangle
挤成一堆,huddle,muddle,curdle,hurtle
检验标准,touchstone,encore,nuzzle,purloin
不道歉的,unapologetic,rusty,flavor,hornet
打洞,perforate,percolate,prorate,perforce
榆树,elm,ply,balm,ego
无定形的,amorphous,clinical,forth,polyglot
私刑处死,lynch,lunch,bench,winch
抽象概念,abstraction,inquietude,pathfinder,whiff
模范,paragon,paradox,parasol,dragon
排他,clannish,political views,view,consensus
未被证明为正当的,unjustified,pedantry,binary,demur
单调,humdrum,queer,overflowing,routine
争吵,brawl,shawl,brash,drawl
烘烤,parch,lurch,parish,patch
有规律的振动,pulsate,palate,pulse,plate
先驱,harbinger,pioneer,the latter,the earliest ancestor
结合,weld,wend,weed,yelp
辅助,auxiliary,offer,express sympathy, greetings, consolation, etc.,appease
酬劳金,honorarium,personnel,birthday present ,prepare feed 
(人)未成熟的,callow,allow,fellow,wallow
权威人士,pundit,audit,unit,bandit
花招,ploy,a stab in the back,trump card,skill
重复,reprise,without a doubt,cannot go so far,be about to 
法庭,courtroom,Ministry of Public Security,court,factory
人造黄油,margarine,magazine,accountant,radiant
痴笑,simper,smile,snicker,weep
怨恨,rancorous,universal love,sad,love of country
辩解者,apologist,swivel,bookcase,carmine
突破敌人防线,breakthrough,tautology,treat,middleman
不锐利的,obtuse,obese,contuse,abuse
空洞的话,fustian,atomize,wake,vapour
断然拒绝,rebuff,rebuke,buff,rebut
彩色腊笔、粉笔或其绘画,crayon,rayon,craven,canyon
耳垂,lobe,robe,lone,loaf
浑身湿透,sopping,liner,native,heartache
相符,harmony,hormone,be a speculator ,not agree or tally with
性情好的,congenial,congenital,congeal,suffix
吐露(心事),confide,bonfire,confine,confuse
社会等级,caste,taste,cape,cage
衰微,declination,yes,destitute,new
投射出的物体或武器,missile,misrule,missive,misfire
青葱,verdant,variant,servant,verdict
退化,vestigial,construction,corruption,to pursue 
抢劫,pillage,village,pillar,mileage
补充,replenish,addendum,lengthen,supply again
使...狼狈,faze,deliberately create such problems,be disgraced,without a hitch
不同意,dissent,assent,descent,dissect
驯养者,fancier,handcuff,Scotland,moderation
直觉,hunch,winch,hutch,punch
缓和,moderation,modulation,toleration,federation
赎罪,expiate,excite,expatiate,expire
预谋,premeditated,profitable,Five-Year Plan,order
(性格、倾向等的)过分,exorbitance,establish,payee,salver
拘谨,inhibited,not care,be law-abiding,naughty
冲击,impact,impair,impart,intact
大炮,artillery,raillery,trigger,revolver
命令状,writ,to have to do with,leaflet,list of items
航空学,aeronautics,respectful,ardent,bulky
心智能力极低的人,imbecile,diploma,overact,tentative
驱逐,repulse,pulse,repute,impulse
偷听者,eavesdropper,fine,grovel,cockerel
符合或遵守公认的规则,conform,confirm,inform,consort
慢性,chronic,carbonic,chronicle,chaotic
据理解释,rationalize,destroyer,lark,homeland
永久,abiding,interim,short,overnight
皮肤病专家,dermatologist,camphor,front,blacklist
歪曲模仿,travesty,to fix,misrepresent,remedy defects and rectify errors
把(某物)截短,truncate,invade,glib,cohabit
公式,formula,formal,formulate,a la chinoise
(通过惩罚而使坏习惯等)改正,chasten,charter,caste,hasten
改组,reshuffle,change of direction,tonal modification,remodel
维度,dimension,diversion,dissension,scale
谴责,accuse,accursed,abuse,acute
诱人,inviting,extract,trample,to bully
在...之前,precede,recede,prelude,precept
宫殿般的,palatial,partial,miraculous,insertion
(使)驱散,dissipate,gearlever,bewilder,external
言语轻浮,flippancy,multitude,extrinsic,rafter
滑稽,jesting,pitiful,be unpopular,humorous
合唱队,chorus,chord,cirrus,cherub
含糊其词,palter,mistreatment,Happy New Year,congratulations
讽刺或滑稽的戏剧,burlesque,snooper,hoard,complicity
自本国移居他国,emigrate,emigrant,migrate,immigrate
有名望的,prestigious,hoary,air,bamboozle
深不可测,fathomless,narrow,small size,open 
遗弃,dereliction,to risk one's life,implicated,to involve
拖延,protracted,it's too late ,to procrastinate,be unable to stand 
倾听,hearken,harden,heaven,hearten
阴谋破坏,sabotage,leaf,contend,idolize
丧失,privation,derivation,probation,recovery 
压迫,oppression,depression,impression,oppressive
石化,petrifaction,nuclear engineering,advocate,agriculture
引渡回国,extradite,admirable,explode,machinery
泄露,divulge,diverge,gain,advantageous
年老,senile,revile,sterile,senate
滥用,abuse,abate,obtuse,amuse
以强欺弱,bully,bull,July,surly
可信赖的,dependable,acrobat,coffee,anus
尊敬,respect,repeat,suspect,inspect
举止,demeanour,movement,defect,savage act
滑稽,jocular,ocular,jugular,secular
纠纷,imbroglio,feud,resentment,contradictory
(生理,twinge,tinge,twice,swing
化为碎片,asunder,tasteless,update,bracelet
温度计,thermometer,board,level,compass
高台地,mesa,Honolulu,Emei Mountains,peak
交织,interweave,spread fast,intertwine,intersect
标题,caption,nation,caution,bastion
舰旗,ensign,resign,design,consign
灌输,infuse,insure,inrush,refuse
好色,lewd,lawn,lest,lean
安息日的,sabbatical,stripling,maize,magistrate
搁浅,strand,stand,stank,stead
令人喜悦,agreeable,circuitry,comma,manuscript
教学法,didactics,enchantment,method of doing something,a  practice
警惕,vigilance,vigilant,sag,good-looking
金钱,pecuniary,peculiar,immovable property,real estate
方言,dialect,dialectic,deflect,dissect
表明,manifestation,to open up,clear,to come from
大量,plenitude,not stint,generous,enthusiastic
生机勃勃,vibrancy,eventful,perplex,to crowd
补足物,complement,compliment,implement,competent
挖苦,persiflage,written polemics,to smear,sneer
不光明的,underhanded,to value,bored,literal: to like the new, and hate the old
令人扫兴的结局,anticlimax,blueprint,wreckage,hand
(汽车的)底盘,chassis,classic,chamois,chastise
伪造,counterfeit,faking a modern object as an ancient one,create a disturbance,to start a fit
老练,adept,adopt,alert,agent
令人作呕,loathsome,toothsome,touching,not enjoy popular support
签署者,signatory,migratory,signature,kerchief
神秘,arcane,suspicious,inwardly,ambiguous
一群(少女),bevy,nervy,very,bed
显著,prominent,preeminent,proponent,provident
上当者,dupe,duple,cue,lure
无用,futility,satisfy the need,hard to ,ambiguous
撤回(命令),countermand,disconcert,intermezzo,propeller
背教,apostasy,overdue,dour,feel
突出,protuberant,naked,depressed,hang
止血带,tourniquet,bandage,cane,gauze
缺乏,dearth,death,earth,wealth
轻型马车,buggy,fraction,skateboard,reversible
担心,disquiet,careful,an understanding,treasure
捐赠者,donor,door,moor,honor
放荡,profligacy,weak,hero,resolute
大批离去,exodus,June,virginal,strict
特征,hallmark,formidable,selfish interest,up and down
废除,revoke,remove,rebuke,evoke
使(火车)转到另一轨道,shunt,shut,shun,hunt
争执者,disputant,distant,kinetics,maturate
有条件的,conditional,referee,steady,bliss
崇敬,venerate,generate,penetrate,enervate
用语重复,tautological,specify,trainer,reaper
割让,cession,fission,tension,session
耳环,earring,earnings,darling,coral
恐惧,specter,not be fond of certain food,withdraw,curious
重步走,tramp,tram,camp,rap
偶像崇拜,idolatrous,magistrate,pond,dingy
不吸引人,unprepossessing,scowl,hoe,unreal
擦掉,erase,base,cease,ease
斗牛士,matador,ever,piquant,road
端庄,prim,prig,trim,grin
山崩,landslide,break apart,sink into,tear up 
轰动,furor,stir,to influence,waver
邪恶,iniquity,antiquity,inquiry,one out of a multitude
烦扰的行为,harassment,conveyor,scandal,readout
(活动间的)暂时休息,interlude,intercede,intrude,exceed
困境,plight,light,alight,flight
细胞学,cytology,theological,engineering,zoological
俗丽,garish,lavish,parish,radish
概述,generality,generalize,generosity,write down
慎重,measured,really,take seriously,sensitive
精密计时器,chronometer,linesman,fruitless,poppy
(医)对抗疗法,allopathy,bannal,beer,frankly
凹室,alcove,alive,alone,glove
空中,aerial,axial,retrial,material
(数学中)排列变化,permutation,illusive,theft,curl
不相关的,irrelevant,relevant,abut,vulnerable
腐败,rotten,roster,batten,kitten
罪犯,convict,convert,conduct,convince
扣押权,lien,mausoleum,cocoa,limp
继承人,heir,ear,hi,pair
可互换的,interchangeable,unaffected,puma,doubtful
手抄本,manuscript,italic,scroll,jotter
初学者,greenhorn,wing forward,beginning student,intern 
书报内容检查(制度),censorship,gem,subdivide,accrue
(使)变坏,deteriorate,recovery ,to improve,soften
傲慢,superciliousness,ice-cold,not stint,modest
残余物,oddments,function,factor,odd number
脾气坏的,cantankerous,sop,outgoing,oxidize
颓废,decadent,decent,decant,decade
巨人,titanic,titan,italic,satanic
细心,methodical,to squander,treat something lightly,tactful
悲剧女演员,tragedienne,inside,weight,ok
肌肉组织,musculature,eminent,brazen,accomplice
独奏,recital,recite,rental,decimal
撕开,rive,to pump,pluck,snap
易变,mutable,dutiable,mumble,notable
想象,fantasy,to wrack one's brains,deliberation,use one's head
变异,mutate,gradual change,suddenly turn hostile,vicious circle
忠实,fidelity,finality,infidelity,deceitful
俘获,capture,rapture,pasture,rupture
权杖,scepter,monarchial power,obligation,might
断言,assert,aspect,assent,asset
皮下注射,hypodermic,mad,expert,trounce
斜靠,lean,real,glean,jean
极化,polarization,symptom ,idea,requirement
礼拜仪式,liturgy,closure,tendon,megaphone
整洁,natty,nasty,putty,kitty
对话者,interlocutor,tearoom,cognac,intellect
代替某人行事或说话,deputize,depute,falter,lobe
木瓦,shingle,singlet,mingle,single
民防团,posse,suite,repugnance,fowl
向...吊慰,condole,console,condom,connote
流星,meteoric,meteorite,meteor,metric
机灵的回答,repartee,reporter,atrocity,apprehend
结合,coalition,volition,condition,collision
发颤音,quaver,quiver,queer,slaver
衰老,decrepit,deceit,treat as,to be
贬抑,demean,demon,mean,dean
霉(因潮湿而生),mildew,logical,slaughter,uninformed
放弃,surrender,suspender,forfeit,oblivion
斜眼看,leer,hunk,litigious,niece
可敬,venerable,venerate,vegetable,vulnerable
渴望,longing,ready,to look forward to,suppose
花花公子,dandy,handy,sandy,bandy
过分自傲,hubris,generous,strict,dull
排水,drainage,buying and selling,advocate,the world of business
为...保险,underwrite,underrate,surety,reception
释放,release,relate,relapse,reverse
意外而成功的行动,coup,cop,sup,coy
祖传的财产,patrimony,medieval,motorist,km
文雅风度,gentility,insolent,in reality,impatient
冒险,venturesome,struggle,devote one's efforts to,remedy
连锁,interlock,oblivion,influence,be irrelevant
溶解,dissolution,cooling,burnt,freeze
放纵,unbridled,shield,to deceive,despite
克制,restrained,bear,to fight against,love and esteem
变薄,attenuate,licentious,floppy,anode
颁布,enactment,publicize,congregation,remote control
编年史,annals,bannal,anneal,annual
深谋远虑,provident,provide,prominent,president
发出尖叫声,screech,breech,scratch,screed
竞争,compete,compere,complete,compel
黄鼠狼,weasel,vessel,teaser,weaken
自然力的,elemental,element,elementary,whisk
诱惑力,allure,allege,assure,failure
举行就职典礼,inaugurate,inaccurate,inaugural,dissatisfy
肿起,tumid,digestion,analgesic,to have diarrhea
吃得下,stomach,limit to,to consent,to endorse
上乘,superb,super,supper,suburb
装玻璃于,glaze,late,blaze,laze
合适,meet,west,peat,mart
轶事,anecdote,antidote,particulars,grudge
(部分地)重叠,overlap,overpay,overland,overtax
繁殖力,fecundity,gaseous,hesitant,depreciate
海胆,urchin,chin,insect,cricket
污点,blur,slur,slum,glut
期望,prospects,desire,unexpectedly,anticipate
奚落,ridicule,to vilify,tease,libel
