#word,meaning,option1,option2,option3
rekindle,重新点燃,春天,集会场所,社团
rite,(宗教的)仪式,病,活跃,其时
specimen,样品,证物,物件,禁品
molding,装饰线条,有苦味的,当…的主席,最少(小
prickle,(动物或植物上的)刺,(衣服的)领圈,贵重物品,移动
coeval,同年代的,少校,陈述,攻击
cryptic,秘密,合法,莫名其妙,不明
immerse,沉浸于,被释放,帽子(一般指有边的帽子),打猎
bracelet,手镯,首饰,刺绣,阳伞
resonant,(声音)洪亮的,意见不一,难以办成,厌倦
amnesia,健忘症,解释,触电,最后阶段(或部分)
inexplicable,无法解释,存留,靠在...上,语法(规则)
pittance,微薄的薪俸,催促,部分,九分之一
chauvinist,盲目爱国主义者,水道,秘密,管理人
reserved,说话不多,他,运动会,哭
fatuousness,蠢,门口,服务,呈现...前
jeer,嘲笑,讽刺,丑化,称赞
shibboleth,陈旧语句,实践,五十个,红色颜料
contumely,无礼,礼仪,礼节,风俗
sermonize,说教,撒(粉末等),呼吸的空气,喊
repugnant,令人厌恶,管子,围栏,以…为基础
pierce,穿过,渡过,经由,转道
overture,前奏曲,哀歌,插曲,哀乐
vulnerable,易受攻击,市,庞大,鲸
forlorn,孤独,悠闲,繁忙,安逸
ventral,腹部,胸部,腰部,马背
askance,侧目而视,东张西望,面对面,浏览
succumb,因...死亡,测验,同胞,令人满意
expressive,富有表情,蜜蜂,凋谢,摇
cumbersome,笨重,灵巧,细嫩,沉重
obstruct,阻塞,附上,堵车,毗连
emulsify,使乳化,综合,赞美,探险家
insecticide,杀虫剂,医药,阿司匹林,软膏
tire,疲劳,昂然,懒洋洋,激发
pane,窗格玻璃,活跃,达到,(尤指用沙纸)磨光
nostrum,秘方药,最低,存在,挨饿
biped,二足动物,提款,打电话,谁
stodgy,乏味,滑稽,神奇,特别
candidacy,候选人的资格,画,单个,右的
steeple,尖塔,宝塔,草地,园艺
gloom,黑暗,不朽,好看,龙飞凤舞
accretion,增加物,世纪,硫,寺
moist,潮湿,不透气,凉爽,新型
approach,着手处理,户外,其他,受伤
scythe,大镰刀,雇用,向(朝)前,瞬间
disproportion,不对称,议定,极小,热忱
mountebank,江湖郎中,帮凶,阿飞,兵痞
quadrangle,四边形,状态,大型,无形
saga,英雄故事,卷,特写,传记
barren,贫瘠,多数,荒芜,空白
titillate,刺激(某人)(尤指性欲),甘蓝,(宽)松的,楼梯
seminary,神学院,入场,计划,不常
abortive,无结果的,沦陷,崩溃,成功
eradicate,根除,屏除,横扫,战胜
drawl,慢吞吞地说,无恶意的,加汽油,奋斗
hectic,兴奋,加以,妨碍,促进
smirk,假笑,测定,愉快,学时
epidemic,传染性的,朝霞,流泪,抄写
plummet,垂直或突然地坠下,导演,惊奇,(钢笔等的)贮墨器
leonine,狮子,恐龙,海豹,蝙蝠
innocence,无辜,幸存者,不倒翁,受害者
decorous,符合礼节,剃,体育家,(学校的)操场
preview,预演,接生,下台,堕胎
stoic,坚忍克己之人,(旅行用)小提箱,观看者,嗯(说话犹豫等)
corpus,全集,字典,百科全书,年鉴
adorn,装饰,组装,制作,酿造
executive,经理,私营,接管,管理
elapse,(光阴)消逝,橡胶,一顿(饭),毛发
reparable,能补救的,右,位置,浅薄
outdated,陈旧,好看,新鲜,最新
tendentious,有偏见的,研究室,需要,后来
discontentment,不满,不安,轻松,满足
durability,持久,不辞辛苦,用功,刻苦
tremor,震动,不相干,轰动,动摇
valorous,勇敢,糊涂,智慧,坚决
imprint,盖印,速写,素描,卷轴
portray,描绘,上述,宣示,授意
familiarity,不拘礼仪,级别,(水果的)核、子,考虑
wrench,板钳,圬,筛子,漏斗
denunciation,谴责,攻击,引咎,非难
commendable,值得称赞,有趣味的,黑暗,守卫
artery,动脉,丹田,骨髓,脉搏
appropriate,拨款,记帐,转帐,结帐
secluded,隐遁,衬托,通航,失效
evict,(依法)驱逐,尚,俱乐部,评论
setback,挫折,关门,沦陷,崩溃
uproar,喧闹,孤独,衰退,零落
encompass,包围、围绕,才,足踝,接见
derogate,贬低,得意,中式,当选
tango,探戈舞,摇摆,电影,芭蕾舞
champion,拥护,送别,暌,拜别
nuptial,婚姻,难题,轶事,新闻
announce,宣布,指令,监控,提倡
licentious,放肆,安分,大方,生气勃勃
contend,与对手竞争,盗窃,使得,统一
objection,厌恶,爱憎,爱国,抱恨
sensual,肉欲,宿怨,欲望,不时之需
unsophisticated,不懂世故,光是,通通,完全
sensible,明智,脆弱,八面玲珑,糊涂
therapy,疗法,巫术,外用,乘法
din,喧闹声,屡次,指望,向前
illustrious,著名,暗无天日,不朽,无名
denude,剥蚀,腐蚀,复仇,侵害
penalty,刑罚,死刑,罪名,叛国罪
obtrusive,突出,悬垂,赤裸裸,凹陷
susceptible,易受影响,骄横,明白,不灵
compulsory,强制性的,墨镜,考虑,(音乐等)作品
truthfulness,真实,实弹,可口,名副其实
epoch,重大的事件,左手,少量,包装
philander,调戏追逐女人,困境,长度,使受伤
equate,认为...相等或相仿,跳动,游过,仍然是
metabolism,新陈代谢,切换,推广,延伸
insubstantial,非实体的,使舒适,学问,醉汉
bough,粗大的树枝或树干,对话,提供,家庭主妇
magenta,紫红色(的染料),蜜蜂窝,小,蹒跚
repulsion,排斥力,论文,两个(人或物),航空港
suffice,足够,浪费,节省,动态平衡
nonsensical,荒唐,稳健,步步为营,操切
exaction,强求,摆布,逼债,勉强
moralistic,道学气的,有经验的,仪表,外层
lull,活动暂停,地方性的,没有希望,粗
bilious,胆汁,泪水,激素,鼻涕
fetish,(崇拜的)神物,爱好者,崇拜者,先锋
irate,发怒,大发雷霆,赌气,懊丧
pathos,哀婉,大敌当前,治安,哀鸿遍野
shove,推挤,业务费用,改进,审判
stentorian,(指声音)极响亮的,在任何时候,拔出,残酷
dissipation,放荡的生活,机场,房间,支柱
emollient,润肤剂,汤(不可数),直到,在商业区
kiosk,售货亭,亭子,灯塔,坛
enchanting,讨人喜欢,广博,动人,广阔
arbiter,权威人士,君子,小丑,令人
frugal,节约,浪费,足够,抽出
patio,庭院,广场,阳台,排水沟
simplify,简化,变更,年轻化,现代化
ensemble,全体,多数,缤纷,稠密
aria,独唱曲,调频,板眼,灰尘
bulb,植物的球茎,鼠标,在远处,会
emigration,移民,职工,土著,出纳员
patriarchy,家长统治,特种饮食,要不是,令人厌倦
frigidity,冷淡,瞬间,不久,冰天雪地
befuddlement,迷惑不解,醒来,迷住,全心全意
replicate,重复,行将,随着,正值
intractable,难管,中间(部),塑料(制品),正常
unruly,粗野,爱面子,漂浮,耐烦
proponent,支持者,示威者,选民,候选人
ductility,延展性,高性能,习惯性,必要性
apocalyptic,预示世界末日的,伤心,循环,实践
pettish,易怒,遗留,对应,容易
extradition,引渡,通过,摆渡,走开
culinary,烹调,炸,取暖,氽
intestine,肠,种族,分枝,校订者
scald,烫伤,患处,毒瘤,病害
exculpate,开脱,退出,退役,脱氧
bent,弯曲,平行,憔悴,端正
minutia,微枝末节,故事,篇目,本事
piano,(音乐)轻柔的,启航,确切,稀少
aboveboard,光明正大的/地,法国人的,设备(不可数名词),州
flint,打火石,木制,石头,木材
necessitous,急需,并行不悖,供给,供应
gadfly,虻,蜗牛,黄蜂,熊蜂
ledger,账簿,手册,表册,簿记
haphazard,任意,极力,不够,有意识
monogamy,一夫一妻制,(较正式的说法)长裤,口渴,名字
analogy,类比,推理,布局,动笔
encomium,赞颂,违宪,违心,嘲笑
crustacean,甲壳类动物,问候,绷紧,流域
productive,生产,双生,分娩,褪色
overriding,最主要的,临时,按时,不迭
profile,外形,选票,否定式)任何人,集会
externalize,使...表面化,接受,使摇摆,猜测(想)
rinse,以清水冲洗,冲洗,洗刷,擦澡
illuminating,启示性的,指导,函授,传授
decent,适当,白白,手提,不便
unbidden,未经邀请,给予,喜欢,消遣
smart,痛苦,悲恸,忧虑,忧郁
decry,贬低(价值),建筑式样或风格,(生动地)描述,／
desiccated,干燥,例行,可笑,怪异
dispel,驱散,转向,变价,变速
floodgate,(水闸的)闸门,产业(上)的,分离,共同
exhilarate,使高兴,路边,轮胎,形成
specialized,专门,特此,力图,痛快
indentation,锯齿状,窗口,隘口,售票口
vituperate,痛斥,批评,保密,隐瞒
locution,惯用语,损坏,台,向…挑战
appendix,附录,节目,目录,编目
reclaim,开垦(土地),航空站,陶器制造(术),乐事
blase,厌倦,忠于,爱憎,憎恨
coda,乐曲的尾声,修补,广阔,否定式)任何人
projectile,抛射物,表达法,作出,船形物
veneration,尊敬,向往,抱屈,痛恨
desertification,沙漠化,软化,多极化,表面化
dolorous,悲哀,不亦乐乎,悲喜交集,凄惨
tournament,(旧时)骑士比武大会,桃红色,停放(汽车等),猎杀
procreate,生育,褪色,解冻,双生
augury,征兆,病象,行踪,意思
penchant,爱好,恋爱,百听不厌,相识
unscrupulousness,狂妄,淘气,果断,剽悍
barricade,设栅阻挡,只不过,农业,孙子
transfuse,充满,含水,席卷,占据
flighty,(尤指女人)轻浮的,衍变,反复,变质
alacrity,爽快,不平,同谋,打算
catholic,普遍,狭窄,广博,平衡
paroxysm,(感情等)突发,平衡,逃掉,协定
hamper,有盖提篮,兆,各处,非常
fluke,侥幸,暴发,发迹,不好
resolute,坚决,明白,脆弱,睿智
nimble,敏捷,半夜三更,兵贵神速,迟到
shrink,收缩,干,缩短,壮大
defined,定义,意思,病理,本义
innate,生来,今朝,上次,当前
insouciance,漠不关心,保重,不置可否,歧视
stray,偏离,包围,挨近,逼近
expulsion,驱逐,有待,收养,对待
bashful,害羞,哀号,哭泣,暗送秋波
exceptionable,引起反感,学时,麻烦,记录(时间、速度等)
comedienne,说笑话、演滑稽剧等的女演员,才干,新的,玩笑
discourse,演讲,列举,阐述,摆龙门阵
credulity,轻信,信仰,疑心,确信
incontestable,无可争辩,不三不四,秘密,含糊
deficiency,缺陷,裨益,优点,私利
pulp,纸浆,水泡,涟漪,清汤
trivial,琐细,对抗性,平衡,复杂
hygiene,卫生学,科研,科学,科技
psychosis,精神病,性病,暗伤,瘟疫
coagulate,使凝结,有趣味的,完满,冰
convinced,坚信不移,在…下面,挥手,原子弹
hilt,(剑或刀之)柄,铸造,快乐,剧本
cinder,余烬,财富,宝贝,鹅毛
discriminating,有辨别能力的,延迟,迟,司机
assist,帮助,慰问,补助,游说
sensational,耸人听闻,多余,不痛不痒,没关系
arouse,激发,兴奋,妨碍,施加
philology,语文学,给…洗澡,集合,宝贵
dormancy,休眠状态,纸,晚上,职位
saboteur,从事破坏活动者,放射物,他的,刺激
milieu,(个人所处的)社会环境,航行图,激烈的竞争场合,秋
hallucination,幻觉,恶心,好感,感性
mermaid,美人鱼,海龟,金鱼,鲎
archetype,原型,值钱,使焦灼不安,痛苦
decomposition,腐烂,冷却,变质,生产
misapprehension,误会,相识,爱好,未知
cavern,大洞穴,微风,麻烦,末端
concerto,协奏曲,戏剧,舞剧,京剧
choleric,易怒,满足,供应,遗留
personification,化身,独一无二,不像话,糟糕
mutation,突变,衍变,变幻,变质
explicate,详细解说,时期,浴盆,棍
pastiche,混合拼凑的作品,明星,还钱给(某人),竹子
prolong,延长,紧缩,蔓延,膨胀
slue,(使)旋转,弹丸,不完善的,电动
sloven,不修边幅的人,接受,生气,经训练学到的
ivory,象牙,假象牙,搪瓷,琥珀
ingratiating,讨好,趋奉,媾和,庇护
stem,(植物的)茎,不完全叶,树叶,红叶
massacre,大屠杀,杀人,奸淫,毒杀
available,可用,罄,照搬,用法
diversification,多样化,工业化,液化,病变
garret,阁楼,宿舍,圣殿,厂房
incubus,梦魇般的精神压力,王牌,乐趣,梦见
veracious,诚实,赤裸裸,热诚,缓和
mash,捣成糊状,令人兴奋,下雪,(道路上的)交通安全岛
abide,容忍,拥护,不予,约束
unconscionable,无节制的,尽量,至少,比较
mirage,幻影,人才,全景,背景
sling,吊腕带,项链,带子,缰绳
petrify,吓呆,店铺,软弱,备用
monotony,单调,正常,幽默,特别
fad,(流行一时的)狂热,古风,风俗,习惯
spoof,揶揄,丑化,争议,歌唱
precept,箴言,指示,忠告,玩笑
pun,双关语,主格,连词,名词
gaucherie,笨拙,坚定,不敢越雷池一步,八面玲珑
retractability,可伸缩性,较次,民族,谋杀
benefactor,行善者,收集的东西,接,保卫
temperamental,喜怒无常,情绪化,聚变,现代化
fusty,陈腐,不偏不倚,不可理喻,开展
predecessor,原先的东西,认为,惯例,往楼上
pervade,弥漫,坦荡,庞大,深深
mottled,有杂色的,花哨,臭味,多姿多彩
pointless,无意义的,敢,别的,英俊
propagate,繁殖,孵化,野生,产卵
impunity,免除惩罚,工厂,肮脏,总结
factorable,能分解成因子的,时常发生,蝙蝠,儿子
mulch,覆盖,赤裸裸,笼罩,屏蔽
commandment,命令,提倡,责成,大吹大擂
sordid,卑鄙,得寸进尺,淫猥,浪漫
rend,撕裂,剥离,挖掘,采摘
purgatory,受苦受难的地方,危(损)害,绷紧,第六
transport,狂喜,拜倒,下跪,欢腾
exiguous,太少,缺少,盈余,现存
forswear,誓绝,弃权,断送,牵扯
synchronous,同时发生,部分,胜任,致使
enact,扮演(角色),由于,热烈,靠近
collected,泰然自若,徘徊,从容不迫,紧张
lottery,彩票,证券,期票,邮票
stressful,充满压力,不管,旅游者,经得起
vivacious,活泼,悲观,不甘,俨然
exclaim,惊叫,呼唤,尖叫,怒吼
shield,盾,可能(性),总线,去除
erasure,擦掉,宽的,发出(气味等),凝固
veracity,真实性,实弹,名义,十分
acorn,橡实,颖,豆苗,蒂
omit,省略,详细,复杂性,对称性
consolidate,(使)坚强,洋葱,埋葬,景色
stickler,坚持细节之人,沮丧,游泳,密切注意
dampen,使沮丧,见解,婚礼,紧紧
proliferate,繁殖,产卵,生长,诞生
calcification,不灵活的状态,电脑,绿色,卷
demur,表示异议,自制,拥护,支持
vex,恼火,赌气,迁怒,苦恼
pandemic,(病)大范围流行的,癖好,摸索,声明
stability,稳定,太平,和平,蒸蒸日上
factotum,杂役,大臣,尚书,议员
commentary,实况报道,进步,遍及,游过
asinine,愚笨,灵活性,卑怯,糊涂
adjourn,休会,断奶,断电,重申
exemption,免除,解渴,杜绝,横扫
competence,胜任,包揽,任职,自负
reprove,责骂,竞争,咒骂,争吵
prelate,高级教士,总的,水塘,富于幽默感的
staple,主要产品,废墟,真实,转动
trumpet,喇叭,初步,公司,王国
howler,嚎叫的人或动物,赞美,银,工资
surmount,克服,横扫,消灭,解渴
legacy,遗产,财帛,不动产,房地产
anthem,圣歌,了解,思维,丘陵起伏
dispassionate,平心静气,从容不迫,紧张,迫切
authorize,授权,捐赠,拜托,不情之请
intrepid,无畏,余悸,感动,百感交集
abrogate,废止,免职,免除,标新立异
repute,名声,盛名,反响,众望
tread,踩踏,奶奶,大声,知道
shrub,灌木,桃树,吐根,冬青
pony,小型马,看到,嗯(说话犹豫等),射击
gloss,光泽,太阳,灯光,白热
impermanent,暂时,实时,炽热,永远
venal,唯利是图,粗俗,自私,不端
compliment,恭维,驯服,趋附,和好
slipshod,马虎,浪费,持久,仔细
perpendicular,垂直,细小,平行,憔悴
paunchy,大肚子的,午后茶点,安慰,冬季
cauterize,(用腐蚀性物质或烙铁)烧灼(表皮组织)以消毒或止血,郊游,使适应(特定需要),哭泣
carrion,腐肉,报告人,圆的,登记
cosmos,宇宙,翅膀,星座,火星
enflame,使愤怒或激动,实力,做苦工,审问
viscous,粘的,百分之一,园艺(学),片断
enduring,持续,往往,时刻,老是
inequity,不公正,协会,妒忌,正好
exploitation,开发,付款,缴纳,补税
forebode,预感,感觉,酸痛,恶心
intransigent,不妥协的,报告,东方,喷口
squat,矮胖,细长,大型,高耸
marionette,木偶,扳不倒儿,玩具,洋娃娃
martinet,要求严格纪律的人,(交通违章)罚款单,(球类)运动员,试验
undercut,削价与(竞争者)抢生意,金钱,液态,破晓
intermingle,混合,传输,交叉,扩散
languor,身心疲惫,表示,恶意,公斤
lumberjack,伐木工,使突然陷入,向上,祈祷
squall,短暂的骚动,风景,不听话的,分
penultimate,倒数第二,集合,修补,男性或女性
apprise,通知,报时,报晓,报喜
striated,有条纹的,满足,估价,获得
restitution,赔偿,赎罪,抵押,索赔
abhor,憎恨,痛恨,向往,博爱
ill-omened,不吉利的,雾,汤匙,许多
mosaic,马赛克,沥青,石膏,板子
dogged,顽强,不修边幅,脆弱,随便
outstrip,跑过,非常,颤抖的动作或声音,讨厌的家伙
morale,士气,天赋,度量,智力
viral,病毒性的,吸烟,感觉,老板
itinerant,巡回,休会,进行,继承
respiratory,呼吸,呼,抽烟,发音
lissome,姿态优雅,板结,确实,僵硬
tapestry,挂毯,枕头,棉被,床单
lucubration,刻苦研究,楼下,它自己,起床
enunciate,发音,打呼,叮,抽烟
deposition,免职,丢人,丢饭碗,提升
engender,产生,出现,层出不穷,散发
dapper,动作敏捷,促进,经过,踪迹
dynamo,发电机,电梯,教堂,吊车
descend,下来,贲临,登月,来到
arithmetic,算术,医学,文化,墨水
hindrance,妨碍,有助于,杜绝,兴奋
strengthen,加强,放松,加重,安定
tenant,房客,队员,使用者,队伍
rafter,椽子,地板,横梁,标桩
portent,凶兆,气象,症状,预兆
ascend,上升,增高,攀升,高涨
sanitation,(公共)卫生,爬,比赛,请求
inspired,有创见的,裂缝,厚,意图
insolvency,无力偿还,不力,倒闭,成功
ominous,预兆,可见,显得,在于
juggernaut,摧毁一切的强大力量,做实验,鉴赏家,鼓舞人心
fluffy,有绒毛的,受局限的,贷,已
largesse,施舍,发明(物),职务,总共
median,(三角形)中线,省略符号,转动,急剧
coltish,似小马的,发言者,需要,有关系
procrastination,延迟,加快,巩固,起伏
scorching,酷热,冰凉,瞬间,不透气
skew,不直,滑翔,依偎,翱翔
pretend,假装,悬,翘,屏息
vitiate,削弱,改良,深化,软化
frustrate,挫折,不力,成功,覆灭
fatality,宿命,埋藏,麻烦,胆小怕事的人
testify,见证,保证人,发言人,代理人
backslide,故态复萌,没落,后来,改善
throng,拥挤,吵闹,衰落,宁静
pacify,使安静,补助,支援,慰藉
exhaust,(机器排出的)废气,完美,技艺,缺乏
nonchalant,冷漠,不耻下问,尊重,大方
scale,攀登,冲突,鞠躬,致敬
collude,串通,危害,损坏,帮凶
debility,衰弱,增进,赶紧,恶化
partisan,党派支持者,开拓,橙色,盖印
deficit,不足,亏损,现存,短缺
enmity,敌意,本意,情绪,意思
subscribe,捐助,慰问,援手,支持
numismatic,钱币学的,铅,尤指牛),腹部
gargantuan,巨大,兵强马壮,根深蒂固,奔放
virtuosity,精湛技巧,捕风捉影,百读不厌,逼肖
hauteur,傲慢,索然,大量,谦和
veto,否决,肯定,制定,规定
rawhide,(牛的)生皮,正好,混合,心烦
declare,正式宣布某事,救护,分隔,(演员)退场
cantata,清唱剧,独幕剧,梆子,腔调
distorted,变形,滚动,转身,刺激
levitate,(使)浮于空中,监视,消灭,传递
majestic,雄伟,腐败,巨大,暗无天日
swagger,大摇大摆地走,绒毛,离开,恶作剧
extinguish,使...不复存在,实现,署名,说笑话
personage,(戏剧)角色,过路人,分数,太太
ethereal,太空,城郊,对门,天空
mock,模仿地嘲弄,意外(因素),按铃,余额
lavishly,浪费,节约,抽出,足够
reprobate,堕落的(人),血液,平滑,尊重
nerve,勇气,斗志,地方主义,度量
corpulent,肥胖,短粗,纤细,骨头架子
verbal,与言辞有关的,亲近,归并,(和牛奶或水煮成的)麦片粥
petal,花瓣,子房,雌花,花粉
rival,与...匹敌,寺,信条,只不过
bait,逗弄,过不去,愚弄,摆弄
hypersensitive,过分敏感,生存,苦的,日记
thaw,解冻,褪色,冷却,冰冻
pygmy,矮人,仙女,稻草人,胖子
lust,强烈的欲望,纽带,松鼠,皇后
blare,高声鸣叫,直到…为止,支撑物,立即
gluttony,暴饮暴食,吞食,咀嚼,说
fritter,(在无意义上的小事上)愚蠢地浪费(时间和金钱),医学,…的理由,使受伤
emblazon,以纹章或其他方式装饰,联合,遍及,被允许
censor,审查,追查,把关,侦查
luxuriant,肥沃,空白,稠密,寸草不生
tidy,整齐,贫困,俨然,神经过敏
expository,说明,归属,来源,显示
plain,平原,南沙,沙漠,草地
plateau,平稳的状态,截面,保养,街
awning,遮阳蓬,户外,完全,感动
extemporize,即席演说,倒坍,玻璃杯,通知
abdomen,腹,职员,论文,特别
bucket,圆桶,电影,奶奶,分词
wrongdoing,不道德的行为,损坏,腐蚀,搬弄是非
preclude,避免,得出,顾忌,防水
inextricable,无法摆脱,不听话的,虽然,大大
croak,蛙鸣声,规矩,保持,共产党员
reside,居住,露营,安家落户,度日
concentrate,聚集,不辞而别,纠集,团圆
dismal,使人悲伤,迟暮,破晓,暴风骤雨
volition,决断力,兴致,趣味,斗志
precedence,优先权,君权,王权,强权
discontented,不满足的,录音,衣领,到处
fertility,肥沃,饱和,稠密,繁荣
psyche,心智,不赞一词,激发,目瞪口呆
misfortune,厄运,桃花运,薄命,幸运
torque,项圈,戒指,珊瑚,阳伞
disclose,使某物显露,循环,蜂窝状物,领带(结)
litter,垃圾,秕糠,煤渣,红宝石
rouse,鼓舞,兴奋,杜绝,妨碍
delectation,享受,挨打,共享,不行
sloth,懒惰,断断续续,拖拉,熟练
remediable,可纠正的,人类,指挥,零点
ecdysis,(动物)蜕皮,女教士,到极大程度,面试
assimilate,吸收,招收,免除,发出
embody,(作品等)表达,可见,标明,统称
indisposed,不愿意的,堂(表)兄弟,提名,经过
grandstand,哗众取宠,倾倒,对话,喋喋不休
rally,召集,揭示,责成,指令
theocracy,神权政治,咽喉,卡车,(文字)编辑
splurge,炫耀,照亮,放射,辐射
revenge,报复,报应,搭伴,回报
imputation,归咎,劝说,鼓励,驳回
equivalent,相等,同性,同年,同辈
trammel,鱼网,风车,磨子,砣
lash,捆住,直接,非同一的,温和
transient,短暂,成年,实时,一会儿
browse,浏览,读报,步韵,背诵
caisson,(马拉的)弹药箱车或灵柩车,精彩,表演者,在...的整个期间
primp,(妇女)刻意打扮,编织法,他们,珍视
inhibitor,抑制剂,掠过,特殊,航空站
paleontologist,古生物学家,创造者,发明家,研究者
incommodious,不方便的,复合,高地,烧煮
molt,换羽(期),森林地带,终生,青灰色的
bandage,绷带,手杖,面罩,艾绒
ursine,熊的,立即,(感情等的)爆发,超过
psephology,选举学,提议,亲爱,采掘
nocturnal,夜晚,上午,下午,日间
offense,得罪,兵不厌诈,缠绕,触怒
operetta,小歌剧,穿堂,快,动力
blatant,喧哗,荒凉,拥挤,隆重
respite,休息,摧毁,解决,东山再起
assent,同意,拒绝,允诺,协定
repletion,吃饱,启事,弹吉他,术语
partition,隔开,国立,同胞,国有
plebeian,平民,劳动力,人群,个人
framing,框架结构,塞满,完成,检举
churl,粗鄙之人,(天)亮起来,卫生间,衣料(不可数)
incubation,孵卵期,东晋,明代,历代
cleft,劈开,切片,修剪,割
tempestuous,狂暴,索然,耐烦,热情
insulin,胰岛素,冰片,阿司匹林,软膏
fussy,爱挑剔的,那个,擦,期刊
piquant,辛辣,尖锐,惊人,有意思
elaboration,详细说明,刷,情愿,上演
renowned,著名,羞耻,胜利者,无名
inspiration,(思考而得的)启示,情感,酸痛,直觉
opiate,安眠药,练习,场地,相当
arrangement,安排,调度,调拨,调剂
withdraw,隐居,穴居,下榻,安身
uxorious,宠爱妻子,把…浸入,六分之一,提供
shopworn,在商店中陈列旧了的,现有,不兴,漂亮
caucus,政党高层会议,神经(方面)的,仁慈,隐瞒
discernment,眼光,呼吁,风味,异议
hardheaded,(商业上)现实的,大胆,愚蠢,八面玲珑
gruff,(指人,牛,唱片,注意
throttle,节流阀,国内,国界,处理
misanthrope,愤世嫉俗者,古怪,两者(都),地位
exult,欢腾,下跪,痛苦,悲喜交集
abridge,缩短,延长,收缩,增加
pillar,柱子,树桩,墙壁,圆柱
interest,感兴趣,旨趣,幻想,爱好
insane,疯狂,不省人事,堵塞,狂热
depreciate,贬值,廉价,延缓,起伏
oblivious,遗忘,查出,挂念,洞察
calculus,微积分学,禽流感,暗疾,病灶
peruse,细读,浏览,博览,读报
unobjectionable,不惹人讨厌的,阴沉,总收入,准许...加入
snobbish,势利眼的,案件,钉住,餐馆
commercial,电视或无线电中的广告,怀有,(枪上的)弹仓,寂静
repository,贮藏室,核电站,核武库,碉堡
buoyant,有浮力的,不亦乐乎,拜倒,欢腾
propel,推进,拔苗助长,施加,激发
vehement,猛烈,无情,板滞,轰轰烈烈
mirth,欢乐,大快人心,叩头,欢腾
span,跨度,短程,规程,波幅
morsel,小量,半点,不乏,芸芸
cranky,怪癖,不可思议,不规则,神奇
underutilized,未充分利用的,不足道的,厘米,幸福感
plantation,种植园,亭子,灯塔,金字塔
pang,一阵剧痛,森林,兽皮,分数
docile,驯服,投降,打伤,媾和
puritanical,极守道德,看守,死亡,本
anticipate,预期,渴望,展望,估计
hunk,大块(食物),技能,弄脏,能
cavalry,骑兵部队,十七,女孩,近处
hangdog,忧愁,担忧,悲切,悲喜交集
lever,撬动,非常,小盒,(船、飞机等的)全体人员
circumspect,慎重,浪费,不耐烦,步步为营
raid,突然袭击,见解,到处,黑暗
naivety,纯朴,暴虐,直言不讳,苛刻
dagger,短剑,戟,宝剑,长矛
ignite,发光,爆炸,散射,闪亮
sinew,腱,养料,限制,刚过去的
besiege,围攻,进攻,督战,冲击
fractious,(脾气)易怒的,极小,轻微,千克
lingual,舌的,陶器厂,自来水,公务员
discomfiture,狼狈,折磨,不好,薄命
prune,修剪,劈开,裁剪,采伐
jigsaw-puzzle,拼图游戏,投稿,到达者,筑巢
debonair,迷人,普遍,狭窄,无限
hoarse,嘶哑,堵塞,溃烂,崩漏
reprisal,(政治或军事的)报复,(用作定语)民间的,根据,沮丧
conflate,合并,三位一体,众志成城,并肩
opportune,合适,便利,麻烦,白搭
out-of-shape,变样,发红,变质,渐变
daub,涂抹,临摹,小写,书写
resist,抵抗,冲击,抵抗力,不可抗力
archaeology,考古学,医学,科研,科目
surplus,盈余,泄露,损失,败露
wistful,惆怅,心寒,大失所望,生气
disgrace,出丑,得意,失业,出名
paradigm,范例,例子,热潮,常规
flick,轻打,系列,出生,流泪
cloudburst,大暴雨,喷泉,瀑布,毛毛雨
disenchant,对...不再抱幻想,前途,选择,完全
self-confident,自信,吃醋,多疑,相信
ligature,绑缚之物(尤指系住血管以免失血的线),决心,议定,表示
fantasia,组合乐曲,份儿,控制,珍贵
footlights,脚灯,镜子,电灯泡,凹面镜
opacity,不透明性,实际,不着边际,整齐
discontent,不满意,顶部,黄色,审判
dipsomania,嗜酒症,后果,羡慕,(用作定语)民间的
tenure,任期,过渡,半衰期,婴儿期
wiggle,扭动,滚动,润滑,运行
depict,描绘,授意,表示,上述
laxity,放纵,欺瞒,欺骗,庇荫
apparition,幽灵,灵魂,怪物,恶鬼
pompous,自大,吝啬,谦虚,索然
virtuoso,演艺精湛的人,逼真,轮廓,降落)
resent,憎恶,抱屈,抱恨,厌倦
discombobulated,扰乱,困扰,纠缠,阻挡
conservatory,音乐学院,斗争,进入,战士
orifice,小开口,扩展,最坏,店铺
filigree,金银丝做的工艺品,出示,粉状物质,早
prevision,先见,知觉,情感,味道
doltish,愚笨,灵巧,卑怯,糊涂
discrepancy,不同,大同小异,不等式,相似
monograph,专题论文,贸易,扇子,激发
scorpion,蝎子,蠕虫,阿米巴,变形虫
rickety,不牢靠的,治安,舒服,凄惨
impresario,(剧院或乐团等)经理人,哥伦布,赫兹,巨星
premature,过早,不务正业,巴结,愚昧
excise,切除,切,劈开,割
chimera,神话怪物,叶子,时刻,湍滩
gentry,绅士,财东,纳税人,东家
vocation,工作,上班,避重就轻,包工
expeditious,迅速,初,半夜三更,迟到
self-evidently,不证自明,暧昧,不法,顶用
willful,任性,专门,无人,痛快
impertinent,不恰当的,识相,不耐烦,文雅
gaffe,(社交上令人不快的)失言,不修边幅,调皮,自然
wield,支配,限于,封锁,便宜
atlas,地图集,词典,百科全书,字典
