#word,meaning,option1,option2,option3
underestimate,低估,预测,猜测,出乎预料
capital,可判死刑,历史书,做,跟踪
patent,批准专利,政治,划船(游玩),不听命令
monstrous,可怕,讨厌,动人,广博
Dutch,荷兰人,同胞,爱国者,边民
confidential,秘密,公然,明白,官方
click,发出咔哒声,灯泡,社会主义,小队
gamble,赌博,买通,强奸,调戏
conformity,一致,属于,同时,在于
conducive,有助于…,材(原)料,在活动中,工厂
lukewarm,微温,厚的,水下面的（地）,大厅
host,作…的主人或节目主持人,机能丧失的状态,用具,惊呼
diarrhea,腹泻,感冒,消化,发烧
detriment,损害,防止,不利,无害
heal,(伤口)愈合,发烧,差劲,篇
hardware,硬件,附件,物件,百货
coverage,保险额,罚款,赔偿金,剩余
triangle,三角,身材,形势,多角形
oscillate,(使)振动,邻居,鼻梁,垫
interpretation,解释,留言,附笔,注解
flatter,阿谀,驯服,说服,趋奉
electrical,电气,丁烷,水蒸气,本色
infinity,无穷大,函数,单位,因子
handle,柄,雌蕊,豆苗,麦芽
microfilm,缩影胶片,珠宝饰物,输掉,珠宝
attack,攻击,批评,承认,公认
pump,(用泵)抽水,空白,机场,力量
inshore,近海岸的,推,订货,伙伴
sphinx,狮身人面像,石刻,十字架,影像
disreputable,品格不端,无情,贞洁,太平
guarantee,保证,一定,突然,定然
stack,一垛(叠、堆),有些,发展,修理工作
knot,节,牌子,标记,护照
bounce,使弹起,诚实,权利,(儿语)妈妈
signal,信号,带来,地图,语态
fervent,热的,定型,平稳,锐利
entangle,使纠缠,舍命,关系,断送
envisage,想象,联想,动心,激动
disable,使丧失能力,羊毛(制)的,水平,竞走
graphic,图表,申请书,附件,地图
periscope,潜望镜,墨镜,板刷,望远镜
convey,传达,报捷,禀告,报告
amidst,在...当中,但是,起支配作用的,有学问的
terrific,极大,大型,矮墩墩,身高
specimen,样本,新书,原本,参考书
immerse,沉浸,在外,在于,在前
resonant,（声音）洪亮的,酸痛,灵感,直觉
innumerable,无数,不乏,拱形,多糖
represent,象征,可谓,统称,表明
abrupt,突然,激怒,缠绕,骗取
adoptive,收养关系,辨别,判定,挪用
jeer,嘲笑,诽谤,争议,抵制
pierce,刺穿,设圈套,训练,有暴风雨
overture,前奏曲、序曲,控制板,想,童年
vulnerable,易受伤害,只...),粗野,能力
succumb,屈服,说服,动武,买好
leap,飞跃,暮,初,疾驰
cupboard,食橱,吊床,壁橱,病床
cumbersome,笨重,韧性,锐利,轻轻
precaution,警惕,习以为常,松弛,迷恋
obstruct,阻挡,干扰,困扰,触怒
privacy,隐私,存心,好奇心,良心
entertainment,招待,驱逐,对待,虐待
moist,潮湿,新鲜,流行,独创性
approach,接近,不啻,相反,比如
barren,贫瘠,饱满,肥沃,旺盛
eradicate,根除,洗刷,克服,排除
hectic,兴奋,妨碍,推进,寄予
vapor,蒸汽,毒气,电气,阿摩尼亚
epidemic,时疫,肺炎,多发病,肝炎
plummet,垂直或突然地堕下,兼职的(地),后面,反对者
drowse,瞌睡,嗷嗷待哺,口渴,安眠
executive,实行,腐败,颁行,后退
elapse,(时间)过去,衍生,散发,销毁
outdated,落伍,渐进,推广,吸毒
admission,允许进入,大声,伤员,修理工作
logical,逻辑,语法,道理,目的
tremor,震动,带动,无关,轰动
portray,描绘,表示,记述,志
comparison,比喻,安步当车,就是说,统称
familiarity,亲近,知悉,得知,相识
resentment,愤恨,抱屈,爱憎,抱恨
wrench,拧,收入,筹集,恰好
artery,要道,半途,隘路,出路
appropriate,恰当,白白,白搭,不违农时
secluded,隐遁的、隔绝的,屡次,烟筒,尺寸
evict,(依法)驱逐,领受,日落,敞开
hop,跳跃,奔驰,奔命,奔腾
setback,挫折,成功,倒闭,不力
champion,捍卫者,塌落,团体,肯帮助的
contend,搏斗,打伤,顶撞,吵闹
objection,反对,赞同,爱戴,约束
catalogue,目录,本末,节目,附录
sensible,明理,认识,洞察,发现
therapy,治疗,雕塑,素描,确诊
bronchitis,支气管炎,病灶,禽流感,胃病
din,喧闹声,憔悴,桥,款待
penalty,刑罚,有期徒刑,叛国罪,流氓罪
susceptible,敏感,笨口拙舌,卑怯,按图索骥
compulsory,强制的,需要,一排房屋,后母
epoch,(新)时代,狼,十(个,咀嚼
financial,财政,官司,事件,危机
waggon,四轮马车,吊刑,迟钝,非常贵重
junior,等级较低者,洞穴,酒吧,痛苦
metabolism,新陈代谢,扩大,改装,延长
insubstantial,无实体的,笨拙,不懈,胆小
deck,甲板,铁板,板子,石板
update,最新版,打包,品质,生命
diaphragm,横隔膜,把…对准,校长,看法
lull,使安静,闹着玩地,核心,共产党员
meteorologist,气象学者,饥饿,夜,级别
pathos,哀婉,甜美,哀鸿遍野,神经过敏
fruitful,有成效的,另一次,男(性)的,(体育)运动
deem,认为,感觉到,主持,臆测
frugal,节俭,仔细,不辞辛苦,勤勉
patio,庭院,广场,长廊,屋檐
simplify,简化,情绪化,现代化,聚变
ensemble,整体,光秃秃,半半拉拉,零落
bulb,球状物,死,氏族,有幸
intractable,倔强,悲观,随和,不甘心
dot,点,线条,伽马射线,角
bent,弯曲,平行,笔挺,倾斜
distil,蒸馏,镀,包金,镀金
gesture,做手势,歌颂,罗网,没有被预订的
haphazard,随意,有意,大致,专门
analogy,类似,比如,一般,下列
productive,多产,多快好省,开学,小题大做
profile,人物简介,猪一般的人(指肮脏,某一,体现
income,收益,款项,现款,消耗
moreover,而且,加以,连,随同
complicated,复杂,单一,重叠,鞭辟入里
rinse,冲洗,合影,曝光,对光
decent,(服装等)相称的,高兴,可靠,察觉
smart,敏捷,迟到,暮,半夜三更
dispel,驱散,变形,变频,变相
exhilarate,使高兴,跟踪,把..看作为,不过
psychology,心理学,高科技,医学,科技
theme,话题,主题,调子,风格
appendix,附录,细节,情节,风格
flux,涨潮,上升,攀升,猛跌
reclaim,回收,分发,解散,接受
tournament,比赛,潜水,游泳,夺标
barricade,设栅阻挡,篱笆,火墙,屋檐
transfuse,输血,疫苗,补液,注射
catholic,天主教徒,大主教,主教,教士
hamper,阻碍,纠缠,麻烦,烦扰
mental,心智,激发,昂扬,沉默
corps,特种部队,舰队,北伐军,童子军
shrink,萎缩,当做,衰败,新兴
fixture,预定举行的体育比赛,决心,论文,请求
expulsion,驱逐,收养,款待,有待
symptom,病症,疫病,半身像,画像
delicious,美味可口,真正,十分,名副其实
deficiency,缺陷,补益,优点,私利
pulp,果肉酱,涟漪,浪头,漩涡
trivial,琐碎,详细,麻烦,重叠
hygiene,卫生学,医学,科目,高科技
route,路线,道路,长征,屏蔽
assist,帮助,慰问,捐助,慰藉
clinging,执着,短小精悍,本本主义,眼尖
whisky,威士忌酒,鸡尾酒,中药,奶酪
arouse,唤起,导致,污染,抓住
throughout,到处,心脏等跳动,(男式)衬衫,复习
intersection,横断,大关,窗口,入口
consultation,咨询,询问,质问,质疑
pollutant,污染物质,记者,厉害,产量
sauce,调味品,豆腐,八角,豆制品
mutation,突变,渐变,变心,变质
midst,中间,平凡,困难,低级
prolong,拉长,缩写,扛,抚摸
ivory,牙质,水准,界限,限于
tuck,(衣服的)褶,骗子,出现,利益
stem,起源于,圆(周),不相信,喊
massacre,大屠杀,杀人,暗杀,赌博
available,(用于物)可利用的,外的,只...),角色
fancy,别致,粗劣,不妙,独具匠心
poverty,贫穷,打击,俨然,毒打
mirage,幻影,全景,背景,气象
book,预定(票等),唱片,身体不适,首要
attendance,到场,脱氧,退学,缺席
predecessor,前辈,辈分,学籍,选民
pervade,弥漫,微型,矮小,深深
pointless,钝的,误会,咀嚼,喜爱
propagate,传播,传输,传说,交叉
vat,大桶,钻头,识别,灰白
transport,运输,驳运,导航,搬运
model,模特儿,灯光,效果,服装
roam,漫游,消遣,探险,猜谜儿
notify,通知,叮咛,忠告,报晓
enact,制定(法律),体验,供选择的东西,担心
lottery,彩票,股票,支票,税收
exclaim,呼喊,欢呼,吹口哨,呼唤
hereditary,世袭,传输,传说,谣传
parakeet,鹦鹉,八哥儿,杜鹃,野禽
shield,护板,使中圈套,小费,(错误地或无根据地)以为
inform,通知,忠告,报时,报数
omit,忽略,迷住,一心一意,逼上梁山
consolidate,巩固,提前,安定,延期
time-honored,因年久而被尊敬「遵守」的,主页,报应,论点
drift,(使)漂流,既然,(竞赛中)不伤和气的,金币
porpoise,海豚,鳄鱼,白花蛇,鲸鱼
doom,绝望,大多,不光,通通
hospitable,殷勤,可敬,索然,不耐烦
vex,使烦恼,第七,园艺(学),痛
stability,稳定性,变乱,太平,困扰
commentary,评论,评比,督促,点名
competence,能力,核技术,骗术,创作力
erect,笔直,骨头架子,曲折,憔悴
staple,钉书钉,表演,一对夫妇(情侣),灰色
trumpet,喇叭,面对,认为,教导(训)
surmount,战胜,解除,解渴,摧毁
anthem,圣歌,值得花时间(或精力)的,实习,沉默
authorize,授权,捐赠,转送,不情之请
cabin,船舱,桨,舱,轮子
community,社区,东北,北国,摇篮
situated,坐落(某处),多半,收到,天色
innards,内脏,指甲,贝壳,肝脏
circuit,线路,轨迹,电路,有线
shrub,灌木,芭蕉,月桂树,吐根
gloss,光泽,热线,灯光,白热
appetite,食欲,需要,欲望,野心
compliment,赞美之词,拍,直升(飞)机,住宅区
neat,整洁,整齐,污秽,甜美
perpendicular,垂直,清瘦,平行,曲折
cosmos,宇宙,星球,火星,翅膀
boundary,分界线,限度,极端,底线
orbit,环绕轨道动行,继母,流泪,蜜蜂
wager,赌博,调戏,运动,强奸
chin,下巴,口头,小舌,喉头
intransigent,不妥协的,能干,对答如流,起死回生
squat,(使)蹲下,服务,闲谈,迟钝
wrap,披肩,斗篷,服装,罩衫
reliable,确实,毕竟,简直,究竟
shower,(冲)淋浴,仍然,病史,设备(不可数名词)
prefabricate,合成,分开,三合一,平均
mosaic,镶嵌细工,沥青,石膏,板子
dogged,顽固,机械,眼尖,对答如流
outstrip,超过,不可逾越,抑制,约束
respiratory,呼吸,抽烟,呼,发声
microcosm,小世界,人口,劳动力,人士
descend,下来,到来,降临,登月
arithmetic,算术,科学,学术,识见
strengthen,加强,巩固,安定,抓紧
resultant,结果,发芽,跛足,口吃
ascend,追溯,字斟句酌,科研,析出
tank,坦克,导弹,弹道导弹,装甲车
ominous,预兆的、不祥的,交谈,柔软(和)的,做成
connect,连接,一直,动不动,老是
skew,不直,依偎,倚靠,蠕蠕
inflation,膨胀,延伸,扩充,蔓延
brewery,啤酒厂,法庭,工厂,监狱
frustrate,破坏,撕毁,打破,陨落
intense,强烈,官方,不明,秘密
throng,拥挤,荒凉,繁华,每况愈下
ability,能力,眼光,本能,移植
pacify,安慰,捐助,慰问,告诫
prospectus,章程,规定,规约,常规
exhaust,用不完的,玩,经过,帐单
scale,(,更换,认出,中等(级)的
partisan,党派支持者,坦率,丧失,吵嚷
deficit,赤字,收益,款项,盈余
air,通风,渗漏,附上,堵车
veto,否决,定局,肯定,决策
declare,宣告,下令,遥控,责成
cellular,细胞,韧带,骨髓,神经
majestic,壮丽,妖艳,锦绣,英俊
extinguish,熄灭,衍生,散发,销毁
ethereal,太空,城郊,周围,跟前
mock,嘲弄,过不去,摆弄,强迫
Easter,复活节,婚期,旦,病假
verbal,口头,牙床,牙齿,软腭
petal,花瓣,雌蕊,子房,花束
rival,与…竞争,前端突出部,砖,筹办
bait,折磨,进退两难,出名,节外生枝
composition,构成,并联,联网,互通
thaw,解冻,腐败,双生,速冻
pygmy,矮人,彪形大汉,骨头架子,小淘气
henceforth,今后,先后,上个月,近年
livestock,家畜类,完全,集团,查询
inmate,居民,同胞,华侨,市民
lamb,小羊,山羊,羚羊,奶牛
commercialize,使…商业化,球拍,车票,工具
fluid,流体,半导体,标本,刚体
censor,审查,追查,侦探,把关
tidy,整洁,神经过敏,蓬松,整齐
plateau,平稳时期,感到刺激,把…建立在,主要部分
civic,城市,拐弯,码头,层
mention,提述,摆龙门阵,发言,诉苦
bucket,水桶,钵盂,瓶子,浴盆
blonde,金发碧眼的（女子）,覆盖于…顶端,眼力,惊奇
inextricable,无法摆脱,生效,接口,通航
concentrate,浓缩物,钦佩,看,等待时间
precedence,优先,从来,乃至,持续
agreement,协议,谈判,让开,会谈
recite,背诵,大写,抄写,博览
misfortune,不幸,幸运,不得了,发迹
edit,编辑,补遗,编选,摘录
disclose,透露,晓示,重申,表白
litter,乱扔的东西,复写纸,簿册,羊皮纸
taxation,税收,赎回,赎罪,补税
rouse,唤醒,辅导,示范,引导
expert,内行,外行,消极,成熟
suck,吸,山羊,艺术,雇员
assimilate,同化,最大化,聚变,变成
embody,包含,涌现,包藏,容纳
doctrine,学说,体育,卫生,义务教育
rally,把…集合起来,入学,来自北方,下
revenge,复仇,剥蚀,帮倒忙,报恩
equivalent,等价,同期,同屋,同时
lash,鞭子,生物武器,笪,核军备
browse,浏览,读报,步韵,背诵
dismiss,解散,解除,定名,免费
nobility,高尚,公公,公主,东宫
confidence,信任,爱戴,自信,信奉
briefcase,公事包,用具,享受…的乐趣,排列
bandage,绷带,面罩,艾绒,手杖
arise,出现,含水,重现,层出不穷
canteen,小卖部,国宾馆,分号,养鸡场
stylish,有风度的,等级,群,爵士乐(一种美国音乐)
prior,在前,逐步,首先,即刻
incidentally,顺便,专门,不遗余力,有意
homicide,杀人,暗杀,大屠杀,谋杀
partition,分开,崩溃,纠集,汇集
mineral,矿物(的),最好,鸭肉,意图
renowned,著名,腐败,胜利者,不见经传
inspiration,妙计,计策,有利可图,百年大计
pessimism,悲观,严峻,听说,叛逆
arrangement,排列,张灯结彩,列为,排队
withdraw,撤销,豁免,免费,免职
abridge,删减,描绘,修改,勘误
pillar,栋梁,外行,人才,工程师
insane,疯狂,麻木,瘫痪,狂热
extent,广度,标高,周长,面积
depreciate,贬低,得意,莫须有,罢官
physician,内科医生,产品,卷,昆虫
oblivious,不在意的,逼上梁山,警惕,全心全意
layout,安排,调度,调拨,调遣
stir,激起,杜绝,妨碍,助长
commercial,可获利的,抖动,唇状构造,橙色
nickel,镍,黄金,白银,黄铜
buoyant,易浮,拜倒,欢腾,悲喜交集
propel,推进,授予,鼓舞,寄予
vehement,猛烈,将就,活动,浴血
span,跨度,旅程,规程,余数
magnet,磁体,冰醋酸,气体,半流体
paddle,桨形工具,果敢,父亲,独自
plantation,种植园,宝塔,灯塔,亭子
anticipate,预料,巴不得,愿意,展望
lever,控制杆,写,扛,缩写
raid,突然搜查,泉水,事迹,篮
ignite,引燃,生火,熨,暖和
volunteer,自告奋勇(去做),真诚,潮湿,鼻状物
starfish,海星,寿星,卫星,行星
vine,葡萄树,展开,聊天,耐
consecutive,连续,从来,动不动,反复
physique,体格,身体,人性,学籍
condolence,吊唁,自杀,安葬,发送
archaeology,考古学,科研,医学,高科技
surplus,盈余(的),千万,四方,芸芸
flick,轻打,实用,照片,扁平的块状物
ratio,比率,对折,兑换率,采收率
eminently,显著,暗自,隐约,有用
deflate,抽出空气,无线电话,例证,水果(通常不可数
related,相关,影响,涉及,卷入
wiggle,扭动,刺激,滚动,运转
depict,描写,志,表态,表示
drawback,弊端,特性,利害,好处
pompous,自大,冷淡,鄙吝,客气
behave,使运转正常,警卫,拖,远
resent,憎恶,抱恨,向往,厌倦
misconceive,误解,偏爱,相识,百听不厌
conservatory,温室,菜地,桃园,林地
discrepancy,不同,同性,同步,等于
mischance,不幸,发迹,胜利,避坑落井
rickety,摇摇晃晃,动弹,转动,余震
inactive,停止,下班,截至,收盘
threshold,门槛,步调,乘法,疗法
dip,沉落,组成,接力赛跑,途径
wield,行使,判定,挪用,辨别
atlas,地图集,剪报,字典,汇编
obliging,恳切,和蔼,伪善,忠实
exclusively,完全,不知不觉,不曾,痛快
cataract,大瀑布,水,闪电,水滴
purge,清洗,洗澡,冲洗,糊
upbringing,教养,播送,教训,警钟
dilate,（身体某部位）张大,膨胀,延长,转向
revelation,透露,告诉,誓死,晓示
ponderous,笨重,灵巧,细嫩,不快
isolate,使孤立,通航,鼎立,互通
bounty,宽大,吝啬,严峻,红色
fort,要塞,墓地,乐园,不毛之地
script,剧本(原稿),有兴趣的,超过,车间
reptile,爬虫,阿米巴,蠕虫,黄蜂
terrify,吓唬,引入,强制,逼债
hard,努力,无人,毫不,竭尽
commission,拥金,版税,待遇,工钱
arable,可耕,读书,厌倦,墙
duplicate,复制品,产品,存货,期货
itinerary,行程表,出席,满足,压缩
cultivate,培养,期考,尝试,体操
charter,特许,禁止,签证,打印
lock,锁,概念,内心,发作
crevice,缺口,门口,窗口,入口
abbreviate,使...简略,拍手,拍打,抚摸
hinge,折叶,轮轴,绷簧,皮带
guy,(男)人,细菌武器,马蹄铁,笪
settle,下沉,淹没,陷落,流动
bleach,变白,咳嗽,语言(可数),我们<主格>
refinement,提炼,镀锌,镀金,包金
qualitative,定性,兴趣,气味,梦寐
graduate,(大学)毕业生,毕业生,初学者,寄宿生
nasal,鼻的,权利,声明,拖
track,足迹,下落,气候,预兆
layoff,操作停止,惊奇,焦急,惊动
repatriate,（自异国）遣返,响亮,马车,滴
incentive,激励前进的动力,途径,未卖掉的,到极大程度
shelve,搁置,顾及,不置可否,歧视
postscript,附言,注解,参考,留言
characterize,描绘…的特征,游泳,在全国范围内,结束
residue,剩余（财产）,(降)雨量,推力,一打
maintain,维持,共存,留下,遗留
exploit,剥削,投机,迟暮,囤积
malleable,可塑,年少者,斜向一边(的),贸易
delete,删除,勘误,修饰,传真
compound,复合,分割,均分,东拼西凑
migrate,迁移,搬家,风俗,停留
slope,倾斜,依偎,蠕动,滑翔
oasis,(沙漠中的)绿洲,工作(量),狂暴,主要
seismic,震,微笑,衣箱,也许
cradle,将…放在摇篮内,目标,年轻女子,更少的(地)
protrude,突出,覆盖,赤足,赤裸裸
irrigate,滋润,遇见,冲撞,着陆
various,不同,异步,同性,差不多
similar,类似,相似,大同小异,不等式
postgraduate,研究院的,你自己,口渴,将近
toneless,单调,神奇,滑稽,可怜
coed,大学女生,女孩,大头针,假期
coexist,共存,保全,相应,存在
slander,诽谤,丑化,狡辩,笔战
infernal,狱,动人,不得人心,可怜
onlooker,旁观者,敌手,伴侣,邻居
automatic,机械,愚笨,板板六十四,不识时务
vulgar,粗俗,卑污,浪漫,黄色
rigid,严格,慷慨,落后,革命
torture,折磨,得意,丢人,尴尬
assumption,假装,翘,喘气,喘息
relentless,无情,稳定性,淫猥,多情
universal,普通,最佳,上流,独到
alienate,离间,帮凶,败坏,毒死
thrill,(使)激动,目标,编辑,展览
truth,事实,来历,暗流,端详
appraise,估价,臆测,怀疑,坚持
conceivable,想像得出,确信,怀疑,拥戴
accelerator,加速器,轨枕,警报器,消防栓
disarray,混乱,俨然,清洁,神经过敏
talented,有才能的,叔父,苦恼,凉快
halibut,大比目鱼,弄脏,停车,体操
haste,赶紧,甚或,优先,一半
embrace,拥抱,采摘,挽,扶
straightforward,直率,狡猾,刚正,苛刻
ridge,山脊,山峰,黄山,峨眉山
ascribe,把…归于,生育,思考者,健身房
vanity,虚荣,索然,操切,客气
constrict,约事,循环,趣味,(车间)主任
devote,把…奉献(给),罢了,起飞,闭幕
boom,(发出)隆隆声,躯体,预付,记成绩
virtual,实际上的,天井,学习,干
goad,赶牛棒,非白种人,不时,车的)长队
wholesome,适合卫生,牢牢,调查,通俗
undermine,侵蚀…基础,当时,投递交,回答
ultraviolet,紫外线的,羡慕,辫子,使人头痛的事
brake,刹(车),用旧,聪明,朗读
making,制造,酿造,组装,闭门造车
mimic,模仿他人言行的人,手段,那个,共同
tourism,旅游业,中保,航运,工程
dredge,用挖泥机疏浚,搏斗,驯服,说服
dominate,高出于,行骗,生产,习惯
deputy,代理人,见证,喉舌,目击者
alloy,合金,蛋白,黄金,金属
reference,提及,诉苦,闲话,演说
caution,警告,教授,教训,调教
advocate,提倡,呼唤,大吹大擂,响应
casual,临时,按期,不只,首先
ferocious,凶猛,惊人,无情,灵活
permissible,可允许的,噪子,投票,女售货员
miscarriage,误送,成功,覆没,沦陷
annoy,打扰,麻烦,久违,请问
regeneration,再生,改进,更新,毒化
distort,扭曲,运转,转身,滚动
arduous,费力,艰巨,神秘,初级
subsidy,补助金,捐款,赔偿金,借款
flexible,灵活,本本主义,眼尖,短小精悍
mould,造型,身材,三角形,形势
delude,欺骗,欺瞒,迷惑,骗取
external,外部,伪装,编队,实质
client,顾客,听众,购买者,读者
aquarium,养鱼池,泻湖,洱,池子
orchard,果园,庭园,温室,菜地
transfer,转移,调换,改名,交换
say,发言权,权利,夫权,司法权
trickle,一滴滴地流,碰撞,有规律地,链
agenda,(会议的)议程,恰当,母亲,向
endanger,危害,不利,不可逾越,无害
aesthetic,美学,科目,科研,医学
vital,生命,印象,经验,寿命
spill,(使)溢出来,不一致,编制程序,剧本
subjective,主观,板上钉钉,百无一失,合情合理
ultimatum,最后通牒,遗嘱,公文,检查
border,近似,不啻,俨然,反过来说
overweight,过重,扩散,搅混,包围
gleam,发光,散射,衍射,折射
chip,片屑,伟大,在的对面,入口处
standing,持续,根本,反复,时常
fetter,脚镣,斧,枷,桌灯
latitude,纬度,赫兹,频道,标高
obligatory,强制性的,方便,白搭,不违农时
term,)条件,预见,不满意的,海岸的巨浪
telecommunication,通讯,编年史,日记,诗歌
scene,风景,格式,蜃景,公式
militant,好斗的(人),推力,轻易,时机成熟
bubble,冒泡,发生,突发,散发
harbor,港口,车站,水路,管理站
welfare,康乐,太平,浪漫,忘恩负义
discriminate,区别,辨认,可比,识货
extreme,极端,比较,尽管,秉承
resolution,决心,不愧,迟疑,迫不得已
erroneous,错误,百步穿杨,断章取义,周到
reconsider,再考虑,(表示惊讶)居然,另外,热病
elicit,引出,诱惑,恐吓,动手动脚
live,实况转播,装备,每周,空闲
vexation,困扰,纠缠,触怒,堵住
lump,使成团(块),欣喜,安静,电影业
idiom,习语,谚语,副词,连词
offend,冒犯,骗取,触怒,缠绕
grand,庄重,逼人,整齐,清洁
anxiety,渴望,出乎预料,寻求,求爱
natal,出生,成长,生长,野生
envy,妒忌,确信,倾倒,自信
discord,不调和,重叠,对抗性,复杂性
subject,学科,新闻学,建筑学,哲学
confident,确信,认真,自信,妒忌
aggravate,加重,增强,软化,加快
utility,公用事业,本行,伟业,男爵
fulfil,达到,谋取,得分,吸取
erupt,(火山等)迸发,失去,散发,衍生
tally,完全相似,使(某人)有思想准备,使发怒,转化
demonstrate,示威,罢课,罢工,发牢骚
mission,使命,义务,知识产权,霸权
selection,选择,采样,采光,采种
prospect,预期,预计,巴不得,臆测
originate,起源,展示,证实,体现
integral,积分,雨量,碑额,一度
potter,陶工,三十,货摊,假日
masterpiece,杰作,时间表,巨著,课表
decipher,解开（疑团）,到达,感到饿的,接待
precedent,先,醒来,九十,运载工具
resolve,决心,迫不得已,徘徊,如饥似渴
despair,绝望,纯粹,通通,大多
lane,车道,大街小巷,铁路,路边
elementary,容易回答,搁,电子学,正确
inclusive,包含,包藏,容纳,含水
heap,使成堆,正直,口渴,七分之一
imperative,急需,矛盾,供应,提供
ambiguous,模棱两可,隐约,可行,公开
enormous,巨大,不在话下,雄伟,薄弱
optimism,乐观,严厉,生气勃勃,孝顺
initiative,决断能力,暗号,粘着,百年
deny,否认,干预,狡赖,承认
curl,卷曲物,报告,蝙蝠,当心
humiliate,使屈辱,擦亮,会员,尝试
indicative,陈述,上述,描述,详述
calcium,钙,差劲,满意,粗俗
grab,摄取,得分,遂,争取
vast,辽阔,身高,狭窄,微型
patrol,巡逻,防空,国防,速射
preserve,保存,储存,储藏,存取
trench,壕沟,草坪,动物园,伊甸园
perplex,困惑,欺瞒,欺骗,兵不厌诈
negligible,微不足道,紧迫,着重,画蛇添足
module,模数,角色,岩石,不利
sightseeing,观光,游戏,打牌,猜谜儿
adequate,足够,现存,多余,动态平衡
intend,打算,筹措,罢论,同谋
paraphernalia,随身用具,纸板,(特定领域的)巨子,毕业
reproach,谴责,揭发,保密,攻击
assume,承担,辞职,自负,退休
perennial,终年,多年,一会儿,永久
underline,在…下划线,注释,抽烟,难处理的
thesis,论题,病因,起源,报应
maximize,取...最大值,中间物,驾驶,捕获物
degree,度数,消耗量,一个,动量
relative,亲戚,亲家,游客,旅客
zest,热心,宾至如归,谦逊,大气
mask,遮盖,遮掩,赤裸裸,赤足
latent,存在但看不见的,然后,总合,大概
sweep,快速移动,瞩目,眺望,回顾
forerunner,前兆,病症,行踪,迹象
lawn,草地,亭子,伊甸园,动物园
cathedral,教区,面积,北面,半球
identify,辨认出,督促,评价,点名
vehicle,工具,硬盘,光碟,分机
intake,(管的)入口,名单,禁止,抗
metropolitan,首都,布达佩斯,河内,安曼
inundate,淹没,陷落,漂移,溢出
ostensible,表面上的,喘息,屏息,喘气
banner,(政治性的)横幅标语,新闻广播,恶毒,费用
untold,未叙述的,因为?,皮带,课本
subordinate,附属,属于,一致,证验
equation,方程式,中式,装饰,衩
female,雌性,户口,老家,道格拉斯
estate,阶层,博士,学位,阶段
submission,呈递,提交,募捐,呈
generalize,形成概念,叹息,现款,扣子
cherish,怀有,共有,有价值,在前
picturesque,如画,回旋,浴血,定型
transform,改变,简化,自动化,商业化
vengeance,报仇,腐蚀,帮倒忙,剥蚀
distinction,差别,利害,上下,顺差
undercharge,索价低于常价,严重,自然环境,指针
aspirin,阿司匹林,医药,白芍,维他命
foil,箔,履行,汽油,战场
discern,看出,瞩目,眺望,端详
postmortem,死后,上个月,不日,前面
arrange,安排,调拨,调剂,调度
problematic,有问题的,喧闹,高价,氧
bout,一回合,吨公里,公尺,海里
sketch,短剧,独幕剧,梆子,腔调
fossil,化石,土壤,页岩,石英
override,不理会,承认,干涉,了解
prospective,未来,向往,猜度,出乎预料
accuser,控诉者,被告,审判长,傧相
glorious,光荣,奔放,知名,美好
plead,请求,询问,试探,介入
intention,动机,眼光,意思,风味
illuminate,用灯光装饰,部门,进入,农耕
removal,拿走,避免,夺得,荣获
diplomatic,外交,拜访,借助,回访
employment,雇用,贬斥,免职,就任
occur,想到,变法儿,绞尽脑汁,研究
pigment,天然色素,伸展,友好,拉伤
batter,牛奶面糊,乖,弱点,文静
astronomy,天文学,科研,医学,课程
maternal,母方,最好,非常,在所有权等方面属于
consult,商议,会谈,迁就,订立
legend,传说,流行,扩散,遗传
outlet,出路,咕噜,赘述,私语
ego,自负,人家,他们,某人
fester,生脓,崩漏,狂热,开放
frontier,国境,境界,跨国,属地
kindle,点燃,加热,熨,生火
tolerance,忍受,领受,多么,不行
shabby,疑心,确信,认真,相信
enthusiasm,热心,索然,冰冷,不耻下问
moped,机动脚踏两用车,在...周围,市长,遭受
summit,顶峰,极了,八度,北回归线
resume,摘要,听写,下载,刻写
constabulary,警察,暗探,特工,炮手
pottery,陶器,轨枕,消防栓,算盘
stripe,长条,细长,低于,短粗
perilous,危险,安好,凄惨,艰苦
skeleton,骨骼,骨头,眉梢,胡子
flip,掷,比画,拨号,指
helmet,头盔,王冠,便帽,斗笠
stammer,口吃,溃烂,结果,跛足
anonymous,无名,举世瞩目,胜利者,吃不开
virtuous,有品德的,异,什么,丧心病狂
melodious,悦耳,细嫩,光明,夺目
diameter,直径,功率,血压,庹
block,阻拦,困扰,侵扰,纠缠
colloquial,口语,套子,家常,私语
spray,飞沫,碟,想,吸烟室
division,隔开,御,国立,公共
prelude,序幕,病程,进程,中间
subsidiary,次要,高昂,廉价,不痛不痒
redundant,累赘,详细,琐细,严密
registrar,登记员,确实,许可,狡猾的人
military,军用,罄,用法,用于
motto,座右铭,语言,叹词,动词
liaison,(未婚男女间的)暖昧关系,强奸,调戏,谋杀
interpret,口译,翻译,编选,编译
attendant,值班员,厨子,传达,交通
liability,责任,否决权,司法权,版权
absorb,吸收,发出,免职,发放
fry,油煎,油饼,馅饼,炸糕
lapse,失误,出没,违禁,入门
benzene,苯,照亮,工厂,观光
apologetic,道歉,报偿,答谢,酬答
digit,位数,读数,发电量,变量
affiliate,加入,变节,挣扎,从事
