#word,meaning,option1,option2,option3
contact,熟人,教友,盟友,对头
hurt,痛,(非法)交易,弹簧,模仿
supper,晚餐,午餐,野餐,捷报
sea,内海,小河,大西洋,河流
whom,他,重大,辨认,一把
hand,手,幻灯片,还钱给(某人),使适应(特定需要)
eight,八,兆,四,六
movement,动,画像,频繁,浓
watch,手表,丧钟,表面,表蒙子
beloved,心爱的人,用墙隔开,在下面,螺帽
supply,供应量,读数,交易额,贸易额
publish,发表,正当,在前,在外
sound,宣告,独揽,失控,责成
count,计算,比量,预算,度量衡
blame,指责,保密,谴责,批评
afraid,恐惧,吃惊,惊愕,吃不来
rose,玫瑰,郁金香,草,百合
statement,陈述,阐述,详述,声明
off,离...,勤奋,发生,量
smoke,烟,无言,赢得,出入口
lake,湖,离开,守卫,傍晚
lad,男孩,资格,性别,老家
appeal,呼吁,探路,哀求,询问
maid,少女,奶奶,先生,男女
west,西部,北方,空间,以上
certainly,当然,怎样,也,不如
divine,神学的,惊奇,十足,(使)摆动
weakness,弱点,优点,私利,便宜
permission,允许,订立,推辞,承诺
burn,点燃,生火,取暖,刺绣
spiritual,精神,悲叹,激发,不做声
always,永远,整天,一下子,通宵
beyond,深于,阴霾,通知,小屋
probable,有充分根据的,于是,信心,指导
system,系统,系列片,血统,互联网络
process,对...起诉,截面,走棋,陶器制造(术)
donate,捐,一揽子交易等,得分进球,未赶上
full,彻底,一半,眼看,仅仅
people,人民,民众,人们,分子
flying,飞的,坚强,高的,活力
sing,啼,请求,九十,衣领
page,页,(使)缓慢地移动,菱形,看法
request,要求,惦念,出乎预料,愿意
cousin,远亲,表亲,亲属,亲戚
anxious,焦虑,背包袱,悲恸,阴郁
protect,保护,保驾,照料,侍候
risk,危险,大喜,劳顿,一触即发
suffer,忍受,无比,不外,多多
drop,滴,综合,事情,灼伤
way,方面,世界,多方,系统
put,出发,开车,揭幕,拔锚
serve,发球,打拳,罚球,拉
reward,报答,答谢,报国,酬劳
necessary,必要,近乎,紧迫,不痛不痒
summer,过夏天,模态,有限,很好
support,支持,在外,在内,留下
suspicion,一点儿,多糖,荒无人烟,丰富多彩
fight,打,乐谱,渐渐,天性
drove,人群,人们,大家,鄙人
tea,茶叶,红茶,花茶,冰砖
labor,劳动,请教,请问,对不住
how,怎样,面向,还,面对
flight,飞翔,念,尖叫,哀号
stick,木条,木制,石头,铅
she,她,故障,有形,解决
rather,宁可,不妨,到底,断然
circle,圆,(电)镀,某事,猛击
vain,徒劳,手提,不行,顶事
return,回,航海图,坚定,身体
fear,害怕,安土重迁,余悸,吃惊
gift,赠送,转送,拜托,授权
mad,发狂似的,遗失,向北方,敏感
substance,实质,外表,编队,焦点
enough,很,内部,有创造力,性别
point,指,弹,行动,背手
discovery,发现,了解,识破,记得
heat,使热,实验,冠词,改造
Sunday,星期天,星期一,今日,星期五
want,缺乏,剩余,相差,亏损
generous,大的,误解,原型,(宽)松的
ring,鸣,智慧,危险,薄膜
mistress,主妇,同事,同年,同学
reality,实在,不免,不如,情愿
whose,谁的,稳重,把手,木头
secret,秘密,不伦不类,明白,神奇
first,基本,无价,迫切,难得
speaking,说话,私语,寄送,乱说
midnight,半夜十二点钟,地位,信赖,公告
willing,愿意,不甘,闭门思过,拿手
sweet,甜的,嗓子,紧握,寺
other,对立的事物,跳水,思考,旅游
case,探察,呼吁,狡赖,参与
proper,本来,绝对,反而,也
express,表示,可谓,所谓,显得
scarcely,刚刚,顶风,间接,到底
dare,挑战,征战,动武,内乱
adopt,继承,休战,并举,断奶
change,改变,液化,僵化,工业化
mercy,慈悲,其它,恶狠狠,什么
can,大酒杯,讲台,半圆形体,控制板
readable,易辨认的,正午,告诫,适合
here,这里,巢穴,哪儿,那边
window,窗框,窗子,基础,东门
fit,配合,不切实际,巧合,对称
pass,经过,按说,以便,基于
below,低于,下列,超龄,不及
detail,细节,附录,情节,意思
record,记录,听写,下载,键入
the,定冠词,(遗留)在..后面,有分歧,凉快
former,前任,继承者,外孙,开拓者
red,通红,纤弱,强健,步履维艰
state,确定,务实,额定,仲裁
religion,宗教教育,荒谬,理由,妈咪(儿语)
literature,文学,短篇小说,神话,文献
value,尊重,保重,小心,并列
possible,可能,确保,忽然,竟然
beautiful,美的,敲打,革命党人,女性
effect,使发生,起诉,希望,商店
style,派头,美德,场面,道德
original,原型,掩藏,进入,出于本性
dull,愚钝,八面玲珑,智慧,糊涂
twenty,二十,大衣,(使)下沉,乡下
government,政体,种族主义,保护主义,共和
servant,雇员,售票员,讲解员,打字员
eye,视力,劳动力,力量,生气
trademark,标记,标号,编码,编号
skill,熟练性,工商行名录,工业用的,子弹
alarm,打扰,久违,辛苦,抱歉
superior,较大,使中圈套,无,依靠
base,作...的基础,信赖,合计,令人伤心遗憾的
nor,也不,布,蜂,使变凉
race,族,零件,沉默,一定会…
cease,停止,僵化,熄灭,截至
wife,妻子,老伴儿,夫子,夫妻
work,经营,管理,国立,营业
give,给予,引人注意,敦促,发汗
care,忧虑,痛苦,愤怒,凄惨
while,消磨,迁都,迁居,熬夜
sacrifice,献祭,助教,想像,更坏(差)的
lot,抽签,游荡,打赌,兜风
custom,习惯,安土重迁,顿悟,专心
philosophy,哲理,物理,概念,意义
entire,单一,不即不离,重叠,紧紧
relief,救济,慰问,捐助,支持
gently,平缓,熊熊,锐利,可观
immediate,直接,陆续,幸好,顺序
follow,跟随,携带,跟进,逃走
tell,讲,区域,(动物的)项圈,肤色
luck,好运,互惠,避坑落井,不劳而获
move,动,无论哪个,保持,给…泼冷水
double,握紧,撮,握住,支撑
spirit,精神,不赞一词,哀叹,沉默
glory,骄傲,大方,谦和,吝啬
sail,漂浮,奔泻,流动,潮流
patience,忍耐,不以为然,同意,拥护
thus,迄今为止,今晚,有生以来,前夕
as,像...,政府,相等,后来
mind,头脑,功夫,想像力,精神
hang,悬挂,存放,断头,崩裂
dinner,宴会,大会,集会,报告会
visible,明显,官方,暧昧,顶用
dear,可爱,对称性,动人,狭窄
act,演,碰巧,有历史意义的,畏惧
nine,九,六,四,兆
crime,罪,一副,用指触摸,禁止
think,想像,构想,感激,激动
fierce,猛烈,浴血,平板,势如破竹
policy,计谋,筹措,大失所望,同谋
voice,说,传闻,听见,窃听
occasional,临时,立即,不止,单独
tone,增强,加剧,赶紧,减弱
frank,坦白,逼供,扣押,证词
son,儿子,姨,姑娘,哥儿
bring,促使,给予,招致,发汗
national,全国总部,发疯,掌握,层
simple,纯朴,残忍,不仁,苛刻
oil,油,科学(上)的,几乎,(用肉或水果做成的)馅饼
victory,胜利,败阵,胜过,征服
star,星,进行选举,宁静,允许
gradual,不陡,陆地,竞争,清洗用的
town,城市,码头,大城市,拐弯
bare,使赤裸,调查,销数,爆炸
dust,地面,边线,界限,颐和园
five,五,四,六,十
sometimes,有时,大致,担保,陡然
safety,安全,危险,仓促,治安
nervous,神经,骨髓,命脉,丹田
troop,成群结队,告别,汇集,集合
loud,大声,女高音,叮当,男高音
sell,出卖,续订,批发,销售
love,恋爱,调情,打赌,约会
donation,捐赠物,运输,热切,绅士
his,它的,了解,管理,经验
world,世界,古风,身分,妖风
blow,吹,匆忙,向北,在…上
unless,除非,尽管,以便,由于
strike,罢工,示威,游行,南面
will,能,与…联系,上),裸体的状态
cap,覆盖,伸展,笼罩,赤足
speak,讲,然而,粉笔,宝贝
note,按语,白文,题跋,注解
game,猎物,文物,介质,整体
status,地位,位置,世界,古风
grow,种,然而,化学家,迅速
at,在...里,升起,季,不同
your,你的,杂志)记者,滥杀,相信
half,半,躲避,体育,要求
mine,我的,底座,极少量的,料想
see,察看,拥挤喧闹的地方,在……之上的,看护人
fly,使飞,惯例,医药,亲切
writer,作者,姥姥,记者,护士
somewhere,某处,兑换,故障,补足
finish,用完,干线,交流(思想等),生的
affection,属性,伸缩性,可能性,骄气
furnish,装设备于,毫米,爱,观察
reach,伸出,拓展,挺,伸展
spread,展开,休战,断电,循环
civil,公民,家伙,个人,人手
soul,精神,目瞪口呆,激发,疲惫
swift,迅速,半夜三更,疾驰,不胫而走
accustom,使习惯于,邻近地,爵士,宠物
lip,嘴唇,舌头,喉咙,鼻梁
lately,近来,先后,明日,前夕
everything,每件事,一组,而,冲刷
neither,也,反而,哪里,不妨
owner,船长,队长,大使,州长
news,消息,捷报,败局,形势
not,并非,陡然,无人,极力
youth,青年时期,擦亮,乡间,压强
next,紧邻,初,为时过早,边远
hence,去,款待,试穿,经受
aloud,出声,描写,摇摆,提交讨论
flame,火焰,漩涡,火,波谷
unable,不能,擅长,能够,不足
fame,传闻,听见,看上去,说
punishment,罚,仆人,法语,真实
burning,发热,伤风,头晕,消化
dance,跳舞,独唱,合唱,弹琴
nose,气味,兴致,梦魇,意志
part,放弃,埋没,舍命,卷入
ignorant,无知,近视,不可救药,半吊子
refuse,废料,煤渣,财宝,宝石
carriage,支架,褥子,棉被,被褥
dawn,开始,启动,动身,小题大做
fruit,结果实,可靠,得分进球,禾本科植物
second,第二,第十二,第二十,第五
yellow,黄色颜料,马背,诚实,幻灯片
history,过去,活着,崩,毙命
especial,特别,任性,大力,没有
roof,给...装以特定屋面,弹丸,奶奶,农场
foreign,对外,室内,户外,国外
contain,包含,含水,出现,席卷
over,高于,不如,似乎,胜过
believe,想,眼泪,掐得,签(名)
holy,圣洁,平稳,百无聊赖,太平
departure,背离,触犯,违心,违宪
harm,损害,无害,方便,不利
some,很多,巨大,扁圆,一点儿
station,车站,海口,变电站,中转站
report,报道,杂志,日志,记录
faint,无力,年轻,强健,通红
too,太,混乱,态度,拒绝
habit,习惯,懂事,安土重迁,松弛
evil,坏事,搬弄是非,损坏,侵蚀
hotel,饭店,茶馆,奶牛场,摊子
due,应给,特性,卑鄙的人,承认
minute,分,不稳,游过,广告
quiet,安宁,喜新厌旧,困扰,和平
death,灭亡,陷落,败阵,不力
severe,尖锐,莫大,有意思,势如破竹
importance,重要,核心,昂贵,珍贵
charge,应付,祝福,祝贺,拜寿
acquaint,使认识,生疏,棉制品,播音员
tender,关怀,谅解,放心,瞩目
century,一百分,知道,九十,马车
mass,聚集,成群结队,握别,不辞而别
region,各地区,压(力),特别,眼力
flesh,肉,木,测量,对某事物之狂热爱好者
play,比赛,跑马,夺标,蛙泳
chance,偶然,大约,不见得,莫非
equal,同等的人,多么,均匀,果酱
low,浅的,不论用何种方法,观看,巧克力糖
school,教育,大约,(较正式的说法)长裤,告发
kind,种类,广播网,民间,数字网
rain,一阵,海里,吨公里,公尺
bear,压,切,坡,工业用的
otherwise,别样,毒辣,异,这些
glance,擦过,听众之一,足踝,航行
shut,关上,手腕,巴掌,拳头
joy,高兴,欢腾,下跪,悲喜交集
apart,成距离,未能,长期,禁止
rest,长眠,生活,崩,授命
car,小汽车,摩托车,绷带,车辆
bitter,有苦味的,高度,近处,社会主义
address,演说,罗列,阐述,详述
week,星期,星期三,星期六,星期四
line,纹路,行踪,煤灰,波纹
weather,退色,速冻,双生,生育
depart,死,展现,(五指分开)手套,栏杆
fix,方位,逆向,首席,部位
sure,当然,不如,断然,还
mile,英里,毫克,立方米,短短的
desert,荒漠,纤小,庞大,大型
peculiar,特殊,卓越,独到,一定
silent,安静,抱愧,不知所措,如饥似渴
majority,多数党,触动,不喜欢,发作
teach,教,论文,握手,朴素
instance,举...为例,某物,救援,得到
provision,向...供应食品和其他必需品,狡猾的人,仁慈,正视
story,小说,散文,特写,短篇小说
whilst,直到,替,等到,到
song,歌,人民,气味,辐射线
delight,可爱性,难题,买主,击
verse,节,筹码,牌照,证据
top,顶,有幸,想,成本
wait,等,使人高兴的东西(或人),大米,指挥
avoid,避免,荣获,收获,防水
necessity,必要,开玩笑,可惊,不必要
appear,出现,产生,涌现,表现
middle,中等,上流,寻常,第一流
poetry,诗,共同,果汁,(比赛)得分
property,地产,财帛,动产,财产
practical,可实施的,彻底,海草,律师
island,岛,学会,扫除,巨大
band,箍,无恶意的,生的,肩负
cloud,一大群,躯干,在这时代,希望的人或事
garden,公园,动物园,草地,宝塔
corner,角,对角线,对角,断面
impossible,不可能的,国内,使沸腾,震惊
doubtless,无疑,名义,高明,虚伪
service,服务,蹲点,跑龙套,拔秧
till,直到...为止,联合,游戏的人,扔
particular,特殊,专门,特定,不像话
influence,势力,官方,松鼠,(一)本
lord,领主,资本家,雇主,侍者
her,她,(使)生根,反冲,无论什么
lose,遗失,跑电,失踪,触电
affect,自觉感情,军人,和…不同,紧张
admit,承认,批评,狡赖,干涉
person,人,栏杆,不完全的,生产
blind,比...更亮,整理,兆,建筑
more,另外,地,所以,任凭
medium,中间,高级,第一流,最佳
copy,抄写,划,描摹,抬头
nearly,极,装备,流传广的,一定会…
misery,痛苦,愉快,悲喜交集,阴郁
whether,是否,不堪,怎么,只是
distance,使远离,少数派,游客,缝隙
excellent,非常,多多,极端,熬煎
farm,种植,移植,栽培,播种
salt,盐状物,所有物,插入物,停车
courage,勇敢,坚定,不在乎,脆弱
pretty,妙的,空着,集会,江
stranger,陌生人,对手,街坊,伙伴
need,须要,是否,不足,应有
conscious,意识,洞察,挂念,知悉
baby,幼畜,牺牲,杏仁,畜生
guilty,有罪,设计,偶然碰到,首领
article,物品,动植物,必需品,哺乳动物
light,轻装,不济事,净化,哀鸿遍野
brown,棕色,苍白,白茫茫,褐色
officer,法警,警官,陪审团,法官
solemn,隆重,吵闹,寂静,多事
very,非常,多多,接受,享受
sugar,糖,想法,交,平的
final,决定性的,浓,因为,喜欢
pocket,钱袋,套子,背包,鞘
render,付给,转送,募捐,呈递
grass,草,草丛,郁金香,刨花
worship,崇拜,不服,买帐,向往
pause,停顿,止血,停车,休会
vessel,飞船,滑翔机,方舟,独木舟
fire,烧制,外用,多劳多得,魔法
action,行为,罪行,暴行,毛病
coast,绕...而行,敲,好像,不一致
useful,有用,隐约,合法,暗暗
last,度过,熬夜,度假,迁移
entrance,进入,跳进,流入,入境
now,现在,以来,后期,昔日
duty,职责,版权,继承权,君权
pain,痛苦,哀痛,大快人心,伤心
little,毫不,不够,偶然,自由
brain,重击...的头,装置,堂(表)兄弟,筷子(常用复数)
shop,选购,函购,订阅,订购
feature,是...的特色,增强,否决,破坏
trial,试,有教养的人,流汗,(文章的)一节
asleep,麻木,狂热,晕船,发狂
stock,发肿,值得,中央,程度
governor,长官,大使,外交部长,工头
ear,耳,无害,裂开,劳工
get,取得,得出,躲开,夺取
goods,衣料,花圈,料子,布帛
freedom,自由,从来不,不够,竭尽
imagine,想,寻找,奶油,很难满足
melancholy,忧郁,担忧,憋闷,痛苦
ourselves,我们亲自,尤其,在外面,放低
dark,黑暗,荣幸,光明,不朽
country,国,耳语,厚,挤满
beat,筋疲力尽,尽量,大都,顶多
motion,做手势,由衷,固体,呈现...前
sad,可悲,拜倒,狂喜,悲喜交集
stand,容忍,不予,不由得,克服
quite,很,(使)感到疲劳,肌肉等等)纤维,征服
native,出生,成长,生长,野生
singular,独一,订(票,晾干,大衣箱
savage,野蛮人,非常,碎块,小羊
by,偏于,火柴,危险,能力
benefit,义演,下台,变戏法,音乐会
might,力量,创造力,创作力,生产能力
taste,吃,促进,学时,释放
crown,露顶,咳嗽,种类,枯燥
physical,体格检查,命运,整理,外地人
explain,讲解,备课,警钟,补课
water,水,薄雾,潮汐,白煤
cattle,大众,人们,人民,每人
side,同意,答应,不容,协定
absolute,绝对,还,当然,也
excuse,藉口,战斗力,全体法官,大约
brilliant,卓越,特别,不落窠臼,卑下
sigh,叹气,感叹,目瞪口呆,沉默
whole,全部,对偶,层层,大多数
of,含有...的,死气沉沉,联营,扫
slave,奴隶,候选人,拥护者,半劳动力
guess,猜,重大,在全国范围内,聚会
and,和,俗语,一致,旅行
trouble,困难,糊涂,动手,拷打
choose,欲,方法,活(着)的,相当
dress,布置,陈列,分布,壁挂
evidence,迹象,意思,必要条件,生态
passion,激怒,缠绕,阻挠,扰乱
series,连续,不住,从来,时常
strong,强有力地,穿着,一百,核心
leave,许可,打印,不准,签证
sleep,昏睡,筹集,筹款,起来
spare,姘妇,朋友,女朋友,新郎
previous,过早,自行(摩托)车,怒吼,部队
idea,思想,百感交集,想像,构想
itself,究竟,不如,本来,莫如
exist,存在,共处,供应,供需
far,远的,(贴在公共场所的大型)招贴,嗥,专门
judge,断定,识货,利用,挪用
genius,天才,度量,勇气,才略
secure,保证,奇迹,人寿保险,莫非
like,相同,不约而同,同年,同期
king,君主,股东,纳税人,女王
cover,书壳,捕鱼人,历史上著名的,为…计时
charm,使高兴,乡村居民,无表情的,温室
tent,注意,小心,担心,关心
liberty,许可,禁止,签证,打印
inhabitant,居民,华侨,华裔,同胞
night,黑夜,夜间,小时,课时
already,已经,刚刚,动不动,一直
expense,价钱,上市,产值,不变价格
thrust,猛推,十五,流泪,羊毛(制)的
amount,合计,迁就,谈判,会谈
treatment,对待,区别,识货,比较
drink,饮料,牛奶,豆浆,咖啡
merely,仅仅,一半,纯粹,及时
battle,格斗,打伤,殴打,吵闹
sin,犯,非常,表演者,在...的背后
himself,他自己,凶猛,行动,性别
castle,城堡,厂房,校舍,农舍
bread,食物,饲料,烟火,素食
ride,骑,准许…进入,只...),桃红色
advice,报道,特写,传记,日志
generation,代,皇后,路程,野外
aside,离题的话,长凳,大企业,用星号标出
eager,敏锐,愚笨,八面玲珑,明白
class,课,辨认,足踝,两者(都)
me,我,湍滩,肌肉,经常
somewhat,有点,一定,多于,比较
fashion,上流社会,提出,广播节目,游过
exercise,训练,锻锤,备课,练习
guest,旅客,旅游者,乘客,俘虏
prevent,先去,更多,大约,经历
close,关,灌木,蜜蜂,识别力
young,年轻人的,游戏的人,雨,通讯员
dozen,许多,崎岖,不乏,扁圆
title,给...加标题,要点,(文字)编辑,(常用复数)面条
powerful,浓烈,真实,甜美,可口
trust,想,范围小的,晚年,曾经
foolish,荒谬,百无一失,勉强,笔误
fish,鱼肉,引入,威胁,摈斥
weight,使倾斜,蛙类动物,责骂,强调
seek,去,操练,不一定,伤害
expression,表达,表态,暗示,志
ancient,古老,现有,不兴,妖娆
enter,参加,缺席,退学,脱氧
notice,关注,操心,可惜,赏识
under,在...之下,站不住脚,有规则地,播音员
myself,我自己,飓风,农民,(头发的)一缕
pure,纯净,紧密,琐细,不对
none,没有一个,苦的,本国,空中加油飞机
assistance,帮助,安抚,慰问,捐助
eat,吃,欣赏,口哨,公尺
language,语言,中文,普通话,量词
whenever,无论什么时候,共同,处理,小屋
prisoner,刑事被告,掌握,预料,正当
alike,一样,附属,同期,同年
weak,不牢固的,舒服,(英国的)大学讲师,小船
refund,退款,偿还,找钱,退还
few,少数,多数,稠密,对偶
grace,使优美,耙,一段,产生
hardly,不十分,许多人或物,共用,在南方
rush,冲,意见,举步,注意到
devil,魔鬼,灵魂,寿星,恶鬼
mount,山,不重要的,集团,(使)噎住
hall,会堂,阅览室,工作室,浴室
different,各别,不等式,像样,不相上下
Christian,人,人称,荒唐,轻碰
expect,预计,预期,渴望,猜想
content,高兴,下跪,哀痛,狂喜
reputation,名气,名望,众望,盛名
bird,幼鸟,同程度　,剪辑(影片等),特别
rough,使不平,高高,完整,尽管
special,专列,幂,公升,彪
production,产生,突发,散发,层出不穷
shout,呼喊,呼叫,悲鸣,叫醒
issue,发行,经销,处理,推销
wicked,淘气,不羁,俨然,大方
freely,直爽,缓和,不道德,转弯
except,反对,相信,容忍,可以
else,否则,总的来说,只有,不但
establish,建立,立法,定都,点名
witness,证据,货源,资源,能源
complete,完成,定稿,颁行,例行
current,流动,陷落,降下,漂移
less,较小,履行,一些,在向
apparent,显然,暧昧,含糊,隐约
main,体力,鼎立,畜力,马力
consider,考虑,认为,衡量,怀抱
find,找出,寻机,寻的,搜寻
busy,使忙于,水塘,用具,日常
daily,一天,摇,苹果树,火柴
stay,延迟,加紧,巩固,起伏
ask,问,把...弄干净,力,姑娘
individual,人,总计,监听,城镇居民
twelve,十二,吹气,锤打,大概
thin,变薄,而且,集装箱,一会儿
indicate,表明,显得,意味着,预兆
phrase,分成短句,朗诵,(常兼汽车修理、销售业务的)加油站,广播节目
legal,合法,不可思议,潜在,公开
protection,保护,关照,侍候,保镖
popular,民众,个人,每人,大家
wave,高潮,多头,景象,势在必行
credit,信任,半信半疑,自信,倾向
fat,肥胖,短粗,垂直,深深
perhaps,或许,陡然,努力,不虞
flat,平面,断面,角,水准
besides,此外,尽管,只是,由此可见
broke,不名一文,艰苦,贫穷,拷打
arrival,到达者,长时间的,东方,列举
treat,款待,收养,虐待,看待
beside,在...旁边,晒伤,逗人发笑,(尤指用沙纸)磨光
consent,融洽,不和,不即不离,亲近
bay,对...吠叫,设,困难,给予(某人)荣誉
blue,蓝色,粉红色,白色,乳白色
something,某物,采集,卷轴(筒,海滩
brief,距离短的,易变,令人吃惊,富裕
remarkable,非凡,第一流,一定,独一无二
weary,疲劳,懒洋洋,激昂,喘息
field,接,片,线,背
anyone,任何人,何人,先生,别人
aunt,阿姨,姑妈,婆婆,泰山
even,使平坦,角色,保卫,简化
doe,雌鹿,教科书,编辑,逼真
behind,在...后面,饭店,(使)变老,黑板
able,得以...的,太太,接收,给予注意
man,人,床,枯躁,鲜艳
their,他们的,唤醒,情况,安静
lest,唯恐,约莫,有时候,无人
pray,请,坏地,日常,糊涂
upon,接触,冲撞,润滑,着
fine,细小,牢固,尖锐,高度
going,成功,覆没,挫败,胜过
blood,血统,系列片,体系,语系
cloth,布,表示惊讶或询问),愚蠢,致敬
together,到一起,有名,必须,跪下
shin,快步走,便宜,非常,结果是
seem,感到好像,起诉,记号,意见分歧
member,成员,使用者,冗员,房客
successful,有成就的,坏地,遥远,数百万
event,结果,跛足,吐穗,枯萎
attend,出席,脱氧,退学,缺席
pair,成对,知道,糟透,答复
straight,直的,海鸥,爱争执的,举动
bright,光亮,背光,动听,夺目
noise,声音,母音,味道,噪声
push,推,能忍耐的,聚集,到处
extend,伸,有趣味的,鼓励,陶器制造(术)
waste,浪费,节省,足够,抽出
volume,音量,份量,比热,比例尺
travel,经过,倚靠,遵循,关于
type,打字,抬头,书法,抄送
when,一...就,许多,承认,航空港
since,从那以后,怀有,竞争,物体
yard,码,打扰,论文,绿色
forgive,豁免,免费,接受,标新立异
numerous,许多,芸芸,多糖,弧形
noble,高尚,色情,妖冶,百无聊赖
destroy,打破,陨落,断开,断头
hero,英雄,随便,果断,卑怯
milk,抽取,得分,扭转,多达
compliance,顺从,违例,背离,遵循
course,进行,循环,并举,断电
source,出处,定理,古典,原理
husband,持有,正当,投稿,沐浴
faithful,虔诚徒众,精选,粗暴,表现
France,法兰西,中华人民共和国,祖国,最惠国
narrow,狭的,生动,看护人,吹气
emotion,情感,反感,意思,灵感
humble,使谦逊,给予帮助,财宝,北方的地区
library,图书馆,电台,运动场,班子
likewise,也,哪里,本来,这样
present,提出,诉苦,闲谈,发言
room,房间,卧房,总统府,别墅
end,端,推动,对…征税,绿色
presence,进见,访华,寻访,探视
bless,使神圣,收集,外表,运河
afterwards,以后,一会儿,明天,上星期
promise,允诺,商谈,拒绝,容许
carry,提,楼,早,白昼
condition,健康状况,邻近,几个,不通风的
practice,练习,锻锤,教学,上课
soon,不久,光是,马上,统统
image,造像,石刻,雕刻,卷轴
sheep,羊皮革,可怕,(使)凸出,歼击机
repeat,重复,已经,到底,人寿保险
try,尝试,拔丝,烘烤,滑溜
though,尽管,因为,无论如何,出于
breakfast,早餐,晚餐,谍报,午餐
centre,心,芳香,第二,缺点
gather,积聚,散布,喷射,遍及
let,出租,佃,包场,包租
heaven,上天,风水,灵魂,幽灵
religious,宗教,败仗,佛教,冷战
alone,仅仅,尽早,光是,乃至
recent,最近,先后,上个月,一会儿
flower,发育,诞生,产卵,野生
to,离,微机,兴趣,牢固
anywhere,任何地方,别的,百万,物主
wholly,完全,根本,相当,纯粹
up,往...的上游,受伤,好问,糖
hat,帽子,题名,牌子,八卦
violence,暴力,财力,万有引力,武力
triumph,喜悦,不亦乐乎,悲喜交集,欢腾
catch,接住,同情,赤黄色,最低
famous,著名,光明,吃不开,羞耻
beneath,在较低处,竞争对手,夜,那时
every,每一个,最坏,廉价,内科
violent,暴力,财力,畜力,武力
computer,计算机,比赛项目,跌倒,招致
moral,典型,不拘一格,差劲,特定
large,大的,劳动,笔记本,简化
fall,落下,剥落,崩塌,滑落
actually,竟然,几乎,间接,仍旧
limit,限度,终端,底线,半边
wonder,惊奇,余悸,吃不服,安土重迁
market,市场,罪状,境况,场面
claim,要求,向往,出乎预料,怀念
fast,禁食,近似,精确,增加
short,唐突,缠绕,触怒,兵不厌诈
god,男神,盒(箱)子,仁慈(好心)的行为,引擎
beauty,美人,骨头架子,矮个儿,稻草人
sacred,宗教,抗日战争,天主教,败仗
dollar,美元,伪币,外汇,黄鱼
comply,遵从,违背,收养,顺从
rich,富的,航海技术,(尺寸等的)大小,总数
rapid,陡的,(使)破产,打结,职位
grant,授予,发汗,加以,促使
observe,说,窃听,倾听,传闻
whence,从那里,前面,(儿童)游乐场,附件
child,婴儿,男孩子,顽童,未成年人
dog,困扰,顶撞,缠绕,激怒
species,种,学识,发现,泄气
hope,希望,热望,出乎预料,向往
aid,帮助,慰问,补助,慰藉
father,生,有节奏地敲击,意识到,上述
praise,赞美,触犯,违例,取笑
principle,准则,规章,规程,盛宴
disease,病,山岗,话,宽阔的罩衫
file,发送,为了,腰(部),北部
after,在...以后,实行,相处,美术
animal,动物,物品,宠物,动植物
proud,感到自豪,生活,细看,门
relation,亲属关系,安慰,失火,乘积
right,实况,浪头,来历,洪流
prove,证明,百川归海,代表,预兆
them,那些,各国,慈祥,那个
bank,岸,教科书,行为,无论什么情况下(在哪里、到什么地方)
ship,上船,茂密,先生,履行
waters,海域,拉美,灾区,南北
health,健康,奇怪,滑稽,特别
so,因此,看来,尽管,那末
offer,给予,致死,造成,使得
arm,提供,相对,需要,便于
long,归属,取决,不约而同,证实
electronic,电子,变温动物,量子,离子
girl,女仆,侍者,仆人,奶子
among,被...所环绕,早,离,门状物
office,办公室,办事,就业,开会
rule,裁决,定罪,复审,惩罚
life,生命,印象,鉴戒,生活
distinct,有区别的,不完善的,调味汁,听说
guide,操纵,超越,束缚,制止
addition,增加的人,颜色,醒来,篇
doubt,怀疑,半信半疑,可以,赞同
afternoon,后期,现在,年底,年头
lead,指引,演示,辅导,启发
glass,玻璃,不碎玻璃,丁苯橡胶,窗玻璃
strange,陌生,紧急,不即不离,震惊
day,天,平的,肩部,左方
regular,正规兵,烘,目前,爱
towards,向,地球仪,突然发生(发作),领域
decision,决议,训令,法令,旨意
win,胜利,征服,覆灭,胜过
several,几个,饶恕,竞争对手,这(个)
inside,在...的肚内,赠品,急(匆)忙,预见
ten,十,百,兆,八
result,结果,开放,跛足,吐穗
forest,林区,水域,北温带,殖民地
year,年,第十二,颤抖,公务
roll,推,抱,费用大的,同事
turn,翻动,浏览,背诵,书写
company,群,使混淆,其它,刻度盘
lack,缺乏,动态平衡,平衡,相差
hitherto,迄今,往昔,上个月,前夕
gentleman,先生,画家,学者,艺术家
good,好的,会,许多,记者
Christ,基督,女神,神道,天使
he,他,用语,力,有趣的人或事物
forth,向前,纠偏,改过,昂首阔步
if,使,挫折,允许,结实
spite,恶意,灵感,滋味,情感
per,按照,按理,对准,随着
square,方格,杂草,作品,滑稽
difference,差别,弊病,上下,利害
range,排,比例,绺,堆
fifteen,第十五,上下,第四,老二
control,指挥,带领,掌握,放假
save,除...外,金属制造,衣领,搏动
skin,剥去...的皮,筐,读书,粗
disk,花盘,蒂,花束,麦芽
army,陆军,舰队,八国联军,日军
sight,看到,俯视,瞩目,眺望
sign,符号,编码,题解,标号
edge,刀口,精神,高地,江面
eternal,永恒,板滞,合理,回旋
sword,权力象征,遮蔽,传真机,热病
which,那些,那个,狰狞,之一
then,那时,这次,此时,动向
absence,缺席,出席,脱氧,退学
along,依照,由,依靠,对准
