#word,meaning,option1,option2,option3
intoxicate,使喝醉,安全场所,有求知欲,钟
vat,大桶,命令,(美)部长,入学
forswear,对...发伪誓,皇后,两个,大量
enact,颁布,遥控,独占,责成
blaspheme,亵渎,从事,挣扎,效忠
shank,胫,以动作示意,棕色,完结部
meter,邮资机,脚,教(练)员,提出看法
greenery,绿色植物,哺乳动物,摆设,植物
affray,闹事,祝福,挑衅,伪造
porpoise,鼠海豚,一个地区的生物,市民,无数
demur,抗辩,狡辩,议论,辩证
surmount,克服,杜绝,洗刷,消灭
saw,锯成,障碍,暴涨,姿势
eyebrow,眉,真理,格言,静静
venal,贪赃,活动,舞弊,贪污
consulate,领事馆,委员会,参议院,情报局
slipshod,马虎,不辞辛苦,浪费,疏忽
cosmos,宇宙,星体,翅膀,宝座
apprise,通知,忠告,报时,报喜
abhor,憎恶,抱恨,痛恨,哀怨
outstrip,超过,不可逾越,有益,约束
morale,士气,度量,智力,禀赋
joint,关节,外部,卖点,江面
bravo,向...喝彩,出入口,过路人,有教养的
itinerant,流动散工,怀念,六十个(人或物),向上
monopolize,垄断,集合,披露,监控
gymnastics,技巧,辩才,笔墨,本领
engender,发生,散发,衍生,突发
dapper,衣冠楚楚,神经过敏,卫生,蓬松
dynamo,发电机,马达,引擎,机器
macaroni,花花公子,妖精,变色龙,大炮
resultant,结果,口吃,开放,溃烂
portent,迹象,表象,阻尼,预兆
larceny,盗窃,盗版,断路,掠夺
accent,着重,无关紧要,主干,不痛不痒
sanitation,卫生设备,算盘,水槽,材料
mileage,英里数,与,房屋,挨饿
glint,光亮,动听,暗淡,耀眼
quizzical,戏弄,诱惑,寻开心,逼迫
navel,脐,作战,分娩,爆发
nonchalant,漠不关心,不理,不置可否,并排
debility,体弱,无力,健康,通红
barrack,大声鼓噪,搏动,请求,腐朽
swag,钱财,不动产,财富,不义之财
corpulent,肥胖,短粗,垂直,憔悴
petal,花瓣,不完全叶,花束,花托
bait,饵,疗法,末尾,谚语
livestock,家畜,槟子,牺牲,杏仁
blare,发嘟嘟声,人称,表,戳
preclude,排除,消灭,横扫,洗刷
croak,杀害,盗窃,杀人,结果
circa,大约在,满意,(教育、慈善、宗教性质的)社会公共机构,证实
suck,吸,供给,粗糙,缔结
mister,平民,人们,人类,分子
browse,吃,有利于,废墟,衣领
encamp,扎营,常驻,国防,警备
draper,布商,废墟,洗澡,走
gad,游荡,打赌,消遣,兜风
watt,瓦,真实,合计,苍白
stylish,新式,过时,现有,崭新
blatant,无耻,举世瞩目,胜利者,不朽
homicide,杀人者,(因恐惧、痛苦等而)尖声喊叫,学生,大陆
totality,全食,意思,必要条件,阻尼
fussy,瞎忙,中央,病,时运
word,讲话,通信,私语,咕噜
beckon,点头,骑车,抬头,掉头
throttle,节流阀,圈,帐单,(钢笔等的)贮墨器
queen,王后,喾,女王,统治者
abridge,删节,校订,绘画,修改
depreciate,降价,退潮,跌落,提前
tram,纬纱,尼龙,丙纶,皮革
roan,沙毛,(隆起的)墓(穴),火车头,许多人或物
calculus,演算,计数,比量,度量衡
commercial,商业广告,不熟悉的,和谐,耽搁
repository,仓库,兵营,资料库,知识库
propel,推进,施加,加以,妨碍
flurry,慌张,坦然,如饥似渴,抱歉
sinew,力量,移植,骗术,本能
prune,洋李干,富于幽默感的,助长,平衡
debonair,温雅,用刀切,告诉,颇
reprisal,赔偿,赎罪,索赔,抵押
condolence,吊唁,自杀,发送,埋葬
snap,厉声,开阔,不羁,顽皮
resist,抵抗,不可抗力,抵抗力,捍卫
lintel,过梁,掘,处理,习惯
pineapple,凤梨,苹果,草莓,胡桃
loveless,没有爱的,错误,(英)大臣,突然抢夺
virtuoso,艺术大师,逼迫,(节日或大事件发生的）前夕,已故
orifice,孔,医术,利益,足
scorpion,拟蝎,因为?,小心,深地
trill,颤动,摇动,运作,动作
excise,消费税,租金,税收,薪水
elate,兴高采烈,欢腾,悲愤,高兴
killer,杀人者,退休金,足够,浴盆
upbringing,抚育,抱养,信守,服务
esthetic,美学,科研,医学,科技
dilate,详述,记载,上述,记述
isolate,使隔离,离题的话,肺,婚姻生活
tasty,美味,十分,名副其实,甜美
colonist,移生动物,脱掉,尤其,给
script,笔迹,条纹,裂纹,波纹
passable,可流通的,消灭,意见,天性
linguist,语言学家,研究者,研究员,鲁迅
unscathed,没有负伤,进行曲,更换,伯父
askew,轻蔑,歧视,并列,不闻不问
itinerary,旅程,人数,短程,篇幅
cultivate,养殖,哺养,授粉,放牧
hinge,铰链,安全带,链子,绳索
freehold,可终身保有的,忍耐(力),正常,囚犯
guy,支索,泥土,使舒适,转移呼叫
bleach,消除,杜绝,横扫,洗刷
massage,按摩,针灸,治病救人,打针
lugubrious,悲哀,忧郁,悲痛,欢喜
malleable,可变,商业化,液化,最大化
trinity,三位一体,崩溃,合并,未婚
migrate,迁徙,风俗,停留,迁居
box,打,粉碎,通知,粗暴
finesse,用...飞,等等,七,近处
viewpoint,观点,动机,偏见,意见
onlooker,旁观者,私人,街坊,一行
unveil,除去面纱,向上,可靠,刮
atomic,原子,离子,中子,植物
flagon,酒壶,筷子,调羹,壶
alienate,转让,拍卖,批发,零售
disavow,否认,攻击,狡赖,推翻
assuage,解...,渐衰期,护理,完整
punt,踢,死气沉沉,电影,形成
mitre,给加冠,电报,咖啡,政纲
nebulous,星云,卫星,彗星,北斗星
admittedly,公认,推翻,承认,狡赖
broaden,使宽,厉害,平静,肥皂
shorthand,速记法,住宅区,两个,买东西
boom,暴涨,改装,推广,缩小
designer,设计者,允许,集装箱,恢复
tantamount,等于,不等,并驾齐驱,同屋
goad,赶牛棒,兽皮,掌声,一些
trudge,跋涉,绕,病史,书橱等的)架子
tourism,旅游团,商队,公会,商会
dredge,撒,隔开,公尺,最后阶段(或部分)
watershed,转折点,照常,限期,为时
omniscient,无所不知,无能,短小精悍,对答如流
millinery,女帽,不重要的,国家,脸蛋
distort,歪曲,本末倒置,渎职,搅混
baboon,狒狒,麋鹿,猴子,猿猴
crony,老朋友,朋友,后人,密友
beholden,依赖,按说,经过,以
wile,引诱,逼债,恫吓,胁迫
aquarium,水旅馆,朋友,不可靠的,经历
beck,向...示意,人行道,说服,故意拖延
bison,野牛,公羊,小牛,羚羊
trickle,滴,原因,行动,金属制造
wheedle,用甜言蜜语骗取,过程,嗯(说话犹豫等),手段
aesthetic,美的,第十九,贡献,对不起
chick,小孩,宝贝,未成年人,男孩儿
rank,级别高于,手势,书店,令人愉快
fetter,脚镣,板子,斧,枷
carouse,喝干,轻松,醒来,调查
agate,玛瑙,宝藏,煤渣,财宝
catacomb,地下走道,海岸,圈套,表格
spoonful,一匙的量,剥去...的皮,净数,连绵区域
alimentary,饮食,人道,早饭,日子
elicit,引出,诱惑,践踏,侮辱
titan,大力士,烈士,令人,懦夫
idiom,方言,句子,动词,外语
diaphanous,轻柔,深刻,鞭辟入里,凶猛
mandolin,曼陀林,同样,成为,汽
ingratiate,使得到...的欢心,摔跤(运动),材(原)料,打电话
subject,需要...的,素材,油,收到
hoot,啐,生育,增进,失望
decoy,引诱,欺侮,引入,侮辱
tally,符合,适应,巧合,不切实际
tenet,原则,补语,格言,表语
vandal,野蛮,热情,殷勤,彬彬有礼
swoop,飞扑,因此,插入,专业学生
potter,闲逛,恋爱,兜风,消遣
opal,蛋白石,岩石,页岩,伟晶岩
hyacinth,红锆石,工作时间,取…的指纹,完全
libel,诬蔑,丑化,狡辩,讥诮
breaker,碎浪,精粹,职位,海滩
hussy,轻佻女子,洪水,攻击,冷静
lee,庇护所,医务所,剧场,马戏团
primate,首主教,导管,相等,十二(个
humiliate,使蒙耻,经过,含金,基本(础)的
melodrama,传奇剧,穿过,授予(奖品等),学业
weedy,杂草,草丛,草,刨花
extirpate,灭绝,横扫,消灭,拔除
negligible,极小,使发烧,经,与…联系
free,自由,拼命,存心,不够
smug,自命不凡,热忱,鄙吝,冷酷
funk,抽,剥离,撕裂,拔节
disparage,贬低,得意,当选,丢饭碗
churn,搅乳器,特性,安全,猜想
braid,编结,制服,油船,黄色
fag,奴仆,拥护者,候选人,阿姨
tablecloth,桌布,练,缎子,丝绒
exactitude,正确,百无一失,笔误,整齐
penguin,企鹅,百灵,家禽,野禽
hulk,庞然大物般出现,一律,连续广播剧,渔夫
howitzer,榴弹炮,左轮手枪,大炮,子弹
outgoing,友好,不共戴天,不和,接近
truism,自明之理,螺母,在里面,有创造力
override,不顾,任凭,鉴于,尽管
buckwheat,荞麦片,房间等),索,叙述
wildcat,未经批准,预见,使安静,教训
illuminate,被照亮的,董事会,信仰,(雨)倾盆而下
erotic,好色之徒,一幕,奴隶制度,回答
pithy,髓的,底,世界,购买东西
machinist,机工,矿工,裁缝,包身工
consult,查阅,酬和,书写,博览
hoard,贮藏,寻机,寻的,找到
trowel,小铲子,折叠,幼畜或雏鸟,一步
elliptical,省略,琐细,纯粹,麻烦
tattoo,刺,戳,开门,倾倒
glean,查明,侦探,追查,不准
overall,总的,蛋,问,生动的文字描绘
divisible,可除,叠,隐秘,楼梯的一段
colossus,巨人,胖子,骨头架子,矮子
jocund,欢乐,鞠躬,欢腾,拜倒
splinter,裂片,芯片,洞窟,滚筒
colloquial,口语,印地语,阿拉伯语,藏语
aqueous,水的,姿势,状态,开始变得
blister,水疱,当局,痞,部门
disinherit,剥夺...有权继承的遗产,彻底,为什么,条文
conscript,由应征入伍者组成的,紧密的(地),博士,系
bigamy,重婚,自杀,休,离婚
redundant,累赘,略去,平衡,琐细
bolster,支持,保温,遗留,保持
liaison,联络,接合,流行,并联
lumpy,多块,付出代价,游泳,能手
absorb,吸收,发出,免职,免费
human,似人类的,始终,战场,工商行名录
squander,浪费,抽出,足够,白费
poster,驿马,政治家,不存在,任何
electrode,电极,极了,尺寸,力气
jolt,震动,带动,动摇,感染
brazier,火盆,风筝,玩偶,玩具
fractional,辅币,锞,货币,黄鱼
appliance,器械,化学武器,细菌武器,皮鞭
lame,变跛,牛肉,卷轴(筒,玻璃
mesh,相啮合,协同工作,污染,愿意做
ignition,燃烧,咆哮,闪耀,烧毁
bestir,使发奋,逃离,邀请,削
seasick,晕船,不仁,头晕,不省人事
uproarious,骚动,多情,薄情,繁荣
redound,报偿,催促,道谢,道歉
neutralize,使中和,前进,这时,(尤指从一地到另一地的陆上)旅行
capsule,概要,文章,大纲,摘要
keg,小桶,当间谍,深的,政治
fauna,动物群,原子,中子,原子核
fallible,容易弄错,机密,起源,在..之上
optimistic,乐观,悲观,暴躁,调皮
refine,提炼,镀银,包金,镀金
waterproof,不透水的,在近旁,法语,解决(问题、困难等)
analytic,分析,标明,引证,探讨
abject,悲惨,劳顿,俨然,危难
requital,报偿物,(专家)鉴定,谁,出口企业
gag,戏弄,过不去,勉强,寻开心
conserve,蜜饯,巧克力,油饼,口香糖
slink,体弱的动物,专心,友谊,核弹
apocryphal,次经,你好(用来打招呼或引起注意),(船的)舱口(盖),农学
forefront,最前线,女儿,移动,上司
quilt,被,飞行器,唯一,视力
salve,缓解,解渴,横扫,恢复
knotty,有结,追逐,视为,电影
midwinter,冬至,纪念日,劳动节,除夕
invoice,开...的发票,篮球运动,奔,把…装箱
rotunda,圆形大厅,美丽,取…的指纹,归纳
trice,扯起,关入笼中,公尺,刺激
lop,小树枝,送,喜欢,盆
insidious,阴险,敦厚,残忍,痛快
postmark,盖邮戳于,欣赏,痛苦,定居
ambiguity,含糊不清,迅速,一,鸟
woodman,伐木人,周期,歌手,出卖
damper,制音器,背,摆动,尤其
transverse,横肌,完美,氏族,完全
beatific,至福,屹立,打扰,会话
stagger,犹豫,急忙,恐慌,如饥似渴
impeach,弹劾,庇佑,上诉,栽赃
nothing,没有东西,牲畜,滑行,从事
weed,杂草,草,杜鹃花,郁金香
vampire,吸血鬼,债权人,乞丐,不倒翁
munificent,慷慨,大量,傲岸,大方
teacup,茶杯,杯子,圆盘,茶碗
resonance,回声,噪音,子音,声音
rabid,狂热,堵塞,发狂,瘫痪
gnu,牛羚,除去,计划,醋
scrutinize,详细检查,教科书,玷污,在国外
disclaim,放弃,舍命,卷入,弃权
eerie,恐惧,吃不服,懂事,震惊
stub,掐灭,冰山,出租,讲习班
ribald,下流,贪心,薄情,高贵
tractable,驯服,说服,和好,调解
well,很,更多,零件,出声
glisten,闪闪发光,凭借,插入物,(通过扩音器、传呼机等)呼叫
befit,适合于,词汇,绕行,地方
hash,把...搞糟,长的,鼻子,毒(死)
cleavage,裂缝,破坏,存放,打破
suave,温和,叛逆,随和,忠诚
elocution,演讲技巧,生计,外部,缺乏
rational,理性,天赋,才智,斗志
reversal,撤销,罢免,免费,免职
oral,口服,说,吸入,听说
graph,描绘,记载,表示,上述
wrestler,摔跤运动员,(竞赛中)不伤和气的,防止,金币
crypt,地窖,暗室,教室,书房
ovation,小凯旋式,下降,大胆进行,蚂蚁
disembark,上岸,化学战,登陆,贸易战
snob,势利的人,改革,灰蒙蒙的,怨
waive,推迟考虑,那些,步骤,摸
dyspepsia,消化不良,火灾,航行于(海上),变成
thorax,胸,分布广的,酒吧,泵
anodyne,止痛药,阿米巴,阿司匹林,冰片
obsequies,葬礼,礼貌,传统,拜物教
emolument,报酬,工钱,版税,补贴
holocaust,大破坏,十字(架),烫(衣),调配
imbibe,吸入,喝,吞食,饮用
rivet,铆,危急,渴望,飞机
forceps,尾铗,楼层,完成,含金
network,用网覆盖,有些,技术(性)的,家事(不可数)
seasonal,季节,旺季,月份,冬季
disprove,证明...不能成立,不知道的地方,美好,在...旁边
mercurial,汞制剂,传说,举,大声叫
proxy,代理,操持,包办,办理
static,静的,多山,使发光,可能
indigent,欠缺,亏损,动态平衡,短缺
milliner,女帽设计者,通常,处罚,爆炸
quartet,四重奏,拉,独奏,罚球
bleat,羊的叫声,无论什么情况下(在哪里、到什么地方),目的,使褪色
improvise,即兴创作,煤,罩,饭店
mausoleum,陵墓,站台,台,炮台
gull,妓女,帮凶,暗娼,酒鬼
spongy,多孔,街区(四条街中间的区域),(住)帐篷,瘦的
wax,变大,蜂箱,同盟,粗俗
dandelion,蒲公英,金银花,丹参,樗
mop,使用拖把,假期,(一节)课,烘干(砖块、陶器等)
pus,脓,大便,鼻涕,胆汁
drastic,激烈,机械,浴血,机动
out,出,判决,出现,形成
vertebrate,有椎骨的,跳动,（突然感到病痛时发出的声音）哎哟,单调
graduation,毕业,下班,罢了,罢休
weakling,瘦弱的人,筹备,外表,人体的本能
cartoon,动画片,摇摆,电影,镜头
abstemious,简单,详细,对称性,鞭辟入里
bitumen,沥青,石膏,水泥,石灰
pervert,误用,用以,用法,罄
tendril,卷须状物,房屋,血,打喷嚏
tedium,单调乏味,发烧,检验,争论(吵)
flounder,挣扎,拼命,补救,从事
paucity,小数目,(比喻)途径,有闲,兄弟
billow,翻腾,对流,运动,陷落
hostel,客栈,饭馆,小吃店,茶馆
gape,豁口,鼻孔,洞口,海口
mammoth,庞然大物,瘦长,矮小,矮墩墩
puberty,青春期,东晋,年代,王朝
inscribe,刻,毒害,敲,总收入
sedentary,坐着,速溶,小偷,使负重担
ascension,耶稣升天,再建,录音(像)机,推进
zoology,动物区系,身份,拼写法,关闭
encroach,侵占,剥削,讹诈,抄袭
glutton,狼獾,牺牲,豪猪,熊猫
wisp,缕,阶级,外国人,东方
ramshackle,腐败,例行,振兴,退步
gash,砍伤,搞错了的,(镶有宝石的)装饰品,变化
subway,地下过道,经受,总是,尚
stave,快走,只...),活跃,在信封上写姓名
celibate,独身者,调配,被释放,(汽车后部的)行李箱
presage,预感,直觉,酸痛,感情
demise,传,设想,位置,平滑
crucible,坩埚,滤波器,打孔器,水槽
crater,环形山,发言,送,感谢
rainfall,降雨,秋高气爽,暴风骤雨,阴天
economist,管理人,所长,会长,队长
gory,血块似的,经历,仪表,总共
deflect,偏斜,端正,凹陷,秃
evaporate,蒸发,燎,溶解,冷却
pantheism,泛神论,马克思主义,民族主义,辩证唯物主义
assorted,相配,适应,莫逆,对称
disengage,脱离,解脱,从事,退役
phoenix,凤凰,第三世界,社会,风水
syringe,喷射器,实力增强,弓形物,意思
remiss,玩忽,地球,切口,块状食品
finale,结尾,病历,阅历,结果
reaper,收割机,处理器,吊车,织布机
ethnic,异教徒的,当时,时态,奶油
shrimp,捕虾,棕色,单独,低劣
terrorism,恐怖统治,露面,田野,(主格)她
indicator,指针,能源,伪证,根据
apostrophe,撇号,体操家,新闻提要,不会
scrub,擦洗者,单独,信息通路,实验室
defunct,已死,牵,懊悔,实
satiate,使饱足,庞大,矿物,热病
dinghy,小触板,(感情等)支配或控制(某人),持续,(事情等)降临于
barb,刈,推迟,办,亲近
wordy,言语,寄送,乱说,通信
exponent,阐述者,油煎,肤浅,使(心情等)沉重
disastrous,灾难性的,联盟,向前,(电或磁)场
pertain,从属,在于,同龄,归属
propulsion,推进,妨碍,寄予,强加
dangle,悬荡,管理,马上,参观者
zoological,动物学的,没有,会话,作者
accost,搭讪,吞吐,对话,诉说
afflict,使苦恼,视频,意见,虽然...但是
hypnotism,催眠术,乘法,作法,疗法
crank,怪人,大炮,先生,白面书生
fen,沼,有些,(光、色等的)带、条,顶
deadlock,僵待,阶级,和…接界,提取奶油
blot,弄脏,使想起,献身,炫耀
sandal,凉鞋,布鞋,球鞋,拖鞋
ticklish,敏感,糊涂,机械,八面玲珑
hock,班房,修理厂,法庭,厂矿
gala,节日,冬至,白露,除夕
sluice,冲洗,合影,对光,录音
nomad,游牧,钓鱼,饲养,培养
nonce,特定场合,怀疑,隐瞒,打印机
rowdy,好争吵的,起立,获得,(纸等薄物的)一张
dividend,赠品,备料,原料,生活必需品
furlough,休假证,社会主义,运送,摸
cerebral,翘舌音的,强有力地,富于幽默感的,(动词)不定式
tea,茶叶,果汁,冰淇淋,绿茶
whisk,掸帚,墨镜,毛巾,浴巾
muck,把...弄脏,教师(员),条件,可能
offshoot,岩枝,范围,安静,分类
schoolgirl,女生,实习生,留学生,大学生
incursion,侵入,断后,突破,夺回
agape,大张着嘴,妥协,令人烦恼,钢琴家
bewail,痛哭,怕羞,吞声,抱头痛哭
petrol,汽油,酒精,石油,煤油
flier,飞行员,厨师,舵手,驾驶员
chit,短信,捆,乐意,不变
derrick,钻塔,台,园艺,主席台
strut,炫耀,惊涛骇浪,辐射,放射
augur,预言,收成,孙女,电报
wrongful,犯法,流放,镇压,抢劫
underlie,位于...之下,目标,壁,欢乐
granary,主要来源,小胡子,零钱,烘干(砖块、陶器等)
evacuate,撤退,收获,摧毁,打败
prate,唠叨,出口,赘述,低语
milestone,里程碑,岸标,浮标,匾额
advocacy,拥护,伴随,等候,会晤
yelp,尖声急叫,作坊,商谈,悔恨
bilateral,两边,材积,多方面,系统
cogent,有说服力,非常贵重,贮备品,劈开
octave,八度,极了,限度,北回归线
stilt,长脚鹬,炮,点缀,销路
planetary,行星,火星,流星,骄阳
affix,添上,(光线的)束,窘境,磁盘
bestial,兽欲,不时之需,性欲,食欲
flinch,退缩,赶上,渐进,推进
elegy,挽歌,伴唱,催眠曲,悲歌
paternity,来源,属于,标明,意味着
italic,斜体,语汇,单字,用语
nettle,惹怒,狐狸,犁,.接见
incisive,锋利,灵活,深刻,活跃
wold,山丘,山脚,高山,狭谷
vaunt,吹嘘,夸耀,对证,吹牛
curtail,剥夺,没收,处决,放逐
retort,反驳,非议,狡辩,辩证
first,宁可,不妨,当然,不如
tasteless,无味,不规则,可笑,滑稽
endorse,认可,驳斥,否定,攻击
galore,多的,稍微,韵文,好事
feint,假装,喘息,屏息,喘气
winsome,惹人喜爱,继母,坚固,共同工作者
itch,发痒,出院,疼痛,流血
asset,资产,财帛,不义之财,财富
galaxy,银河,火星,星球,宇宙
insulation,绝缘,遗传,流行,交接
casualty,不幸事故,真正,抽象,乐器
movie,电影业,中保,本行,商业
inverse,相反,如此,不妨,怎么
dignify,使有尊严,把..看作为,但愿,电流
earshot,听力所及的范围,吞,冷淡,轰隆声
fetid,恶臭,淡,花哨,芳香
hump,溜放,容易,管辖,必要
autonomous,自治,办理,治安,代理
exigency,紧急,微不足道,重要,必不可少
hive,蜂群,协会,北约,盖世太保
sinuous,弯曲,端正,平行,清瘦
dudgeon,愤怒,迁怒,烦闷,大发雷霆
amidships,在中部,分娩,公民(个人)的,脸色
typical,特有,随意,尽力,无意识
mauve,淡紫色的,点缀,讲话方式,朴素
misuse,错用,升起,获得,指示
madhouse,精神病院,人大,医院,剧场
ventricle,腔室,一同,摄像机,制度
decadence,堕落,昂首阔步,建设,落后
dislodge,把...逐出,美好,香蕉,拉
inductive,引入,欺压,动手动脚,侮辱
primacy,第一位,屏风,巨大,永远
blend,协调,匀溜,详细,对称性
bombard,射石炮,风趣,身高,职业
recumbent,横卧,依偎,弯腰,倚靠
capillary,毛细管的,涂(盖)上,病人,未履行的
admissible,可进入的,笔记本电脑,漏出量,药丸
somersault,筋斗,摇摆,滚动,抖动
slush,烂泥,水泥,表土,泥土
bet,打赌,求婚,调情,兜风
dignitary,显贵,胜利者,贵重,昂贵
muffler,围巾,跑鞋,手套,便鞋
stitch,缝,希望,超前,普遍
plod,吃力的工作,使(心情等)沉重,白天,未看到
shrivel,枯萎,成熟,吐穗,开放
deprecate,贬低,背黑锅,丢人,罢官
trellis,格子架,使有条理,外面,晚霞
eject,投射,惊涛骇浪,反射,辐射
queue,辫子,目的,理由,古典
ski,雪板,商店,四(个,包围
obituary,关于死亡,有力,榜样,拉
goodbye,告别,别离,成群结队,背井离乡
upbraid,责骂,骂,竞争,咒骂
rotary,旋转式机器,联系,端,女孩
fatuous,痴呆,卑怯,便宜行事,睿智
graceless,不优美的,病,外地人,传达
impolite,不礼貌,作出,国王,黑(色)
nominee,被提名者,用旧,存在,海员
navigate,驾驶,驾车,一共,骑马
urn,瓮,种类,结果,论文
target,目标,缘起,由来,受事
almanac,年鉴,汇编,字典,剪报
nestle,偎依,距离,拥塞,交界
billiard,台球,曲棍球,棒球,冰球
dub,击,众多,不同意,危难
nil,无,轻柔,出发,这些人(东西)
premise,上述各点,支配,轻碰,引发
bra,奶罩,垫子,窗帘,床垫
housework,家务劳动,记成绩,一心,调查
achieve,达到,遂,吸取,扭转
skill,熟练性,有规律地,不会,牧场主
moisten,弄湿,侯爵,豆腐,花费
gastric,胃的,补救,取代,太空船
rut,动情,喜爱,恋爱,偏爱
emetic,催吐,祖先,伤害,特殊
slum,去贫民窟,有规律地,烟尘,广播
keynote,主音,女高音,笑声,啧啧
acidity,酸性,综合性,习惯性,教育性
pessimist,悲观者,柔和,盐,移动
gruel,稀粥,普遍,一团,武力
engulf,吞没,剽窃,贪污,剥削
autocrat,独裁者,小丑,暴徒,妖孽
firebrand,煽动叛乱者,表面,岩石,使吃惊
tumult,波动,稳定,薄情,太平
decimal,小数,定额,雨量,碑额
veterinary,兽医,作者,记者,姥姥
suffix,后缀,和平,意外遭遇,重要
ferment,酝酿,想法,觉得,绞尽脑汁
subvert,颠覆,篡位,篡夺,叛卖
effete,过时,破旧,华丽,古老
stiffen,变硬,候车室,大概,有才华的
piecemeal,成碎片地,未能,厌倦,修理
monologue,独白,说法,中心语,答词
spout,把...当掉,恼火,通常,地位
double,两倍,旧的,观念,车间
quicksand,流沙,丹砂,石灰,烂泥
baptize,为...命名,承担,感情,搓
television,电视,对称轴,幻灯,电唱机
tether,限度,八度,极了,顶点
bemoan,悲叹,旺盛,不好意思,沉默
beet,甜菜,白苏,甘蔗,八角
unpack,卸下负荷,罚,政权,逼迫
minuet,米奴哀舞小步舞,轻碰,义务,洞穴
kith,朋友,中介,男朋友,媒质
buccaneer,冒险家,工程师,把式,技术员
tulip,郁金香,杜鹃花,草丛,百合
outhouse,附属建筑,妻子,乐意,工商行名录
depose,证实,在于,预兆,显示
gamut,音阶,相像,会堂,正数
grannie,祖母,祖父,亲属,姥姥
satchel,书包,套子,袋子,包
hello,喂的招呼声,充分,黑(色)的,领导
dude,人,丘陵起伏,封条,痛
fawn,鹿毛色的,要求,各个,(非正式)抓住
disfigure,伪装,懒洋洋,屏息,喘息
wallow,打滚,栽跟头,发抖,失足
antiseptic,防腐,消防,避免,避讳
fillet,把...切成片,在内部,向东方的,湍滩
lag,滞后,颁行,昂首阔步,实施
trumpery,零星杂物,愚蠢,和,过失
compose,收拾,拷打,开庭,惩戒
cringe,卑躬屈膝,不亢不卑,不自量,热忱
mucous,黏液,眼泪,鼻涕,痰
selfish,自私,清廉,贪心,不公
thousandth,第一千,哀悼,画像,停留
bulkhead,堤岸,葛洲坝,鸟笼,陷阱
pugnacious,好斗,毛病,举动,表现
indelicate,不文雅的,原文,店主,促成作用
vault,成穹状,捅,完成,划船(游玩)
photo,照片,影像,毛病,贝雕
trident,三叉线,是否,消除,猛攻
bitch,抱怨,痛恨,自尊,引咎
min,小的,猛烈,咬,期限
procure,取得,顾忌,回避,争取
lunacy,心神丧失,旅游者,能源,罚款
crusty,有外壳的,右手,电视观众,大师
hiatus,裂口,崩裂,断裂,断头
forceful,强有力的,生活,情绪,(滑)冰鞋
dust,沾上灰,前途,外面,鼻梁
abase,使谦卑,病例,接通(电话),薄片
debase,降低的成色,守卫,任务,灰
babyhood,婴儿期,任期,东晋,刑期
buttonhole,钮孔,老年,锥状物,操纵
skein,一绞,信念,布告,失去
beehive,蜂箱,信箱,暗盒,手提箱
solidarity,团结工会,(一)排,领会,泵
airplane,飞机,独木舟,班机,方舟
unbend,变直,治疗,水坝,拍摄
tarpaulin,油布帽,工厂,决赛,(纸牌)红方块
statuesque,庄严,清洁,缓解,经济危机
crux,关键,卑鄙,基本,高贵
pennant,锦旗,座标,摩托罗拉,徽章
histrionic,演戏似的,分离,恳请,噪子
amulet,护身符,陷阱,长征,约束
concubine,妾,登广告,怀疑,姿势
will,决心,徘徊,如饥似渴,急忙
officiate,行使,区别,识货,论断
recast,重新浇铸,忍受,履行,满足
offing,近岸锚泊,雄的,有规则地,新闻报道
inversion,倒装,吊装,排列,悬垂
clinch,钳住对手,利润,气象播报员,和谐
facsimile,电传真,珍视(藏),劝告,处
analyse,分析,析出,简介,标明
ref,参考,定量分析,标号,介绍
embargo,征用,操作,用于,用法
holster,手枪皮套,许可,无人居住,园艺(学)
literacy,熟谙文学,守卫,等待,一个月的时间
tragedian,悲剧作者,你(们)的(所有物),两个,一眼
crackle,异彩,菲菲,恶臭,花哨
converse,颠倒,吊装,张灯结彩,悬垂
recession,萧条期,最差,申请,只...)
fudge,胡说,吞吐,多嘴,仗义执言
brusque,粗鲁,不耐烦,耐心,彬彬有礼
feline,猫科动物,毛线,逃跑,五(个
colonnade,成行的树,正常,墙,斗争
detract,减损,接受,激昂,真实
impel,激励,堵塞,加以,兴奋
warble,啭鸣,喉塞音,今音,啧啧
swap,交换,改名,变相,转移
gabble,废话,诉说,出口,咕噜
primer,雷管,炸弹,地雷,暗箭
misrule,治理不当,文化修养,怕羞,在哪
prosy,沉闷,愤慨,忧虑,赌气
scenic,戏剧,舞剧,小夜曲,催眠曲
ewe,母羊,恶作剧,伤风,用步子测量
refectory,食堂,国宾馆,茶馆,公寓
torso,躯干,病毒,病原,毒菌
nostril,鼻孔内壁,修补,术语,东道主
sharpen,削尖,覆盖于…顶端,女演员,站不住脚
optimist,乐观者,抨击,没有,取…的指纹
iota,极少量,汽笛声,创伤,选择(权)
terse,简要,复杂,平衡,琐细
stipulate,确定,否决,定局,务实
indoor,室内,里面,体内,党内
classroom,教室,暗室,厕所,书房
knuckle,肘,领受,扫除,(水
urbane,有礼貌的,听到,这(个),集会
coyote,丛林狼,丰厚,给…深刻印象,建筑
combatant,好斗,毛病,行动,暴行
twitter,吱吱叫,可悲,陆地,珠宝
inane,空洞之物,画,分,期望
elite,杰出,不妙,不像话,专门
melon,深粉红色,打雷,在(或向)...的那边,多种
cacao,可可树,扔掉,急速,最初
sedative,镇静药,软膏,冰片,阿司匹林
