#word,meaning,option1,option2,option3
熟人,contact,contract,constant,contrast
对立的事物,other,nether,bother,lather
探察,case,cash,care,cape
适宜,proper,power,poser,propel
表示,express,empress,oppress,excess
刚刚,scarcely,scarcity,scarce,one after the other
大胆,dare,lard,care,share
继承,adopt,apt,adapt,abort
改变,change,clang,exchange,cadge
宽大处理,mercy,perch,very,marry
可以,can,clay,may,tan
易读,readable,unreadable,eatable,reliable
这里,here,herb,hero,mere
窗框,window,wind,willow,wisdom
合身,fit,quit,flirt,foe
通过,pass,mass,pave,gas
在下面,below,yellow,bellow,blow
细节,detail,retain,derail,entail
登记,record,recorder,reward,recur
定冠词,the,tie,tit,true
以前,former,forget,format,farmer
红,red,reek,gad,wed
陈述,state,stain,stare,stake
宗教,religion,revision,religious,relation
文学,literature,literate,classics,chapter
尊重,value,vague,male,valve
可能,possible,passable,possibly,impossible
美的,beautiful,beautify,bond,homestead
感受,effect,efface,expect,affect
样式,style,stale,sidle,stole
原作,original,criminal,origin,ordinal
隐约,dull,pill,furl,dumb
第二十,twenty,testy,treaty,tent
政府,government,swelling of the liver,regime,rash
雇员,servant,observant,sergeant,verdant
目光,eye,ace,eke,elk
用商标标明,trademark,adhere,evil,slipknot
技术,skill,twill,spill,skulk
惊恐,alarm,arm,alas,altar
较大,superior,threat,notation,corolla
驻扎,base,bathe,ease,vase
也不,nor,honor,air,ion
猛转,race,racy,acme,lane
停止,cease,chase,create,erase
妇人,wife,wide,wise,rifle
工作,work,book,perk,oak
给予,give,gibe,wine,dive
喜欢,care,cafe,cure,cake
直到,while,whine,tile,wire
牺牲,sacrifice,die,alive,meet violent death
签,lot,pilot,lop,blot
光顾,custom,gusto,customer,accustom
哲学,philosophy,geometry,zoological,mathematics
单一,entire,attire,denture,entity
救济,relief,relish,belie,belief
缓慢,gently,gentle,entry,gentry
立即,immediate,mediate,just,half
跟随,follow,hollow,fallow,fellow
讲,tell,stele,well,telly
凑巧碰上,luck,lurk,lurch,peck
调动,move,mosey,love,wave
两倍,double,voluble,couple,doodle
偷偷地走,spirit,skirt,shirt,spiral
光荣,glory,gory,lorry,ivory
帆船,sail,gait,bail,mail
坚忍,patience,patient,swift and fierce,resolute
如此,thus,thug,tub,toss
当...时,as,kw,lap,wag
照料,mind,bind,mend,minus
悬挂,hang,pang,hinge,ring
宴会,dinner,inner,winner,finger
现有,visible,divisible,virile,disable
亲爱的,dear,deaf,bear,dealer
幕,act,aunt,rat,jet
第九,nine,nice,hind,snipe
罪,crime,prime,rile,crate
想,think,thing,ink,hank
狂热,fierce,pierce,force,fleece
方针,policy,police,polite,colic
禽鸣声,voice,notice,trice,vice
临时,occasional,occasion,more and more,in the first place
增强,tone,long,atone,joke
欧洲人,frank,tank,prank,crank
女婿,son,song,pot,she
促使,bring,bang,bung,during
全国总部,national,rational,optional,atonal
纯朴,simple,pimple,dimple,simply
油,oil,tilt,sir,only
胜利,victory,history,vector,factory
用星装饰,star,stag,sap,start
渐渐,gradual,graduate,priority,hastily
镇,town,owe,tow,down
赤裸,bare,rage,aware,blare
地面,dust,gust,dude,fuse
五,five,mine,file,jibe
以前,sometimes,sometime,now,soon
安全,safety,sanity,satiety,safe
神经质的,nervous,ferrous,serious,fervour
作伴,troop,crook,brook,droop
大声,loud,flood,load,lard
出卖,sell,sill,dell,cell
爱,love,lone,loch,more
捐赠物,donation,damnation,notation,domination
他的,his,hoe,pus,this
世界,world,ward,wold,hold
吹响,blow,sow,below,slow
除非,unless,undress,bless,less
打,strike,striker,strife,string
决心,will,twill,wing,chill
便帽,cap,gap,cop,cape
说,speak,sneak,smear,bespeak
记录,note,iota,mot,sole
游戏,game,gate,name,blame
地位,status,statue,state,stylus
种,grow,drop,pro,crow
在...里,at,act,to,re
你的,your,four,noun,sour
半场,half,ham,pal,hall
采,mine,pike,vino,win
看,see,seam,keep,key
飞,fly,guy,flu,icy
执笔者,writer,crater,printer,write
某处,somewhere,fortuitous,leisure,barbarian
用完,finish,furnish,finite,banish
属性,affection,affliction,infection,lofty and unyielding character
供应,furnish,varnish,burnish,furbish
到达,reach,preach,beach,wrench
涂,spread,spree,sprat,speak
公民,civil,civic,cavil,devil
精神,soul,soot,sod,goal
迅速,swift,soft,sift,shaft
使习惯于,accustom,custom,undulate,straggle
唇状物,lip,pip,line,hip
近来,lately,label,namely,barely
每件事,everything,print,stagger,dustbowl
也,neither,either,hither,feather
物主,owner,power,over,corner
消息,news,lens,newt,anew
不,not,mow,know,hot
青年时期,youth,tout,you,pouch
居后,next,pelt,exit,net
因此,hence,thence,dense,chance
大声,aloud,loud,plod,abound
光辉,flame,fame,slave,blame
赢弱,unable,mutable,durable,able
名声,fame,fine,camel,facet
罚,punishment,presence,exchange,dispossess
发热,burning,turning,morning,during
舞,dance,lance,fancy,mace
探出,nose,novel,rise,pole
一部分,part,art,pact,sort
无知,ignorant,ignorance,incapable,smatterer
拒不,refuse,repute,refuel,resume
支架,carriage,marriage,barrage,cartridge
黎明,dawn,yarn,fawn,pawn
水果,fruit,brunt,fruity,fit
第二,second,record,beyond,secondly
黄的,yellow,bellow,fallow,mellow
历史,history,story,victory,distort
亲近,especial,special,be neither too familiar nor too distant,astonishing
房屋,roof,rock,roar,moon
对外,foreign,foreigner,reign,feign
包含,contain,contact,container,contagion
下,over,every,ever,voter
认为,believe,relieve,besiege,belie
神圣,holy,honey,halt,solo
背离,departure,to break the rules,to disobey,obedient
损害,harm,warm,hero,arm
很多,some,dome,lose,pomp
站,station,nation,notation,section
报道,report,retort,sport,resort
微小,faint,pain,feint,paint
太,too,to,mom,hood
习惯,habit,tacit,cohabit,bait
祸害,evil,bail,foil,vile
饭店,hotel,towel,note,rote
欠款,due,dude,hue,pus
微小,minute,inure,mingle,minus
确认,quiet,quit,queen,quilt
死,death,earth,depth,bath
严肃,severe,sever,every,fever
重要,importance,importune,important,cheaply-priced
应付,charge,cadge,large,charm
使认识,acquaint,quaint,acquit,chap
温柔,tender,enter,sender,tenet
百人,century,denture,venture,gentry
集中,mass,math,ash,fuss
各地区,region,regain,reckon,regime
肉,flesh,flush,flash,flee
玩,play,ply,flay,pap
机会,chance,chancy,whence,chaste
比得上,equal,usual,sexual,equate
低,low,few,cow,slow
控制,school,shoot,cool,spool
友好,kind,bird,land,wine
下,rain,train,rainy,chin
压,bear,mar,near,heir
别样,otherwise,these,strange,kind-hearted
擦过,glance,flange,glaze,lace
合上,shut,shin,slut,spout
高兴,joy,jog,jut,boy
成零碎,apart,part,pact,chart
休息,rest,most,bet,crest
小汽车,car,yard,jar,ajar
有苦味的,bitter,titter,jotter,jitter
演说,address,addressee,readdress,duress
工作周,week,leek,teem,reek
纹路,line,online,bane,rife
经受风雨,weather,feather,whether,father
离开,depart,deport,report,decant
固定,fix,rib,him,mix
确信,sure,urn,lure,tune
英里,mile,mole,wile,mote
沙漠,desert,defect,deserts,desire
特殊,peculiar,pecuniary,secular,unprecedented
不作声的,silent,splint,select,talent
多数党,majority,maturity,minority,sceptical
教,teach,trench,reach,tact
例子,instance,insurance,insane,distance
供应,provision,precision,profusion,revision
小说,story,stow,sport,store
直到,whilst,whisk,wilt,hilt
诗歌,song,son,dog,sound
使高兴,delight,blight,light,weight
诗,verse,parse,hearse,averse
顶,top,toy,lope,lop
等待,wait,want,main,whip
避免,avoid,void,avid,acid
必要,necessity,necessary,unnecessary,linked in countless ways
出现,appear,spear,appeal,pear
中部,middle,meddle,huddle,midden
诗,poetry,piety,pantry,poetic
财产,property,proper,poverty,prosperity
可实施的,practical,tactical,practice,commodore
岛,island,inland,disband,stand
聚集,band,end,bane,bad
覆盖,cloud,coup,aloud,clout
花园,garden,garret,warden,maiden
包角,corner,hornet,turner,cornea
不可能的,impossible,possible,impassable,whether
公认,doubtless,countless,to be certain,pry
检修,service,device,survive,serve
直到...为止,till,fill,mall,gill
详情,particular,situation,history,cataract
影响,influence,influenza,confluence,inference
指挥,lord,lid,orb,dorm
她,her,hero,deer,he
遗失,lose,hose,list,mole
打动,affect,effect,defect,aspect
接受,admit,omit,vomit,amity
人,person,lesson,personal,arson
眼罩,blind,bliss,find,sling
另外,more,move,dole,mire
中间,medium,tedium,media,pendium
原件,copy,cosy,soapy,coy
几乎,nearly,nearby,newly,yearly
疼痛,misery,miser,mastery,livery
是...,whether,tether,whither,hither
进展,distance,instance,pittance,distinct
较高,excellent,excellency,on,noun
农场,farm,mark,farmer,calm
以盐喂,salt,smart,sad,bald
勇敢,courage,forage,cottage,coinage
漂亮,pretty,piety,prey,petty
陌生人,stranger,strange,stagger,estrange
缺少,need,seed,feed,heed
有意的,conscious,stunt,mortify,maturate
轻击,baby,babe,bane,band
有过失的,guilty,guilt,quilt,guile
进行控告,article,particle,auricle,artiste
光感,light,blight,night,plight
呈现棕色,brown,frown,brawn,own
船长,officer,office,offer,dean
严肃,solemn,sole,spleen,column
非常,very,mercy,wry,every
糖,sugar,solar,vulgar,sear
决赛,final,signal,finale,finely
把...围住,pocket,hockey,picket,socket
给予,render,tender,sender,gender
草,grass,trash,truss,gross
崇拜,worship,warship,workshop,airship
暂停,pause,parse,prude,plume
船,vessel,verse,easel,weasel
发热,fire,fee,Eire,lyre
行动,action,active,fiction,auction
绕...而行,coast,coax,toast,blast
有用,useful,tuneful,lustful,indistinct
楦,last,blast,art,list
使狂喜,entrance,entrant,entrench,endurance
现在,now,how,noway,sob
职责,duty,defy,auto,rusty
痛苦,pain,fawn,wait,gain
幼小,little,litre,wattle,liable
脑,brain,bail,brim,brazen
选购,shop,sop,hop,shock
是...的特色,feature,stature,denture,venture
麻烦,trial,trill,real,dial
长眠,asleep,sleep,steep,sleet
主干,stock,steak,lock,stoop
州长,governor,govern,general manager,factory director
穗,ear,afar,year,roar
获得,get,fret,pet,gin
货物,goods,goody,good,gold
自由,freedom,unusual,never,inadequate
猜想,imagine,marine,image,unexpectedly
忧郁,melancholy,bemoan the state of the universe and pity the fate of mankind,worry,resent
我们亲自,ourselves,hesitate,show,why
深黑,dark,dirk,lark,rack
地区,country,county,bounty,poultry
筋疲力尽,beat,chat,melt,wheat
做手势,motion,motto,potion,emotion
可悲,sad,rap,mad,head
停住,stand,stark,tan,sane
很,quite,suite,quilt,quote
出生,native,naive,captive,active
独一,singular,angular,insular,backwash
凶恶,savage,salvage,damage,ravage
偏于,by,bag,bat,pry
得益,benefit,befit,suffer,be unable to stand 
大量,might,fight,night,right
吃,taste,waste,tape,tasty
王位,crown,croon,crowd,roan
体格检查,physical,physically,physics,physician
讲解,explain,exclaim,exploit,plain
矿泉水,water,payer,baker,later
牛,cattle,tattle,battle,castle
赞助,side,mile,aide,vide
绝对,absolute,resolute,absolve,obsolete
原谅,excuse,excite,excise,execute
卓越,brilliant,outrageous,unhealthy,specialist
悲叹,sigh,sit,sign,fish
统一体,whole,hole,wholly,wold
含有...的,of,rob,off,cow
奴隶,slave,plane,pave,place
想,guess,gush,tress,guest
和,and,act,vend,no
烦恼,trouble,double,tousle,treble
欲,choose,loose,whose,moose
穿衣,dress,dross,press,cress
根据,evidence,eminence,evident,residence
激怒,passion,passive,mansion,assign
连续,series,serial,serious,herpes
强有力地,strong,stringy,throng,string
许可,leave,heave,verve,beaver
睡,sleep,sweep,asleep,sleet
宽容,spare,spate,stave,stare
过早,previous,devious,precious,autocrat
计划,idea,dean,idem,aide
它自己,itself,himself,myself,self
存在,exist,list,coexist,gist
远,far,nark,ear,cap
法官,judge,nudge,budge,edge
天才,genius,genus,census,genial
安全,secure,scurf,scare,secede
比如,like,hike,poke,life
君主,king,kind,wig,kill
书壳,cover,cavern,covert,over
行魔法,charm,hare,char,chafe
注意,tent,beet,tilt,tenth
许可,liberty,livery,puberty,liberate
居民,inhabitant,ethnic Chinese,city resident,fellow citizen or countryman
黑夜,night,tight,weight,sigh
马上,already,ready,everyday,incomplete
价钱,expense,expensive,expose,expend
要点,thrust,trust,thus,thresh
等同,amount,abound,account,count
对待,treatment,decide,to distinguish,rather
喝酒,drink,kink,shrink,frank
纯粹,merely,heresy,barely,measly
搏斗,battle,tattle,bustle,cattle
犯,sin,dip,tiny,silk
他亲自,himself,herself,itself,moustache
藏身所,castle,capsule,cattle,hustle
食物,bread,beak,tread,break
骑马道,ride,tide,rite,like
报道,advice,addict,vice,advise
代,generation,federation,generator,awkward
离开,aside,agile,side,tide
热切,eager,aver,tiger,lager
课,class,lass,cease,glass
我,me,vex,sue,mean
有点,somewhat,sharply ,for the most part,contrast
上流社会,fashion,faction,fusion,passion
履行,exercise,expertise,excise,routine
旅客,guest,guess,guise,nest
先去,prevent,recent,revert,event
终止,close,lose,cloze,nose
幼小,young,mount,pound,going
打,dozen,dose,daze,down
授予...称号,title,pile,tile,wile
浓烈,powerful,to taste good,very,real
信心,trust,dust,trusty,fruit
荒谬,foolish,abolish,bookish,polish
鱼肉,fish,fishy,sigh,bush
重,weight,height,weighty,slight
去,seek,step,beck,fee
表达,expression,impression,depression,oppression
古代,ancient,incident,accident,accent
参加,enter,after,banter,elder
提到,notice,nice,native,notify
在...之下,under,ulcer,bounder,index
我亲自,myself,self,itself,blindfold
纯净,pure,cure,pore,rue
没有一人,none,hone,dole,honey
补助,assistance,assistant,resistance,express sympathy, greetings, consolation, etc.
吃,eat,neat,deaf,lag
全部词汇,language,waxen,chopsticks,exactitude
无论什么时候,whenever,wherever,whoever,whatever
犯人,prisoner,prison,flux,oscillate
一样,alike,slide,slake,like
虚弱,weak,zeal,beak,week
退还,refund,refine,fund,resound
很少,few,fen,me,see
善意,grace,graze,tract,irate
几乎不,hardly,hardy,hard,handy
冲,rush,crush,gush,rust
给律师当助手,devil,evil,device,bevel
登,mount,moat,doubt,oust
会堂,hall,hail,balk,hallow
差异,different,difference,diffident,property
基督,Christian,Christmas,fairy,angel
等待,expect,elect,expert,extent
满意,content,context,cogent,consent
好名声,reputation,reparation,repetition,deputation
鸟,bird,bad,bra,blind
对...动粗,rough,mouth,tough,bough
特殊,special,serial,spectral,especial
产生,production,productive,reduction,protection
呼喊,shout,shroud,scout,show
发行,issue,assure,tissue,insure
坏的,wicked,ticker,wicker,picket
自由,freely,greedy,finely,freeze
把...除外,except,extent,excerpt,expect
否则,else,elapse,arse,eye
建立,establish,roll call,legislation,choose a site for the capital
作证,witness,fitness,waitress,omen
完成,complete,compete,compere,compute
流动,current,currant,urgent,currently
较小,less,lass,lesson,bliss
表面上的,apparent,parent,motion,teller
叫数,main,mid,lawn,maim
认为,consider,confide,consumer,surmise
发现,find,kind,rind,pint
忙的,busy,burn,ruse,bus
女佣,daily,daddy,fairy,dolly
停止,stay,stab,shaky,say
问,ask,mash,husk,yank
人,individual,indecent,vino,nose
十二,twelve,delve,swerve,weave
变薄,thin,tin,then,than
表明,indicate,abdicate,intimate,indicator
话语,phrase,phrasal,phase,prose
合法,legal,regal,leaf,pedal
保护,protection,projection,protector,protective
民众,popular,poplar,populace,polar
招手,wave,waive,wane,rave
信任,credit,remit,creditor,crest
脂肪,fat,fast,lax,cat
或许,perhaps,sometimes,need not,approximately
完全,flat,flout,fiat,flit
除...之外,besides,betide,beside,bedside
不名一文,broke,bloke,broker,choke
到达者,arrival,carnival,arrive,aerial
乐事,treat,tram,teat,treaty
在...旁边,beside,elide,seaside,betide
融洽,consent,content,convent,corset
湾,bay,bar,way,pay
蓝颜料,blue,bloke,blur,bye
某物,something,gospel,excrete,swivel
距离短的,brief,thief,brine,bier
非凡,remarkable,reparable,vile,ordinary
疲劳,weary,diary,wary,very
接,field,afield,wild,yield
任何人,anyone,noone,anon,alone
阿姨,aunt,vaunt,dune,ant
完全,even,ever,seven,event
雌鹿,doe,dome,cox,sue
落后于,behind,blind,behold,hind
得以...的,able,acme,aye,fable
男子,man,mad,jab,jaw
他们的,their,cheer,the,tier
唯恐,lest,mast,lot,nest
做,pray,slay,hay,pan
覆盖,upon,pin,urn,pot
美好,fine,nine,pie,find
成功,going,gong,joint,gain
血统,blood,bleed,book,broom
布,cloth,clot,sloth,cloud
到一起,together,tether,altogether,conquest
攀,shin,sail,thing,shy
感到好像,seem,week,lee,weed
子句,member,timber,embed,ember
成功,successful,not exert oneself,fall to enemy occupation,be defeated
结果,event,dent,revert,extent
出席,attend,batten,abend,ascend
一条,pair,park,ail,par
直的,straight,straighten,strait,glacial
光亮,bright,fright,upright,freight
噪声,noise,loose,noisome,rouse
突出,push,pus,bush,pass
扩展,extend,extent,expend,emend
废料,waste,caste,waltz,want
卷,volume,plume,column,voluble
经过,travel,drivel,trader,trace
类型,type,typo,tape,tyre
其时,when,whom,whim,what
因为,since,singe,spine,spice
场地,yard,ware,dart,yarn
容许,forgive,furtive,forge,guarantee
许多,numerous,humorous,millions and millions,by no means an isolated case
光辉,noble,noodle,Bible,pole
破坏,destroy,destroyer,destiny,slide
英雄,hero,perm,heron,herd
乳剂,milk,monk,milky,jilt
柔量,compliance,compliant,beeswax,hillside
进行,course,curse,mouse,coarse
出处,source,sluice,resource,sure
使有丈夫,husband,husbandry,disband,tit
忠实,faithful,unfaithful,fitful,docile and obedient
法兰西,France,lance,range,trance
缩小,narrow,barrow,sorrow,borrow
动,emotion,notion,motion,emotional
谦逊,humble,tumble,rumble,rubble
图书馆,library,literary,library,art gallery
同样,likewise,the same year,subordinate,agree without prior consultation
现在,present,prevent,precept,president
占一房间,room,dorm,groom,rose
结束,end,mend,tent,god
出席,presence,pretence,prudence,present
为...祝福,bless,less,blush,unless
以后,afterwards,last month,a while,lately
向...保证,promise,provide,propose,promote
射程,carry,tarry,marry,harry
训练,condition,conduction,conviction,coalition
练习,practice,practise,practical,to attend class
不久,soon,sock,so,gown
像,image,page,stage,male
羊皮革,sheep,sweep,steep,hemp
重复,repeat,defeat,repent,repeal
尝试,try,wiry,stay,spry
尽管,though,tough,thorough,thrush
进早餐,breakfast,detonate,almighty,indict
正中,centre,metre,venture,entry
积聚,gather,feather,weather,father
出租,let,bleat,set,bet
上天,heaven,haven,header,heave
宗教,religious,religion,delicious,Catholic church
单单,alone,slope,lone,aloft
全新世的,recent,resent,recast,repent
开花,flower,power,lower,loser
到,to,toll,zoo,so
任何地方,anywhere,nowhere,desiccant,roller
完全,wholly,holly,chilly,dolly
往...的上游,up,us,sum,hip
帽子,hat,gait,want,nag
暴力,violence,silence,violent,financial resources
胜利,triumph,triumphal,trump,be unaccounted for
抓,catch,hitch,watch,hatch
著名,famous,campus,fatuous,infamous
在较低处,beneath,breath,bequeath,await
每一个,every,never,emery,eve
暴力,violent,violin,violet,virulent
计算器,computer,compute,compete,compiler
典型,moral,more,loyal,amoral
大的,large,charge,glare,hare
落下,fall,palm,dull,wall
竟然,actually,actuality,actual,head wind
限度,limit,limb,lift,lint
奇迹,wonder,founder,sender,yonder
集市,market,mark,carpet,casket
权利,claim,acclaim,slam,alarm
快,fast,cast,fact,vase
短路,short,shout,swot,snort
神,god,gem,ton,sow
美人,beauty,batty,deputy,hearty
宗教,sacred,screw,secret,screed
一元银币,dollar,pollard,collar,doll
遵从,comply,comely,complex,couple
富饶,rich,risk,tick,icy
急流,rapid,rabid,raid,rail
授予,grant,gland,rant,grave
观察,observe,conserve,observer,obverse
据此,whence,thence,where,whine
小孩,child,chip,hold,chill
困扰,dog,dip,do,on
种类,species,specie,special,specify
希望,hope,house,horde,type
帮助,aid,amid,big,avid
生,father,gather,matter,fitter
赞扬,praise,precise,prairie,paradise
原则,principle,principal,predicative,maxim
病害,disease,distaste,disuse,dispense
锉刀,file,flue,mile,rise
在...以后,after,offer,rafter,patter
畜,animal,annual,minimal,axial
感到自豪,proud,pour,broad,pond
关系,relation,revelation,creation,elation
补救,right,bright,aright,sight
证明,prove,prose,rose,drove
他们,them,thump,tie,the
开银行,bank,bark,band,bran
上船,ship,shop,slip,shit
近海,waters,water,watery,waver
卫生,health,heal,sheath,healthy
同样,so,sore,sew,soak
发价,offer,coffer,offend,offal
武装起来,arm,worm,warm,farm
长久,long,con,flog,load
电子,electronic,electric,electron,poikilothermal  animal
女孩子,girl,goal,sir,will
系...中之一,among,along,amour,atone
处,office,officer,offing,offence
统治,rule,mole,able,duple
生命,life,late,lilt,lone
明显,distinct,distant,district,instinct
导游,guide,rude,guise,aside
增加的人,addition,audition,edition,sedition
怀疑,doubt,duet,out,daub
下午,afternoon,morning,early morning,Japan-China
致使,lead,sea,heed,plead
玻璃,glass,gasp,grass,gloss
陌生,strange,stringy,string,stranger
昼,day,fax,slay,daisy
常客,regular,angular,jugular,irregular
对,towards,coward,upwards,axle
决议,decision,incision,delusion,division
赢得,win,wit,chin,twin
几个,several,severally,sever,reveal
在...里面,inside,aside,insane,reside
十,ten,than,tone,bee
结果,result,insult,rest,exult
一丛,forest,frost,fresh,honest
年,year,bean,neat,sear
推,roll,bill,hell,boll
翻动,turn,urn,tyro,ruin
群,company,comply,command,compact
短少,lack,lurk,lock,jack
迄今,hitherto,hither,tomorrow,this morning
先生,gentleman,pale-faced scholar,scholar,pen
好的,good,wood,gaol,wold
弥赛亚,Christ,wrist,hoist,thrift
一个人,he,home,re,me
向前,forth,mouth,forte,birth
使,if,rib,fix,rig
恶意对待,spite,spit,slime,sprite
每,per,pat,perk,paw
成直角的,square,squirt,share,squall
特点,difference,inference,different,deference
变动,range,hang,grange,rank
十五,fifteen,sixteen,fifteenth,lately
指挥,control,central,grasp,lead
除...外,save,same,wane,mace
皮,skin,bin,spin,pin
花盘,disk,dark,rusk,risk
军队,army,arm,warm,farm
检查,sight,right,eighth,high
签,sign,stun,sin,six
加边于,edge,ewe,eddy,verge
永恒,eternal,external,ethereal,internal
权力象征,sword,shore,swot,lord
那些,which,chick,weigh,whine
那时,then,them,ahem,they
缺乏,absence,absent,essence,absentee
依照,along,among,lone,fling
内疚,sorry,sorrow,story,sherry
面朝,face,cane,rate,fore
理由,argument,armament,augment,foundation
政党,political,politics,politick,politician
展览,show,hew,shop,how
每人,everybody,a crowd,population,masses
好的,nice,rice,nude,rick
厚的,thick,shock,chink,thin
上面出现过的,above,grove,atone,abide
温和,gentle,nettle,mettle,gently
职业,job,jam,mob,rob
分散,scattered,scatter,part on bad terms,proliferation
马,horse,corset,horn,house
东部,east,heart,ease,feast
盛行,reign,rein,ruin,rig
吻,kiss,bass,hiss,bliss
养料,food,fort,blood,fool
涂漆,paint,patient,vain,taint
难懂,difficult,difficulty,gorge,consul
熟悉,knowledge,proficient,chew,to know
表,list,lift,just,sit
遭受苦难的人,miserable,fleet,armyman,uneconomic
坐,sit,rite,set,ship
海,ocean,jean,omen,glean
映出,picture,posture,tincture,epicure
彻底,thorough,through,though,trough
注意,attention,retention,attentive,detention
管理,police,palace,polite,policy
总是,ever,verb,even,lever
自负,sufficient,efficient,resign,be responsible for a task unit until it is completed
非野生的,domestic,place,unzip,angina
目的,purpose,purport,purple,suppose
恶心,sick,rich,since,kick
围住,surround,surmount,to smash,have no progeny
用,spend,abend,fiend,send
尺寸,measure,erasure,ensure,pleasure
第三,three,theme,the,them
真的,real,dead,near,heel
正当,reasonable,seasonable,reasonably,personable
种类,sort,suit,core,port
设计,design,resign,desire,designer
版本,edition,sedition,editor,elation
情况,situation,citation,station,saturation
杯,cup,cub,cut,quip
同情,pity,duty,pith,spite
得宠,favor,havoc,flavor,major
坚固,firm,film,fibre,fork
奴隶制,slavery,slaver,slave,livery
号声,call,cavy,cell,camp
意识到的,aware,awake,await,adore
朋友,friend,rind,trend,frigid
人们,us,oz,rug,me
宽松,loose,moose,loop,house
收集,collection,collective,convection,correction
这,this,thus,tip,than
一千,thousand,thousandth,giant,mothball
联系,connection,collection,confection,correction
阶段,stage,snare,sewage,rage
不及格,fail,fatal,wail,bail
杀死,kill,bill,hill,girl
误认,mistake,intake,misdate,stake
在...以前,until,untie,unit,unveil
职业,career,carpet,creed,canter
室,chamber,clamber,hammer,camber
树,tree,tier,tyre,true
反应,answer,antler,anger,reputation
他,who,whose,woo,shoe
神秘,mysterious,vague,baffling,simple and clear
理解,understand,underhand,understate,lament somebody's death
她的,hers,terse,derv,harsh
航海,voyage,forage,voltage,homage
你,you,bob,cot,jog
喜爱,fond,flood,find,old
人,creature,armature,creative,create
颈项,neck,pick,deck,speck
穿过...,across,cross,gross,access
美女,lovely,lonely,comely,lively
大地,soil,roll,skin,snail
使惊恐,frighten,tighten,brighten,fright
表现,hold,geld,jolt,mood
分娩,birth,girth,bird,berth
在家,home,acme,one,more
无疑,easily,readily,easy,family
品德,quality,equality,qualify,reality
破晓,break,brag,ream,area
变陈,age,and,ape,axle
修改,doctor,rector,factor,motor
敬爱,regard,reward,remand,regal
奥秘,mystery,oyster,mystify,misery
属,belong,felon,blond,along
司铎,priest,rest,prism,orient
在...上涂,coat,root,coax,hot
靠近...,on,win,ah,ok
狂欢,ball,boll,ail,befall
你自己,yourself,ourself,natural,skinny
悲伤,grief,drier,grime,greed
结尾,conclusion,confusion,concession,concussion
正确,justice,injustice,juice,justify
许多人,many,nanny,and,mark
为...调音,key,per,wet,bevy
平静,calm,calf,salt,cat
残暴,fell,feel,dell,cell
簇射,group,coup,crop,grasp
看,look,loaf,rook,roof
成为灰色,grey,trek,key,gem
欢快,gay,pray,may,racy
索取,exact,enact,exult,react
现代化的,modern,mourn,mode,modest
物体,object,abject,inject,subject
之后,thence,tense,fence,these
触摸,touch,trough,touchy,porch
投,cast,least,easy,mass
畜生,beast,rest,least,beat
山谷,valley,galley,allay,alloy
管理,direction,detection,diction,directive
穿着,wear,tear,bear,peat
不愿...,before,reform,fore,beware
增加,gain,bait,gash,vain
提高,jack,lark,tact,talk
一家人,household,confide,together,ordnance
真诚,honest,hornet,nest,honey
股份,share,shake,spare,sure
记述,write,bite,writer,urine
明显,evident,evidence,trident,resident
猜想,suppose,support,supple,purpose
黑暗,black,flock,clack,stack
