#word,meaning,option1,option2,option3
低估,underestimate,assumption,guess a riddle,unexpectedly
甲虫,beetle,bustle,nettle,kettle
折叶,hinge,bilge,hunger,hive
漂白,bleach,blench,beach,breach
定性,qualitative,nightmare,to interest,to see in a dream
常去,visit,fist,limit,vigil
留下足迹,track,tuck,hack,tack
胡桃,walnut,want,wallet,grape
表示…的特性,characterize,reiterate,colonist,raincoat
创造者,author,anchor,actor,tutor
干巴巴的,dry,try,dig,dirk
千瓦(特),kilowatt,core,fatten,beneficent
手,duke,dupe,rake,daze
迁移,migrate,emigrate,grate,pirate
摇篮,cradle,treadle,coddle,cable
专席,box,boll,bog,cop
诽谤,slander,squander,slender,meander
粗俗,vulgar,sugar,nobly,to value
假定,assumption,all,only,apparently
(使)激动,thrill,trill,krill,shrill
使成冰,ice,vie,ace,nice
包括,embrace,membrane,umbrage,brace
坦率,straightforward,honest and sincere,honorable,to allay
把…归于,ascribe,describe,inscribe,astride
放宽,broaden,brazen,broad,brocade
速记,shorthand,to extract,dictation,handwriting
实际上的,virtual,viral,visual,virtue
写在下方,subscript,piece,turret,suspect
适合卫生,wholesome,wholesale,stalwart,decode
紧地,tightly,deep,coarse,surging forward with great momentum
紫外,ultraviolet,sun,fluorescence,moonlight
合作社,cooperative,chicken farm,dairy farm,semicolon
支配,dominate,nominate,donate,dominance
代理人,deputy,depth,depute,deploy
参照系,reference,reverence,deference,preference
渗透,penetration,license ,traffic jam,to separate
商人,tradesman,talesman,tribesman,guest
警告,caution,caption,auction,nation
拥护,advocate,advocacy,allocate,farewell
累赘,troublesome,trivial,roughly,many
软片,cartridge,carriage,to copy,camera bellows
绷着脸不高兴的,sullen,sublet,seller,bullet
曲解,distort,discord,disturb,distant
灵活,flexible,legible,inflexible,terse and forceful
诉讼委托人,client,aliment,orient,cent
果园,orchard,flower garden,vegetable field,Taoyuan 
土星,Saturn,planet,meteor,companion 
气动,pneumatic,undercut,tumbler,yacht
危及,endanger,danger,peaceful and carefree,difficult
生命,vital,vista,fatal,veal
几何学的,geometrical,cone,lunch,box
(人)摔下,spill,spell,shall,spiral
短评,observation,local flavor,prejudice,idea
微光,gleam,glum,clam,flea
薄片,chip,whip,chap,coil
黄纬,latitude,platitude,lassitude,altitude
对付,deal,weal,peal,wean
愉快,satisfaction,to the satisfaction of everyone,mournful,kneel
石墨,graphite,graphic,granite,pencil lead
在岸上,ashore,shoe,store,shore
决定性的,decisive,derisive,deceive,decision
极端不同的性质,extreme,excrete,microfilm,congenial
栗子,chestnut,honey peach,young melon,ginkgo
(使)成团,lump,gum,rump,bump
使隶属,subject,sublet,object,subvert
竞争者,competitor,compositor,neighbor,a stranger
格言,proverb,prove,proper,norm
得意洋洋,triumphant,triumphal,mournful,fall on one's knees
用纸包装(或覆盖),paper,pauper,pave,pate
精选的东西,selection,election,detection,selector
首创,originate,original,to run a newspaper,original creation
整的,integral,interval,internal,integrate
传播,propagation,to mix,rumor,popular
尖声地叫,shrill,serial,skill,chill
包括,inclusive,illusive,incisive,conclusive
模棱两可,ambiguous,ambitious,faint,unofficial
独裁者,dictator,dictate,dictation,clown
乐观,optimism,optimist,optimum,filial piety
第一步,initiative,initiate,imitative,spool
指示,indicative,inductive,indicate,indication
攫取,grab,grit,drag,rap
巡逻,patrol,parrot,patron,petrol
壕沟,trench,French,branch,teach
困惑,perplex,purple,people,to fool
微不足道,negligible,eligible,indispensable,unimportant
组件,module,mobile,muddle,mole
讲道,sermon,semen,seaman,demon
家庭,homely,namely,comely,comedy
把…赠与,bestow,bellow,below,bestrew
着重,underline,undermine,underling,underpin
论题,thesis,theirs,chess,these
存在但看不见的,latent,talent,blatant,patent
(交通违章)罚款传票,ticket,bicker,ticker,wicket
繁殖,reproduction,wild,breeding,to survive
吸入,intake,invade,intone,vintage
大主教,metropolitan,churchman,bishop,pope
下级,subordinate,member,team member,boss
反应式,equation,equator,elation,education
财产,estate,stake,stage,spate
概括出,generalize,generality,centralize,dive
珍爱,cherish,perish,churlish,chemist
不足,scarcity,scarcely,deficit,not enough
变压,transform,transfer,transport,excusable
报仇,vengeance,a tooth for a tooth ,corrode,rusty
年年,annually,last year,the year before last,elderly
看出,discern,discord,cistern,discard
化石,fossil,gossip,foil,slate
王族,royalty,loyalty,realty,royal
保留,reservation,hoard,collection,to look for an opportunity
为…辩护,plead,please,lean,pleat
照明,illuminate,illumine,scattering,perilous situation
有策略的,diplomatic,hutch,link,speed
发起,raise,praise,false,raze
能伸长的,tensile,utensil,sensible,tense
天文学,astronomy,autonomy,gastronomy,astrology
发泄(感情等)的方法,outlet,cutlet,outlay,outset
着火,kindle,riddle,fiddle,kindly
使熟练,perfect,prefect,percent,defect
早应该,ought,night,oust,nought
褴褛,shabby,stubby,hubby,flabby
极度,summit,submit,summon,commit
(谋职者的)个人简历,resume,assume,result,presume
椭圆,elliptical,elliptic,flat,all
综合,overall,overawe,overact,overhaul
骨骼,skeleton,skull,man of character,lash
博爱,humanitarian,love and hate,spoil ,patriotism
口吃地说,stammer,shimmer,starter,steamer
节约,economically,to squander,extract,enough
阻塞,block,cluck,clock,look
悲痛,woe,awfully,miserable,gloomy
代表,representation,omen,it could even be said,so-called
辅助,subsidiary,express sympathy, greetings, consolation, etc.,subsidy,sell 
解释,interpret,internet,quote,postscript
侍者,attendant,ascendant,attendance,gentleman
责任,liability,stability,ability,inheritance
大麦,barley,galley,barter,alley
矮胖,stout,stock,shoot,soot
碰撞声,clash,clap,slush,lass
滑翔导弹,glider,rider,cider,elder
使绝缘,insulate,isolate,inflate,insult
电极,electrode,electron,magnitude,strength
管弦乐队的全部乐器,orchestra,orchestral,consignee,receiver
女子气的,feminine,feminism,feminist,oddity
筛孔,mesh,flesh,rash,mess
炭,charcoal,makeshift,atypical,week
围攻,siege,singe,silage,singer
兵器群,battery,batter,better,artery
贿赂,corrupt,correct,accept bribes,corruption
有保存力,conservative,narrowly and luckily escape,waterproof,contraception
(色彩的)浓淡,shade,phase,fade,spare
气压计,barometer,parameter,barometer,compass
董事会,directory,director,member of standing committee,information agency
感叹,exclamation,stun,silence,sigh
慷慨,generosity,generality,generous,forcefully
分解,analytic,analysis,analytical,paralytic
盛行,prevalent,prevalence,prevent,rumor
爵士,knight,night,eight,bright
著名的,notable,notably,mutable,movable
制度,regime,regimen,retire,recite
微妙,subtle,sable,supple,suckle
爬行,scramble,ramble,scribble,shamble
军号,bugle,bustle,bungle,bulge
中伤,assassinate,argument,to smear,tease
(进行)威胁,menace,manage,senate,hence
彼此协调,suit,oust,wait,skin
保证,assurance,insurance,life insurance,finally
商品,commodity,community,software,enclosure
掌握,clutch,cloth,catch,crutch
发票,invoice,invite,involve,voice
外壳,hull,hall,hurl,bell
限定,qualify,quality,nullify,quantify
处女,virgin,margin,pidgin,violin
不管,disregard,whether,extremely,as a result
仿造,reproduce,produce,collect and process,to have something made to order
诚实,integrity,integrate,cunning,false
纪录,documentary,poem,diary,communications
螺帽,nut,nap,newt,dud
横轴,transverse,traverse,blitz,scrawl
蹒跚,stagger,swagger,stage,dagger
贴近,adjoin,adorn,adroit,join
揭示,reveal,reversal,revel,revere
制作,fabricate,abdicate,lubricate,brew
卷曲,curly,carry,curry,curl
香草,herb,here,hers,hemp
(相机)快门,shutter,stutter,shatter,shudder
知觉,consciousness,remote sensing,inspiration,to loathe
灌溉,irrigation,irritation,winter irrigation,open up
伊斯兰教,Islam,slam,slum,seam
唯心主义,idealism,idealize,idealist,realism
审慎,deliberately,smooth and steady,sensitive,intimate
快餐,snack,sneak,sack,knack
猜想,infer,insert,inferno,inner
器皿,utensil,tensile,stencil,ware
提前,beforehand,forehand,go down in price,with a wavy motion 
绰号,nickname,what is your name,another name,pen name
(大学)院长,dean,deaf,den,neap
使互相联系,interconnect,eulogy,solecism,winch
使混合,mingle,single,mantle,angle
蒜,garlic,parsley,onion,spinach
大错,blunder,plunder,founder,bunker
贵重物品,valuable,invaluable,variable,voluble
低微,insignificant,not to be found in the classics - not authoritative,precious,upper class
强壮,hardy,lard,bawdy,narky
热诚,devotion,emotion,deviation,devolution
冲压,punch,hunch,lurch,ounce
推理,rational,national,optional,atonal
改进,mend,tend,meek,maid
牛排,steak,speak,tear,sneak
电容,capacitance,to hold,accommodate,to involve
小新闻,paragraph,deduce,balcony,barge
势利小人,snob,rob,knob,nor
官僚机构,bureaucracy,lionize,arraign,moat
处方,recipe,recite,retire,regime
重要人物,anybody,nobody,antibody,trap
管乐器,pipe,pike,pate,lope
幅度,margin,jargon,marginal,bargain
佛教,Buddhism,defeat,religion,Christian
电传,telex,tell,teller,relax
(挨户兜售的)小贩,pedlar,polar,pear,poplar
网络,network,outwork,net ,to drain
自杀,suicide,subside,hasten home for the funeral of a parent or grandparent,visit
庇护人,patron,citron,matron,patrol
注意,watchful,lenient,careful,misgivings
微信息处理机,microprocessor,weekly,actuality,gaseous
类似,likeness,lifeless,inequality,not less than
认出,identification,supervise and urge,roll call,commentary
人物,personality,per person,forefinger,mankind
鲑,salmon,eel,flounder,shark
聚合物,polymer,prey,protoplasm,organism
嗅,sniff,cliff,stiff,snuff
夸张,enhance,chance,entrance,check
贴砖,tile,tie,till,tit
严厉,harsh,hash,harass,harp
永久,everlasting,a world of ice and snow,many years,of very short duration
常见,frequent,request,frequency,equilibrium
芭蕾舞,ballet,wallet,gullet,ballot
物质,substantial,mama,guest,guy
香料,spice,pie,speck,spin
墩布,mop,dog,mum,mope
严厉,drastic,frantic,dramatic,plastic
调停,reconcile,recondite,to prepare,to tidy up
城郊小屋,villa,viola,till,bill
缩写,abbreviation,abbreviation,lift overhead with both hands,flap
特发,essential,clement,jealous,coastguard
施恩惠于,oblige,online,beige,obligate
漫画,cartoon,carbon,croon,carton
商船,trader,trade,taker,tender
不幸,wretched,wretch,out of the frying pan into the fire,luckily
亚铁,ferrous,fervour,serious,ferris
睡椅,couch,touch,coach,pouch
可怜,pathetic,esthetic,athletic,to share
方位,bearing,when,trend,trend
未婚男子,bachelor,prod,arsenal,endear
用静电复印,xerox,zero,hero,heron
(比赛等中)对,versus,verse,census,Jesus
用具,tackle,tickle,shackle,cackle
侵犯,disturbance,bewitch,corrode,rusty
伤害,hurt,hurl,just,heat
耸(肩),shrug,shrub,shroud,syrup
使眼色,wink,wiry,win,wing
数据,datum,dam,drum,atom
烈士,martyr,barter,marry,marker
(使)旋转,revolve,revolver,revolt,revile
闲谈,gossip,fossil,to spread out,speech
蒲式耳(容量单位),bushel,bushy,bush,usher
预报,prediction,reduction,production,report  to the police
有尽,finite,ignite,infinite,minute
字面,literal,liberal,lateral,literally
感情,sentiment,sentient,sediment,good opinion
瓷,porcelain,plastic,shatterproof or safety glass,white pottery 
机灵,ingenious,ingenuous,muddled,to have good eyes
显微镜的,microscopic,observation,to distinguish,to discern
提纯,purify,purity,putrefy,purely
效用,avail,avoid,vain,flail
参观者,spectator,a member of the same clan,passenger,tourist
凿空,hollow,pillow,follow,callow
起拆理由,count,mount,court,county
有关,pertinent,permanent,by the time when ,compare
(使)偏斜,deflect,reflect,effect,defect
独占,monopoly,monopsony,gather,to monitor
发散蒸气,evaporate,elaborate,cuttlefish,microphone
不可避免,inevitably,necessity,suddenly,vouch for
觉醒,disillusion,not be fond of certain food,be accustomed or used to,to astonish
光电,photoelectric,electromagnetic,opto-electrical,a figure viewed from behind
刺(穿),prick,prima,price,brick
偷偷地做,steal,steel,stew,seal
矩形,rectangle,entangle,arch,rise steeply
力学,mechanics,mechanic,mechanism,mechanical
坚持,insistent,consistent,estimate,to think over
表面,superficial,the surface of the river,cornerstone,delegation
齿轮,gear,mean,glean,pear
自负,conceit,concept,concert,connect
少女,maid,gad,mid,band
经线,longitude,tropical,the northern hemisphere,east longitude
上下文,context,convent,contest,content
敬神,divine,ravine,vine,define
资格,qualification,member of the US House of Representatives,senator,nationality
河虾,shrimp,shriek,shrink,strip
收受者,receiver,received,receive,deceive
非常,extraordinarily,unlimited,receive commands,to share
变长,lengthen,lengthy,length,populate
流放,exile,bile,exude,file
表明,manifest,manifesto,omen,it can clearly be seen
贡物,tribute,attribute,tribune,trite
擦洗,scrub,screw,shrug,shrub
硅(旧名矽),silicon,republic,quid,mope
推荐,commend,comment,common,command
歧视,discrimination,non-participant,take into account,not mind
粘贴簿,album,glum,plum,alarm
螺旋桨,propeller,helm,oar,wheel
竞争,competitive,scold,scold,damn
吸收,absorption,absolution,abortion,grant
灾难性的,disastrous,ripple,spike,lily
推进,propulsion,profusion,repulsion,put an end to
状况,way,clay,wad,nay
纪念品,souvenir,remnant,mammal,prize
宅第,mansion,pension,mention,tension
转动曲柄,crank,clack,cranky,craft
同类,homogeneous,bird species,provincial level ,primary
冷酷无情,grim,rim,grimy,grab
把…称作,entitle,entice,entity,entire
忙乱,fuss,fussy,fast,puss
使聋,deafen,dealer,heaven,leaven
臀部,hip,sin,kin,mid
边缘,fringe,cringe,twinge,brine
发光,beam,bear,near,heal
地窖,basement,casement,pavement,classroom
阵风,gust,rust,tuft,gush
承受,support,supporter,supper,sport
成群,herd,head,her,era
显著,striking,unofficial,vague,indistinct
规范,formal,mortal,normal,former
最适条件,optimum,optimism,private,moderation
附加物,extra,extort,extract,exert
过分,excessively,more than,to move forward a single step,as much as possible
加高,heighten,tighten,brighten,lighten
咕哝,grunt,glut,gaunt,grant
确定,ascertain,uncertain,certain,appertain
棒球运动,baseball,basketball,vet,parry
外流,flight,fright,bright,eight
脆的,fragile,frail,facile,agile
国内,inland,island,land,inward
(思想等)归向,polarity,disappear,parochial,disappoint
蟹,crab,pram,crank,crap
造船(业),shipbuilding,dogmatism,exquisite,flagstaff
港口,seaport,teapot,support,deport
教令,decree,degree,decide,secrete
拖运,haul,hay,jail,fall
常住者,resident,evident,reticent,president
损坏,deformation,to smash,peel off,collapse
财产,substance,oil  price,net,list price
捏造,fabrication,faking a modern object as an ancient one,parade one's wealth,provoke
电子管,valve,vile,salvo,valise
变松,loosen,loose,woolen,lessen
内部,interior,anterior,interim,inferior
石灰石,limestone,milestone,lodestone,dolomite
精华,essence,absence,ember,goose feather
适度,moderately,moderate,to fit well ,duty
方向,orientation,foregone conclusion,balance of power,bull
大小,magnitude,horsepower,extremely,tripartite balance of forces
无情,ruthless,take on action,peace,literal: to like the new, and hate the old
清真寺,mosque,torque,steamer,mosque
氧化,oxidize,oxide,to maximize,to become
克分子的,molecular,freshen,routine,wire
细浪,ripple,tipple,nipple,apple
炮弹,shell,chill,swell,sheer
情妇,mistress,distress,mistrust,stress
使顺从,resign,deign,design,reign
可能(性),likelihood,livelihood,trigger,oblique
黎明,twilight,Mother's Day,vacation,Christmas
反驳,retort,resort,deport,report
枷锁,yoke,mope,doe,dike
歌曲,melody,malady,felony,melon
范围,province,provide,prince,limit to
阻止,prevention,pretension,preventive,retention
倾斜,gradient,radiant,to squirm,nestle
爱好奢侈,luxurious,lugubrious,vanity,culture
咧着嘴笑,grin,sin,rig,spin
剪,clip,slip,clap,tulip
合乎体统,proper,probe,propel,poker
织布工,weaver,leaven,waver,weave
陶器,earthenware,radar,transformer,router
懈怠,slack,lark,lack,clack
仿造,pattern,platter,potter,spatter
微光,taper,tap,caper,take
周年纪念日,anniversary,redress,slumber,swoon
探针,probe,prove,prune,prose
覆盖,cloak,flock,lock,clay
装罐头,can,bag,tap,ray
车轴,axle,axe,all,ace
市价,currency,currently,current,urgency
含糊,hesitate,meditate,testate,estate
驳船,barge,burgle,badge,bangle
击剑,fence,fee,whence,fine
琐碎,detail,retail,detain,derail
辉煌,brightness,dazzle the eyes,gloom,interesting or pleasant to listen to
基本,ultimate,cultivate,estimate,climate
棺材,coffin,coffee,confine,cousin
抛弃,forsake,forage,chain reaction,forfeit
解除(婚约等),dissolve,dissolute,boatswain,shipwreck
水陆坦克,buffalo,veranda,barren,bowel
团结,solidify,solidity,trinity,to decide
(使)摆好姿势,pose,pole,paste,lose
壁炉,fireplace,replace,plaything,roly-poly
文盲,illiterate,obliterate,literate,name of an author, Lu Xun
缝,stitch,snatch,witch,itch
结构,construction,all kinds of,some kind ,organized group
大使,ambassador,person in charge ,first secretary,president
逐出,eject,expect,sect,elect
恳求,entreat,come to understand,supplicate,to deny 
信念,religion,region,religious,revision
使结合,integrate,integrity,integral,intestate
微粒,atom,atomic,atone,arm
好幻想的,romantic,rap,counsel,needlework
重视,value,vague,vogue,false
多风,windy,wend,kindly,wink
注满,inject,intent,infect,insect
滑板,slide,wide,lie,sluice
减小,diminish,pay retroactively,disarmament,to cheer sb. on
坚持,persevere,deliberately,guess,feeling
事故,occurrence,recurrence,commercial affairs,happening
配料,ingredient,spice,data,gift
分解,decompose,discompose,compose,comment
敏捷,promptly,evening,to arrive late,basic
给…调味,flavour,neutral,suggestion,handle
谦和,gracious,precious,voracious,veracious
动员,mobilize,mobile,moralize,demobilize
(意外地)出现,pop,jot,sop,log
(战争、愤怒等)爆发,outbreak,digest,kebab,metro
喝彩,applause,applaud,appraise,appease
使接替,relay,regal,replay,realty
飓风,hurricane,iceberg,east wind,icicle
群集,flock,frock,clock,flog
铸造(硬币),coin,ton,copy,cabin
不充足的,inadequate,inadequacy,adequate,family
(使)丁当响,jingle,mangle,tinge,jangle
资产阶级,bourgeois,Kuomintang,Party and government administration,proletariat
不雅观的,awkward,backward,award,road
螺旋(形)的,spiral,spire,spill,spinal
小数,decimal,decimate,denial,decibel
海关,custom,customer,accustom,custody
公约,convention,convection,confection,conception
超声,supersonic,nasal sound,laughter,thunder
(衣服里的)衬里,lining,refectory,staff,protect
从事(职业),follow,fellow,fallow,billow
编史家,historian,historical,historic,affront
极好,unique,antique,undue,clique
系列,spectrum,spectre,spectral,a lot of
最初,initially,initial,unlimited  duration,beginning of the year
行动,move,dive,money,mine
废料,scrap,scrape,scalp,crag
怀念,yearn,year,bear,tear
达到目的的手段,passport,password,politician,obsolete
以面纱遮掩,veil,veal,bail,well
危险,hazard,award,wizard,halyard
坚定,steady,stead,steely,stray
残酷行为,cruelty,crusty,cruel,neutron
卵形,oval,weal,rival,opal
条目,entry,sentry,entity,century
气孔,pore,dome,fore,pole
郁金香,tulip,trip,slip,lip
不朽,classic,class,chassis,classy
界限,radius,radio,Ladies,radish
雪茄烟,cigar,car,liar,cider
统治,sovereign,south side,student's strike,shopkeeper's strike
坡度,incline,incise,online,inkling
生产率,productivity,rate of exchange,support level,a platoon
男爵,baron,brow,bacon,baronet
瘟疫,plague,page,league,plane
围绕,enclosure,enclose,closure,surround
横切,traverse,transverse,averse,reverse
钮扣,fastener,listener,fasten,insect wax
风气,tone,sole,lone,dose
单纯,simple,simply,ample,pimple
顺时针方向转的,clockwise,history,curiosity,invariable
大使的职务,embassy,cover,medicated,jobcenter
维生素,vitamin,root of herbaceous peony ,nourishment,medicine
消遣,recreation,secretion,reception,recitation
归还,replacement,to ask,lend,return
芦笛,reed,organ ,a bowed stringed instrument with a thin wooden soundboard,set
延迟,retard,reward,rear,restart
命运,destiny,destine,destroy,testify
地下室,vault,salt,caulk,taunt
陡,rapidity,validity,cupidity,acidity
有帮助的,instrumental,old,noun,tally
差使,errand,brand,strand,expand
弧光,arc,add,barn,ark
阳台,terrace,terra,terrain,trace
赞歌,hymn,ham,rhyme,home
嫉妒,jealousy,zealous,jealous,confident
推翻,overthrow,intervene,overthrow,publicly known
前后一致,consistent,insistent,not be  mutually exclusive,homologous
废品,dust,dune,lush,duly
著名,noted,not to be found in the classics - not authoritative,immortal,authoritative
市的,municipal,public,one's job,extra
压制,quench,stench,bench,blench
迫害,persecute,prosecute,harmful,convenient
团结,solidarity,solidity,collapse,to combine
附属,accessory,accessary,hinge upon,all things tends in one direction
正确,validity,rapidity,validate,acidity
自私,thoughtless,nondescript,divine,figurative: given an inch, want  a mile
凝思,dwell,dell,swell,well
后果,outcome,retribution,the whole story,argument
一队,troop,proof,broom,crop
失踪,disappearance,spread fast,accident,to get an electric shock
规则性,regularity,regularize,dental,quibble
向北,northwards,drafty,reign,schedule
舞台监督,producer,product,produce,foreword
评议员,senator,sector,sensor,senate
分支,limb,lid,lamb,jib
饱和(状态),saturation,salutation,situation,lock
平静,tranquil,calm,not bat an eyelid,anxiety
丑事,scandal,sandal,vandal,canal
沼泽地,marsh,mar,mash,smash
耽搁,detain,certain,remain,derail
逃跑,fly,flax,flyer,fit
党纲,platform,man of character,rough,leading principles
餐巾(纸),napkin,catkin,akin,evince
分支,offset,offer,onset,outset
发言人,spokesman,sportsman,eyewitness,agent
不朽,immortal,mortal,immoral,unknown
湿气,humidity,cataract,paralysis,tropical disease
转移,diversion,aversion,diversity,diversify
抛,heave,heart,weave,heavy
有礼貌的,courteous,bounteous,courageous,conceited
欺诈,cheat,great,theft,create
燃烧,combustion,clatter,burnt,burn down
丰盛,hearty,earth,dearly,party
傻子,idiot,ingot,idiom,idol
买空的证券投机商,bull,dull,bulk,rule
团,regiment,regimen,resident,regime
必然,consequent,life insurance,as expected,went on to
眺望,overlook,overwork,overload,to review
小路,footpath,avenue,halfway,route 
撤销,repeal,appeal,repeat,repel
应该,should,have not learned to,feel it beneath one's dignity  to do something,won't do
改变,convert,invert,concert,confer
可能的事,possibility,sock,eastward,toffee
坚定,sturdy,surly,study,steady
控制,govern,covert,overt,over
大酒桶,butt,but,beet,buoy
(马)溜蹄走,pace,lack,have,race
把…引入船坞,dock,do,pock,rock
拉紧,brace,broach,tract,brake
蓄意犯罪,malice,mace,palace,malign
室内,indoor,indoors,door,the outside world
使软化,soften,often,rotten,soft
容光焕发,radiant,rampant,valiant,reliant
坚持,adhere,admire,there,adherent
(厨房内的)洗涤槽,sink,lint,dirk,stint
小树林,grove,drove,broke,globe
术语学,terminology,adjective,particle ,pronoun
炖着,stew,stud,she,step
(蜂等)嗡嗡叫,buzz,bus,fuzz,muzzy
海角,cape,care,case,cab
显露,emerge,merger,merge,emery
水银柱,mercury,Mercury,perjury,mercy
扶养,maintenance,child care,adopt,respect 
切片,segment,sediment,semen,cement
有效,significant,legitimate,general,indistinct
有份,participant,nonplus,gamut,pollard
发火焰,flame,blame,frame,glaze
原子核,nucleus,nuclear,atomic nucleus,quantum
屠杀,slaughter,daughter,laughter,gamble
轰动一时的人(或事),hit,its,hint,jot
分开,detach,each,death,detract
美德,morality,mortality,moralist,locality
宣传机构,propaganda,yearn,reinstate,budge
水力学的,hydraulic,hydraulics,satiety,simplicity
突出部分(如船头等),nose,noise,those,dose
指示,denote,donate,devote,depot
枯萎,wither,twitter,jitter,within
砂箱,flask,flaw,flare,slash
(烟、酒)味淡的,mild,lid,mail,mid
血管,vein,deign,sin,den
冶金学,metallurgy,priceless,venerate,revoke
指定,designate,desiccate,choose a site for the capital,legislation
沉思,brood,broad,brook,broody
(罗马天主教的)教皇,pope,ominous,trickster,hit
宜人,hospitality,to lack,moving,general
系统,systematically,network,film series,parentage
行动,proceeding,to walk,rush about,with one's hands clasped behind one's back
支持,second,send,scold,record
赞美(上帝),glorify,glory,clarify,playground
服从的,obedient,obedience,wax,fawn
善行,goodness,godless,goddess,poorness
猛地一拉,jerk,peck,germ,dark
场面,spectacle,-ism,money worship,humanism
无关,foreign,feign,foreigner,foreman
预言家,prophet,crochet,prophecy,propel
在(做)…时,over,beer,hover,aver
设想,conceive,concave,connive,conceit
万岁,hurrah,hurry,you ,comrade
蔑视,defy,deify,deft,beefy
在…旁边,alongside,giddy,tropical,hysterics
传说,report,sport,deport,retort
装饰物,ornament,ointment,ornamental,tournament
使自动化,automate,automatic,automat,nudge
不合理的,improper,proper,improve,surname
精炼厂,refinery,refine,finery,Public Security Bureau
(动物)品种,breed,greed,braid,breech
祸害,evil,devil,pail,ail
空的,void,vomit,lord,fond
欧姆,ohm,hardness,strength,length of 2 outstretched arms
开关,cock,hack,cluck,chuck
持续,persist,desist,permit,resist
粗心大意,reckless,feckless,trackless,recess
礁石,reef,grief,beef,tree
放纵(感情),indulge,indulgent,induce,tick
无穷(大),infinite,infinity,finite,indefinite
直率,explicit,exploit,implicit,elicit
走私,smuggle,snuggle,struggle,smudge
恶性,vicious,various,vacuous,vicarious
幼小的动物,puppy,happy,putty,poppy
眼界,scope,cope,scene,score
激烈,severe,sever,revert,revere
虫子,bug,cue,bud,beg
(兽类的)后踝,ham,pay,haw,him
头晕眼花,dizzy,dinky,diary,fuzzy
充电,charge,chafe,chaste,change
虔奉宗教,pious,pout,plus,proud
归还,replace,place,relate,replica
挤入,wedge,cede,badge,fudge
使认识,acquaint,quaint,acquit,darken
一致,compatible,comparable,of the same age,to belong to
均衡论,equilibrium,middle school,dialectical materialism,agnosticism
闲混,trifle,bridle,triple,rifle
竹,bamboo,baboon,taboo,gambol
格斗,combat,compact,comsat,coat
折磨,grind,grief,grunt,grin
(树木的)软枝条,switch,twitch,scotch,witch
连接,junction,unction,auction,munition
丝,web,rib,bet,wet
酒会,symposium,symposium,feast,Congress
流线型,streamline,invisible,sphere,ring-shaped
逃犯,outlaw,outlay,outlast,outlet
合成,synthesis,synthetic,synthesize,average
使屈服,subdue,sundae,subtle,undue
另外,otherwise,thereupon,extremely,how 
可估价的,appreciable,severe,peer,lionize
发挥(威力),exert,exalt,exhort,expect
饮食,diet,dirt,debt,gist
加衬里于,line,slice,inn,tune
金枪鱼,tuna,ton,lunar,lung
遗弃,desert,deer,dessert,desire
狂喜,rapture,rupture,mature,capture
使受影响,infect,inert,infest,inset
负的,negative,native,negate,relative
证实,confirmation,omen,to illustrate,it could even be said
看法,notion,ration,lotion,potion
选择,option,potion,ovation,action
实验上,experimentally,agio,unlimited,combat
熟练,proficiency,vigorous,switch to a job one was not trained for,grand talents mature slowly
无限期的,indefinite,infinite,definite,hone
熟练,proficient,boyish,initiative,amateur
同一,identical,of the same age,be under the jurisdiction of,subordinate
巡航,cruise,praise,ruse,raise
条款,provision,proviso,profusion,revision
渊博,profound,pronoun,propound,endless
冲动,impulse,pulse,repulse,impure
然而,whilst,whisk,whimsy,thirst
奉献,dedicate,decimate,mediate,delicate
系数,coefficient,volume of trade ,quota,reading
诗,verse,terse,verbose,mere
转变,transition,tradition,transitive,change irregularly
复兴,revive,relieve,review,revise
过度行为,excess,excise,excel,except
发生,generate,generator,venerate,general
扣紧,clasp,class,clap,camp
偿还,repay,decay,relay,rear
坚定,firmness,fitness,indomitable,to understand
谦逊,modesty,modest,majesty,molest
马戏,circus,cirrus,circle,virus
商议,counsel,consul,course,council
粘牢,glue,hue,gauze,flue
(森林中的)空旷地,clearing,quickset,narrative,barrow
运动,locomotive,locomotion,current,convection
殖民地的,colonial,colossal,colonel,colonist
(藤等)茎,cane,tone,caste,cafe
加浓,deepen,deafen,depend,keeper
泡沫塑料,foam,far,fray,roar
很可能,doubtless,countless,liqueur,childlike
镇压,suppress,oppress,confiscate,to operate on or to be operated on
表面上,seemingly,sinker,exceed,rehearse
不变,invariably,consistent,manage  with difficulty,pitiless
夜盗,burglar,burgle,bursar,pirate
苛求,particular,to ask,to look for,woo
扯帆,mast,malt,haste,mess
势力,influence,influenza,affluence,confluence
尔后,subsequent,before,last time,one after another
片,flake,flare,flee,fate
火星,Mars,ware,darn,cart
蛋黄,yolk,sperm,egg,egg
普及,popularity,popularize,recoil,sink low
痛苦,torment,ferment,torrent,orient
遮帘,blind,bond,bend,band
侦探,detective,defective,detection,elective
假的,fake,lake,bake,fame
埋葬,burial,aural,aerial,bureau
拍打,flap,clip,flag,map
钉住,tack,talk,walk,tuck
不合理的,absurd,absorb,abound,assure
定位,location,vocation,locution,oration
悲惨,misery,miner,livery,mastery
使(人)失去,deprive,deceive,derive,deprave
利用,impose,pose,depose,implore
槭树,maple,mangle,axle,male
损害,prejudice,harmful,insuperable,to prevent
建筑师,architect,researcher,observer,linguist
理解,comprehend,forget,to know well,proficient
股,thigh,thief,tight,high
预言,prophecy,prophet,prophesy,tattle
