#word,meaning,option1,option2,option3
低估,underestimate,unexpectedly,to persist,predict
发出咔哒声,click,flick,lack,cluck
投机,gamble,rambler,bauble,ramble
一致,conformity,agree without prior consultation,subordinate,roommate
有助于…,conducive,tiny,lash,quite
微温,lukewarm,orb,imperil,goddess
作…的主人或节目主持人,host,rot,hoot,hoist
腹泻,diarrhea,digest,have a fever,to cough
损害,detriment,nutriment,detrimental,to guard against
(特别指创伤)治愈,heal,heave,head,heel
硬件,hardware,software and hardware,enclosure,goods
保险额,coverage,courage,converge,beverage
三角,triangle,strangle,wrangle,tangle
摇摆,oscillate,vacillate,maneuvering room,turn
解释,interpretation,to consult,comment,to leave a message
阿谀,flatter,clutter,litter,latter
电气,electrical,electric,steam,electric
无穷大,infinity,infinite,infirmity,affinity
柄,handle,dandle,hale,paddle
缩影胶片,microfilm,pound,bursary,devour
(病)发作,attack,stack,attach,attic
(用泵)抽水,pump,camp,dump,dumb
近海岸的,inshore,perimeter,kin,swift
狮身人面像,sphinx,picture,bust,image
品格不端,disreputable,pretty and flirtatious,chastity,full of  tenderness or affection 
保证,guarantee,guaranty,guarantor,no longer
大量,stack,smack,tack,stock
结,knot,jot,knotty,know
弹起来,bounce,pounce,brunch,trounce
发信号,signal,sign,final,spinal
热的,fervent,event,ferment,percent
使纠缠,entangle,rectangle,tangle,to abstain from voting
想象,envisage,visage,moving,one's mind is perturbed
使丧失能力,disable,sable,visible,advisable
图表,graphic,graphite,graph,map
潜望镜,periscope,microscope,sunglasses,prism
传达,convey,convex,convoy,conveyor
在...当中,amidst,trooper,partake,olympiad
极好,terrific,terrify,corruption,lockup
样本,specimen,species,specie,monthly calendar
沉浸,immerse,inverse,immense,be situated 
（声音）洪亮的,resonant,resonance,dislike,to feel
无数,innumerable,every,precipitous,there is no lack of
描绘,represent,present,reprehend,to express
突然,abrupt,abduct,about,erupt
收养关系,adoptive,adoption,abortive,additive
嘲笑,jeer,written polemics,answer back sarcastically,defame
看穿,pierce,fierce,apiece,perch
前奏曲、序曲,overture,overturn,aperture,overdue
易受伤害,vulnerable,venerable,outdoor,doom
屈服,succumb,bruise,to become reconciled,use force
跳,leap,dead,jean,pep
食橱,cupboard,wooden bench or stool,bed,hammock
笨重,cumbersome,handy,feel under the  weather,hard
警惕,precaution,fascinate,be indecisive,embarrassed
阻挡,obstruct,abstract,construct,instruct
隐私,privacy,piracy,primary,primacy
招待,entertainment,mistreatment,banishment,adoption
潮湿,moist,mist,list,hoist
接近,approach,reproach,solemn,such as
不妊,barren,barred,barrel,marten
根除,eradicate,predicate,radiate,exclude
兴奋,hectic,lactic,heretic,arctic
蒸汽,vapor,paper,vapour,kapok
时疫,epidemic,endemic,diphtheria,hepatitis
垂直或突然地堕下,plummet,power,homework,vulgar
瞌睡,drowse,drove,drowsy,drone
实行,executive,elective,execute,execution
(时间)过去,elapse,relapse,erase,ellipse
落伍,outdated,to build,cause to develop,make more widespread
允许进入,admission,emission,mission,remission
逻辑,logical,conical,lyrical,illogical
震动,tremor,tenor,to provide impetus,stir
描绘,portray,portrayal,portrait,Fortran
比较,comparison,companion,by the time when ,heel
亲近,familiarity,unknown,to know,see clearly
愤恨,resentment,have a gnawing regret,dreary,sad
拧,wrench,drench,branch,trench
要道,artery,battery,barter,astern
恰当,appropriate,no good,easy,trouble
隐遁的、隔绝的,secluded,lend,observant,thrush
(依法)驱逐,evict,enact,emit,edict
跳跃,hop,hip,hoax,pop
退步,setback,stack,to take drugs,cause to develop
捍卫,champion,guard,immunity,force majeure
搏斗,contend,content,convent,convene
反对,objection,subjection,objector,objective
目录,catalogue,analogue,appendix,tune
明理,sensible,feasible,senile,ostensible
治疗,therapy,thereby,see a patient,to make a definite diagnosis
支气管炎,bronchitis,septicaemia,powdery mildew,measles
喧闹声,din,vine,hint,don
罚,penalty,realty,penal,to discipline
敏感,susceptible,be smooth and slick ,abject,silly
规定的,compulsory,skilled,insinuate,mollusc
历元,epoch,each,epic,porch
财政,financial,financier,internal affairs ,finances
四轮马车,waggon,jargon,maggot,waggle
晚辈,junior,union,juror,janitor
新陈代谢,metabolism,to enlarge,to revise,to cut over
无实体的,insubstantial,knowledge,hero,sensible
桥面,deck,wreck,duck,desk
最新版,update,date,prate,spate
横隔膜,diaphragm,elongate,faithless,salary
使安静,lull,lust,cell,bully
气象学者,meteorologist,force,fruit,scenic
哀婉,pathos,patron,python,maths
有成效的,fruitful,trustful,fitful,idealize
认为,deem,dew,germ,beam
节俭,frugal,feudal,regal,brutal
庭院,patio,aisle,eaves,ladder
简化,simplify,simply,amplify,flush 
整体,ensemble,incomplete,riddled with gaping wounds,saturation
电灯泡,bulb,rule,bump,blab
倔强,intractable,irascible,devoted,gentle and soft
点,dot,ok,do,cot
弯曲,bent,languish,very straight,regular
蒸馏,distil,pistol,dismal,instil
做手势,gesture,restore,denture,lecture
随意,haphazard,make an all-out effort,uninhabited,need not
类似,analogy,analogue,apology,anatomy
多产,productive,protective,production,commence
外形,profile,profane,profit,provide
收益,income,invoke,come,encore
而且,moreover,forever,in addition,foundation
复杂,complicated,simple and clear,be neither too familiar nor too distant,troublesome
冲洗,rinse,ring,rise,rice
正派,decent,decant,recent,indecent
敏捷,smart,soar,mart,scarf
驱散,dispel,diesel,diaper,gospel
使高兴,exhilarate,well,aspire,vine
心理学,psychology,science and technology,engineering,botany
话题,theme,thump,hemp,the
附录,appendix,append,program,appendix
流量,flux,flu,fax,fly
开垦,reclaim,acclaim,declaim,proclaim
比赛,tournament,ornament,play a game of chess, etc.,dive
设栅阻挡,barricade,wooden partition,eaves,the Great Wall
输血,transfuse,transpose,injection,surgical operation
天主教徒,catholic,carbolic,Muslim,pope
阻碍,hamper,hanger,helper,taper
神经不正常的,mental,dental,metal,meal
特种部队,corps,chorus,cop,cork
萎缩,shrink,drink,shriek,stink
预定举行的体育比赛,fixture,mixture,feature,fissure
驱逐,expulsion,excursion,repulsion,explosion
病症,symptom,incurable disease,group photo,bust
有趣味的,delicious,malicious,felicitous,religious
缺陷,deficiency,deficient,efficiency,evil
果肉酱,pulp,July,pull,tulip
琐碎,trivial,rival,trial,in detail
卫生学,hygiene,hygienic,high technology,journalism
路线,route,rote,ruse,rouge
帮助,assist,assess,assent,assert
执着,clinging,answer fluently,to have good eyes,silly
威士忌酒,whisky,whisk,whimsy,whisker
唤醒,arouse,carouse,grouse,blouse
遍及,throughout,throughput,be classified as,to line up
横断,intersection,ferry,border checkpoint,to export
咨询,consultation,inquire,act in a  capacity,question 
污染物质,pollutant,stepsister,secede,declaim
调味品,sauce,face,sabre,sack
突变,mutation,suddenly turn hostile,variation,change
中间,midst,fist,mist,miss
拉长,prolong,proton,flap,clap
乳白色,ivory,gory,irony,glory
(衣服的)褶,tuck,tick,suck,pock
起源于,stem,stag,see,deem
大屠杀,massacre,massage,murder,murder
(用于物)可利用的,available,consecrate,harpoon,politician
别致,fancy,any,canny,fan
贫穷,poverty,covert,property,puberty
幻影,mirage,miracle,dirage,tirade
卷,book,foot,boom,bask
伺候,attendance,attendant,tend,escort the Emperor
前辈,predecessor,position in the family hierarchy,senator,personality
弥漫,pervade,parade,evade,persuade
钝的,pointless,painless,countless,to know well
传播,propagate,popular,transmission,rumor
大桶,vat,act,far,hat
运输,transport,transpire,transform,transpose
模范,model,bowel,mode,hovel
漫游,roam,roar,room,root
通知,notify,fortify,notion,ratify
制定(法律),enact,intact,exact,inapt
彩票,lottery,pottery,potter,litter
呼喊,exclaim,reclaim,explain,declaim
世袭,hereditary,heredity,rumor,hereditary
鹦鹉,parakeet,partridge,shrike,azalea
护板,shield,shelf,wield,shred
通知,inform,form,infirm,deform
省略,omit,emit,smite,kit
巩固,consolidate,heighten,calm and orderly,ups and downs
因年久而被尊敬「遵守」的,time-honored,recipient,girlfriend,retribution
(使)漂流,drift,draft,dirt,swift
海豚,porpoise,tortoise,purpose,kangaroo
绝望,doom,don,boon,door
殷勤,hospitable,hospital,guests feel at home,grim
使烦恼,vex,see,vox,veil
稳定性,stability,liability,stabilize,ability
实况广播报导,commentary,momentary,nervous,socialist
能力,competence,competent,intelligent,to transplant
直立,erect,sect,react,direct
钉书钉,staple,state,maple,sable
喇叭,trumpet,trumpery,trump,judge
战胜,surmount,surround,to rest,put an end to
圣歌,anthem,antler,them,panther
授权,authorize,authority,to authorize,entrust
小木屋,cabin,rain,casein,bin
市民大众,community,communism,immunity,communion
坐落(某处),situated,open,buzzer,craven
内脏,innards,shell,kidney,apparatus
线路,circuit,circus,biscuit,circuitry
灌木,shrub,scrub,shrug,syrup
虚饰,gloss,loss,glass,moss
食欲,appetite,petite,appetizer,desire
赞美之词,compliment,complement,compliant,hasty
纯净,neat,fat,near,feat
垂直,perpendicular,meager,languish,parallel
秩序,cosmos,common,cosmic,present conditions
分界线,boundary,bounder,foundry,octave
环绕轨道动行,orbit,morbid,habit,debit
赌博,wager,waver,lager,rage
下巴,chin,shin,hie,shun
不妥协的,intransigent,arise from the dead,terse and forceful,mechanical
(使)蹲下,squat,squad,seat,squeal
包,wrap,cram,raw,graph
可靠,reliable,liable,reliance,readable
浇,shower,scorer,show,shore
合成,prefabricate,triple,assign,average
镶嵌细工,mosaic,cosmic,prosaic,mystic
顽固,dogged,refuse to give up until all hope is gone,machine,to have good eyes
超过,outstrip,sanctions,convenient,rule
呼吸,respiratory,vomit,vocal,smoke 
小世界,microcosm,person,population,personal
下来,descend,descent,defend,ascend
算术,arithmetic,logarithm,square ,variable
加强,strengthen,strength,weaken,accelerate
合成,resultant,reluctant,resistant,mixture
攀登,ascend,amend,assent,ascent
箱,tank,hank,hark,talk
预兆的、不祥的,ominous,minus,luminous,odious
连接,connect,concept,conduct,convict
不直,skew,to lean on,glide,squirming
膨胀,inflation,infection,infraction,deflation
啤酒厂,brewery,repair shop,arsenal,police
破坏,frustrate,to break,peel off,split up
强烈,intense,tense,incense,intensive
拥挤,throng,thong,throb,throes
能力,ability,acidity,facility,nobility
安慰,pacify,pacific,calcify,parity
章程,prospectus,prosperous,prospect,to stipulate
用不完的,exhaust,flatly,holster,locate
(,scale,spade,calf,stole
党派支持者,partisan,ass,homeless,grid
赤字,deficit,depict,defect,definite
通风,air,sail,lair,add
否决权,veto,vet,into,jet
宣告,declare,decade,declaim,deflate
细胞,cellular,cellar,cell,nucleus
壮丽,majestic,good-looking,good-looking,beautiful
熄灭,extinguish,outburst,to destroy ,derivative
太空,ethereal,eternal,generous,space
虚构,mock,rick,pock,smock
复活节,Easter,sick leave,morning,menstrual period
口头,verbal,vernal,cereal,venial
花瓣,petal,veal,dental,penal
与…竞争,rival,rivalry,tidal,final
饵,bait,boat,trait,bane
构成,composition,parallel connection,to interoperate,connected by air, sea traffic or service
解冻,thaw,shawl,haw,than
矮人,pygmy,boy,scarecrow,rascal
今后,henceforth,the day before,a while,in succession
家畜类,livestock,windy,inorganic,soften
居民,inmate,invade,insane,innate
小羊,lamb,lab,ramp,tame
使…商业化,commercialize,enrage,singlet,outgoings
液体,fluid,fluke,flue,flair
审查,censor,censure,sensor,censer
使整洁,tidy,tin,mid,tie
平稳时期,plateau,plateful,plate,frontal
城市,civic,civil,critic,cubic
提述,mention,motion,munition,pension
水桶,bucket,packet,rocket,buck
金发碧眼的（女子）,blonde,lone,bloke,blond
无法摆脱,inextricable,cut off ,withstand,connected by air, sea traffic or service
浓缩,concentrate,to increase,soak,to do
优先,precedence,preference,precedent,day by day
协议,agreement,conference,to accommodate to ,talks
背诵,recite,regime,relate,recipe
不幸,misfortune,lucky,to rise to power and position,out of the frying pan into the fire
编辑,edit,emit,tit,epic
透露,disclose,dispose,make known,vindicate
乱扔的东西,litter,glitter,jitter,mister
税收,taxation,vacation,vexation,compensation
唤醒,rouse,refuse,ruse,goose
熟练,expert,export,expect,exert
吸,suck,smack,silk,sulk
同化,assimilate,to diversify,simplify,modernization
包含,embody,body,ebony,moody
教义,doctrine,physical,righteousness,grammar
大会,rally,reply,roll,tall
替…报仇,revenge,revenue,avenge,reverse
等价,equivalent,roommate,to be united in action,except slight differences
鞭子,lash,base,flash,ash
浏览,browse,drowse,broke,brow
解散,dismiss,discuss,admit ,depose
高尚,nobility,debility,ability,son of a king
信心,confidence,conference,confident,confluence
公事包,briefcase,deflate,cruise,dagger
绷带,bandage,bondage,badge,adage
起来,arise,crime,rinse,arse
临时餐室,canteen,lantern,canter,something
有风度的,stylish,stylus,failure,proton
在前,prior,poor,prod,prick
顺便,incidentally,specialized,do one's utmost,as much as possible
杀人,homicide,domicile,homicidal,murder
融墙,partition,petition,screw,nobleman
矿物(的),mineral,funeral,liberal,general
著名,renowned,victor,honor and glory,shame
灵感,inspiration,dislike,intuition,perception
悲观,pessimism,pessimist,lively,unruly
安排,arrangement,to arrange,to do business,regulate
撤销,withdraw,withdrawal,original creation,exempt
删减,abridge,bridle,bridge,ridge
柱,pillar,collar,villa,pill
疯狂,insane,instance,inane,instant
广度,extent,extant,extinct,except
贬低,depreciate,appreciate,deprecate,Chinese style
内科医生,physician,physicist,physical,against
不在意的,oblivious,fascinated,be forced to do something desperate,heart and soul
安排,layout,lout,about,debugging
调合,stir,sir,stilt,tin
商业,commercial,industry,enterprise,great undertaking
镍币,nickel,nick,nicely,nice
易浮,buoyant,kneel,kowtow,awfully
推进,propel,prose,grovel,repel
猛烈,vehement,tenement,element,vestment
一段时间,span,bookstall,slender,class
磁体,magnet,magneto,market,mallet
桨形工具,paddle,peddle,addle,saddle
种植园,plantation,plantain,zoo,lawn
预料,anticipate,to wish,unexpectedly,surmise
控制杆,lever,diver,ewer,eleven
袭击,raid,arid,grain,braid
引燃,ignite,ignore,dignity,incite
自愿者,volunteer,prudent,bureaucrat,cherish
海星,starfish,tarnish,variable star,meteor
藤,vine,rink,pine,tire
连续,consecutive,originally,a moment ago,continuously
体格,physique,peer,seniority in the family or clan,human
吊唁,condolence,to kill oneself,bury ,to transmit
考古学,archaeology,medical science,economics ,virology 
过剩,surplus,surpass,semicircle,every
轻打,flick,fling,flit,prick
比率,ratio,ration,gratis,radio
显著,eminently,vague,inwardly,illegal
抽出空气,deflate,dilate,delete,elate
相关,related,shake,involve,oblivion
扭动,wiggle,jiggle,waggle,jingle
描写,depict,detect,epic,evict
妨碍,drawback,spoil things through excessive enthusiasm,impel,excite
自大,pompous,porous,strict,pride
使运转正常,behave,leave,berate,have
憎恶,resent,resist,recent,present
误解,misconceive,beconme excited,be acquainted with,favor
温室,conservatory,barn,flower garden,vegetable field
不同,discrepancy,at the same time,act in a way that defeats one's purpose,inequality
不幸,mischance,victory,to rise to power and position,out of the frying pan into the fire
摇摇晃晃,rickety,nicety,racket,rocket
停止,inactive,native,invective,active
门槛,threshold,multiplication,pace,sexual relations
浸,dip,fix,day,dint
挥(剑),wield,afield,field,weld
地图集,atlas,alas,allay,alias
恳切,obliging,filial piety,craft,to rebel
完全,exclusively,to be ready to risk one's life ,as far as possible,uninhabited
大瀑布,cataract,attract,plain boiled water,lightning
清洗,purge,purvey,puke,pure
教养,upbringing,recording,broadcast,alarm bell
（身体某部位）张大,dilate,dirage,late,dilute
透露,revelation,revolution,relation,regulation
笨重,ponderous,wondrous,onerous,lightly
使孤立,isolate,desolate,inflate,solace
宽大,bounty,blunt,country,bunny
要塞,fort,jot,dot,fork
笔迹,script,scrape,strict,scrap
爬虫,reptile,textile,repine,fertile
吓唬,terrify,horrify,certify,testify
坚硬,hard,hare,lard,ward
委任状,commission,omission,compassion,picture
可耕,arable,viable,curable,parable
复制品,duplicate,explicate,replicate,delicate
行程表,itinerary,itinerant,speedy,revise
培养,cultivate,culminate,ultimate,cultivator
特许,charter,crater,chattel,charge
锁,lock,hock,luck,clock
缺口,crevice,revile,revive,device
使...简略,abbreviate,clap,abbreviation,to write
折叶,hinge,singe,pine,fine
(男)人,guy,lug,gay,gum
定居,settle,mettle,nettle,little
漂白,bleach,leech,blotch,beach
提炼,refinement,retirement,wire drawing,spinning 
定性,qualitative,joy,will to fight,interest
毕业,graduate,gradual,radiate,exhaust
鼻的,nasal,natal,naval,nail
跟踪,track,brace,prick,trace
操作停止,layoff,some,autoroute,cuttlefish
（自异国）遣返,repatriate,expatriate,windlass,sorter
激励前进的动力,incentive,intensive,invective,themselves
搁置,shelve,halve,sleeve,swerve
附言,postscript,to leave a message,to input,quote
描绘…的特征,characterize,reduction,skunk,addition
剩余（财产）,residue,reside,preside,rescue
维持,maintain,mountain,bath,heat preservation
剥削,exploit,explicit,explore,explode
可塑,malleable,relative,gallant,convent
删除,delete,depute,dilute,deflate
化合物,compound,confound,impound,metal
定期移栖,migrate,vibrate,misdate,magnate
倾斜,slope,slap,swipe,sore
(沙漠中的)绿洲,oasis,basic,basis,mass
震,seismic,specialty,guilt,untold
将…放在摇篮内,cradle,curable,bridle,arable
突出,protrude,overhang,outstanding,bare
滋润,irrigate,frigate,arrogate,irritate
多方面的,various,serious,vicious,vicarious
类似,similar,resemblance,seemingly,opposite
大学毕业后的,postgraduate,speciality,cameo,isobar
单调,toneless,regular,humorous,special
大学女生,coed,backwards,swelter,northeast
共存,coexist,consist,chemist,exist
诽谤,slander,bladder,plunder,slender
狱,infernal,internal,interval,informal
旁观者,onlooker,snooker,private,enemy
机械,automatic,automate,automation,axiomatic
粗俗,vulgar,sugar,despicable and filthy,genuine
僵硬,rigid,frigid,vigil,raid
折磨,torture,nurture,posture,torque
假装,assumption,to pant,to take a breather,hang
无情,relentless,full of tenderness or affection,whoredoms,chastity
普通,universal,universe,to pass a test,original
离间,alienate,alternate,corrupt,to infringe on
(使)激动,thrill,trill,shrill,grill
事实,truth,tough,strut,rut
估价,appraise,apprise,praise,appraisal
想像得出,conceivable,to support ,approve,confident
加速器,accelerator,browser ,chinaware,chimney
混乱,disarray,out of tune,pollution,fluffy
有才能的,talented,ampere,cashmere,aneroid
大比目鱼,halibut,absent,spree,pepper
匆忙,haste,taste,paste,caste
拥抱,embrace,brace,membrane,umbrage
简明,straightforward,unlawful,mysterious,general
分水岭,ridge,fridge,midge,fidget
把…归于,ascribe,describe,inscribe,astride
虚荣,vanity,sanity,vanish,parity
约事,constrict,construct,contract,constraint
把…奉献(给),devote,demote,denote,device
(发出)隆隆声,boom,buxom,boob,zoom
实际上的,virtual,ritual,virtue,vital
刺激,goad,glad,nomad,toady
适合卫生,wholesome,wholesale,teenager,emigrant
逐渐伤害(健康),undermine,underline,underpin,underdone
紫外线辐射,ultraviolet,overstay,turner,delegate
刹车,brake,brave,slake,brass
制造,making,brew,counterfeit,divorce oneself from the masses and from reality and act blindly
模仿,mimic,music,mime,civic
旅游业,tourism,tourist,truism,nourish
用挖泥机疏浚,dredge,hedge,sledge,fridge
支配,dominate,nominate,dominance,dominant
副…,deputy,depute,deity,deploy
合金,alloy,ally,hallow,alley
参考文献,reference,reverence,deference,inference
小心,caution,caption,action,auction
提倡者,advocate,advocacy,allocate,freak
草率,casual,casualty,usual,rascal
凶猛,ferocious,veracious,atrocious,sharply
可允许的,permissible,status,tend,mundane
误送,miscarriage,close,fall to enemy occupation,not do one's best
使烦恼,annoy,annul,nanny,envoy
再生,regeneration,transportation,to make better,soften
扭曲,distort,distant,disturb,discord
费力,arduous,ardour,mystery,easy
补助金,subsidy,subside,subsist,cost
灵活,flexible,legible,inflexible,omnipotent
模型,mould,mound,maul,mount
欺骗,delude,elude,exude,delete
外部,external,eternal,internal,paternal
委托人,client,aliment,clink,orient
养鱼池,aquarium,fountain,vestige,swimming pond
果园,orchard,vegetable field,flower garden,greenhouse
迁移,transfer,transform,transfix,have spent
说,say,rap,spray,raw
一滴滴地流,trickle,fickle,trifle,prickly
(会议的)议程,agenda,agent,abend,magenta
危害,endanger,danger,harmless,garrison
审美,aesthetic,esthetic,to play mahjong or cards,entertainment
致命,vital,tidal,vigil,visa
(使)溢出来,spill,swill,skull,still
主观,subjective,subjection,objective,accept
最后通牒,ultimatum,ultimate,inspection,document
和…接连,border,order,ponder,barter
过重,overweight,overnight,oversight,cross
微光,gleam,clear,bleat,clean
弄出缺口,chip,chug,chin,chirp
持续,standing,easily,all along,on time
脚镣,fetter,fester,bitter,fitter
纬度,latitude,platitude,gratitude,altitude
强制性的,obligatory,trouble,won't work,not miss the farming season
期限,term,stem,serum,terms
通讯,telecommunication,diary,antiquity,chronicle
(戏)一场,scene,cent,serene,scent
好斗的(人),militant,militate,military,emulate
水泡,bubble,rubble,burgle,babble
港口,harbor,ice-free port,management station,naval base
康乐,welfare,warfare,bustling,peace
区别,discriminate,identify,to distinguish,compared to
(,extreme,excrete,stimulus,booty
决议(案),resolution,revolution,evolution,devolution
错误,erroneous,shoot with great precision,tight ,garble a statement, etc.
再考虑,reconsider,ooze,tumult,stubble
引出,elicit,limit,elixir,illicit
活的,live,alive,liver,pave
困扰,vexation,relation,vocation,elation
使成团(块),lump,bum,romp,lumpy
习语,idiom,idiot,doom,idol
冒犯,offend,offhand,offender,offer
重大,grand,gerund,brand,trend
渴望,anxiety,to demand,predict,to yearn for
出生,natal,naval,nasal,fatal
妒忌,envy,envoy,wavy,enjoy
不调和,discord,discard,distort,discern
从属,subject,sublet,suspect,abject
确信,confident,confidence,continent,condiment
加重,aggravate,aggregate,to strengthen,stable
公用事业,utility,ability,humility,utilize
达到,fulfil,full,flail,get a thrashing
(火山等)迸发,erupt,rut,abrupt,exult
（使）一致,tally,telly,dolly,rally
论证,demonstrate,supply of goods,financial resources,resources
使命,mission,omission,emission,passion
选择,selection,election,electron,selective
预期,prospect,protect,respect,project
引起,originate,original,attractive,immunity 
完整,integral,internal,interval,integrate
陶工,potter,other,tatter,ponder
杰作,masterpiece,spectrum,monumental  work,schedule
解开（疑团）,decipher,cipher,shrink,sweetheart
先,precedent,precede,president,preceding
决定,resolve,revolve,evolve,revolver
绝望,despair,repair,unfinished,solely
小路,lane,hang,rate,lap
初等,elementary,alimentary,elemental,team leader
范围广的,inclusive,conclusive,illusive,incisive
使成堆,heap,ream,flap,help
急需,imperative,operative,to furnish,to resist
模棱两可,ambiguous,ambitious,outstanding,indistinct
巨大,enormous,venomous,coarse,frail
乐观,optimism,optimist,optimum,pessimistic
起始,initiative,initiate,imitative,internal
否认,deny,din,deify,dine
(使)卷曲,curl,furl,coil,curb
使屈辱,humiliate,humility,uplift,guideline
陈述,indicative,indication,inductive,indicate
钙,calcium,calcify,cadmium,iota
摄取,grab,grow,tram,nab
巨大,vast,coast,fast,host
巡逻队,patrol,patron,petrol,carol
保存,preserve,presence,reserve,deserve
壕沟,trench,French,wrench,drench
困惑,perplex,purple,people,to dupe
微不足道,negligible,eligible,it doesn't matter,exceedingly
模数,module,mould,model,coddle
观光,sightseeing,to play mahjong or cards,to explore,play
足够,adequate,inadequate,equate,dynamic equilibrium
打算,intend,instead,indeed,contend
随身用具,paraphernalia,arsehole,chargeable,indoors
谴责,reproach,approach,disclose,criticism
承担,assume,assure,resume,issue
终年,perennial,short,many years,rapid
在…下划线,underline,undermine,underling,underlie
论题,thesis,chess,their,this
取...最大值,maximize,minimize,normalize,forenoon
学位,degree,degrade,decree,agree
亲戚,relative,relate,sedative,creative
热心,zest,test,west,nest
遮盖,mask,back,mad,rank
存在但看不见的,latent,latest,extent,lament
快速移动,sweep,sheep,swear,sleep
前兆,forerunner,opinion,sign,track 
草地,lawn,lax,earn,darn
教区,cathedral,parish,area,hemisphere
认为…等同于,identify,identity,smoker,quicken
工具,vehicle,floppy disk,robot,record
吸引,intake,invade,invoke,innate
首都,metropolitan,Dongxiang ,Prague,Abu Dhabi
淹没,inundate,innate,racing current,lower
表面上的,ostensible,sensible,to gasp for breath,hold one's breath
旗,banner,banter,garner,banker
未叙述的,untold,unbolt,unfold,unroll
次要,subordinate,perfunctory,never mind,main
方程式,equation,education,elation,eruption
女(性),female,fumble,temple,finale
阶层,estate,testate,spate,stake
呈递,submission,submissive,to submit,refer  to
形成概念,generalize,generality,centralize,codify
珍爱,cherish,perish,chemist,churlish
如画,picturesque,fall into a pattern,maneuvering room,still
改造,transform,transfer,transport,lay a foundation
报仇,vengeance,be more of a hindrance than a help,denude,to anaesthetize
区分,distinction,comparable,to decide,treat
索价低于常价,undercharge,basic,galore,limelight
阿司匹林,aspirin,spirit,aspirant,aspire
箔,foil,soil,owl,fold
看出,discern,discard,cistern,discord
死后,postmortem,a while,future,in succession
安排,arrange,barrage,range,derange
有问题的,problematic,viaduct,glue,everything
一回合,bout,dolt,fort,bolt
写生,sketch,stretch,speech,sketchy
化石,fossil,gossip,foil,dolomite
不理会,override,overrule,overrate,overtime
未来,prospective,unexpectedly,expectation,reckon
控诉者,accuser,presiding judge,arbitrator,complaint
光荣,glorious,total absence of justice,bold and unrestrained,corruption
请求,plead,plan,play,gleam
动机,intention,intuition,invention,infection
用灯光装饰,illuminate,illumine,signalize,slice
撤职,removal,removable,revival,remove
外交,diplomatic,foreign affairs,drop in,call on
工作,employment,stay at a selected grass-roots unit to help improve its work  and gain firsthand experience for guiding overall work,to succeed,contract for a job
出现,occur,incur,occult,concur
天然色素,pigment,figment,payment,segment
牛奶面糊,batter,batten,battle,backer
天文学,astronomy,astrology,gastronomy,autonomy
母方,maternal,internal,material,fraternal
查阅,consult,insult,consul,consulate
传说,legend,emend,lend,defend
出路,outlet,cutlet,cutler,outlay
(心理学)自我意识,ego,eat,ufo,kg
生脓,fester,foster,fetter,mister
尖端,frontier,trials and tribulations,only,the daily life of a family
点燃,kindle,finale,dwindle,kindly
忍受,tolerance,tolerate,tolerant,tolerable
怀疑,shabby,shaky,shady,hubby
热心,enthusiasm,ice-cold,deferent,not feel ashamed to ask and learn from one's subordinates
机动脚踏两用车,moped,hereby,jailer,decadence
最高点,summit,suit,summat,submit
简历,resume,refuse,presume,refuge
警察,constabulary,secret service,detective,gunner
陶器,pottery,lottery,potter,poster
长条,stripe,tripe,gripe,sprite
危险,perilous,serious,exultation,public security
骨骼,skeleton,skull,moustache or whiskers,bone
掷,flip,slip,slim,flit
头盔,helmet,helm,velvet,helper
口吃,stammer,steamer,shimmer,stagger
无名,anonymous,noble,defeated,won't work
有品德的,virtuous,virtuoso,tortuous,sin
悦耳,melodious,tender,sharp,bright
直径,diameter,diabetes,blood pressure,length of 2 outstretched arms
阻拦,block,flock,dock,lock
口语,colloquial,the daily life of a family,murmur,cap
喷洒,spray,fray,say,astray
分配,division,envision,revision,diversion
序幕,prelude,preclude,elude,preside
次要,subsidiary,in high spirits,precious,cheaply-priced
累赘,redundant,redundancy,trenchant,probably
登记员,registrar,register,registry,nomadic
军用,military,militate,militant,solitary
座右铭,motto,mot,mitt,onto
联系,liaison,connected by air, sea traffic or service,popular,network
解释为,interpret,internet,irregular,pipe
值班员,attendant,ascendant,attendance,to make a fire
倾向,liability,stability,ability,to endorse
使全神贯注,absorb,abhor,abort,absurd
油煎,fry,dry,foray,wiry
失误,lapse,laser,elapse,parse
苯,benzene,name,mineralogy,onslaught
道歉,apologetic,dedicate oneself to the service of one's country,to give in,to thank
位数,digit,fight,dirt,night
加入,affiliate,officiate,to be ready to risk one's life ,retire from the military
主张人人平等的,egalitarian,croak,penguin,lathe
使高兴,cheer,veer,her,cheek
极重要的,momentous,momentum,perfunctory,astonishing
招贴,poster,pester,pose,potter
哀号,wail,waive,wall,oil
矛盾、似矛盾而正确的说法,paradox,parade,parasol,paragon
铿锵声,clash,cash,flash,crash
绝缘,insulate,insult,undulate,insulator
隼鹰,hawk,hail,hank,jaw
颠簸,jolt,solo,root,poly
外科医生,surgeon,burgeon,surge,surgery
发白热光,glow,grow,low,lop
增进健康之物,tonic,tunic,topic,sonic
交响/管弦乐队,orchestra,orchestral,fervour,improper
刺鼻,pungent,urgent,tangent,tedious
器械,appliance,alliance,conventional weapon,whip
跛的,lame,tame,fame,dare
孤独,solitary,salutary,sanitary,military
