#word,meaning,option1,option2,option3
低估,underestimate,guess,assumption,to insist on
铰链,hinge,wine,range,hive
变白,bleach,blanch,each,blench
质的,qualitative,coupon,excursion,narrative
常去,visit,sit,visitor,vision
留下足迹,track,trick,truck,prank
胡桃,walnut,want,wallet,banana
表示…的特性,characterize,assess,sink,scrutiny
创造者,author,actor,anchor,auto
干巴巴的,dry,day,urn,duty
千瓦(特),kilowatt,absolute,perpetuate,wrestler
手,duke,duel,dyke,dune
迁移,migrate,pirate,emigrate,migrant
摇篮,cradle,arable,candle,cable
专席,box,boom,bag,bow
诽谤,slander,launder,ladder,slaver
粗俗,vulgar,sugar,chastity,pornographic
采取,assumption,decide,use on,recognize
(使)激动,thrill,thrive,trill,shrill
使成冰,ice,rice,eye,rich
包括,embrace,brace,umbrage,membrane
坦率,straightforward,humanity,naked,merciless
把…归于,ascribe,describe,inscribe,astride
放宽,broaden,brocade,brazen,broad
速记,shorthand,resume,record,to download
实际上的,virtual,virtue,vital,visual
写在下方,subscript,stalk,christen,journalism
适合卫生,wholesome,wholesale,banner,pinafore
紧地,tightly,powerful,slight,coarse
紫外,ultraviolet,glimmer,beam,lighting
合作社,cooperative,dairy farm,chicken farm,branch store
控制,dominate,nominate,abominate,dominance
副的,deputy,depute,repute,beauty
参照系,reference,reverence,preference,deference
穿入,penetration,gala,aggressive,rip
手艺人,tradesman,talesman,tribesman,master
警告,caution,ration,nation,cautious
辩护者,advocate,advocacy,allocate,mundane
累赘,troublesome,balance,minute,complicated
弹药筒,cartridge,carriage,trigger,ammunition
绷着脸不高兴的,sullen,pulley,bullet,sublet
扭曲,distort,history,distant,disturb
灵活,flexible,legible,inflexible,omnipotent
顾客,client,salient,cement,cling
果园,orchard,vegetable field,flower garden,orchard
农神,Saturn,acoustics,tourism,indictable
气动,pneumatic,jumbo,sincere,kill
危及,endanger,danger,sag,threatening
生命,vital,via,visa,veal
几何学的,geometrical,blab,fatten,surety
(人)摔下,spill,grill,pill,skill
按语,observation,prejudice,opinion,intention
发微光,gleam,team,lean,glean
薄片,chip,him,hi,hip
黄纬,latitude,platitude,attitude,aptitude
对付,deal,zeal,hell,dew
快事,satisfaction,news,difficult problem,anecdote
石墨,graphite,graphic,granite,pen point
在岸上,ashore,shore,share,aspire
果断,decisive,derisive,decision,deceive
极端不同的性质,extreme,excrete,gladden,bereave
栗树,chestnut,peach tree,laurel,a species of apple which is slightly sour and astringent
(使)成团,lump,plume,numb,rump
使隶属,subject,object,sublet,abject
竞争者,competitor,compositor,a stranger,together
箴言,proverb,prove,proper,advise
得胜,triumphant,triumphal,excel,capsized
用纸包装(或覆盖),paper,apex,pave,caper
精选的东西,selection,section,election,selective
发源,originate,original,mark,subordinate
整的,integral,interval,internal,integrate
蔓延,propagation,reorganize,to expand,to adapt
尖声地叫,shrill,frill,grill,skill
包括,inclusive,incisive,conclusive,exclusive
模棱两可,ambiguous,ambitious,it goes without saying,government
独裁者,dictator,dictate,dictation,the Northern Warlords 
乐观,optimism,optimist,optimum,to hear told
创始,initiative,initiate,imitative,to run a newspaper
陈述,indicative,inductive,indication,indicate
攫取,grab,brag,rap,pram
巡逻,patrol,patron,parole,petrol
深沟,trench,tenth,quench,drench
难住,perplex,purple,people,to cheat
微不足道,negligible,eligible,in high spirits,to manage
模,module,mould,modulate,morale
说教,sermon,semen,person,seaman
家庭,homely,comely,namely,hotel
把…赠与,bestow,bellow,stow,bestir
着重,underline,underdone,underlie,undermine
论题,thesis,their,theirs,these
存在但看不见的,latent,lament,later,latest
(交通违章)罚款传票,ticket,pocket,picket,packet
再生(产),reproduction,speaking,regularity,detriment
输入能量,intake,invade,invoke,vintage
主要都市,metropolitan,km,comedian,guard
下级,subordinate,on top of,applicant,apprentice
平衡,equation,eruption,equator,education
房地产,estate,state,escape,testate
概括出,generalize,generality,centralize,undue
珍爱,cherish,churlish,perish,chemist
萧条,scarcity,scarcely,be too busy ,quiet
变换,transform,transfer,transport,covert
复仇,vengeance,enchant,to infringe on,rusty
年年,annually,current age,anniversary,the year before last
辨别,discern,cistern,discard,discord
化石,fossil,gossip,foil,fossil
皇族,royalty,loyalty,realty,royal
保留,reservation,collection,access,find
为…辩护,plead,pleat,dead,glad
照明,illuminate,illumine,reflex,dart
有策略的,diplomatic,streak,tunic,listless
发出,raise,rasp,rise,praise
能伸长的,tensile,tense,senile,sensible
天文学,astronomy,gastronomy,autonomy,astrology
发泄(感情等)的方法,outlet,cutlet,sublet,outset
点燃,kindle,kindly,girdle,mingle
使熟练,perfect,percent,pervert,erect
早应该,ought,light,tough,fight
破旧,shabby,hubby,shaky,flabby
极度,summit,submit,summat,suit
(谋职者的)个人简历,resume,rebuke,repute,reduce
椭圆,elliptical,elliptic,great ,arch
综合,overall,overawe,overhaul,overact
骨架,skeleton,hanger,neck,shell
慈善家,humanitarian,biologist,astronomer,generous
口吃地说,stammer,hammer,summer,scamper
节约,economically,sufficient,extract,to waste
炮闩,block,lock,blood,cloak
苦恼,woe,feel wronged and act rashly,worry,indignant
描写,representation,to record,to indicate,record
辅助,subsidiary,provide financial aid,comfort,sell 
解释,interpret,internet,to input,comment
护理人员,attendant,ascendant,attendance,cog
责任,liability,stability,ability,human rights
大麦,barley,bare,burly,barely
矮胖,stout,strut,tout,spout
碰撞声,clash,clay,crash,lash
滑翔机,glider,glide,gender,raider
使绝缘,insulate,undulate,inculcate,insulator
电极,electrode,electron,size,horsepower
管弦乐队的全部乐器,orchestra,orchestral,English,tidings
女性,feminine,feminism,feminist,female
网络,mesh,lush,less,mass
生物炭,charcoal,spruce,signal,cornet
围困,siege,singe,tinge,hinge
兵器群,battery,bitter,butter,latter
腐败,corrupt,correct,to take drugs,gradual progress
有保存力,conservative,so as not to,to guard against,fire control
(色彩的)浓淡,shade,spade,shawl,shady
气压计,barometer,parameter,barometer,register
董事会,directory,director,standing committee,alliance
感叹,exclamation,uncommunicative,the glad eye,to excite
慷慨,generosity,generality,pride,miser
分解,analytic,analysis,paralytic,analytical
盛行,prevalent,prevalence,prevent,legend
爵士,knight,night,aright,fright
著名的,notable,mutable,table,noble
政体,regime,regimen,recite,revise
精巧,subtle,hurtle,hustle,rubble
爬行,scramble,scribble,ramble,unscramble
军号,bugle,bug,bungle,burgle
暗杀,assassinate,massacre,kill with poison,homicide
(进行)威胁,menace,hence,fence,manage
使配合,suit,quit,salt,soot
财产转让书,assurance,insurance,capitation,ginger
物品,commodity,community,mammal,furnish and decorate 
抓住,clutch,church,crutch,lurch
发票,invoice,invoke,involve,voice
薄膜,hull,hall,hell,pull
修饰,qualify,quantify,nullify,quality
处女,virgin,vigil,margin,vermin
不管,disregard,how ,in view of,anyhow
仿造,reproduce,produce,to have something made to order,decorative
诚实,integrity,integrate,to revolt,turn 
纪录,documentary,communications,diary,chronicle
螺帽,nut,gnu,rout,net
横切,transverse,traverse,morphine,boisterous
使摇晃,stagger,swagger,snigger,stranger
贴近,adjoin,join,adorn,rejoin
泄露,reveal,revel,repeal,reversal
制作,fabricate,abdicate,lubricate,work behind closed doors
有卷毛的,curly,bury,surly,burly
草本植物,herb,here,hero,herd
百叶窗,shutter,chatter,utter,flutter
觉悟,consciousness,thoughtful,astound,uncertainty
冲洗法,irrigation,irritation,role,calcium
伊斯兰教,Islam,slay,slam,clam
理想主义,idealism,idealist,realism,idealize
审慎,deliberately,careless,treat something lightly,act recklessly
快餐,snack,lack,snail,snake
猜想,infer,incur,inner,liner
器皿,utensil,tensile,stencil,lightning arrester
提前,beforehand,forehand,ups and downs,calm and orderly
绰号,nickname,alias,pen name,name
(大学)院长,dean,team,bean,deal
使互相联系,interconnect,rick,wheelchair,solidify
使混合,mingle,jingle,single,mangle
蒜,garlic,onion,parsley,leaf mustard
大错,blunder,bounder,plunder,bluster
贵重物品,valuable,variable,voluble,palpable
无意义的,insignificant,hank,holocaust,dresser
强壮,hardy,hoary,shady,harry
专心,devotion,devolution,emotion,deviation
冲压机,punch,pinch,inch,puck
推理,rational,national,regional,ration
改进,mend,kind,emend,mad
牛排,steak,step,sear,stead
电容,capacitance,conceal,to comprise,forcibly occupy
小新闻,paragraph,scarlet,magnitude,wastrel
势利小人,snob,snag,knob,snowy
官僚主义,bureaucracy,legal principle,Marxism,atheism
菜谱,recipe,recite,recede,revile
重要人物,anybody,nobody,antibody,midden
管乐器,pipe,ride,nine,pale
赚头,margin,marten,jargon,marine
佛教,Buddhism,Islamic,War of Resistance against Japan ,religion
电传,telex,tenet,teller,stele
(挨户兜售的)小贩,pedlar,poplar,pillar,polar
网络,network,outwork,hook,hook
自杀,suicide,subside,to divorce,to rest
赞助人,patron,matron,patrol,potion
注意,watchful,careful,be deeply concerned,an understanding
微信息处理机,microprocessor,passage,per,laundry
类似,likeness,lifeless,overwhelming,be just like
认出,identification,to discuss,watch over,evaluate
人物,personality,individual,population,humanity
鲑,salmon,shark,eel,king crab
聚合物,polymer,prey,metal,as a whole
嗅,sniff,snip,scoff,cliff
提高,enhance,chance,entrance,to make better
贴砖,tile,tale,wile,hill
严厉,harsh,harry,hash,hatch
永久,everlasting,all day long,many years,quite a while
常见,frequent,request,frequency,lacking
芭蕾舞,ballet,ballot,pallet,billet
坚固,substantial,feeble,large,insignificant
香气,spice,slice,spike,shine
墩布,mop,hop,mix,mot
严厉,drastic,frantic,elastic,plastic
调停,reconcile,recondite,raise ,to tidy up
别墅,villa,viola,sill,till
缩短,abbreviation,to grow in number,contract,soak
自发,essential,true features,ready made,proper
使感激,oblige,oblique,online,olive
漫画,cartoon,carton,carbon,caption
商船,trader,travel,trade,grade
不幸,wretched,wretch,out of the frying pan into the fire,break out
铁的,ferrous,furious,ferris,fervour
睡椅,couch,youth,cough,coach
哀婉动人,pathetic,esthetic,athletic,headword
支承,bearing,tyrant,haricot,conceal
学士,bachelor,scholar,pale-faced scholar,eccentric
用静电复印,xerox,hero,zero,heron
(比赛等中)对,versus,Jesus,virus,verse
用具,tackle,cackle,table,tangle
干扰,disturbance,infuriate,to resist,trouble
创伤,hurt,curl,hurl,huff
耸(肩),shrug,strut,shout,shrub
使眼色,wink,sink,windy,wend
数据,datum,daub,date,drum
烈士,martyr,matter,master,marten
(使)旋转,revolve,revolver,devolve,evolve
闲谈,gossip,fossil,to spread out,elaborate 
蒲式耳(容量单位),bushel,usher,bush,bushy
预言,prediction,reduction,production,grapnel
有限,finite,minute,fine,definite
字面,literal,lateral,liberal,literally
感情,sentiment,sentient,sediment,flavor
瓷的,porcelain,pedigree,automate,rose
机灵,ingenious,ingenuous,sensitive,stupid
显微镜的,microscopic,have something in mind,outlook,to know what's what
提纯,purify,pacify,putrefy,purity
有益于,avail,nail,tail,snail
参观者,spectator,passenger,relative ,cousinship
变空,hollow,hallow,mellow,callow
起拆理由,count,court,amount,joint
恰当,pertinent,permanent,to no purpose,inconvenient
(使)偏斜,deflect,defeat,defect,elect
专利,monopoly,monopsony,prerogative,intellectual property rights
使脱水,evaporate,elaborate,proviso,receiver
不可避免,inevitably,inevitably,suddenly,upright
觉醒,disillusion,sensible,fascinated,wholeheartedly
光电,photoelectric,umbra,opto-electrical,electromagnetic
刺(穿),prick,stick,flick,price
偷偷地做,steal,tell,steak,steel
矩形,rectangle,entangle,rugged,oblate
力学,mechanics,mechanic,mechanism,mechanize
坚持,insistent,consistent,feel,to feel
表面,superficial,to pretend,the surface of the river,to line up
齿轮,gear,goat,tear,learn
自负,conceit,concept,conceive,concert
处女,maid,main,man,mid
经线,longitude,east longitude,continent,lowland
上下文,context,content,conceit,contest
神的,divine,devise,divide,ravine
限制条件,qualification,asterisk,misconduct,toilet
褐虾,shrimp,shriek,skimp,crimp
收受者,receiver,received,receive,recover
非常,extraordinarily,many,get a thrashing,receive commands
变长,lengthen,lengthy,length,mysterious
流放,exile,exult,exit,textile
明白,manifest,manifesto,have an insight into,unforgettable
献礼,tribute,tribune,trite,attribute
擦洗,scrub,crib,sub,shrub
硅(旧名矽),silicon,ivy,dab,pierce
称赞,commend,comment,contend,commando
识别力,discrimination,twit,podgy,sofa
文选,album,aloud,plum,slum
螺旋桨,propeller,glider,oar,helm
竞争,competitive,to talk about,scold,competition
专注,absorption,absolution,abortion,cold
灾难性的,disastrous,forfeit,sprint,pi
推进,propulsion,profusion,repulsion,spoil things through excessive enthusiasm
规模,way,mad,wait,fax
纪念品,souvenir,goods,furnish and decorate ,plant
大厦,mansion,passion,mention,mission
曲柄,crank,cram,frank,cant
均匀,homogeneous,trivial,endless,incisive
冷酷无情,grim,gram,crib,rum
把…称作,entitle,entice,title,entire
忙乱,fuss,fuse,fussy,kiss
使隔音,deafen,heaven,defend,weaken
臀部,hip,hub,haw,whip
边缘,fringe,cringe,fridge,rinse
发光,beam,beak,boar,brag
地窖,basement,casement,pavement,darkroom
阵风,gust,gush,gist,just
忍受,support,sport,purport,supper
放牧,herd,jerk,hard,head
显著,striking,ambiguous,unofficial,lawful
规范,formal,format,foal,mortal
最适条件,optimum,optimism,grisly,taint
附加物,extra,exert,extract,extort
过分,excessively,that one,least,given
增加,heighten,frighten,brighten,eighteen
作呼噜声,grunt,hunt,brunt,grant
弄清,ascertain,uncertain,appertain,certain
棒球运动,baseball,basketball,prep,dynamics
溃退,flight,freight,flighty,alight
体质弱的,fragile,agile,facile,frail
内,inland,insane,inane,island
极性,polarity,direction,non-profit,diversity
捕蟹,crab,crop,grab,clam
造船(业),shipbuilding,finalize,triumph,compiler
港市,seaport,teapot,sport,deport
法令,decree,degree,secrete,secret
拖运,haul,jail,hurl,hail
常住者,resident,president,regiment,residence
畸形,deformation,peculiarity,indescribable,unaccountable
财产,substance,bid,industrial,real estate
制作,fabrication,counterfeit,brew,assemble and install
阀,valve,calve,wave,halve
变松,loosen,loose,goose,lose
内部,interior,inferior,intercom,anterior
石灰石,limestone,milestone,lodestone,quartz
本质,essence,absence,fundamental,upland
适度,moderately,moderate,to fit well ,futile
向东,orientation,forbid,cloister,fragrant
重大,magnitude,to make fun of,precious,to assist
无情,ruthless,figurative: enamored  with new people , bored with the old,perplex,take on action
清真寺,mosque,torque,chapel,mosque
氧化,oxidize,oxide,simplify,to legalize
克分子的,molecular,disqualify,convert,movable
波纹,ripple,cripple,tipple,nipple
炮弹,shell,knell,hell,spill
情妇,mistress,mattress,distress,stress
使顺从,resign,reside,resin,resist
可能(性),likelihood,livelihood,duration,memorial
黎明,twilight,early morning,day off ,daytime
反击,retort,resort,revolt,report
轭,yoke,lode,mote,dope
旋律,melody,melon,moody,malady
职权,province,provide,prince,privilege
妨碍,prevention,pretension,preventive,retention
斜坡,gradient,radiant,Mt. Wu, on the Changjiang River by the Three Gorges,Mt. Kunlun
爱好奢侈,luxurious,lugubrious,crude,vanity
咧着嘴笑,grin,grim,brain,grid
剪辑报刊,clip,chip,snip,flip
合乎体统,proper,grower,paper,prose
织布工,weaver,waver,eaves,leave
陶器,earthenware,porcelain,siren,connector
懈怠,slack,stick,snack,shock
模仿,pattern,spatter,batter,patter
细小的蜡烛,taper,eager,tiger,cape
周年纪念日,anniversary,sparkle,putrefy,barbarity
探针,probe,prove,role,robe
掩饰,cloak,cock,clap,block
装罐头,can,as,nap,bun
心棒,axle,alley,ace,mole
通用,currency,currently,urgency,current
含糊,hesitate,heritage,estate,meditate
驳船,barge,badge,gorge,care
击剑,fence,wince,ounce,menace
琐碎,detail,dental,detach,retain
聪明,brightness,stupid,cowardice,muddled
基本,ultimate,ultimatum,climate,cultivate
棺材,coffin,coin,coffee,confine
摒绝,forsake,forage,to abandon,to risk one's life
解除(婚约等),dissolve,dissolute,disengage,scenic
水牛,buffalo,bull,water buffalo,milk cow
团结,solidify,solidity,married,trinity
(使)摆好姿势,pose,robe,yoke,poor
壁炉,fireplace,replace,puppet,fireplace
文盲,illiterate,obliterate,literate,name of a famous painter, Xu Beihong
缝,stitch,smirch,stench,hitch
结构,construction,theatrical troupe,all kinds of,some kind 
大使,ambassador,foreman,consul,first secretary
逐出,eject,reject,erect,jet
恳求,entreat,understand,entreat,to deny 
信念,religion,region,revision,relation
使结合,integrate,iterate,integral,integrity
微量,atom,to,tot,actor
好幻想的,romantic,liberation,snuff,adequate
评价,value,bale,pale,valve
多风,windy,whinny,wind,wily
注满,inject,incest,invent,abject
滑板,slide,ride,slick,smite
递减,diminish,increase,high tide,to lose weight
坚持,persevere,feel,guess,believe
事故,occurrence,recurrence,accident,issue
配料,ingredient,personnel,installation,manger
分解,decompose,discompose,compose,handwriting
敏捷,promptly,premature,at first,gallop
给…调味,flavour,strategist,insignia,pact
谦和,gracious,fractious,spacious,voracious
动员起来,mobilize,mobile,demobilize,moralize
(意外地)出现,pop,cod,pen,pomp
(战争、愤怒等)爆发,outbreak,beholden,proprietor,taker
夸奖,applause,applaud,appease,appraise
使接替,relay,inlay,lay,repay
飓风,hurricane,iceberg,timely snow,ice raft
群集,flock,frock,flout,flunk
铸造(硬币),coin,toil,john,crib
不充足的,inadequate,inadequacy,adequate,birthday
(使)丁当响,jingle,shingle,tingle,jangle
资产阶级,bourgeois,proletariat,Communist party,ruling party
不雅观的,awkward,backward,award,pop
螺旋(形)的,spiral,spinal,viral,swirl
小数,decimal,decimate,recital,denial
海关,custom,castor,custody,customer
公约,convention,conviction,confection,convection
超声,supersonic,yelling,tenor,nasal sound
(衣服里的)衬里,lining,davit,ordinary,hag
从事(职业),follow,hollow,fallow,bellow
编史家,historian,historical,historic,excrement
无可匹敌,unique,undue,antique,clique
系列,spectrum,spectre,spectral,there is no lack of
最初,initially,initial,time period,short-term
行动,move,mode,model,mime
碎片,scrap,slap,script,snap
向往,yearn,ear,year,yen
达到目的的手段,passport,password,moratorium,out
以面纱遮掩,veil,vein,tail,fail
危险,hazard,hard,wizard,award
坚定,steady,stray,sturdy,steak
残酷,cruelty,crusty,cruel,numb
卵形,oval,zonal,moral,Cal
通道,entry,extra,sentry,gentry
细孔,pore,poke,pose,worse
郁金香,tulip,tip,slip,flip
名著,classic,classy,classify,classical
界限,radius,radio,radish,Ladies
雪茄烟,cigar,sugar,cider,char
统治,sovereign,student's strike,regent,strike
坡度,incline,incise,incite,include
生产率,productivity,how much,popularity rating,speed
男爵,baron,baronet,yarn,baton
天灾,plague,page,plate,place
围场,enclosure,enclose,closure,railing
横断,traverse,averse,reverse,transverse
揿钮,fastener,listener,fasten,winter daphne
色调,tone,toe,mope,tonne
单纯,simple,ample,imply,simply
顺时针方向转的,clockwise,pimple,diversity,brim
大使的职务,embassy,wicked,florist,watchful
维生素,vitamin,borneol,tonic,laxative
消遣,recreation,secretion,creation,reception
置换,replacement,divert,appraise at the current rate,become deformed
芦笛,reed,a bowed stringed instrument with a thin wooden soundboard,harp,organ 
延迟,retard,regard,rotary,retire
命运,destiny,destine,destined,destroy
拱顶,vault,vat,vaunt,baulk
快,rapidity,acidity,validity,cupidity
有帮助的,instrumental,beard,balk,chic
差使,errand,strand,arrant,expand
弧,arc,warm,ago,arch
露台,terrace,trace,terrain,retrace
赞歌,hymn,horn,yen,gym
猜忌,jealousy,zealous,jealous,be convinced
推翻,overthrow,to deny ,meddle,to declare to be untrue
前后一致,consistent,insistent,supply and demand,to meet 
灰烬,dust,bust,dusk,dupe
著名,noted,shameless,immortal,bright
市的,municipal,one's job,to separate,more or less open
熄灭,quench,blench,punch,French
迫害,persecute,prosecute,unfavorable,to take precautions
休戚相关,solidarity,solidity,be irrelevant,forfeit
同谋,accessory,accessary,calculation,conspire
有效,validity,acidity,validate,solidity
欠考虑的,thoughtless,possessive,etch,divide
凝思,dwell,dell,swill,well
后果,outcome,thesis,source,pathogen
大量,troop,droop,trump,scoop
失踪,disappearance,throw,be victorious,fire 
整齐,regularity,regularize,out of tune,pollution
向北方,northwards,fade,hardihood,genealogy
舞台监督,producer,product,produce,epoch
评议员,senator,mentor,senate,sensor
分支,limb,limbo,jib,tomb
饱和(状态),saturation,salutation,situation,gloss
平静,tranquil,calm,smooth and steady,pressing
耻辱,scandal,sandal,vandal,canal
沼泽地,marsh,lash,harsh,ash
扣押,detain,drain,pertain,retain
消失,fly,fob,flit,flu
宣言,platform,declaration,statement,copybook 
餐巾(纸),napkin,catkin,akin,bubble
抵销,offset,outset,onset,offer
发言人,spokesman,sportsman,eyewitness,witness
不朽,immortal,mortal,immoral,fine
湿气,humidity,tropical disease,to sleepwalk,paralysis
娱乐,diversion,version,diversity,aversion
(用力地)举起,heave,tease,delve,heaven
有礼貌的,courteous,bounteous,courageous,haughty
骗取,cheat,heat,chap,heart
燃烧,combustion,singe,evaporation,burst
衷心,hearty,hearth,hearse,heat
傻子,idiot,dint,idiom,idiotic
买空的证券投机商,bull,rule,gulf,fell
团,regiment,segment,raiment,regime
必然,consequent,life insurance,involuntary,not necessarily
看漏,overlook,overwork,overload,civilize
小路,footpath,avenue,naval base,waterway
撤销,repeal,repeat,reel,repel
应该,should,to deserve,does not have to,is or isn't
变换,convert,covert,convent,convey
可能的事,possibility,beget,skin,bounty
牢固,sturdy,study,story,stud
控制,govern,governor,cover,cavern
大酒桶,butt,but,tutu,bet
(马)溜蹄走,pace,place,pane,pale
把…引入船坞,dock,deck,beck,disk
支柱,brace,rake,grace,bran
恶意,malice,slice,mace,splice
室内,indoor,indoors,door,within the  party
变软弱,soften,rotten,often,sorter
容光焕发,radiant,valiant,reliant,variant
追随,adhere,here,ashore,there
(厨房内的)洗涤槽,sink,skin,sock,ink
园林,grove,prove,drove,glove
术语学,terminology,adverb,modal particle,nominative
炖着,stew,stem,site,stud
(蜂等)嗡嗡叫,buzz,butt,bury,fuzz
海角,cape,fare,cave,ripe
显露,emerge,emery,energy,merger
水银柱,mercury,Mercury,mercy,merry
坚持,maintenance,preside over,to discover,accepted 
段,segment,ferment,serpent,semen
有效,significant,obscurity,vague,secretly
参加者,participant,together,a stranger,playmate
点燃,flame,glaze,flake,clam
细胞核,nucleus,nuclear,white blood cell,cell
屠杀,slaughter,daughter,laughter,engage in
轰动一时的人(或事),hit,whim,lip,pig
派遣(军队),detach,retch,detain,fetch
品行,morality,tonality,mortality,moralist
宣传机构,propaganda,edict,joyride,myself
水力,hydraulic,hydraulics,a helping hand,propulsion
突出部分(如船头等),nose,dote,lose,hose
指示,denote,delete,devote,demote
使衰弱,wither,either,waiter,jitter
砂箱,flask,flank,flash,last
(烟、酒)味淡的,mild,milk,gold,wild
矿脉,vein,weir,reign,veil
冶金学,metallurgy,layer,blend,Ladies
指定,designate,desiccate,choose a site for the capital,to start from scratch
郁闭地沉思,brood,bloom,crook,broke
(罗马天主教的)教皇,pope,metallurgy,sheepish,halcyon
好客,hospitality,pride,dull,be sensitive about one's reputation
系统,systematically,of  extraction,network,film series
事项,proceeding,fact ,where,there
支持,second,send,secondly,beyond
颂扬,glorify,glory,clarify,to be contrary to
服从的,obedient,obedience,ecocide,prisoner
美德,goodness,godless,poorness,goddess
猛地一拉,jerk,dirk,jean,jerky
场面,spectacle,selfish departmentalism,moral,-ism
无关,foreign,feign,reign,foreman
预言家,prophet,prophesy,crochet,propel
在(做)…时,over,overt,fever,owner
设想,conceive,concave,contrive,concede
乌拉,hurrah,hurry,you,other people
向…挑战,defy,decry,levy,debt
在…旁边,alongside,comedian,cognizance,lodge
传说,report,retort,port,resort
装修,ornament,ornamental,tournament,ointment
使自动化,automate,automatic,automat,deafen
不适当的,improper,proper,improve,accessible
精炼厂,refinery,refine,finery,court 
(动物)品种,breed,tread,breech,need
祸害,evil,devil,exile,oval
空的,void,solid,voice,ibid
欧姆,ohm,channel,size,hardness
龙头,cock,tick,soak,rock
持续,persist,resist,desist,permit
粗心大意,reckless,feckless,recess,trackless
暗礁,reef,reel,ref,beef
纵情,indulge,indulgent,induce,strive
无穷(大),infinite,infinitive,infinity,finite
明晰,explicit,implicit,exploit,elicit
私运,smuggle,struggle,snuggle,juggle
恶性,vicious,vicarious,various,vacuous
幼小的动物,puppy,poppy,pupil,sappy
眼界,scope,scour,dope,scout
简朴,severe,sever,revere,every
臭虫,bug,bugle,up,sun
(兽类的)后踝,ham,dam,tab,gap
头晕眼花,dizzy,jazzy,dirty,diary
负荷,charge,barge,cage,share
虔奉宗教,pious,piteous,minus,pus
赔还,replace,place,relate,retrace
楔,wedge,judge,wide,ledge
使认识,acquaint,quaint,acquit,seize
兼容制的,compatible,comparable,show,shunt
平衡,equilibrium,deficit,sufficient,dynamic equilibrium
嬉耍,trifle,trite,triple,strife
竹,bamboo,baboon,gambol,taboo
格斗,combat,commit,coat,comb
折磨,grind,grand,grip,grid
(树木的)软枝条,switch,stitch,witch,hitch
接头,junction,injunction,unction,function
网状物,web,wed,we,wet
酒会,symposium,legislative council,National People's Congress,fair
流线型,streamline,oval,tetrahedron,ring-shaped
逃犯,outlaw,outlay,outlast,outplay
综合,synthesis,synthetic,synthesize,summarize
使屈服,subdue,subtle,sundae,undue
在其他方面,otherwise,drill,suture,war
可察觉的,appreciable,impressive,broody,polite
发挥(威力),exert,elect,exist,expert
饮食,diet,dew,pier,dart
加衬里于,line,size,alive,pine
金枪鱼,tuna,stun,tank,puma
遗弃,desert,deport,deserts,deserve
狂喜,rapture,rupture,pasture,capture
使受影响,infect,inject,insect,infest
负的,negative,negation,relative,sedative
证实,confirmation,omen,it can clearly be seen,to embody
看法,notion,onion,motion,lotion
选择,option,onion,action,motion
实验上,experimentally,nectar,album,grandpa
熟练,proficiency,fail to see the larger issues,idleness,positive
无限期的,indefinite,infinite,definite,humanize
熟练,proficient,idleness,having experienced the hard ship of life,boyish
恒等,identical,hopeless,insure,incur
巡航,cruise,cruiser,curse,bruise
条项,provision,revision,proviso,profusion
深刻,profound,pronoun,propound,interesting
冲动,impulse,impale,impure,impulsive
然而,whilst,waist,hilt,while
奉献,dedicate,delicate,predicate,desiccate
系数,coefficient,volume of use,ration,flow rate
诗,verse,nurse,hers,averse
过渡,transition,tradition,transitive,prevalent
苏醒,revive,retire,revise,repine
过度行为,excess,egress,access,excuse
发生,generate,venerate,degenerate,enervate
钩住,clasp,clap,crash,clash
偿还,repay,ready,ream,reply
稳固,firmness,fitness,profound,hero
羞怯,modesty,modest,molest,majesty
马戏,circus,discus,cirrus,virus
律师,counsel,course,council,counter
粘牢,glue,blue,gum,gate
(森林中的)空旷地,clearing,score,sugar,satire
运动,locomotive,locomotion,tide,outflow
殖民地的,colonial,colonel,colonize,colonist
(藤等)茎,cane,page,vane,pace
加浓,deepen,deep,beeper,depend
泡沫,foam,boar,oak,food
很可能,doubtless,countless,booth,duplex
隐瞒,suppress,oppress,tell a lie,to cover
表面上,seemingly,excite,I,rage
不变,invariably,manage  with difficulty,pitiless,finalize the design
夜盗,burglar,burgle,bursar,army ruffian
特称,particular,peacock,enthuse,sluggish
扯帆,mast,mash,fast,cast
势力,influence,influenza,affluence,confluence
尔后,subsequent,a while,last month,approaching
片,flake,frame,alike,fluke
火星,Mars,harm,dare,pare
蛋黄,yolk,oval shaped,protein,egg
普及,popularity,popularize,to take drugs,issue for enforcement
折磨,torment,comment,portent,torrent
遮帘,blind,bind,wind,lint
侦探,detective,defective,directive,detection
假的,fake,sake,flake,fax
埋藏,burial,trial,aerial,mural
拍打,flap,fax,flop,flip
平头打,tack,mark,jack,lock
不合理的,absurd,aboard,abjure,absorb
定位,location,vocation,lotion,locution
不幸,misery,miser,fiery,mosey
使(人)失去,deprive,derive,reprieve,deprave
欺骗,impose,implore,compose,impede
槭树,maple,sale,male,mallet
偏见,prejudice,shortsighted view,objection,consensus
创造者,architect,investigator,pianist,linguist
领会,comprehend,to be in love,fail to grasp the main points,proficient
股,thigh,high,weigh,thing
预言,prophecy,prophet,prophesy,monophonic
牧场,pasture,rapture,pastime,posture
衣服,garment,garden,parent,garret
拱门,arch,starch,ah,itch
一家中年龄最小的人,baby,bay,bobby,any
边,rim,dim,him,rip
