#word,meaning,option1,option2,option3
使接触,contact,context,concoct,content
倾斜,lean,loan,leaven,lead
黄瓜,cucumber,encumber,tomato,soy bean
费,fee,fete,fume,lee
浸泡,soak,shock,stark,goad
一览,summary,summer,summat,gaze around
鼓状物,drum,dam,hum,dun
圆筒,barrel,quarrel,barber,barred
手册,manual,mania,manure,bannal
投降,surrender,suspender,mediate ,to persuade
墨水,ink,mink,rink,inn
分类,classification,research,speculative,analogy
准时,punctual,punctuate,repeatedly,prior
信息,message,massage,passage,situation
票据,bill,till,wily,bull
放松,release,relegate,reverse,decease
谋杀,murder,rudder,murmur,girder
使发怒,anger,danger,under,eager
马铃薯,potato,tomato,rotate,potty
比赛,compete,compote,complete,compere
爬,crawl,coal,growl,trawl
附加,additional,addition,shield,appreciate
食欲,stomach,an old grudge,personnel,wild schemes
快行,speed,sheer,spleen,see
揩,wipe,tip,write,twice
卖,sale,calm,tale,size
机器,machine,marine,machinery,chapel
代名词,pronoun,proton,profound,pronounce
男子气概,manly,many,mania,maple
调整,regulate,relate,peculate,emulate
难堪,unbearable,unreadable,vigilance,to confuse
继续,continue,continual,convince,confine
想要,wish,with,wisp,dish
伙伴,fellow,yellow,cello,callow
大自然,nature,mature,rapture,feature
口腔,mouth,myth,rout,moth
引人注目,dramatic,dramatics,drastic,dramatist
原始,primitive,orthodox,be bound to,foreign
简陋,crude,crepe,crave,grade
正常,normal,abnormal,formal,informal
准备,prepare,preface,presage,to format
小屋,hut,hub,nun,halt
学院,academic,academy,junior high school,colleges and universities
机敏,clever,lever,level,lover
揭露,exposure,expose,find fault with,to cover
高处,height,eight,heighten,weight
司令部,headquarters,corps,office,special  investigations group
材料,material,maternal,arterial,lateral
快乐,happiness,mournful,ecstasy,kneel
鞍子,saddle,candle,paddle,huddle
老是,forever,however,former,fever
操作,operation,operator,oration,operative
令人不愉快的,awful,earful,lawful,manful
污物,dirt,riot,dust,wire
孤独,lonely,lively,only,lowly
沾污,pollute,polite,collate,to drive
车间,workshop,bookshop,worship,workshop
有影响的,effective,elective,defective,tear
传统,traditional,to be used to,burial,courtesy
艰难,hardship,warship,out of tune,fluffy
调查,inquiry,enquiry,inquire,injury
听从,listen,glisten,litter,lessen
中立,neutral,ventral,neutron,central
棒,rod,box,iron,son
退却,retreat,repeat,treat,regret
明显,obvious,odious,devious,envious
增长,growth,growl,froth,grow
合适,suitable,equitable,stable,mutable
平行,parallel,parable,complicated,well-ironed
汽,vapour,vapor,savour,valour
羊肉,mutton,button,glutton,cotton
稻草,straw,stream,trap,stray
祝酒,toast,roast,moist,coast
专业人员,professional,cellular,energy,councillor
售票员,conductor,conduct,conduction,guide
物理学,physics,physicist,physical,anatomy
狂暴,furious,ferrous,curious,dubious
飞溅,splash,slash,slush,smash
一出戏剧,drama,pram,damn,draw
囊盖,lid,dud,tide,lilt
重复,repeatedly,on the eve of,finally,automatically
暗示,hint,dint,hut,lift
必然,certainty,certainly,certain,definitely
疲劳,fatigue,to take a breather,to arouse,upright and unafraid
硬外皮,crust,cruise,rust,crusty
令人兴奋,exciting,quicklime,stole,analogue
绝望,desperate,temperate,desperado,purely
笨拙,clumsy,flimsy,clump,clammy
猜疑,jealous,zealous,jealousy,admire
使痛,painful,gainful,manful,sinful
对面,opposite,oppose,composite,territory
小麦,wheat,seat,whet,threat
壮丽,splendid,old-fashioned,age-old,seductive
场合,occasion,occasional,dwelling,market
野心,ambition,addition,ambitious,audition
金属,metal,beta,mettle,heal
王的,royal,roan,regal,loyal
现象,phenomenon,phenomenal,spectacular,phantom
无价值的,worthless,toothless,trouble,faint
起源,derive,deprive,device,derisive
扭弯,twist,twine,joist,taint
加油站,garage,garbage,ravage,mirage
消极,passive,massive,pastime,passage
使确信,assure,assert,allure,aspire
民族,nation,nutation,native,ration
艺术家,artist,artiste,artistic,attest
地点,site,kite,size,spite
吸引力,attraction,attrition,traction,extraction
废墟,remains,raindrop,remain,fountain
商品,brand,bank,band,bland
碰撞,crash,cash,gnash,brash
语法书,grammar,gramme,purple,arson
复杂,elaborate,evaporate,sole,closely
纪念馆,monument,emolument,monumental,document
歌颂,celebrate,calibrate,celebrity,celibate
九分之一,ninth,epilogue,remember,sudden
一部分,portion,torsion,potion,motion
祈祷,prayer,payee,draper,paper
倾向,tend,tent,teat,wind
倾覆,upset,asset,outset,pet
工具,instrument,compact disk,hard disk,tea set
键盘,keyboard,seaboard,medicine bottle,tray
亲属,folk,sole,fox,jolt
公司,corporation,chicken farm,dairy farm,branch store
使成熟,mature,armature,suture,maturate
使泄气,discourage,discourse,clash,acuity
未加工的,raw,row,gap,wax
缘故,sake,gate,fate,ease
独身,single,mingle,singe,wangle
补缀,patch,fetch,pate,path
多样化,variety,vanity,verity,rarity
不正常的,abnormal,normal,dynamo,voluble
吐,spit,sir,edit,skim
地道,tunnel,runnel,runner,turner
穿入,penetrate,perpetrate,venerate,generate
朦胧,dim,nip,dome,din
小包,packet,picket,jacket,racket
孤儿,orphan,organ,widow,pregnant
包括,include,seclude,incline,intrude
配偶,partner,barter,mariner,garner
千米,kilometer,marine,centimeter,kilometer
烫,iron,drop,prone,icon
胆怯者,coward,cower,award,card
总的,general,genial,funeral,central
密度,density,identity,enmity,deity
昆虫,insect,inspect,inept,inset
一条面包,loaf,cloak,lore,leak
实验,experimental,test,support,end of term examination
硬的,stiff,stuffy,still,staff
招呼,salute,saute,palate,dilute
制止,check,chew,checkup,chick
开展,wage,wane,wig,watt
估计,estimate,estate,guestimate,estimable
最近,recently,in advance,last week,in succession
代表团,delegation,elevation,legation,guild
袖子,sleeve,fleece,cleave,serve
宝座,throne,throng,shrine,phone
两次,twice,wise,tie,twine
对话,dialog,speak out of turn,empty out,tell 
抑制,restrain,retain,restraint,refrain
已经,have,wage,age,carve
资本,capital,capstan,marital,capitate
外祖父,grandfather,paternal grandmother,paternal grandfather,mother 
主人,host,hoist,post,cos
零售商,merchant,enchant,military attache,a small private business 
马克思主义,Marxisim,legal principle,romanticism,dialectical materialism
使和解,heal,heap,seam,bean
五金器具,hardware,upturn,ballad,court
三角,triangle,strangle,tingle,tangle
口译,interpretation,to extract,written translation,addendum
差错,error,arrow,prior,enrol
大部分,largely,dense,couple,to have
电的,electrical,electric,fiat,game
市长,mayor,maker,major,motor
柄,handle,saddle,jangle,dandle
粉刷,whitewash,put,manufacture,ornamental
攻击,attack,attach,attache,attain
泵,pump,clump,plump,hump
大西洋,Atlantic,gulf body of water],city,seaside
同情,sympathize,to rest,value one's own old broom - cherish something of little value simply because it is one's own,to pay close attention to
设想,concept,conceit,concert,concoct
说谎,lie,like,aide,oil
能,energy,emerge,nervy,every
保证,guarantee,guaranty,guarantor,no longer
牺牲者,victim,innocent,party ,survivor
堆积,stack,pack,stick,tack
结,knot,knoll,kit,anon
反跳,bounce,source,ounce,pounce
毁坏,ruin,rush,gin,train
团体,society,socket,satiety,sobriety
信号,signal,sign,spinal,final
零,zero,berk,zest,tiro
步枪,rifle,Bible,rile,pile
孪生儿,twin,win,twine,trio
相反,contrary,contrast,honorary,contract
海湾,gulf,gully,gulp,buff
吉祥,lucky,ducky,cluck,dusky
使无能,disable,sizable,disabuse,sable
传播,convey,conveyor,convoy,convert
极大,terrific,terrify,wide scale,be lower than
丝绒,velvet,helmet,delve,verve
劝告,advise,adviser,advice,devise
样品,specimen,species,specie,sample
毒害,poison,prison,unison,bison
理论,theoretical,written polemics,to quibble,criticize
代表,represent,present,reprehend,it can clearly be seen
数学,mathematical,statistics,politics,astronomy
剌穿,pierce,fierce,pier,piece
顽皮,naughty,naught,haughty,draughty
马力,horsepower,power,animal powered ,dimension
烧菜,cook,moot,book,zoo
跳,leap,neap,leak,heap
碗柜,cupboard,hammock,low stool,deposit
预防,precaution,to injure,harmless,fire control
厌倦,tire,time,dire,hare
窗格玻璃,pane,spank,mate,plate
解决,decide,decade,demise,desire
公民,citizen,chap,a crowd,per person
一会儿,presently,present,dash,eternal
敌人,enemy,elegy,envy,envoy
调查者,researcher,prism,ammeter,facetious
湿润,moist,joist,modish,moss
向…靠近,approach,reproach,airforce,ovary
小麦,corn,cork,code,son
教育,education,reduction,dedication,deduction
执行者,executive,execute,elective,execution
想象力,vision,fission,piston,evasion
邮包,parcel,parch,cartel,parse
允许进入,admission,omission,emission,mission
符合逻辑,logical,lyrical,comical,topical
有害,harmful,handful,earful,hateful
汉堡包,hamburger,bread,birthday noodles ,noodles served with soy sauce
比似,comparison,companion,waspish,grimy
箭,arrow,throw,harrow,parrot
科学,scientific,set up,shoot with great precision,tight 
天然,natural,nature,unnatural,aural
皮革制品,leather,weather,father,lather
白色,white,waive,what,whiff
饼干,biscuit,circuit,sandwich,candy
连续,continual,continue,every day,from the beginning of ... up to ...
适当,appropriate,portable,no use,to fit well 
小萝卜,radish,ravish,brandish,radio
冠军,champion,champion,second place,typical
发表,announce,denounce,announcer,renounce
不喜欢,objection,objective,objector,subjection
明智,sensible,ostensible,senile,feasible
原因,cause,because,raise,muse
财政,financial,financier,official business,financial affairs
四轮运货马车,waggon,jargon,waggle,maggot
年少,junior,senior,juror,janitor
特别受喜爱的,favourite,pitiable,shaggy,sane
树枝,bough,cough,touch,mouth
舱面,deck,duck,peck,dean
事情,affair,fair,affirm,afraid
形容词的,adjective,objective,adjunctive,ail
抱怨,complain,complaint,abhor,to yearn for
多产,fruitful,trustful,fitful,upward movement
简化,simplify,simply,amplify,become apparent
领袖,leader,gender,reader,trader
电灯泡,bulb,balm,July,pulp
不平常的,unusual,usual,unequal,mayoralty
解决,settlement,battlement,pull out,quench
位置,position,volition,positive,petition
龟,tortoise,porpoise,mortise,sardine
十分喜悦,joyful,joyous,ecstasy,to bow
宣告者,announcer,announce,budge,bravado
打点于,dot,jot,pot,dolt
王子,prince,cringe,France,price
姿态,gesture,feature,texture,pasture
公主,princess,pincers,painless,process
英式足球,soccer,saucer,solder,sorter
丰饶,productive,protective,production,tidy
收益,income,incise,intone,invoke
此外,moreover,forever,how ,it appears
复杂,complicated,trivial,closely,overlapping
体面,decent,defeat,deceit,percent
洒脱,smart,mark,salt,swarm
洋葱,onion,lion,union,pinion
牛,ox,mot,on,box
粘性,sticky,stocky,stack,silky
印,impression,repression,depression,oppression
精神,mental,venial,metal,rental
退缩,shrink,shrine,shriek,shank
必然要,must,musty,moot,put
有规律地,regularly,synthesize,lunatic,fiasco
反应,reaction,action,traction,relation
美味,delicious,religious,malicious,felicitous
路程,route,joule,rote,repute
纯洁,clean,clear,cheap,lean
援助,assist,resist,artist,assign
效率,efficiency,deficiency,efficient,overnight
威士忌酒,whisky,whisk,whimsy,whinny
唤醒,arouse,house,rose,carouse
最少,least,lest,lust,yeast
和平,pacific,pacifism,pacify,pacifist
调味汁,sauce,saucy,saute,sue
当中,midst,mist,mast,mid
生活,living,to leave this word,meet violent death,breeding
折短,tuck,stack,funk,turf
茎,stem,steam,sew,stet
通用,available,transfer ,usage,to operate
想象力,fancy,many,farce,manly
贫穷,poverty,property,covert,overt
宣布,pronounce,pronoun,renounce,to occupy
使惊奇,surprise,sunrise,surmise,operator
向外,outwards,outward,upwards,southwards
变化,transformation,deteriorate,to form,change irregularly
问候,greet,green,graft,greed
简短,shortly,shorts,portly,shorten
起重机,crane,clank,rare,change
塔,tower,cover,hover,taker
茶托,saucer,saucy,sauce,pauper
角色,character,charter,role,unworthy
运输,transport,transpire,transpose,transform
模特儿,model,money,morsel,modest
允许,allow,alloy,aglow,fallow
天生,born,originally,foreign,unsuitable
革命,revolution,resolution,evolution,devolution
手指,finger,inner,singer,danger
呼喊,exclaim,reclaim,explain,acclaim
保护,shield,child,field,yield
收割,harvest,arrest,harness,harvester
耳的,aural,aura,viral,plural
通知,inform,infirm,form,inborn
省略,omit,exit,knit,amity
调查的结果,finding,eloquent,continuous,microwave
表,meter,better,mother,meteor
跪着,kneel,knurl,knell,keel
共和国的,republican,republic,publican,genocide
漂流,drift,adrift,dint,swift
保护,protective,productive,protection,projectile
使烦恼,vex,key,text,vox
巩固,stability,liability,stabilize,ability
建造,erect,elect,treat,evict
耙子,rake,fame,raze,ace
喇叭,trumpet,trumpery,trump,devote
不确定的,uncertain,entertain,ascertain,certain
小酒店,inn,wing,pin,bun
直率,direct,detect,director,indirect
船舱,cabin,gain,cavil,basin
公社,community,immunity,commodity,communion
锯,saw,far,cow,paw
发现,discover,discovery,to find out,forget
电路,circuit,circus,circuitry,biscuit
欲望,appetite,petite,appetizer,sexual desire
放射性,radioactivity,similarity,variety,independent character
番茄,tomato,potato,cucumber,carrot
整洁,neat,jean,flat,seat
粗心,careless,wireless,ageless,nameless
辐射线,ray,rack,racy,rue
分界线,boundary,bounder,foundry,half of sth
软的,soft,swot,sofa,spit
运行轨道,orbit,orb,trait,forbid
颏,chin,chap,hint,hind
不知道的,unknown,unknowing,strength,medical
捆,wrap,rag,brat,warp
英寸,inch,pitch,milch,pinch
一月,January,canary,month,March
可靠,reliable,pliable,readable,liable
阵,shower,shiver,sheer,shaver
纠正,correct,current,incorrect,corset
引起,excite,excise,excrete,exile
接头,joint,john,stint,foist
姿势,attitude,altitude,aptitude,latitude
强盗,robber,bomber,roller,jobber
下来,descend,distend,descent,depend
算术,arithmetic,variable,ken,research
加强,strengthen,strength,to make better,make weaker
佃户,tenant,tenet,truant,recant
污染,pollution,solution,collusion,attractive
历史,historical,hysterical,historian,historic
结婚,marriage,carriage,barrage,seek
口音,accent,ardent,assent,accept
大容器,tank,task,wane,van
望远镜,telescope,telescopic,microscope,broom
连接,connect,convert,context,concert
假装,pretend,preen,prevent,pretext
话筒,microphone,phonograph,diode,trumpet
紧张,intense,incense,immense,tense
群,throng,wrong,thong,throne
能力,ability,liability,stability,acidity
恨,hate,gape,fade,late
用尽,exhaust,graduation,begin shooting ,to finish
连接,join,sin,pain,oil
收集,collect,recollect,connect,correct
大小,scale,scalp,stake,scalpel
脚趾,toe,no,oz,ode
英国的郡,county,country,bounty,count
模范,example,ample,sample,examine
声明,declare,hectare,decline,decease
经历,experience,stay up late or all night,go on holiday,have passed
失败的人,failure,figure,allure,misread
富于幽默,humorous,timorous,numerous,amorous
神经,nerve,serve,verve,merge
竞争,rival,dial,revel,tidal
盎司,ounce,dune,once,wince
作品,composition,report forms,masterpiece,flow chart
汽油,gasoline,vaseline,baseline,oil
憎恶,horror,horrid,harrow,sorrow
样品,sample,trample,simple,shamble
羔羊,lamb,lass,last,lazy
流体,fluid,flue,flood,fruit
薪金,salary,salad,alarm,vagary
整洁,tidy,giddy,tiff,tiny
平原,plain,plan,paint,pain
年轻,youthful,mouthful,truthful,powerless
弓,bow,bag,hot,brow
提及,mention,mentor,motion,pension
通路,corridor,flight,special-purpose phone line or communications link,orbit
吊桶,bucket,bullet,bracket,buck
手边,handy,honey,hand,candy
滚轴,roller,robber,roll,holler
丝,thread,threat,tread,head
集中,concentrate,congregation,to bid farewell to,for a long time
协定,agreement,undertaking,conference,to allow
背诵,recite,repine,respite,requite
透露,disclose,dispose,invention,to indicate
唤醒,rouse,grouse,rule,cause
搁板,shelf,sheaf,chef,self
专家,expert,expect,exert,export
吸收,suck,buck,duck,puck
危险,dangerous,sweetness,helpless,leisurely
报仇,revenge,revenue,revere,reverse
等量,equivalent,will,firsthand,unlikely
机器人,robot,hobo,root,rob
不再考虑,dismiss,discuss,shoot,quote
信任,confidence,confluence,conference,confident
每年,yearly,early,nearly,year
出现,arise,rile,rise,trite
临时餐室,canteen,lantern,canter,federalism
优先,prior,prime,drier,error
闪电,lightning,smoking,dart,perilous situation
外面,outward,outwards,outwork,onward
回答,reply,rely,reel,repay
矿物,mineral,miner,minimal,liberal
表决,vote,more,robe,iota
整理,arrangement,adorn,to format,prepare
撤退,withdraw,withdrawal,captive,cause to perish
愿望,desire,define,despite,demise
使欢乐,entertain,uncertain,grow,jeep
栋梁,pillar,pillage,killer,pollard
利益,interest,internet,interject,interact
程度,extent,extant,exert,expect
医生,physician,physicist,physical,veterinary
电车,tram,tan,gram,prim
设计,layout,lout,about,attempt
动,stir,stud,tiro,stop
弄醒,waken,waxen,awaken,maker
商业,commercial,baron,banking,count
立方形的,cubic,chic,rubric,cabin
小雨,sprinkle,sprinkler,prickle,crinkle
一段时间,span,cataclysm,shabby,dismiss
位于东南,southeast,southwest,northeast,complexion
磁体,magnet,magneto,garnet,magnate
栽植,plantation,plantain,to cultivate,sow seeds
更可取的,preferable,obligation,magnesia,noble
期望,anticipate,to estimate,unexpectedly,conjecture
杆,lever,level,never,lover
滑稽,funny,fury,funnel,bonny
袭击,raid,rain,maid,raft
葡萄树,vine,vide,tone,fine
管理,regulation,reputation,relation,revelation
资料,data,postcard,archives,file
抵抗,resist,relish,desist,remit
锋利,sharp,harp,shade,shore
昂贵,expensive,expansive,excessive,extensive
翅,wing,wind,lingo,sing
比,ratio,ration,radio,gratis
好处,advantage,failing,abuse,merit
映象,reflection,election,selection,repletion
表现,behave,berate,beehive,leave
在…里面,within,wither,thin,with
浸,dip,due,pip,nip
分量,quantity,quantify,quality,a sum
凳子,stool,tool,stony,toll
专门,exclusively,inadvertent,deliberately,jolly
迷人,charming,small,rich,unlimited
使隔离,isolate,insulate,violate,inflate
友好,friendly,friend,discord,will not live under the same sky  - absolutely  irreconcilable
抱怨,complaint,compliant,complain,plaintive
毛毯,carpet,carper,garret,cart
机场,airport,purport,import,minimum 
委员会,commission,omission,compassion,consulate
带,belt,abet,bet,fell
肋,rib,kin,jib,rat
耕,cultivate,captivate,culminate,cultivator
亲爱的人,darling,during,earring,starling
锁上,lock,sock,knock,rack
调停,settle,style,settler,nettle
葡萄藤,grape,gripe,draper,grapple
大学毕业,graduate,gradual,radiate,wrestler
占领,occupation,accusation,sexual harassment,infest
行踪,track,rack,crack,trice
花冠,wreath,wreathe,breath,wrath
作者,author,abhor,tutor,actor
赡养,maintain,mountain,adopt ,run in the opposite direction
法院,court,curl,mount,count
给…穿衣服,clothe,loathe,cloche,cliche
绘画者,painter,printer,pointer,winter
剥削,exploit,explicit,export,explode
干的,dry,day,wry,fry
删除,delete,demote,delve,replete
化合物,compound,confound,impound,prey
倾斜,slope,hope,slave,shore
有价值的,worthy,worth,worry,north
不列颠,Britain,retain,Cyprus,Thailand
箱,box,fog,bay,fox
普通,common,comment,summon,commonly
各种各样,various,serious,vicious,vacuous
相似,similar,depending,contrary,asynchronous
木材,lumber,slumber,number,climber
胜利,victorious,vicarious,conquer,spread like wildfire
见解,viewpoint,dissent,decision,to think of a way 
机械,automatic,automate,automat,automation
僵硬,rigid,frigid,timid,right
原子,atomic,topic,tonic,attic
王国,kingdom,colony,neighbor country,our country
共计,sum,mug,us,puma
拷打,torture,torque,fortune,nurture
需要,demand,depend,decant,remand
普遍,universal,universe,per capita,narrow
推断出,conclude,conclave,concede,include
一阵激动,thrill,krill,twill,thriller
数学,maths,math,lathe,bathe
急速,haste,caste,hate,paste
包括,embrace,umbrage,membrane,brace
公公,father-in-law,Taishan ,husband's mother,auntie
固体,solid,gold,old,soil
垄,ridge,vide,rinse,side
水兵,seaman,sermon,season,seamy
虚荣心,vanity,amity,sanity,laity
描写,describe,ascribe,prescribe,inscribe
激光,laser,wager,eager,lease
棉布,cotton,mutton,colon,coupon
力,force,former,for,free
官方,official,unofficial,officiate,grotesque
将…奉献,devote,delete,denote,decode
有机体的,organic,organism,inorganic,organize
训练,practise,practice,precise,praise
赞成,favourable,to put up with,take seriously,possible
闸,brake,rare,make,bane
足够,sufficiently,extant,extract,surplus
合金,alloy,sally,also,ally
提及,reference,reverence,preference,deference
命令,command,commando,comma,commend
随便,casual,casualty,visual,manual
令人烦恼,troublesome,dampen,criticize,archaic
方,local,loaf,focal,loan
进步,progressive,bring up the rear,drop,gradual progress
打搅,annoy,canny,enjoy,annul
肥皂,soap,sap,soul,sop
厌世,pessimistic,hate ,will not live under the same sky  - absolutely  irreconcilable,loathe
易弯曲的,flexible,legible,inflexible,electrical
浇铸,mould,world,mud,mouth
外部,external,maternal,eternal,paternal
转移,transfer,transform,transfix,to change ones name
抑制,restraint,restrain,restrict,to step across
生命,vital,viral,total,natal
溢出,spill,spool,pile,still
令人愉快,pleasant,peasant,pheasant,pleasantry
排,rank,rock,tank,mink
注意,observation,regard wrongdoing with equanimity,appreciation,to rest
有能力的,capable,capsule,curable,palpable
边界,border,worker,holder,order
日益,increasingly,to the extent that,as quickly as possible,many times
更坏,worse,gorse,gore,coarse
屏幕,screen,screed,scream,siren
学期,term,team,stem,serum
总理,premier,premise,primer,premium
命运,fate,pale,face,cake
给予,deal,dell,pal,heal
赔偿,satisfaction,atonement,taxation,installment
发生地点,scene,cede,score,scent
泡,bubble,gobble,gabble,humble
幸福,welfare,warfare,calamity,sag
镭,radium,America,pear,protector
尽头,extreme,excrete,octave,the Tropic of Cancer
决定,resolution,revolution,evolution,devolution
确切,exactly,exact,hard to ,volunteer
仔细,careful,earful,harmful,hateful
前置词,preposition,noun,adjective,keyword
食品商,grocer,grocery,grove,broker
才能,talent,latent,valet,tablet
野兔,hare,her,tale,here
团,lump,lip,slump,jump
努力的成果,effort,effect,afford,extort
技术,technology,words,ability and sagacity,eloquence
豌豆,pea,pep,penal,dew
习语,idiom,dim,idiot,doom
冒犯,offend,defend,offence,offhand
重大,grand,grind,guano,braid
长袜,stocking,physician,minute,puzzle
必然,necessarily,on the eve of,automatically,no longer
焦虑,anxiety,painful,be out of sorts,resentment
妒忌,envy,penny,envoy,eddy
消息,information,anecdote,atmosphere,general situation
确信的,confident,continent,condiment,confide
宽度,breadth,breast,breach,wreath
实用,utility,humility,ability,utilize
满足,fulfil,full,flail,to provide
习惯性的,habitual,habitat,habituate,first-class
客运,transportation,ship-based,air transport,transfer
表露,demonstrate,cover,watery,involve
使团,mission,emission,fission,omission
叫喊,yell,sell,year,hall
引文,quotation,rotation,notation,nutation
馅饼,pie,die,hi,tie
灵巧,skillful,poor,stiff,bookishness
精选物,selection,election,selective,seduction
展望,prospect,respect,prosper,project
杰作,masterpiece,sb.'s original handwriting or painting,to produce,schedule
安慰,comfort,comport,conform,compost
决心,resolve,revolve,remove,solve
绝望,despair,repair,half,purely
跑道,lane,pant,fare,tan
初级,elementary,alimentary,elemental,among
大量,heap,cheap,zeal,neap
视力,eyesight,military power,energy,labor force
巨大,enormous,venomous,frail,grand
催促,hurry,curry,hussy,surly
拒绝相信,deny,den,envy,deep
出版,publication,to seal,exploration,issue
螺旋,curl,curly,curd,cure
巨大,vast,east,toast,act
保护,preserve,reserve,presence,deserve
幽默感,humour,rumour,tumour,amour
许多,million,mullion,zillion,pillion
富的,wealthy,wealth,healthy,realty
剩下,remain,regain,rain,remit
相信,depend,deepen,upend,defend
时机成熟,ripe,pike,ride,dime
舂烂,pound,count,round,pond
观光,sightseeing,play,guess,to play mahjong or cards
可以胜任,adequate,inadequate,equate,underling
十九,nineteen,nineteenth,mark,shorts
想要,intend,invent,distend,intent
同时,meanwhile,to link,or,along with
永不,never,sever,every,hover
读,reading,to study abroad,imitate,read newspapers
责备,reproach,approach,revelation,keep secret
四分之一,quarter,quartet,quartz,quarrel
假定,assume,astute,spume,issue
模糊,vague,venue,vogue,rage
划线于…之下,underline,underling,undermine,underlie
度,degree,decree,regret,agree
相对,relative,relation,creative,gelatine
伪装,mask,dusk,mark,muse
专科院校,academy,academic,gallows,malt
刮起,sweep,weep,sweet,deep
草场,lawn,lair,lab,yarn
总教堂,cathedral,make,cherry,sixtieth
伴侣,companion,comparison,communion,compassion
鉴定,identify,identity,to distinguish,to embezzle
车辆,vehicle,bicycle,bandage,moxa
横幅,banner,manner,banter,garner
方程,equation,education,equator,elation
雌性的动物,female,feeble,finale,male
改造,transform,transfer,transport,lay a foundation
旗,flag,flank,glad,nag
区分,distinction,quite,to take advantage of,identify
指导者,director,directory,direction,rector
范围,zone,bone,hone,Pope
略图,sketch,sketchy,speech,retch
约束,restriction,sanctions,range,inflame
麻雀,sparrow,arrow,harrow,narrow
壮丽,glorious,beautiful,currently available,can't
咖啡,coffee,toffee,offer,coffer
目的,intention,invention,attention,retention
除掉,removal,removable,remove,revival
雇用,employment,assume a post,start a career,replace
举起,raise,raze,rain,pause
发生,occur,incur,cur,occupy
排球,volleyball,tennis,golf,baseball
侄女,niece,nice,vice,fierce
请教,consult,consul,console,consort
传说,legend,emend,lend,defend
出口,outlet,outer,cutlet,outset
每月,monthly,bimonthly,month,mostly
边境,frontier,boundary,extent of a country,local
应当,ought,tough,rough,night
忍受,tolerance,tolerable,tolerate,tolerant
热忱,enthusiasm,urbane,be concerned about face-saving,deferent
恢复,resume,rebuke,presume,repute
有能力的,competent,compete,complement,competence
大胆,daring,unyielding,muddled,timid
工装裤,overall,overhaul,overawe,overact
庙宇,temple,ample,simple,tipple
渴望,hungry,sundry,hunger,angry
条纹,stripe,stroke,strip,strike
篇,chapter,chopper,chatter,charter
头盔,helmet,helm,helper,velvet
扬声器,loudspeaker,wireless,diode,gramophone
集中,concentration,to gather together,to bid farewell to,gather
直径,diameter,diabetes,weight,power
街区,block,clock,loch,sock
一伙人,crowd,crown,crony,crow
喷,spray,splay,spiral,pray
分,division,decision,diversion,vision
外表,surface,furnace,suffice,surname
不自在的,uncomfortable,simplicity,informal,obstinate
食品杂货店,grocery,grocer,crockery,grower
军事,military,militant,militate,solitary
残忍,cruel,duel,gruel,crust
使摆脱,rid,repatriate,misquote,merge
解释,interpret,internet,comment,high points
吸收,absorb,absurd,abhor,abort
油炒,fry,wry,try,fob
人,human,hymn,humane,inhuman
青少年,teenager,teenage,adult,infant
欢呼,cheer,peer,cheek,chair
校订者,editor,suitor,creditor,edition
构架,frame,gramme,rate,franc
碳,carbon,carrot,carton,carol
书法,handwriting,to doodle,inscribe,penmanship
鹰,hawk,paw,halo,hark
军医,surgeon,dudgeon,surgery,burgeon
发白热光,glow,slew,slop,grow
魔法,magic,panic,logic,magpie
不仁慈的,unkind,unwind,kind,mankind
管弦乐队,orchestra,orchestral,chamber of commerce,chorus
器械,appliance,alliance,biological weapon,rifle
错,wrong,wring,front,frog
跛的,lame,page,frame,lace
快的,quick,juice,quack,luck
准则,code,love,lode,nod
地界仪,globe,love,lose,close
忘记,forget,forge,gorge,force
春天,spring,springy,bring,shrink
男的,male,gale,maple,gage
一套,battery,artery,latter,batty
浴室,toilet,tablet,tilt,toil
易碎,delicate,dedicate,delicacy,duplicate
大路,highway,sidewalk,path,waterway
星期二,Tuesday,Saturday,middle third of a month,Friday
解释,account,accost,recount,count
保守,conservative,justly,to start,democracy
式样,stype,morbid or abnormal state,anomalous,tense
两星期,fortnight,foresight,forthright,hypnosis
前进,progress,prowess,process,regress
荫蔽,shade,shore,shave,evade
清除,clear,clever,clean,leap
害怕,fearful,tearful,earful,be attached to one's native land and unwilling to leave it
乐观,optimistic,optimist,not resigned to,pessimistic
精炼,refine,define,recite,revise
投稿,contribute,contrite,be situated ,outer
一致,sympathy,roommate,be classified as,at the same time
不透水的,waterproof,waterproof,in order to avoid,taboo against using the personal names of emperors or one's elders
山,mountain,maintain,fountain,contain
记住,remember,member,December,to remember
漫游,wander,anger,pander,wonder
印刷,print,prim,plant,splint
容忍,endure,undue,ensure,tenure
记号,mark,mar,man,cork
任务,assignment,jurisdiction,right to vote,monarchial power
地震,earthquake,disaster caused by hail,famine,plant disease
企图,attempt,tempt,attest,raise 
真挚,sincere,singer,insincere,pincers
展望,outlook,outdoor,outwork,comparatively
起拆,suit,kit,shirt,quip
被,quilt,build,quiet,guile
修饰,decorate,detonate,decorator,desolate
烛形物,candle,chandler,dawdle,wangle
银,silver,salve,slaver,sinker
感恩,gratitude,latitude,platitude,to think over
奢侈品,luxury,usury,augury,contraband goods
有教养的,polite,polish,poise,policy
临终,dying,suffer injuries ,to twist,outbreak 
新近,newly,nearly,rely,jelly
