#word,meaning,option1,option2,option3
熟人,contact,conduct,compact,connect
漆黑,midnight,greying,garish,variegated
愿意,willing,unwilling,rolling,polling
甜味,sweet,sheen,sleet,swot
不同,other,totter,father,otter
箱,case,cyst,cafe,cane
适宜,proper,prosper,propel,grower
表示,express,empress,oppress,excess
决不,scarcely,scarcity,scarce,unmanned
挑战,dare,spare,aye,hark
继承,adopt,adept,adapt,dot
换去,change,chance,charge,clang
宽大处理,mercy,merry,messy,emery
把...装罐保存,can,cad,Cal,dam
易读,readable,reliable,eatable,reparable
这里,here,cede,perm,eerie
窗框,window,widow,wisdom,windy
适合,fit,fin,riot,cot
境况,pass,mass,puss,pay
在...下面,below,bellow,blot,glow
详述,detail,detain,bewail,metal
记录,record,retort,recoil,recur
表示特指,the,toe,tape,theme
以前,former,forget,farmer,foster
红的,red,feed,rod,yes
确定,state,stele,shake,fate
宗教教育,religion,region,relation,revision
文献,literature,literate,scriptures,brief guide
价格,value,valve,vague,clue
可能,possible,possibly,impossible,passable
出色,beautiful,beautify,influence,be worth reading a hundred times
感受,effect,infect,affect,effort
样式,style,tile,settle,stylus
起初,original,originate,criminal,origin
变钝,dull,poll,bill,dolt
第二十,twenty,testy,plenty,treaty
政体,government,racism,socialism,guidelines
仆人,servant,serpent,sergeant,verdant
看,eye,eke,ease,eve
用商标标明,trademark,landmark,drove,wrest
技术,skill,skulk,still,sill
惊恐,alarm,swarm,arm,warm
上级,superior,assistant,excess personnel,team companion
基础,base,bane,date,bush
也不,nor,mar,no,cop
猛转,race,mace,rile,brace
停止,cease,weasel,terse,lease
妇人,wife,pipe,wipe,wing
工作,work,word,fork,mock
交给,give,live,lie,glue
喜欢,care,cave,lark,war
虽然,while,wile,white,whole
献祭,sacrifice,certainly,clammy,virus
签,lot,hat,do,flow
光顾,custom,custody,castor,gusto
哲理,philosophy,original meaning,significance,physical
单一,entire,retire,entice,engine
救济,relief,belief,reef,relish
平缓,gently,gentry,entry,gentle
立即,immediate,mediate,on time,not long
跟随,follow,fallow,bellow,pillow
吩咐,tell,yelp,telly,hell
好运,luck,fleck,lock,lucid
搬家,move,give,moat,yoke
酷似的人,double,couple,wobble,noble
鼓励,spirit,sprig,shirt,spurt
光荣,glory,glow,gory,gloom
帆,sail,snip,nail,rail
忍耐,patience,patient,to keep down,able to
迄今为止,thus,thud,thug,this
当作,as,at,fad,mast
智力,mind,find,mend,rind
悬挂,hang,hen,fang,pan
客饭,dinner,danger,dancer,inner
现有,visible,viable,virile,invisible
呵,dear,dab,door,deal
扮演,act,yacht,pact,bat
第九,nine,kink,pie,nuke
犯罪,crime,slime,bribe,come
想,think,thing,thinker,mink
猛烈,fierce,pierce,fleece,coerce
计谋,policy,police,poly,polite
说话声,voice,vice,price,police
偶尔,occasional,occasion,I think,uninhabited
音,tone,some,throne,tune
欧洲人,frank,bank,rank,bran
儿子,son,moan,fan,don
促使,bring,ring,brick,print
全国总部,national,nation,rational,atonal
简单,simple,sample,tipple,rumple
融化,oil,one,sin,nil
胜利,victory,history,factory,vector
星宿,star,stale,seat,year
渐渐,gradual,graduate,even,immediate
城市,town,sow,thorn,own
赤裸,bare,vary,more,Eire
粉,dust,fuse,doubt,dusty
五,five,site,fire,wire
有时,sometimes,sometime,vouch for,unexpectedly
安全,safety,satiety,surety,salty
神经质的,nervous,onerous,serious,fervour
一群,troop,droop,loop,snoop
响亮,loud,lord,loch,fold
欺骗,sell,swell,tell,fell
爱情,love,bloke,lover,yoke
捐赠物,donation,location,rotation,ovation
它的,his,hiss,big,wise
世界,world,worse,mould,bored
吹,blow,bloke,mow,boa
除非,unless,endless,less,undress
罢工,strike,strife,stroke,stride
决心,will,wild,wilt,krill
覆盖,cap,war,yap,bad
说,speak,spear,steak,speck
短笺,note,noon,none,dote
游戏,game,gramme,same,time
地位,status,startup,statue,stratum
长,grow,brow,raw,prod
在...里,at,pat,as,wag
你的,your,sour,our,tour
半,half,halve,wall,hallo
矿藏,mine,mince,site,mind
察看,see,stele,hem,sea
苍蝇,fly,fry,cry,ray
作者,writer,wiper,waiter,primer
某处,somewhere,part,spray,mankind
抛光,finish,fish,punish,banish
影响,affection,affliction,infection,to move
装设备于,furnish,burnish,furbish,finish
伸出,reach,retch,react,each
翼展,spread,stream,spear,bread
国内,civil,civic,cavil,coil
精神,soul,sour,scum,soil
迅速,swift,wilt,gift,swill
使习惯于,accustom,custom,wonderment,overall
嘴唇,lip,aid,lie,pi
近来,lately,flatly,label,lively
一切,everything,negligible,hard to come by,a few
也,neither,either,nether,weather
物主,owner,powder,tower,other
消息,news,new,neap,newt
并非,not,knot,mob,mat
青年人,youth,mouth,worth,tout
居后,next,neat,belt,dent
因此,hence,fence,thence,since
大声,aloud,clod,loud,flood
变热,flame,aflame,lane,plate
不能,unable,enable,noble,tenable
传闻,fame,fuse,amp,frame
罚,punishment,gull,genus,tether
燃烧,burning,turning,bring,cunning
跳舞,dance,trance,once,vane
嗅,nose,loose,cos,dose
一部分,part,pare,rare,party
不知道的,ignorant,ignorance,vagrant,greenhouse
废料,refuse,refuge,refund,resume
支架,carriage,cartilage,marriage,cartridge
破晓,dawn,daub,drain,dare
果实,fruit,rut,fruity,frost
片刻,second,secondly,record,scold
黄,yellow,willow,fellow,cello
历史,history,distort,victory,historic
亲近,especial,special,to know well,be at odds
顶,roof,proof,row,rota
外国,foreign,foreman,feign,foreigner
可包含,contain,curtain,mountain,constrain
报文完,over,power,lover,overdo
认为,believe,belie,relieve,besiege
圣洁,holy,holly,hole,hold
开始,departure,to start out,to drive a car,to start work
损害,harm,carp,hare,warp
很多,some,tame,come,soft
安置,station,elation,gestation,static
报道,report,port,revert,resort
昏厥,faint,feint,taint,fauna
很,too,woo,toy,tool
气质,habit,gambit,cabin,hit
邪恶,evil,wail,evict,vie
公馆,hotel,rote,hoe,hostel
应缴款,due,cue,fuel,dung
分,minute,inure,minuet,mine
使安静,quiet,squirt,quit,quiver
灭亡,death,reach,dearth,wealth
尖锐,severe,serene,sever,revere
自大,importance,importune,important,deferent
价钱,charge,large,barge,hare
使认识,acquaint,quaint,acquit,massacre
交付,tender,render,gender,tense
百人,century,penury,gentry,venture
集中,mass,ass,mama,moss
地区,region,legion,rein,resin
肥胖,flesh,flush,flash,lest
比赛,play,clay,bay,plan
偶然,chance,whence,hence,dance
匹敌者,equal,sexual,unequal,usual
低声,low,cow,slow,now
教育,school,scroll,shoot,scoop
友好,kind,mend,hind,bind
雨,rain,pain,main,robin
压,bear,near,wear,weary
别样,otherwise,those,one ,every country
擦过,glance,lance,fiance,grace
合上,shut,hut,shift,sour
成功,joy,vow,nod,hot
成距离,apart,apt,heart,abort
休息,rest,rust,react,zest
车厢,car,sear,scar,cur
有苦味的,bitter,titter,mitten,barter
地址,address,addressee,undress,duress
工作周,week,weak,reek,meek
出局,line,linen,gin,live
退色,weather,welter,father,weaver
死,depart,deport,debar,dear
方位,fix,wax,pit,fin
可靠,sure,spurn,suit,sulk
英里,mile,dime,oil,mode
抛弃,desert,deserts,assert,dessert
奇怪,peculiar,pecuniary,secular,inadequate
不作声的,silent,siren,slant,scent
多数,majority,maturity,minority,entire
教,teach,yeah,reach,each
例子,instance,distance,instinct,insurance
向...供应食品和其他必需品,provision,proviso,profusion,precision
小说,story,snowy,stray,stow
直到,whilst,whisk,wrist,hilt
歌,song,pang,sofa,sing
高兴,delight,height,sidelight,weight
节,verse,hearse,parse,serve
最高,top,shop,tap,nor
等,wait,watt,waif,shit
避开,avoid,void,avid,amid
必然,necessity,necessary,just a moment ago,at last
出现,appear,pear,appeal,append
中等,middle,muddle,mile,meddle
诗的特征,poetry,pretty,poetic,piety
财产,property,poverty,prosperity,proper
实践,practical,tactical,practice,successfully accomplished
岛,island,inland,gland,slant
聚集,band,blank,tend,bane
云,cloud,clod,laud,loud
花园,garden,garner,warden,laden
包角,corner,cornea,coroner,former
不可能的,impossible,possible,impassable,aphorism
无疑,doubtless,countless,true to life,wise
服务,service,device,survive,serve
直到...为止,till,still,tilt,null
特定,particular,tiptop,out of the ordinary,first-class
势力,influence,confluence,inference,affluence
主,lord,loud,loom,loll
她,her,herd,sir,term
失去,lose,hose,loser,late
侵袭,affect,effect,afflict,abject
承认,admit,addict,adroit,adept
家伙,person,version,sermon,heron
轻率,blind,bind,blond,behind
另外,more,mere,mores,mode
巫师,medium,media,modicum,tedium
抄袭,copy,cool,cos,coma
极,nearly,early,narky,mealy
疼痛,misery,mystery,mastery,misty
是否,whether,whither,weather,tether
进展,distance,distaste,instance,distant
较高,excellent,excellency,livelong,maw
饲养场,farm,yarn,fare,arm
以盐喂,salt,hale,pant,ant
勇敢,courage,cottage,coinage,course
妙的,pretty,petty,poetry,putty
陌生人,stranger,strange,estrange,strangle
须要,need,new,mend,deed
有意的,conscious,adoption,sagacity,ethnic
轻击,baby,bald,navy,bay
有过失的,guilty,guilt,guile,gully
契约,article,particle,auricle,artiste
轻装,light,might,flight,right
呈现棕色,brown,frown,brawn,brow
船长,officer,office,offer,assistant director
隆重,solemn,spleen,sole,column
非常,very,verb,mercy,derv
食糖,sugar,vulgar,scar,sear
最后,final,finale,vital,zonal
钱袋,pocket,rocket,poke,packet
付给,render,reader,leader,sender
草,grass,guess,glassy,crass
敬神,worship,airship,warship,workshop
暂停,pause,parse,prune,fuse
飞船,vessel,lessen,easel,verse
火,fire,tire,gird,pipe
行动,action,potion,auction,nation
滑行,coast,cease,coax,cot
有用,useful,tuneful,lustful,general
最后,last,vast,lease,vase
使狂喜,entrance,entrant,entrench,enhance
现在,now,cow,to,no
责任,duty,defy,due,tutu
痛,pain,rainy,main,fair
小的,little,liable,cattle,belittle
脑,brain,brash,gain,grain
商店,shop,swop,hop,slip
脸型,feature,fracture,venture,creature
审讯,trial,twirl,oral,trip
麻木,asleep,steep,sleep,sheep
备货,stock,shock,stocky,stack
州长,governor,govern,Kennedy ,Mao Zedong
耳,ear,hark,war,wary
获得,get,new,neat,gem
衣料,goods,hood,god,goody
自由,freedom,as far as possible,really isn't,jolly
想,imagine,marine,image,schoolboy
忧思,melancholy,anxiety,gloomy,anguish
我们自己,ourselves,slow,spheroid,stray
深黑,dark,dare,damp,part
国,country,foundry,county,count
打,beat,mead,neat,seat
提议,motion,notion,moon,lotion
悲哀,sad,ad,road,sex
停住,stand,stain,sand,stave
很,quite,quire,quota,suite
出生,native,naive,waive,nature
非凡,singular,angular,insular,a certain
激怒,savage,sausage,ravage,save
在...旁边,by,my,sky,boy
有益于,benefit,befit,restrict at,unfavorable
力量,might,mighty,eight,plight
尝,taste,tattle,tact,paste
王冠,crown,clown,drown,frown
物理,physical,physics,physically,physician
讲解,explain,plain,exclaim,exploit
矿泉水,water,writer,watery,banter
大众,cattle,wattle,bottle,castle
赞助,side,aide,she,hie
绝对事物,absolute,resolute,obsolete,absolve
为...辩解,excuse,excise,exhume,exude
最小号铅字,brilliant,managerial,evermore,trimming
叹气,sigh,fight,high,sick
全部,whole,hole,hone,sole
含有...的,of,oz,ox,off
奴隶,slave,shave,stake,save
猜,guess,guest,puss,press
和,and,land,bind,red
折磨,trouble,troupe,tremble,double
欲,choose,chaos,moose,horse
装饰,dress,egress,bless,fresh
根据,evidence,eminence,evident,evince
激怒,passion,passive,assign,fashion
系列演出,series,eerie,serious,herpes
强烈,strong,string,wrong,song
许可,leave,weave,leaven,lace
供...睡觉,sleep,sleek,asleep,sleet
备用,spare,spire,pore,spank
过早,previous,devious,precious,broadcast
计划,idea,idle,sea,wide
究竟,itself,himself,self,myself
发生,exist,waist,hoist,joist
远,far,cab,bar,war
裁决,judge,edge,dude,fudge
天才,genius,genus,genial,census
安心,secure,lecture,secret,secede
如同,like,kite,rice,rite
大王,king,jig,hinge,link
掩蔽,cover,cope,sever,cheer
使高兴,charm,alarm,chat,char
观察,tent,tempt,tenth,bend
释放,liberty,puberty,liberate,liberal
居民,inhabitant,overseas Chinese,fellow citizen or countryman,ethnic Chinese person or people
夜,night,right,sight,tight
已经,already,ready,honest,a moment ago
花钱,expense,expunge,expose,expend
刺,thrust,thrush,trust,Christ
量,amount,mount,among,amour
处理,treatment,transfer ,wholesale,peddly
喝,drink,brick,risk,print
仅仅,merely,mercy,merry,rarely
格斗,battle,wattle,batter,cattle
罪,sin,nine,side,kin
他亲自,himself,herself,itself,brilliant
王车易位,castle,caste,haste,tattle
面包,bread,bead,broad,beard
骑马道,ride,re,tide,dive
报道,advice,vice,advise,adduce
产生,generation,federation,generator,spring up
离题的话,aside,arid,bide,aide
敏锐,eager,ewer,lager,wager
班级,class,cask,gloss,cast
我,me,re,net,hue
有点,somewhat,sharply ,rather,finally
制作,fashion,fusion,faction,passion
运动,exercise,expertise,excise,to drain
客,guest,wrest,guess,just
先去,prevent,present,recent,pretend
关,close,cause,cross,closet
幼小,young,count,song,your
打,dozen,open,dome,dope
一种,title,titter,trifle,tale
强壮,powerful,feeble,walk with difficulty,very red
信任,trust,trout,thrush,truce
荒谬,foolish,polish,abolish,bookish
捕,fish,rash,wash,fishy
使负重,weight,bright,eight,weigh
试图,seek,meet,seem,leek
表示,expression,expressive,impression,depression
古代,ancient,ascent,incident,accent
登记,enter,elder,antler,entry
关注,notice,novice,notion,entice
在...之下,under,launder,undo,gunner
我亲自,myself,self,itself,precision
纯粹,pure,lyre,core,inure
没有一人,none,rose,bone,note
帮助,assistance,assistant,resistance,express sympathy, greetings, consolation, etc.
咬,eat,nay,can,east
语言,language,aphorism,new word,preposition
无论什么时候,whenever,wherever,whatever,whoever
犯人,prisoner,prison,collection,write
同样,alike,saline,alone,like
不牢固的,weak,leaf,seat,leak
退还,refund,refine,refuel,refuse
很少,few,fen,web,jet
使优美,grace,grape,grave,erase
几乎不,hardly,lordly,hard,hardy
冲,rush,brash,such,rouse
魔鬼,devil,evil,cavil,device
登,mount,moult,out,amount
会堂,hall,hell,chill,hull
各别,different,difference,diffident,equal
基督徒,Christian,Christmas,soul,White bandits
等待,expect,expert,extent,export
内容,content,contest,comment,continent
好名声,reputation,regulation,imputation,deputation
幼鸟,bird,girl,bark,gird
不平滑的,rough,couch,rouge,tough
特刊,special,especial,serial,social
产生,production,productive,prediction,protection
呼喊,shout,spout,flout,south
河口,issue,tissue,sue,fissure
坏的,wicked,sicken,wicker,wicket
自由,freely,freeway,breezy,freeze
把...除外,except,exempt,expect,expert
否则,else,lee,base,easy
建立,establish,choose a site for the capital,legislation,appoint
证人,witness,fitness,waitress,defendant
十足,complete,compete,complex,compute
流动,current,currently,currant,correct
较小,less,leaf,lest,lasso
显然,apparent,parent,is driving at,in effect
完全,main,rein,twin,mail
认为,consider,confide,consumer,view
发现物,find,bind,faint,hind
忙碌,busy,bask,rosy,posy
每日,daily,daddy,daisy,deity
延迟,stay,shy,bay,stab
问,ask,cask,bask,vase
个别,individual,piece,by oneself,step by step
第十二,twelve,shelve,weave,delve
瘦的,thin,win,than,thing
表明,indicate,intimate,vindicate,dedicate
措词,phrase,pirate,phase,prose
合法,legal,venal,regal,leak
保护,protection,projection,production,protective
民众,popular,polar,jocular,populace
高潮,wave,dive,ware,hive
信任,credit,remit,predict,crest
脂肪,fat,hag,flat,nag
或许,perhaps,could it be,take care of,never
一层,flat,flaw,flee,late
此外,besides,reside,beside,bedside
不名一文,broke,broker,brow,probe
到达者,arrival,carnival,arrive,aerial
乐事,treat,trust,tea,tram
在...旁边,beside,bedside,besides,betide
同意,consent,content,constant,convent
湾,bay,bar,vary,cry
蓝色,blue,bun,blare,be
某,something,deflect,obscene,miser
距离短的,brief,breed,bring,ref
非凡,remarkable,reparable,excellence,sole
疲劳,weary,ovary,learn,easy
接,field,fiend,wield,find
任何人,anyone,noone,canyon,alone
阿姨,aunt,rut,and,jaunt
使平坦,even,glen,event,yen
雌鹿,doe,due,duo,hoe
落后于,behind,remind,hind,beyond
得以...的,able,gable,rule,abet
人,man,rank,an,fin
他们的,their,other,theirs,tier
唯恐,lest,cast,list,sect
做,pray,prey,play,era
接触,upon,soon,spoon,pin
很,fine,file,rile,finery
地面状况,going,gown,king,gang
血统,blood,bold,boot,aloof
布,cloth,clot,cloud,clothe
同时,together,tether,altogether,in addition
快步走,shin,stain,hip,thin
感到好像,seem,see,she,ream
子句,member,ember,meter,amber
有成就的,successful,setback,hasty,suspender
结果,event,fervent,overt,advent
侍候,attend,extend,attune,intend
成对,pair,prig,pan,page
整齐,straight,straighten,strait,turn white hot
光亮,bright,fright,eight,brighten
噪声,noise,voice,noone,noisy
推,push,punch,piss,fuse
扩展,extend,expend,extent,exceed
浪费,waste,caste,mate,baste
音量,volume,voluble,column,value
经过,travel,ravel,trammel,grovel
翻印,type,tape,tile,tone
什么时候,when,hen,whet,who
从那以后,since,single,lance,vice
庭院,yard,ward,nark,arm
豁免,forgive,furtive,forge,disband
许多,numerous,humorous,ten million,manifold
工贼头目,noble,nonce,ennoble,note
打破,destroy,destroyer,destiny,peel off
英雄,hero,zero,halo,hers
奶,milk,wily,dirk,kick
顺从,compliance,compliant,refusal,unconstitutional
追,course,purse,recourse,house
源,source,ounce,resource,sour
夫,husband,husbandry,disband,realty
忠实,faithful,unfaithful,fitful,unreconciled to
法兰西,France,glance,prince,trance
勉强,narrow,morrow,marrow,harrow
动,emotion,motion,emotional,lotion
使谦逊,humble,mumble,rumble,fumble
书房,library,literary,locker room,toilet
也,likewise,whence,contrary ,where
现在,present,presence,resent,repent
占一房间,room,brook,rota,good
胜过,end,envy,endow,and
出席,presence,pretence,preserve,present
为...祝福,bless,bleat,boss,less
以后,afterwards,last month,a while,within the next few days
允诺,promise,premise,profuse,profile
运载,carry,cabby,carol,candy
训练,condition,conduction,coalition,conviction
实践,practice,practise,practical,make more widespread
早,soon,down,wool,shoot
造像,image,silage,cage,imagine
羊皮革,sheep,ship,sweep,she
重复,repeat,repent,repeal,repast
尝试,try,airy,key,tyre
可是,though,trough,thigh,enough
早餐,breakfast,news,luncheon,New Year's Eve family dinner
正中,centre,gentle,metre,cent
收集,gather,washer,father,batter
允许,let,pelt,pen,lot
上天,heaven,heave,beaver,leaven
宗教,religious,religion,delicious,Cold War
单独,alone,bone,along,zone
最近,recent,recount,repeat,prevent
发育,flower,blower,glower,foyer
到,to,nor,who,tomb
任何地方,anywhere,nowhere,presage,finality
完全,wholly,woolly,holly,whole
往...的上端,up,bump,pi,lop
贿赂,hat,bat,haw,what
暴力,violence,silence,violent,strength
喜悦,triumph,triumphal,trump,greet
抓,catch,notch,patch,patchy
著名,famous,campus,amour,infamous
在...下方,beneath,breath,bequeath,emit
每一个,every,emery,celery,entry
狂热,violent,violet,violin,silent
计算机,computer,compute,composer,compote
有道德的,moral,formal,mores,amoral
开阔,large,care,laugh,barge
砍倒,fall,fad,bald,mall
竟然,actually,actuality,actual,only
限定,limit,omit,elicit,visit
惊奇,wonder,wander,ponder,winner
销售,market,marked,basket,racket
主张,claim,clam,charm,chasm
禁食,fast,mash,fusty,dart
卖空,short,shoot,smart,stout
上帝,god,hod,gong,bad
美,beauty,batty,hearty,realty
宗教,sacred,secret,screed,barred
一元银币,dollar,collar,solar,dullard
遵从,comply,comely,couple,homely
富的,rich,prick,rick,rim
快的,rapid,vapid,rain,rabid
授予,grant,crane,crank,grape
说,observe,observer,deserve,obverse
据此,whence,wince,thence,hence
婴儿,child,shield,while,hilt
困扰,dog,dig,bob,don
种类,species,specie,series,special
希望,hope,cope,have,dope
帮助,aid,sip,fail,air
父亲,father,gather,feather,washer
评价,praise,poise,raise,prairie
原则,principle,principal,predicative,object
病害,disease,decease,disperse,dispose
发送,file,filmy,silo,mole
在...后面,after,patter,alter,master
动物,animal,annual,anneal,anomaly
感到自豪,proud,porous,group,pro
亲属关系,relation,elation,ration,relaxation
补救,right,bright,fright,might
表现,prove,probe,prate,prose
那些,them,sham,the,ham
岸,bank,band,bale,balk
船,ship,six,snip,thin
海域,waters,water,watery,cater
卫生,health,earth,heath,healthy
啊,so,no,sop,my
发价,offer,coffer,often,refer
军种,arm,yard,palm,ark
长久,long,bony,line,song
电子,electronic,electric,electron,atom
女仆,girl,fill,gird,gill
被...所环绕,among,amount,song,along
办公室,office,officer,suffice,efface
规则,rule,role,rape,hale
一生,life,lion,pike,bile
明显,distinct,distract,distant,distance
给...领路,guide,dude,gibe,tide
加,addition,audition,additive,sedition
怀疑,doubt,count,pout,dub
后期,afternoon,year-end,beginning of the year,past and present
指引,lead,lean,sled,load
玻璃,glass,bliss,glassy,gloss
外,strange,stranger,derange,strangle
昼,day,pay,ray,bar
恒常,regular,regulate,jugular,secular
向,towards,coward,upwards,behalf
决议,decision,decisive,precision,revision
赢得,win,line,wink,tin
几个,several,sever,general,reversal
在...的肚内,inside,insure,side,invite
第十,ten,in,tin,vex
结果,result,rebut,exult,resist
一丛,forest,wrest,forecast,format
年度,year,sear,tear,ear
小圆面包,roll,toll,owl,doll
旋动,turn,upturn,tiro,tan
公司,company,comply,compass,command
需要,lack,pack,race,lame
到这儿,hitherto,hither,psychology,headline
先生,gentleman,artist,tail,great master
好的,good,wood,gout,boob
弥赛亚,Christ,wrist,jurist,hoist
他,he,ape,hell,be
往外,forth,for,forum,forty
假如,if,in,of,sir
恶意,spite,spike,site,sprite
每,per,plea,fur,peer
成直角的,square,squawk,equate,quake
特点,difference,inference,different,deference
排列,range,rave,danger,strange
十五,fifteen,sixteen,fifteenth,shred
指挥,control,central,wield ,captain
除...外,save,aver,cave,sage
皮,skin,sin,skein,spin
花盘,disk,dose,his,hiss
军队,army,array,ally,arm
看见,sight,ought,sigh,light
符号,sign,six,assign,feign
刀口,edge,ledge,adze,doe
上帝,eternal,paternal,external,internal
剑,sword,ford,chord,swarm
那些,which,hitch,whit,witch
那时,then,they,when,hen
缺席,absence,absentee,essence,ambience
沿着,along,among,wrong,aeon
难过,sorry,soggy,berry,lorry
面朝,face,maze,file,laze
理由,argument,armament,augment,handle
国家,political,politics,politick,politic
陈列,show,shoe,sow,hew
每人,everybody,people,authority,public
好看,nice,wine,dice,vice
密的,thick,stick,thrice,trick
高于,above,love,alive,anode
温和,gentle,senile,gently,nettle
职业,job,rob,zoo,too
散射,scattered,scatter,diffraction,to radiate
上马,horse,chore,terse,gorge
向东方,east,react,bash,exact
主宰,reign,resign,weigh,feign
轻拂,kiss,dish,kiln,hiss
养料,food,tool,frog,hood
描写,paint,pail,gaunt,faint
难懂,difficult,difficulty,airline,peninsula
知识,knowledge,scholarship,polynomial,square 
表,list,gist,tilt,host
遭受苦难的人,miserable,once,subversive,cant
骑,sit,split,sift,pity
海洋,ocean,oven,omen,clean
绘,picture,pasture,posture,mixture
彻底,thorough,through,though,trough
考虑,attention,retention,intention,detention
警察,police,polite,malice,colic
总是,ever,waver,veer,eve
自负,sufficient,efficient,conceited,retirement 
家的,domestic,heartfelt,moon,resist
目的,purpose,suppose,propose,porpoise
使厌恶,sick,sack,sink,suck
围住,surround,surmount,breakthrough,horn
用,spend,speak,fend,send
尺寸,measure,censure,pleasure,manure
三,three,these,trek,those
逼真,real,pal,tea,heal
正当,reasonable,seasonable,reasonably,personable
拣出,sort,shout,lout,spout
决意,design,resign,feign,deign
版本,edition,sedition,addition,diction
位置,situation,station,citation,saturation
杯,cup,hug,us,lump
可惜,pity,putty,pet,wit
喜爱,favor,aver,avow,far
坚定,firm,fort,film,bird
奴隶制,slavery,shaver,slaver,bravery
呼叫,call,pull,card,cad
意识到的,aware,warn,await,award
朋友,friend,fiend,grind,find
美国,us,an,up,TV
宽松,loose,ooze,goose,louse
收集,collection,correction,collective,confection
这,this,thin,toil,tit
一千,thousand,thousandth,jiff,managerial
连接,connection,convection,confection,conviction
展现,stage,stave,stare,stag
缺乏,fail,flail,frail,trail
杀死,kill,krill,kit,gall
误解,mistake,intake,misstate,stake
在...以前,until,instil,unzip,nail
奔驰,career,care,carper,corner
室,chamber,clamber,camber,amber
爬上树,tree,true,tress,free
回击,answer,antler,anger,rapid-fire
谁,who,woo,pro,zoo
神秘,mysterious,magical mystical,to realize,secretly
得知,understand,underhand,understate,aware
她的,hers,hero,horsy,here
航程,voyage,forage,voltage,visage
你,you,yes,hog,yap
喜爱,fond,fend,food,hold
生物,creature,feature,armature,premature
变狭,neck,jack,peck,news
穿过...,across,cross,dross,cress
美女,lovely,lively,lonely,hovel
大地,soil,sole,soon,sit
使惊恐,frighten,brighten,fighter,tighten
掌着,hold,jolt,cold,herd
生,birth,sixth,bird,earth
在家乡,home,mope,coma,howl
容易,easily,heavily,readily,early
品德,quality,qualify,equality,quantity
破晓,break,wreak,bead,leak
使老,age,page,ease,aver
修改,doctor,vector,rector,factor
敬爱,regard,retard,reward,remand
奥秘,mystery,muster,mastery,misery
属,belong,along,below,beyond
祭司,priest,protest,press,preset
皮毛,coat,scout,cosy,foam
在...里,on,ah,zone,tan
交媾,ball,tall,fall,bass
你自己,yourself,ourself,waddle,mart
不幸,grief,greed,brief,thief
结尾,conclusion,confusion,collusion,concussion
公正,justice,injustice,justify,juice
许多人,many,hay,tan,mask
方法,key,beg,spy,kg
使平静,calm,hale,tall,helm
缝,fell,fill,fete,hell
集体,group,growl,grope,romp
察看,look,link,hook,loot
坯布,grey,tree,prey,grim
很,gay,gray,icy,ad
精密,exact,exist,exalt,enact
近代,modern,modest,mourn,mode
反对,object,reject,abject,subject
之后,thence,chance,whence,hence
触摸,touch,tout,touchy,tuck
撒网,cast,cost,feast,art
动物,beast,beach,bias,befit
山谷,valley,alley,ally,galley
管理,direction,detection,directive,diction
穿,wear,pearl,sear,weary
不愿...,before,fore,beware,begone
增加,gain,faint,again,lawn
用篝灯猎,jack,pock,duck,jackal
一家人,household,refusal,pompous,rout
诚实,honest,molest,hornet,hone
分享,share,shore,shake,slake
记述,write,irate,writhe,trite
明显,evident,trident,evidence,resident
猜想,suppose,support,oppose,purpose
变黑,black,pluck,click,blab
