#word,meaning,option1,option2,option3
underestimate,低估,估计,渴望,推测
regulation,规章,规程,规矩,晚宴
mustard,芥子,秕子,杏仁,家畜
hoarse,(声音)嘶哑的,准许,现今,传导
southwards,向南方,一桶之量,拔出,实
lily,睡莲,牡丹,桂,花儿
input,输入,上车,入境,失误
snap,猛咬,农业,安祥,手袋
surplus,过剩,不乏,大批,扁圆
disgrace,丢脸,升迁,进退两难,降级
pineapple,凤梨,胡桃,椰子,樱桃
idleness,赋闲无事,写信(给),处罚,包装
drawback,弊端,私利,区别,利害
resent,对…不满,头痛,抱恨,尊敬
bitterness,苦难,难题,不白之冤,折磨
vocation,职业,核工程,工程,中保
threshold,门槛,人头,步子,指法
wield,行使,用以,判明,挪用
loosely,松松,鞭长莫及,尴尬,专心
complaint,主诉,褐色,形成,细丝
fort,要塞,墓地,碑林,不毛之地
wade,趟(河),感谢,纽带,六(个
colonist,殖民地居民,亏本,焦急,离题的话
frock,(女)上衣,西装,斗篷,长袍
reptile,两栖动物,宠物,植物,表记
postal,邮政,公务,危机,防务
terrify,使恐怖,资本,从…抽取液体或空气,开明
hard,(酒)烈性的,削减,收获　,录音
commission,委托状,坐下,计算,扩展
duplicate,复制,收拾,闭门造车,克隆
charter,租,卫星(于本文中作形容词用),抚养,表面
beetle,甲虫,蜻蜓,蟋蟀,昆虫
hinge,铰链,皮带,活塞,弹簧
bleach,漂白,编制,包金,纺织
qualitative,定性,梦见,斗志,幻想
visit,常去,使...整洁,流汗,长期
track,留下足迹,击剑,中央,狡猾的人
walnut,胡桃,桃子,椰子,李子
characterize,表示…的特性,共产党员,酒店,成熟
author,创造者,制作者,雕刻家,天文学家
dry,干巴巴的,正常,盎然,神奇
kilowatt,千瓦(特),假设,美好,冒烟
duke,公爵,总经理,伯爵,男爵
migrate,迁移,迁都,迁居,度过
cradle,摇篮,东北,地方,南北
box,专席,无价值的,使失明,丛林
slander,诽谤,讥诮,笔战,丑化
vulgar,粗俗,浪漫,不肖,贞洁
assumption,采取,挪用,断定,辨认
thrill,(使)激动,喝,痕迹,情况
ice,结冰,冷却,变质,速冻
embrace,包括,霸占,包藏,表露
straightforward,老实,生气勃勃,无所谓,不羁
ascribe,把…归于,实用性,知识,土地
broaden,放宽,转运,好转,弱化
shorthand,速记,手写,板书,下载
virtual,实际上的,治疗,公正,园丁
subscript,下标,骑自行车,褥单,爱好音乐
wholesome,适合卫生,功率,傻的,差劲
tightly,紧地,轻微,不在话下,粗劣
ultraviolet,紫外线辐射,(美)软饼,男性或女性,清洗用的
cooperative,合作,大显身手,面临,尝试
dominate,控制,超越,不可逾越,便于
deputy,代理人,主席,主编,喉舌
reference,参照系,互联网络,系列片,数字网
penetration,渗透,短路,堵车,附着
tradesman,手艺人,讲解员,泥水匠,监督者
caution,警告,打击,调教,警钟
advocate,拥护,送别,告别,伴随
troublesome,累赘,琐细,对称性,详细
cartridge,弹药筒,弹药,飞弹,礼炮
sullen,绷着脸不高兴的,咬的伤口,脱掉,敌国
distort,扭曲,转来转去,转身,撞击
flexible,灵活,眼尖,起死回生,无所不能
client,诉讼委托人,医药,遵守,结合
orchard,果园,菜地,温室,庭园
Saturn,农神,大群,就个人而言,电脑程序
pneumatic,气动,假装,传真,(使)继续
endanger,危及,闲暇,哀鸿遍野,大喜
vital,生命,教训,寿命,记忆
geometrical,几何学的,假日,敌人,渴望
spill,(人)摔下,职位,受惊,分配
observation,按语,意见,动机,偏见
gleam,发微光,达到,向外,年长
chip,薄片,芯片,气球,滚筒
latitude,纬度,赫兹,标高,频道
deal,做买卖,证书,言语,轮胎
satisfaction,愉快,大快人心,拜倒,欢腾
graphite,石墨,蜡笔,笔尖,笔心
ashore,在岸上,好战,化学战,登陆
decisive,果断,无法无天,不懈,智慧
extreme,极端不同的性质,因为,更远,打算
chestnut,栗子,哈密瓜,瓞,白果
lump,结块,片刻,发表,帮(援)助
subject,使隶属,遥远,速度,性急
competitor,竞争者,比邻,一起,私人
proverb,箴言,预言,忠告,笑话
triumphant,得胜,失踪,败北,胜过
paper,用纸包装(或覆盖),粗野,筑坝,命令
selection,精选的东西,(使)更新,屠杀,丝织品
originate,发源,显示,标明,认证
integral,组成,缠绕,切断,互通
propagation,繁殖,孵化,成长,产卵
shrill,尖声,一点,逆,残酷
inclusive,包围住的,流域,阶梯,(角或温度的)度数
ambiguous,分歧,不和,荣幸,纪念奖
dictator,独裁者,暴徒,恶霸,恶魔
optimism,乐观,活跃,严肃,听说
initiative,创始,办报,独树一帜,创建
indicative,陈述,闲话,列举,论述
grab,攫取,断路,不轨,绑票
patrol,巡逻,轰击,速射,发射
trench,深沟,坚强,闪现的亮光,严谨
perplex,难住,骗取,欺诈,兵不厌诈
negligible,微不足道,不必要,不要紧,必需
module,模,外婆,无数,(使)放慢
sermon,说教,桃子,参加,训斥
homely,家庭,氏族,白族,阿昌族
bestow,把…赠与,相关,通告,拉
underline,预告,反映,证验,归属
thesis,论题,原因,受事,本源
latent,存在但看不见的,学院,办公桌,(较正式的说法)长裤
ticket,(交通违章)罚款传票,护士,舒服,是的
reproduction,再生(产),乘(公共汽车),沿着…而下,驾驶(飞机)
intake,输入能量,似乎,打包,某人
metropolitan,大主教,神,阿波罗,使徒
subordinate,下级,议员,会员,共产党员
equation,平均,分派,复合,划分
estate,财产,比价,牌价,盘子
generalize,概括出,后母,不像…,首领
cherish,珍爱,不忍,不由得,包涵
scarcity,萧条,寂静,鼎沸,孤单
transform,变换,变频,交换,驱散
vengeance,复仇,剥蚀,以牙还牙,回报
annually,年年,去年,周年,前年
discern,辨别,挪用,识货,区别
fossil,化石,板岩,土堆,冰洲石
royalty,皇族,阿昌族,吐蕃,维吾尔族
reservation,保留,找到,囤积,存取
plead,为…辩护,识别,提高,骑车
illuminate,阐明,重申,表态,指出
diplomatic,外交,访问,上门,借助
raise,发出,重现,衍生,出现
tensile,张力,视力,笔力,压力
astronomy,天文学,高科技,医学,科目
outlet,发泄(感情等)的方法,(用于否定句、疑问句等)什么,(使)担心,请求
kindle,着火,燃放,暖和,生火
perfect,使熟练,女人,认可,毁灭
ought,早应该,(心中的)不安,(汽车后部的)行李箱,培养
shabby,破旧,文雅,俏皮,妖艳
summit,极度,进一步,忍受,多么
resume,(谋职者的)个人简历,准确定位,一昼夜,升起
elliptical,椭圆,起伏,不乏,崎岖
overall,综合,总结,推理,分类
skeleton,骨骼,眉梢,头盖骨,颈椎
humanitarian,慈善家,建筑师,研究员,工程师
stammer,口吃,衰落,开放,跛足
economically,节约,抽出,浪费,平衡
block,炮闩,尼古丁,呆笨,喜剧性事件
woe,苦恼,担忧,赌气,生气
representation,陈述,记载,描述,演说
subsidiary,辅助,资助,慰问,安慰
interpret,口译,翻译,摘录,编译
attendant,侍者,左右,乡绅,老爷
liability,倾向,迷信,同意,不以为然
barley,大麦,小麦,谷类,冬小麦
stout,矮胖,身高,高耸,最低
clash,碰撞声,祖国,郊游,固体
glider,滑翔导弹,类,审讯,到极大程度
insulate,使绝缘,历史上著名的,有教养的人,道德
electrode,电焊条,石膏,伤口,训练
orchestra,管弦乐队的全部乐器,苍白,苦力,房间等)
feminine,女性,机动,雌,精密
mesh,网络,点,裂缝,空儿
charcoal,炭,电梯,测验,特性
siege,围困,侦探,突破,打破
battery,炮兵连,敌人,美好,死因
corrupt,贿赂,受贿,运动,贪污
conservative,有保存力,应得,避免,消防
shade,(色彩的)浓淡,灯光,尺寸,尺寸
barometer,气压计,水平,计数器,罗盘
directory,董事会,电视台,人事部门,研究所
exclamation,呼喊,咆哮,叫醒,吹口哨
generosity,慷慨,吝啬,红色,大方
analytic,分析,标明,简介,字斟句酌
prevalent,流行,传说,遗传,联络
knight,骑士,哨兵,便衣,兵员
notable,值得注意的,按钮,成为(表示变化),线索
regime,制度,共和,政策,专政
subtle,精巧,鄙陋,堂皇,粗糙
scramble,爬行,酱油,主顾,提到
bugle,军号,风琴,竖琴,琴弦
assassinate,暗杀,大屠杀,杀人,谋杀
menace,(进行)威胁,充分,划船(游玩),内海
suit,彼此协调,只不过,主持,(心中的)不安
assurance,保证,再次,自然而然,不再
commodity,物品,植物,奖品,哺乳动物
clutch,抓住,致死,免疫,使得
invoice,发票,保单,定单,传单
hull,薄膜,瓣膜,血液,碧血
qualify,修饰,整理,补血,改装
virgin,处女,兆,第十六,半数
disregard,不管,如果,于是,那末
reproduce,仿造,自制,定制,酿造
integrity,诚实,热切,狡诈,暴烈
documentary,纪录,日记,通讯,笔录
nut,螺帽,电子元件,锻件,辐条
transverse,横切,中心,从,工具(常用作单数)
stagger,蹒跚,散步,却步,游荡
adjoin,靠近,堵车,短路,毗连
reveal,泄露,损失,表露,败露
fabricate,制作,酿造,装饰,仿造
curly,卷曲,包装,扣,装入
herb,草本植物,摆设,动植物,植物
shutter,(相机)快门,使...整洁,祖母,石油
consciousness,觉悟,吃不来,震惊,惊愕
irrigation,冲洗法,偶然碰到,感到刺激,右手
Islam,伊斯兰教,拜物教,天主教,败仗
idealism,理想主义,场面,主义,伦理
deliberately,审慎,断断续续,识相,不知死活
snack,快餐,抓饭,爆米花,米饭
infer,猜想,预期,预测,梦想
utensil,器皿,特产,显示器,警报器
beforehand,预先,按期,渐次,马上
nickname,绰号,名字,贵姓,别号
dean,(大学)院长,参赞,领事,秘书长
interconnect,使互相联系,一段,内心,便帽
mingle,使混合,块,无线电通讯,党
garlic,蒜,菠菜,洋葱,香菜
blunder,犯大错,金属线,政党,海峡
valuable,贵重物品,宝石,宝贝,寿礼
insignificant,低微,便宜,高贵,吃不开
hardy,强壮,瘫软,年迈,虚弱
devotion,专心,爱莫能助,习以为常,吃不来
punch,冲压机,录音带,唱片,唧筒
rational,推理,统计,类推,集锦
mend,改进,复苏,弱化,放松
steak,大块牛肉,摆动,全体,［常
capacitance,电容,霸占,包括,容纳
paragraph,小新闻,舞(蹈),（人脑器官等的）正常活动,课本
snob,势利小人,变色龙,北洋军阀,妖精
bureaucracy,官僚机构,(比率)几分之几,高楼,给..导游
recipe,处方,对症下药,人工流产,解剖
anybody,重要人物,付款,不适宜的,想象
pipe,管乐器,钢琴,竖琴,风琴
margin,赚头,红利,薄利,暴利
Buddhism,佛教,空战,抗日战争,新教
telex,电传,连结,不翼而飞,传说
pedlar,(挨户兜售的)小贩,有幸,展现,水桶
network,广播网,品种,语系,民间
suicide,自杀,休,离婚,奔丧
patron,赞助人,(美)好,自由,向北
watchful,注意,顾虑,权衡,关切
microprocessor,微信息处理机,小心,烘饼,家务
likeness,同样,同步,属于,同期
identification,身份证,护照,牌子,牌照
personality,人格,兽性,美德,性行
salmon,鲑,鲎,鳗鱼,比目鱼
polymer,聚合物,有机体,猎物,金属
sniff,嗅,拉紧,园丁,(艺术等的)风格
enhance,夸张,吹牛,对质,隐瞒
tile,贴砖,友情,喝,革命
harsh,严厉,不在乎,吝啬,宽限
everlasting,永久,半天,短暂,一会儿
frequent,频繁,每每,持续,从来
ballet,舞剧,京剧,小夜曲,戏剧
substantial,物质,客人,家伙,暗娼
spice,香气,花哨,多姿多彩,斑驳陆离
mop,墩布,手帕,餐巾,肥皂
drastic,激烈,沉重,隆重,回旋
reconcile,调停,筹措,准备,格式化
villa,别墅,官邸,卧房,屋子
abbreviation,缩短,增多,延伸,压缩
essential,自发,不妥,可靠,非正式
oblige,使感激,站立,升,谋杀
cartoon,漫画,屏条,油画,太极拳
trader,商人,屠夫,厂商,卖主
wretched,卑鄙,色情,多情,端正
ferrous,亚铁,难对付的人(事),(枪上的)弹仓,土地
couch,睡椅,椅子,课桌,病床
pathetic,可怜,熬煎,享受,最少
bearing,方位,走向,更,动向
bachelor,学士,文学家,诗人,学者
xerox,用静电复印,浓,扫,皮衣
versus,(比赛等中)对,战胜,公平,普通
tackle,解决,过来,克服,横扫
disturbance,动乱,冷淡,景气,每况愈下
hurt,创伤,烫伤,毒瘤,患处
shrug,耸(肩),现在,天,差
wink,使眼色,表示,描绘,表达
datum,已知数,公务员,缔结,拳击
martyr,烈士,牛仔,武松,豪侠
revolve,(使)旋转,病,层,擦
gossip,碎嘴子,鼓吹者,尾巴,怪物
bushel,蒲式耳(容量单位),谁,活着,微笑
prediction,预言,以动作示意,改正,可爱
finite,有限,微不足道,多糖,荒无人烟
literal,字面,与...相配,迅速,热情
sentiment,情绪,民意,敌意,绪
porcelain,瓷的,木板,在..之前,总而言之
ingenious,精巧制成,(英)运货汽车,读本,激发
microscopic,显微镜的,对照,可比,辨别
purify,提纯,蒸馏,镀锌,纺织
avail,效用,发酵,用处,证验
spectator,参观者,乘客,亲戚,游客
hollow,变空,走,要求,出版
count,起拆理由,场面,境地,案情
pertinent,恰当,白白,不济事,白搭
deflect,(使)偏斜,疾走,募捐者,州
monopoly,专利,责任,沉重,罪行
evaporate,发散蒸气,(英)运货汽车,坐,赏识
inevitably,不可避免,保证,不再,到底
disillusion,使觉醒,组织,抱怨,(收)听者
photoelectric,光电,短波,电磁,磁
prick,刺(穿),理智上,手足情谊,优点
steal,偷偷地做,高地,身体残障,下决心
rectangle,矩形,坦荡,圆周,四方
mechanics,结构,班子,各种,某种
insistent,逼人注意,(在会议等)作短暂露面,害虫,出售
superficial,肤浅,粗劣,轻微,坚固
gear,齿轮,弹簧,刨刀,刨床
conceit,自负,包产,退休,负责
maid,处女,第十五,第十二,第五
longitude,经线,东经,北纬,大陆
context,来龙去脉,嫌疑,病程,进程
divine,敬神,使害怕,轻轻,桃红色的
qualification,限制条件,用,学习,监控
shrimp,褐虾,短语,五十,将要
receiver,接待者,喜欢,犁,使不能行动
extraordinarily,非常,秉承,过度,无限
lengthen,使延长,支持,另一个,放映(电影)
exile,流放,镇压,剥夺,赦免
manifest,表明,预兆,可见,来源
tribute,贡物,正确,(使)通风,哭诉
scrub,擦洗,磨擦,捕捞,打扫
silicon,硅(旧名矽),空头支票,修补,停车处
commend,称赞,抵制,违例,拍案叫绝
discrimination,识别力,试穿,顺利,几个
album,相册,日历,食谱,家谱
propeller,螺旋桨,舵,桨,舱
competitive,竞争,骂,议论,咒骂
absorption,专注,权衡,担心,强调
disastrous,灾难性的,别的,旺季,选举
propulsion,推进,加以,妨碍,范围
way,规模,顺差,手掌,上下
souvenir,纪念品,奖品,物品,动物
mansion,大厦,房屋,大楼,住房
crank,曲柄,扳手,翅膀,冰盖
homogeneous,均匀,平衡,和谐,麻烦
grim,冷酷无情,按兵不动,色情,纷纷
entitle,把…称作,运输,项链,森林
fuss,吹捧,说服,调停,和好
deafen,使聋,每人,看护人,思想
hip,臀部,马背,膀臂,臂膀
fringe,穗,封皮,发烧,发式
beam,微笑,发芽,吐穗,暗笑
basement,底层,笔锋,屋顶,尖顶
gust,阵风,暴风骤雨,旋风,层云
support,忍受,最好,多么,最多
herd,成群,联网,通航,整合
striking,显著,非官方,莫名其妙,隐约
formal,规范,课外,本职,本来面目
optimum,最适条件,相当,省,棍棒
extra,附加物,古怪,正当,相同的人(或物)
excessively,过分,不怎么,最好,接受
heighten,增加,收缩,浸透,加上
grunt,咕哝,打电话,低语,乱说
ascertain,弄清,渎职,纠正,失误
baseball,棒球,乒乓球,球拍,擦边球
flight,外流,活动,流动,降下
fragile,体质弱的,活泼,丘陵起伏,苦工
inland,国内,里面,民间,党内
polarity,极性,创造性,盖然性,历史性
crab,蟹,豆腐乳,腊,素菜
shipbuilding,造船(业),于…之外,真相,骑马
seaport,港市,通道,水路,奥运村
decree,法令,命令,提议,禁令
haul,拖运,足球,流动,瞄准
resident,常住者,未开化的,因为,说话者
deformation,损坏,撕毁,折断,爆裂
substance,财产,产业,物价,售价
fabrication,捏造,伪造,摆阔,伪托
valve,阀,活塞,皮带,绷簧
loosen,变松,装运,值得...的,博物馆
interior,内部,病程,开端,经过
limestone,石灰石,化石,暗礁,碎石
essence,精华,政见,异议,鹅毛
moderately,适度,不便,手提,徒劳
orientation,定位,对付,机动,霸道
magnitude,大小,力气,极了,大力
ruthless,无情,按兵不动,安居乐业,勃然
mosque,清真寺,蒸汽机,礼拜堂,机械
oxidize,氧化,情绪化,变性,软化
molecular,分子,委员,房客,队伍
ripple,波纹,浪头,惊涛骇浪,波谷
shell,炮弹,弹药,飞弹,礼炮
mistress,情妇,女朋友,男朋友,英雄
resign,使顺从,什么也没有,陆军上尉,迷路
likelihood,可能(性),为…辩解,不同,品行
twilight,曙光,灯光,月光,强光
retort,反驳,笔战,狡辩,辩证
yoke,枷锁,屏蔽,途径,陷阱
melody,旋律,调式,调频,叠韵
province,职权,兵权,继承权,人权
prevention,妨碍,有助于,约束,限制
gradient,倾斜,滑翔,翱翔,蠕动
luxurious,爱好奢侈,鄙陋,浮华,优雅
grin,咧着嘴笑,烟雾,(通过扩音器、传呼机等)呼叫,袖珍
clip,剪,划船(游玩),天,狂热
proper,合乎体统,喜新厌旧,妖艳,高尚
weaver,织布工,快乐,笑声(不可数),注意到
earthenware,陶器,消防栓,食槽,雷达
slack,萧条,匆促,荒凉,孤独
pattern,模仿,留学,补习,旁听
taper,细小的蜡烛,耻辱,实际,(意见、个性等的)差异
anniversary,周年纪念日,董事会,颤抖,创造
probe,用探针探查,稀薄,得分进球,粉末
cloak,掩饰,夸耀,吹牛,撒谎
can,装罐头,条理,听力,粉状物质
axle,心棒,电话机,步话机,定子
currency,通用,用以,照搬,罄
hesitate,口吃,跛足,结果,枯萎
barge,驳船,方舟,货轮,巨轮
fence,击剑(术),非常,彻底,离开
detail,琐碎,平衡,麻烦,详细
brightness,聪明,糊涂,愚笨,脆弱
ultimate,基本,区区,迫切,次要
coffin,棺材,盒子,寿材,鞭炮
forsake,摒绝,断送,弃权,舍弃
dissolve,解除(婚约等),豪华,胆小怕事的人,四分之一
buffalo,水陆坦克,等待,送行,拉手
solidify,团结,众志成城,分裂,已婚
pose,(使)摆好姿势,作出反应,认可,褐色
fireplace,壁炉,扳不倒儿,风筝,玩具
illiterate,文盲,研究者,郭沫若,鲁迅
stitch,缝,(钟表等的)针盘,病人,嗅
construction,结构,各种,班子,某种
ambassador,大使,毛泽东,外长,工头
eject,逐出,关门,截至,停火
entreat,恳求,了解,哀求,探路
religion,信念,精神,笔触,心理
integrate,使结合,麻烦,发生,得分进球
atom,微粒,波束,把子,木块
romantic,好幻想的,无线电通讯,权势,饥饿
value,评价,点名,评比,评估
windy,多风,晴天,暴风骤雨,秋高气爽
inject,喷射,淹没,降下,溢出
slide,滑板,铁板,光纤,木板
diminish,递减,提高,涨潮,攀升
persevere,坚持,臆测,发现,公认
occurrence,事故,公务,事件,财务
ingredient,配料,卫生设备,备料,香料
decompose,分解,注解,参考,附笔
promptly,敏捷,不胫而走,迟到,半夜三更
flavour,给…调味,一条面包,走遍,主修
gracious,谦和,傲视,自豪,索然
mobilize,动员起来,地理学,连接处,回答
pop,(意外地)出现,(使)破产,航空站,抽烟
outbreak,(战争、愤怒等)爆发,令人不快,姑娘,牲畜
applause,喝彩,哀鸣,鸣叫,咆哮
relay,分程传递,令人伤心遗憾的,发觉,数到
hurricane,飓风,冰山,风,冰排
flock,群集,汇集,团聚,久违
coin,铸造(硬币),差额,加,颂扬
inadequate,不充足的,(特定领域的)巨子,母亲,校订
jingle,(使)丁当响,所得,教育,号码
bourgeois,平庸,不稂不莠,博学,不学无术
awkward,不雅观的,决定,叫卖,完结部
spiral,螺旋(形)的,摇晃,运行,抖动
decimal,小数,标量,消耗量,雨量
custom,海关,政治局,军委,公安
convention,公约,合同,保证,定规
supersonic,超声,鼻音,边音,女高音
lining,(衣服里的)衬里,愿,在…下面,(尤指动植物的)系
follow,从事(职业),国立,经管,保管
historian,编史家,图案,北部,理由
unique,极好,大的,薄头巾,幽默
spectrum,系列,扁圆,众多,不乏
initially,最初,年头,后期,短期
move,行动,指南,徐步,疾走
scrap,碎片,破败,紧密,蓬松
yearn,向往,痛恨,抱屈,自尊
passport,达到目的的手段,游戏的伙伴,极小,领导
veil,以面纱遮掩,宽恕,限定,模态
hazard,危险,大敌当前,甜美,劳顿
steady,坚定,大胆,胆小,随便
cruelty,残酷,丧心病狂,罪恶,不仁
oval,卵形,自然如此,集团,出入口
entry,条目,不平等条约,不成文法,租约
pore,细孔,鼻孔,裂缝,空儿
tulip,郁金香,草,刨花,草丛
classic,不朽,出名,好看,不名誉
radius,半径距离,颤抖,隔开,朋友
cigar,雪茄烟,烟草,纸烟,农历
sovereign,统治,南面,游行,请愿
incline,坡度,标高,面积,赫兹
productivity,多产,动手,一举两得,经济
baron,男爵,公爵,行业,伯爵
plague,天灾,火灾,地震,饥荒
enclosure,围绕,包围,离开,混杂
traverse,横断,咖啡茶,很可能的,使继续
fastener,揿钮,摁扣儿,瑞香,白蜡
tone,色调,电气,丁烷,废气
simple,迟钝,睿智,机智,灵活性
clockwise,顺时针方向转的,口角,攻击,用秒表测定时间
embassy,大使馆,政权,总政治部,人民公社
vitamin,维生素,泻药,补品,软膏
recreation,消遣,探险,游荡,恋爱
replacement,归还,借出,退还,索取
reed,芦笛,风琴,钢琴,梆子
retard,延迟,提前,加紧,巩固
destiny,命运,薄命,幸运,悲欢离合
vault,地下室,更衣室,洞房,书房
rapidity,陡,轰轰烈烈,荣誉,不朽
instrumental,有帮助的,一个地区的生物,站台,床
errand,差使,编遣,裁并,改组
arc,弧,零售商人,平静,对待
terrace,露台,渗沟,过道,庭院
hymn,赞歌,伴唱,悲歌,催眠曲
jealousy,猜忌,认真,自信,相信
overthrow,推翻,狡赖,确认,否认
consistent,前后一致,存在,供给,满足
dust,灰烬,肮脏,叠韵,调式
noted,著名,吃不开,荣耀,光明
municipal,市的,个人,附加,业余
quench,熄灭,灭绝,散发,突发
persecute,迫害,不利,无害,方便
solidarity,休戚相关,影响,不相干,断送
accessory,附属,来源,一致,在于
validity,正确,抽象,合理,严密
thoughtless,自私,清廉,无聊,贪心
dwell,居住,吃饭,为生,不结盟
outcome,后果,论点,来源,恶果
troop,大量,不吝,傲慢,自豪
disappearance,消失,衍生,销毁,失去
regularity,整齐,洁净,繁杂,失调
northwards,向北,浓,政府,交换
producer,舞台监督,尝试,新鲜,收获
senator,评议员,令人厌倦,职务,炫耀
limb,分支,同胞,国立,格外
saturation,浸透,包藏,容纳,显现
tranquil,稳定,不定,按兵不动,隆重
scandal,耻辱,污点,纪念奖,荣耀
marsh,沼泽地,岛屿,荒野,沙漠
detain,扣押,不打自招,逮捕,劳教
fly,消失,衍生,失去,散发
platform,宣言,海报,报单,报告
napkin,餐巾(纸),儿子,公使,平面(图)
offset,分支,公共,本职,国立
spokesman,发言人,专员,代理人,目击者
immortal,不朽,龙飞凤舞,丢脸,稳健
humidity,湿气,梦游症,暑瘟,白内障
diversion,娱乐,猜谜儿,欣赏,猜拳
heave,抛,道德上的,新闻提要,保姆
courteous,有礼貌的,尊重,冷淡,不逊
cheat,欺诈,迷惑,庇荫,欺瞒
combustion,氧化,更改,多极化,合法化
hearty,丰盛,紧张,狭窄,协调
idiot,白痴,宝贝,乌合之众,标兵
bull,买空的证券投机商,桥,倾泻,稠密
regiment,团,车间,党组,班级
consequent,必然,再次,不再,自然而然
overlook,宽容,注意,谅解,顾虑
footpath,小路,水路,大路,不冻港
repeal,撤销,定名,解散,独树一帜
should,应该,不能,是否,值得
convert,变换,交换,变频,改名
possibility,可能的事,撞击,(下巴上的)胡须,有创造力
sturdy,坚定,坚决,胆小,脆弱
govern,控制,便宜,不可逾越,制约
butt,大酒桶,钵盂,马子,筷子
pace,(马)溜蹄走,使兴奋,极大,相反
dock,把…引入船坞,做买卖,学问,学校毕业生
brace,拉紧,领袖,吸烟车(厢),防务工事
malice,恶意,味道,恶感,视觉
indoor,室内进行,向前,最多,体验
soften,变软弱,可视电话,突然抢夺,食物
radiant,容光焕发,精神,喘息,懒洋洋
adhere,粘附,无线电广播,蚁,能
sink,(厨房内的)洗涤槽,省略,黑暗,骄傲自满
grove,园林,松树,疤痕,柳树
terminology,术语学,语气助词,副词,主格
stew,炖肉,巨大,旁边,走遍
buzz,(蜂等)嗡嗡叫,钻孔,独身,设计师
cape,披肩,西装,哔叽,长袍
emerge,浮现,包含,出现,重现
mercury,汞,硫磺,泻盐,白磷
maintenance,扶养,保育,抱养,遵循
segment,段,标记,匾额,护照
significant,有效,隐约,白白,显目
participant,有份,岩石,染,(职位的)空缺
flame,点燃,熨,生火,加热
nucleus,细胞核,神经,白细胞,细胞
slaughter,屠杀,谋杀,奸淫,暗杀
hit,轰动一时的人(或事),氏族,飓风,完成
detach,分开,久违,背井离乡,崩溃
morality,品行,质地,虐,性行
propaganda,宣传,责成,召集,总动员
hydraulic,水力,一臂之力,握力,动量矩
nose,突出部分(如船头等),易变,烟灰缸,传入
denote,指示,旨意,决议案,总结
wither,枯萎,成熟,结果,口吃
flask,瓶,有碍健康,砰地敲,千分之一米
mild,(烟、酒)味淡的,记录(时间、速度等),租用,(狗尾巴等)摆动
vein,矿脉,品种,广播网,数字网
metallurgy,冶金学,架桥,爱尔兰(共和国),胆小
designate,指出,告诉,重申,表白
brood,沉思,熟思,绞尽脑汁,构想
pope,(罗马天主教的)教皇,记号,积极,出口
hospitality,宜人,缺乏,动人,狭窄
systematically,系统,系列片,互联网络,血统
proceeding,事项,事实,事务,这里
second,支持,处于,刊登,位于
glorify,赞美(上帝),削,发起人,有权
obedient,服从的,散漫,掌声,调幅广播系统
goodness,美德,这个,那个,邪恶
jerk,猛地一拉,收取,使(某人)有思想准备,只...)
spectacle,场面,主义,人道主义,地方主义
foreign,无关,有关,波及,影响
prophet,预言家,劳动者,巫婆,改革者
over,在(做)…时,吸引,支持,母亲
conceive,设想,怀抱,酝酿,感到
hurrah,乌拉,老兄,咱们,你们
defy,向…挑战,(墙壁,屠杀,立刻
alongside,在…旁边,有毒,接来,减少
report,传说,遗传,谣传,流行
ornament,装修,酿造,制作,仿造
automate,使自动化,意见,实用性,指导
improper,不合理的,培养,美术家,摄氏温度计(的)
refinery,精炼厂,班房,工厂,公安局
breed,(动物)品种,需要,推测,倾听
evil,祸害,不利,警备,便于
void,无效,白白,方便,手提
ohm,欧姆,纤度,透明度,频道
cock,龙头,锄头,定向天线,电缆
persist,持续,一直,临时,总是
reckless,鲁莽,漂浮,稳健,郑重
reef,暗礁,冰洲石,石灰石,沙石
indulge,纵情,努力,专程,毫不
infinite,无穷(大),锤打,冒失,那时
explicit,明晰,清澈,附近,模糊
smuggle,私运,代价,消除,显露
vicious,邪恶,善良,这些,苛刻
puppy,小狗,出版社,仅仅,阻止
scope,眼界,法理,文化,算术
severe,激烈,锐利,不变,板滞
bug,虫子,蜻蜓,甲虫,蟋蟀
ham,(兽类的)后踝,祖先,钉状物,许多
dizzy,头晕眼花,发烧,不省人事,窒息
charge,装满,埋葬,衬里,抽
pious,虔诚,粗暴,转弯,和蔼
replace,赔还,对调,退票,借出
wedge,楔入,费用,区别,听说
acquaint,使认识,集会,踪迹,选拔
compatible,兼容制的,精神,江,(美)法式炸薯条
equilibrium,平衡,盈余,浪费,动态平衡
trifle,嬉耍,对手,红棕色的,作坊
bamboo,竹杆,立方体的,民族,决定
combat,格斗,吵闹,顶撞,让步
grind,折磨,不遂,进退两难,避坑落井
switch,(树木的)软枝条,建立者,审判,差额
junction,中继线,电线,电器,报话机
web,网状物,行情,未来,要求
symposium,酒会,舞会,人大,联席会议
streamline,流线型,球状,椭圆形,多面体
outlaw,逃犯,囚犯,政治犯,杀人犯
synthesis,合成,三合一,东拼西凑,瓜分
subdue,使屈服,覆没,失败,丢掉
otherwise,另外,于是,得,地
appreciable,可察觉的,伤口,所有物,最重要的东西
exert,发挥(威力),拔苗助长,刺激,加以
diet,饮食,生计,生活,便饭
line,加衬里于,小费,精确,竞赛
tuna,金枪鱼,金鱼,海龟,鲎
desert,遗弃,舍命,牵扯,放弃
