#word,meaning,option1,option2,option3
低估,underestimate,reasoning,suspect,anticipate
发射,emission,mission,fission,remission
无效,null,bully,tall,fell
派生的事物,derivative,retrograde,wetting,migrant
意外,accidentally,I think,miraculous,all of a sudden
煽动,foment,moment,figment,ferment
生效,effective,elective,defective,directional
庞大,bulky,bully,hulk,balmy
循环,circulation,armistice,repeatedly,change
调查,inquiry,enquire,enquiry,inquire
计算,computation,written calculation,take rough measurements ,budget
有缺陷的,defective,detective,defensive,elective
中性,neutral,neutron,central,ventral
杆,rod,rig,rind,sod
隐退处,retreat,recreate,regret,repeat
粘度,viscosity,defensive ,punitive,sensibility
适当,suitable,sizable,equitable,stable
秧苗,seedling,sterling,stem ,terminal bud
面对,confront,direction,to turn towards,toward
小册子,pamphlet,dictionary,reference,dictionary
微生物,microbe,micron,disrobe,plant
平行,parallel,parable,vertical,rectify
使膨胀,inflate,inflame,inmate,deflate
忍耐（力）,endurance,insurance,entrance,verge
使凹下,dent,wet,Eden,send
专业,professional,especially,made in one's own country,insurance
拥挤喧嚷,hustle,bustle,rustle,hurtle
合意,pleasing,to the satisfaction of everyone,amiss,kowtow
导体,conductor,conduct,conduction,sore
可教育的,educable,canvass,gossamer,proponent
在…中,amid,mind,grid,acid
求爱时期,courtship,auspicious,blancmange,crust
声名狼藉,notoriously,corruption,darkness,well-known 
遮蔽,eclipse,ellipse,elapse,expose
狂暴,furious,various,curious,spurious
阻止,inhibit,inhabit,inherit,infest
溅,splash,smash,sash,slash
糖浆,syrup,scrub,soup,strut
戏剧,drama,drain,frame,drawl
有说服力,persuasive,persuasion,pervasive,concurrent
提示,hint,hind,hunt,hoot
坚持,insistence,guess,conjecture,publicly known
烟,fume,fine,dune,frame
旋风,cyclone,cycle,violent storm,against the wind
相当,considerably,for the most part,many,how much
陌生,alien,client,mien,align
疲乏,fatigue,to excite,upright and unafraid,lazily
硬外皮,crust,crisp,brunt,trust
令人兴奋,exciting,impel,put an end to,hinder
赶走,oust,bust,use,just
拼死,desperate,temperate,desperado,distinction
愚笨,clumsy,classy,clump,calumny
重申,reiterate,literate,iterate,loop
相反,opposite,oppose,composite,willingness
凸出,convex,context,convert,convey
雄心,ambition,ambitious,addition,audition
竞技场,arena,rend,area,hyena
（宝石重量单位）克拉,carat,cart,crab,cram
得到,derive,defile,verve,deride
提神,refreshing,exert ,to have high hopes,hinder
寄生虫,parasite,paradise,spider beetle,ground beetle
海员,seamen,electrician,help with farm work,pilot
扭,wring,ring,sling,bring
扭曲,twist,twit,wish,twirl
消极,passive,impassive,massive,passion
确保,assure,assume,issue,azure
获胜者,victor,ambition,rain,grate
改编成戏剧,dramatize,dramatic,dogmatize,dramatics
有魅力的,catching,awful,extensive,narrow
肢解,dismembered,to dismantle,scorched,unload
令人沮丧胆,frustrating,unearth,overstock,adaptation
铸造,forge,fire,forum,horde
根本上,radically,perspire,female,glitter
吸引,attraction,extraction,attractive,attrition
交替,alternately,indirect,order,cross
联合,coalesce,with one's own hands,from,mutual
无政府主义者,anarchist,bassinet,lodestar,literacy
向日葵,sunflower,orange osmanthus,peanut,castor-oil plant
使多样化,diversify,diversity,diversion,spanner
破产,crash,hash,brash,crate
非小说的散文文学,nonfiction,conviction,confection,cumbersome
详细阐述,elaborate,evaporate,cluster,garrison
纪念物,monument,moment,document,emolument
异常,exceptionally,exceeding,to accept,smallest
庆祝,celebrate,celebrity,celibate,calibrate
部分,portion,potion,motion,notion
营养物,nutrient,nutriment,immaterial,flay
联盟,confederacy,become sworn brothers,bloc,travel with another
扰乱,upset,onset,puppet,poet
乐器,instrument,lute,golf,battledore and shuttlecock
键盘,keyboard,seaboard,disk,medicine bottle
陪伴,accompanying,to endorse,to see someone off,meet with
教育学的,pedagogic,upshot,lever,mom
锯齿状的,zigzag,sheriff,telepathy,sow
离子,ion,moon,ton,toy
贞洁,chaste,caste,haste,case
阻碍,discourage,discourse,trouble,to invade and harass
命令,mandate,misdate,madame,manage
光谱,spectra,genealogy,statistical form,visitor's book
敏捷,briskness,evening,high efficiency,speed is precious in war
原因,sake,shake,hale,stake
片,patch,botch,parch,watch
变化,variety,rarity,vanity,verity
腐蚀,corrosive,corrosion,stir up,vengeance
反常,abnormal,normal,magical mystical,monotonous
交响乐团,philharmonic,chorus,institute,a society
隧道,tunnel,funnel,runnel,tinsel
荧光,fluorescent,light,fluorescence,a view of somebody's back
穿透,penetrate,venerate,perpetrate,generate
美味,palatable,palpable,live ammunition,true
非暴力,nonviolence,a nation's power,strength,capacity
抗菌,antibiotic,fickle,port,swamp
暗淡,dim,dig,don,dial
贝,shellfish,baronet,kith,deploy
不能取消,irrevocable,engrave,dioxide,axle
索价过高,overcharge,rumple,benefactor,augment
花粉,pollen,sullen,roller,pulley
使再生,regenerate,decay,in other words,stand up
肢解,dismember,scorched,to unload,loose
毁坏,devastation,to break,slide,tear up 
可变性,variability,magnetism,inertia,poisonousness
管理,administer,minister,control,run
姿势,posture,pasture,torture,costume
原型,prototypical,spearhead,trimming,monochrome
门诊所,clinic,critic,clink,civic
密度,density,entity,deity,enmity
天空,heavenly,heavily,heaven,opposite
激动,excitement,excrement,waver,to influence
天篷,canopy,jalopy,candy,copy
（态度、举止）拘谨的,stiff,stuffy,staff,tiff
外围,periphery,outdoor,abroad,indoor
阻止,check,speck,chest,chuck
均衡,balanced,trivial,broad scale,only
估计,estimate,guestimate,ultimate,intimate
喜爱,affinity,infinity,to have a love affair,to mistake
虔诚,reverently,to rebel,devoted,hypocritical
手风琴,accordion,organ ,set,a small drum for marking time
郊区居民,suburbanite,biceps,seclude,parabola
使冷却,refrigerate,to store,to have a taut face,to preserve
克制,restrain,strain,restraint,refrain
取得…的专利权,patent,patient,payment,talent
小招牌(尤指医生或律师挂的营业招牌),shinglen,possession,skill,refractory
合成器,synthesizer,manger,accelerator ,equipment
起源,genesis,genetics,genetic,nemesis
独特,uniqueness,marvelous,only,unprecedented
一致,conformity,peer,to be part of,be precisely the same
鱼卵,roe,stall,inadequacy,apology
商人,merchant,enchant,groom,guest
受过教育,informed,powerless,grand talents mature slowly,sensitive
有灰雾的,fogged,insomnia,mentality,zoology
鞭节,flagella,pore,woolen,felt
伤害,detriment,nutriment,insurmountable,harmless
健康,fitness,witness,firmness,finesse
古代,antiquity,iniquity,antiquary,A.D.
康复,heal,ream,legal,hell
矮树丛,bush,bum,lush,hush
目击者,eyewitness,presiding judge,eyewitness,spokesperson
五金器具,hardware,groceries,spare parts,hardware
覆盖,coverage,courage,codepage,beverage
解释,interpretation,to leave a message,to input,to download
做错,error,mirror,horror,prior
大量,largely,deferent,not stint,arrogant
使成化石,fossilize,calorie,tray,ventricle
激起,pique,pike,pine,opaque
峡谷,canyon,cannon,carton,anyone
划独木舟者,paddler,atomic,curl,waddle
吹嘘,boastful,brag,flaunt,to conceal
牧师,clergy,allergy,celery,clerk
战后,postwar,postcard,poster,postal
不能克服,insurmountable,rage,civic,socialist
开创性的,pioneering,youngish,capitalism,grandson
泵,pump,bump,puma,plump
同情,sympathize,what a pity,can't help,an understanding
亲手抓的,hands-on,sequin,deploy,poetry
概念,concept,conceit,concert,consent
接近,contiguous,contagious,continuous,act in a way that defeats one's purpose
保证,guarantee,guaranty,guarantor,about
堆,stack,lack,stock,stick
（使）反跳,bounce,pounce,brunch,ounce
破坏,ruin,run,quip,rind
格格声,rattle,heel,divinity,dome
投票者,voter,loiter,vote,outer
黏液,slime,slim,line,spine
来复枪,rifle,trifle,mile,reflex
改建,facelift,break ground,lay a foundation,construct
相反,contrary,contract,honorary,contrast
海湾,gulf,golf,self,mule
挑拨,provocative,wreck,to conspire,accomplice
绘画似的,graphic,graphite,graph,gauze
所有权,proprietorship,a  mission,intellectual property rights,copyright
反常,eccentricity,peculiarity,miraculous,novel
仪式,rite,brute,rife,ride
极好,terrific,terrify,acid,singer
标本,specimen,species,specie,gas 
(士兵或徒步旅行者用的帆布或皮制的)背包,knapsack,flavor,laugh,venial
都市人,urbanite,fellow citizen or countryman,inhabitant,overseas Chinese
无数,innumerable,large quantities of,four-way,precipitous
健忘症,amnesia,magnesia,amnesty,triplicate
理论上的,theoretical,pollenate,elitism,undeniable
榛树,hazel,hail,haze,hall
扩大,expanding,make more widespread,to cut over,remodel
代表,represent,present,reprehend,omen
突然,abrupt,about,abut,erupt
无数,countless,pointless,doubtless,countess
穿透,pierce,pier,piece,fierce
易受伤害,vulnerable,venerable,implicate,cambric
补偿性的,compensatory,bane,everyone,reconcile
屈服,succumb,to persuade,mediate ,tame
生动,expressive,excessive,expensive,oppressive
跳跃,leap,lap,gleam,load
食橱,cupboard,analogy,naiad,horseman
笨重,cumbersome,flaky,softly,heavy
预防措施,precaution,be attached to one's native land and unwilling to leave it,good-looking,have no alternative but to
妨碍,obstruct,instruct,abstract,construct
主管,supervisor,to command,to have a holiday or vacation,wield 
颠覆性的,subversive,aquatic,compatible,quit
发亮,shining,flash,diffraction,scattering
窗格玻璃,pane,game,wand,bang
南瓜,pumpkin,bumpkin,cucumber,legumes
成褐色的,brownish,nameless,itemize,acid
失去平衡,overbalance,diet,batter,import
款待,entertainment,treat,mistreatment,pending
潮湿,moist,most,foist,moult
方法,approach,reproach,military strategy and tactics,common
玉米,corn,horn,core,corner
倾斜,sloping,glide,to lean on,to wiggle
英雄传奇,saga,craft,bellow,chestnut
风箱,bellows,bellows,case,mailbox
贫瘠,barren,barn,barrel,barber
教育,education,equation,seduction,adulation
根除,eradicate,predicate,radiate,quench
水汽,vapor,taper,vapour,favor
贴金箔,gilding,imitation,to read,read newspapers
传染病,epidemic,endemic,focus ,a disease one is shamed of
装饰,adorn,adore,scorn,corn
行政,executive,elective,execution,execute
过时,outdated,new kind,old,gorgeous
视觉,vision,visitor,visor,evasion
大提琴家,cellist,keepsake,expand,hag
突出,protruding,to raise,cover up,hang
拒绝,rejection,permit,effort,rebuff
合乎逻辑,logical,topical,local,comical
伤害,harmful,hateful,earful,artful
压印,imprint,misprint,implant,reprint
描述,portray,portal,portrait,portly
汉堡包,hamburger,maize or millet pancake,noodles served with soy sauce,bread
织巢鸟之一种,weaverbird,fair,rustle,tragic
暗礁,ledge,sledge,lodge,wedge
适当,appropriate,to no purpose,portable,hard to 
合并,coalescence,to have a reunion,trinity,to separate
环绕,encompass,intersect,surround,be separated by 
支持,champion,to keep,currently available,be 
宣布,announce,announcer,renounce,denounce
反对,objection,objective,objector,injection
不懂事故,unsophisticated,solely,totally,purely
可感觉到,sensible,insensible,ostensible,feasible
导致,cause,saute,rouse,cube
有义务的,obligated,brassy,fixture,excavator
处罚,penalty,realty,penal,to award an honor
易受影响,susceptible,parochial,fiancee,smother
必须做的,compulsory,revulsion,track,campfire
新纪元,epoch,each,pock,loch
财政,financial,financier,postal,risk
轶闻,anecdotal,felon,adverb,balance
新陈代谢,metabolism,unleash,to correct oneself,to strengthen
一副（纸牌）,deck,duck,dark,neck
使安静,lull,gall,pull,loll
气象学者,meteorologist,hillock,keratin,varsity
橡胶似的,rubbery,mister,excellency,lifetime
体操,gymnastic,support,to experiment,gymnastics
悲叹,complain,complaint,stun,while others are not looking
成功,fruitful,trustful,fitful,close down
讽刺,satiric,lit.: slap the table and shout with praise,to contend,libel
节约,frugal,brutal,feudal,rural
象征学,symbology,specialist,castigate,altimeter
剧团或文工团,ensemble,waver,hasten,agency
化妆品,makeup,rouge,dial plate,barometer
独唱曲,aria,variation,low key,two or more characters with the same vowel formation
电灯泡,bulb,bull,bus,busy
复制,replicate,delicate,explicate,duplicate
支持者,proponent,prominent,voter,servant
感情主意,sentimentalism,display one's slight skill before an expert,set up a stall,put on airs
厨房,culinary,luminary,urinary,dining hall
广播员,announcer,announce,barber,broker
游牧,nomadic,nomad,angle,nurture
疏忽,oversight,overnight,overweight,supervise and urge
星罗棋布于,dot,dog,rut,dour
打火石,flint,pint,fling,glint
注入,infusion,effusion,confusion,incursion
随便,haphazard,is or isn't,analogy,if that's the case, then 
类比,analogy,analogue,anatomy,apology
甲壳动物,crustacean,crops,botanical,animal
清楚,distinctly,to discover,forget,memory
魔术师,magician,musician,prophet,proletariat
丰满,chubby,hubby,scrubby,stubby
轮廓,profile,profuse,profit,provide
费解,complicated,profoundly,tidy,easy
用清水冲洗,rinse,rise,mince,rice
适当,decent,resent,decant,deceit
超心理学,parapsychology,moody,chloroform,correspond
巧妙,smart,slant,mart,start
使人兴奋,exhilarate,vocational,cabman,nearby
专业,specialized,external,more or less open,made in China
心理学,psychology,virology ,economics ,kinetics
主题,theme,hemp,tree,where
变迁,flux,slum,fun,flee
开垦,reclaim,declaim,claim,acclaim
吊裤带,suspender,suspend,suspense,surrender
粘的,sticky,sticker,stick,sickly
伴奏,accompaniment,to accompany ,solo,to draw
尊敬,veneration,to look forward to,abhor,grumble
比赛,tournament,ornament,Olympic,breaststroke
爱好,penchant,to love,take notice of,misunderstanding
按照惯例,conventionally,Hollywood,sortie,sand
妨碍,hamper,damper,camber,happen
威严,majesty,modesty,to moderate,pollution
坚决,resolute,desolate,resolve,absolute
军团,corps,cos,cop,corpse
收缩,shrink,shrine,shriek,string
先天,innate,inmate,donate,senate
固定设备,fixture,mixture,feature,picture
征兆,symptom,atmosphere,damping,track 
讲道,discourse,discourage,disburse,list
突出,projecting,overhang,barefoot,depressed
美味,delicious,felicitous,religious,malicious
英雄品质,heroism,heroin,heroic,heroine
不足,deficiency,deficient,efficiency,to be short
果肉,pulp,pip,puff,push
微不足道,trivial,rival,trial,pressing
卫生,hygiene,hygienic,pollution,strained
消磁,demagnetize,simplification,sentimental,denaturation
确信,convinced,believe,jealousy,half-believe, half-doubt
本能,instinctively,intelligent,strength,hearing
援助,assist,asset,desist,assent
效率,efficiency,deficiency,efficient,overnight
引起轰动,sensational,goalkeeper,dally,blonde
唤醒,arouse,arse,accuse,spouse
语言学,philology,journalism,astronomy,kinetics
舞蹈指导,choreographer,tango,reliable,upend
环境,milieu,atmosphere,way of life,dreamland
浮华,flashy,trashy,flatly,flask
十字路口,intersection,doorway,ferry,to speak
腐烂,decomposition,quick-freeze,cool off,freeze
污染物质,pollutant,unborn,commandeer,stampede
大山洞,cavern,camera,tavern,cover
协奏曲,concerto,concert,conceit,convert
手摸时有感觉的,textured,doleful,change,shave
拖长,prolong,proton,pull back,rise suddenly and sharply
植物的茎,stem,steam,stew,stump
自由,available,jolly,exhaustion,not enough
多样化,diversification,to diversify,become apparent,shift
新奇,fancy,fiance,fence,nanny
贫困,poverty,puberty,overt,property
计算,calculation,take rough measurements ,to operate,measurement
遵守,abide,able,agile,amid
特殊,distinctively,ill,shocking,marvelous
海市蜃楼,mirage,migrate,dirage,mileage
出席,attendance,attendant,deoxidation,absence
讲述者,narrator,narration,narrate,platitude
变形,transformation,change of direction,to covert,frequency conversion
咖啡壶,coffeepot,alms bowl,pot,chamber pot
前辈,predecessor,character,taxpayer,senator
塔,tower,lower,flower,towel
茶碟,saucer,sauce,sapper,soccer
恼人,aggravating,be unpopular,not worth,frightful
财产,propery,industrial,half price,personal property
散布,propagate,be classified as,to line up,list
角色,character,charter,colony,people
漫游,roam,beam,roar,road
紧急情况,urgency,currency,agency,urgent
最低限要求者,minimalist,hobnob,extenuate,greenbelt
精疲力尽,exhausted,lazily,to pant,to take a breather
革命,revolution,devolution,resolution,evolution
惊叫,exclaim,acclaim,explain,declaim
庇护,shield,shrewd,wield,child
收获,harvest,harvester,earnest,harness
容忍,tolerant,tolerate,tolerance,may
忽略,omit,emit,shit,comet
工业化的,industrialized,ornament,patrol,foremost
被太阳晒成古铜色的,sun-bronzed,navigation,Christ,waterfall
使潮湿,dampen,hamper,damper,pamper
繁殖,proliferate,undomesticated,lay ,adult
人造丝,rayon,ration,anon,mason
冲洗,drift,adrift,draft,drive
参数,parameter,perimeter,barometer,rate of consumption
(墨西哥和美国西部产的)叉角羚,pronghorn,decrease,unsound,bawl
好客,hospitable,hospital,deferent,great amount
稳定性,stability,stabilize,liability,ability
注释,commentary,momentary,postscript,to refer
解除,exemption,extinguish,overcome,to sweep away
能力,competence,competent,to transplant,workmanship
使树立,erect,elect,eject,edict
主要,staple,stale,stable,stall
喇叭,trumpet,trumpery,trump,demerit
登上,surmount,surround,befall,go  to the moon
遗产,legacy,leaky,legal,lacy
圣歌,anthem,panther,another,ahem
授权,authorize,authority,transfer,to authorize
勇敢,intrepid,to be indifferent,be ineffective,frail
船舱,cabin,casino,vain,chain
(生物)群落,community,commodity,communist,communism
名声,repute,repine,resume,depute
银行家,banker,basket,tanker,banner
电路,circuit,biscuit,circus,circuitry
行走,tread,red,thread,bread
灌木丛,shrub,scrub,shrug,sub
犀鸟,hornbill,domestic fowl,root of Chinese pulsatilla,nightingale
胃口,appetite,petite,appetizer,a unit
恭维,compliment,complement,compliant,to become reconciled
整齐,neat,dent,heat,brat
合成,synthesize,synthesis,to divide,scrape together
水晶,crystalline,butane,crystal,quicksilver
垂直,perpendicular,parallel,bend,skeleton
粗心,careless,tireless,ageless,caress
光线,ray,ready,lad,bray
分界线,boundary,bounder,foundry,the Tropic of Cancer
粘滞,viscous,neutral,necessity,national
持久,enduring,diligent,haul,take to heart
绕…轨道而行,orbit,trait,omit,debit
旷课,absenteeism,study,gild,to copy
开发,exploitation,pay,contribute,pay an overdue tax
确实,assuredly,at all,not as good as,would rather
捆,wrap,wax,tramp,crap
可靠,reliable,liable,reliance,pliable
非关联的,nonrelevant,pull,meantime,tarmac
刺激,excite,exile,excise,execute
顽强,dogged,be law-abiding,weak,generous
士气,morale,moral,mobile,module
病毒,viral,girl,oral,via
服装,garb,jamb,gall,ark
巡回,itinerant,itinerary,over and over,to launch
呼吸,respiratory,snore,smoke ,to call
织锦,tapestry,satin,cloth and silk,brocade
独占,monopolize,monopolist,issue,to monitor
微观世界,microcosm,volume,parish,area
体操,gymnastics,to breed,test,gymnastics
传下,descend,depend,descent,decent
算数,arithmetic,to practice,reserve,be perfidious
路,pathway,gallery,street,the Long Corridor at Yi He Yuan
抑制,constricted,restrict,to decide,step over
加强,strengthen,strength,to fall off,grasp
总统职位,presidency,residency,president,residence
承租人,tenant,tyrant,enact,pedant
污染,pollution,solution,collusion,to cause
攀登,ascend,ascent,spend,scene
（公共、环境）卫生,sanitation,agitation,animation,habitation
遗产,inheritance,prices,wealth,buying price
望远镜,telescope,telescopic,scrubbing brush,prism
绒毛,fluffy,plumage,fur,wig
联系,connect,convent,contact,cornet
运转,functioning,shock,aftershocks,maneuvering room
通货膨胀,inflation,infection,isolation,deflation
使沮丧,frustrate,enchant,bloc,penetrate
强烈,intense,intensive,immense,incense
能力,ability,acidity,nobility,facility
使筋疲力尽,exhaust,a modal particle indicating ,start a war,close a meeting
海底山,seamount,borax,offshoot,pungent
攀登,scale,state,slake,score
赤字,deficit,definite,deficient,depict
足尖,toe,hie,mode,rote
空气,air,pail,hair,laird
否决权,veto,vet,veer,onto
生牛皮,rawhide,unravel,alive,loathsome
宣布,declare,decline,declaim,deplore
不规则地,erratically,acquittal,parallel,dislocate
蚱蜢,grasshopper,fiery dragon,spider,butterfly
壮观,majestic,profile,complete,talented person
（模仿性的）嘲笑,mock,lock,monk,mope
幽默,humorous,timorous,amorous,numerous
口头,verbal,vernal,venal,veal
花瓣,petal,mental,detail,peal
比得上,rival,trial,trivial,vital
盎司,ounce,pounce,uncle,dunce
非常敏感,hypersensitive,prank,tasteless,lark
构成,composition,mutual confrontation,cut off ,be entangled
汽油,gasoline,vaseline,baseline,alcohol
恐怖,horror,horrid,sorrow,borrow
使磁化,magnetize,magnetism,magnetic,stepfather
解冻,thaw,draw,than,haw
范例,sample,staple,pimple,ample
家畜,livestock,farm animal,sacrifice ,blighted grain
使商业化,commercialize,enjoy,conical,quiet
重新计划,reschedule,sanctuary,anticlimax,drafty
未开发的,unexplored,register,guilty,civility
简单,plain,grain,plan,chain
高原,plateau,plateful,plate,the surface of the river
珠宝,jewelry,jewelry,bracelet,lace
弓,bow,bowl,on,glow
校准,calibration,revision,translate and edit,addendum
提及,mention,pension,mansion,section
不成比例,disproportionate,focal,fortify,chairman
便利,handy,bandy,hardy,any
线,thread,spread,tread,three
居住,reside,resign,revive,desire
忧郁,dismal,dismay,dial,visual
反对,opposition,deposition,exposition,position
不满意,discontented,plaque,prominent,droop
不幸,misfortune,to rise to power and position,without a hitch,break out
扭矩,torque,true,barque,mosque
乱丢垃圾,litter,totter,bitter,hither
不合时令,unseasonably,currently existing,brand new,freshness
飞行员,aviator,driver,postman,helmsman
怠惰,sloth,slot,slosh,clot
公平,impartially,violent,to launch,just and fair
日光,sunlight,slight,skylight,moonlight
吃,assimilate,degradation,exempt,hire
包含,embody,nobody,moody,ebony
引力,gravitation,military force,gravity,pressure
危险,dangerous,exultation,leisure,public security
教义,doctrine,truth,on the whole,grammar
召集,rally,sally,realty,really
等值,equivalent,exception,asynchronous,to be united in action
鞭子,lash,wash,clash,clasp
解散,dismiss,discuss,cancel,admit 
（食物等）变质,spoilage,topple,snap,tear up 
古生物学者,paleontologist,expand,tetanus,transfix
信心,confidence,confluence,conference,confident
牙科,dentistry,a required course,medical department,finance and accounting
夜的,nocturnal,serenade,opera,symphony
丰富,abundantly,to raise,additional,decrease
附带,incidentally,according to one's wishes,special,as far as possible
迅速,swiftness,to arrive late,too soon,speed is precious in war
胰岛素,insulin,vitamin,laxative,root of herbaceous peony 
投票,vote,note,dote,dole
灵感,inspiration,ill,intuition,affection
一闪一闪,flickering,scattering,shine,growl
排列,arrangement,to spread out,all over,to extend 
收回,withdraw,withdrawal,denominant,exempt
想要,desire,reside,deride,destine
毛皮,furry,polypropylene fiber,mink fur,leather
天然泉水,springwater,inane,scale,gratitude
款待,entertain,uncertain,mistreatment,look upon
柱,pillar,collar,villa,pillage
兴趣,interest,interact,internet,inherent
外来的移民,immigration,potato,wrongful,talk
侵犯（他人土地）者,trespasser,barrier,interrupt,exclusion
苍白,pale,pay,nape,palm
规划,layout,lout,about,greatly disappointed
商业,commercial,earl,farming,one's own profession
立方体的,cubic,cub,colic,public
个人主义,individualism,-ism,ethics,attitude of favoring your local region
镍,nickel,picket,wicker,ticket
推进,propel,trowel,repel,proper
跨度,span,wavelength,travel route,amplitude
坚实,squarely,coarse,deep,weak
种植园,plantation,plantain,Garden of Eden,gardens
更可取的,preferable,claw,overpass,loggerhead
自满,complacence,generous,ardent,not stint
预期,anticipate,to yearn for,to estimate,assumption
擦亮,ploished,to clean,to rinse,friction
袭击,raid,rod,cad,rail
短剑,dagger,wager,eager,danger
点燃,ignite,innate,invite,dignity
危险,risky,exultation,miserable,safe and sound
围攻,besiege,beside,believe,siege
自愿者,volunteer,jib,commitment,presage
海星,starfish,tarnish,comet,white dwarf
盐度,saltiness,angle,dynamism,perimeter
葡萄藤,vine,linen,jibe,vino
连续,consecutive,before deadline,moment,many times
规则,regulation,reputation,relation,revelation
突然抓住或握住,snap,snag,sad,slap
随意,liberally,inadequate,unusual,jolly
抵抗,resist,resort,relish,persist
考古学,archaeology,philosophy,theology,physics
过剩,surplus,surpass,countless,not complicated
不停,ceaseless,at first,always,at all times
玷污,disgrace,displace,distract,vow loyalty and devotion to
凤梨,pineapple,coconut,plum,apple
不满,discontent,disconcert,disconnect,to meet 
废奴主义者,abolitionist,them,trammel,catacomb
描绘,depict,deduct,debit,depart
冷藏,refrigeration,sew,maintain,to stretch
反映,reflection,repletion,selection,election
弊端,drawback,benefit,personal gain,feature
骨干,backbone,backbite,shabby,important
举止,behave,weave,brave,have
愤怒,resent,resort,cement,present
盐分,salinity,adverbial adjunct,nutrition,complement
辛酸,bitterness,miserable,deep sorrow,take on a mental burden
汹涌,surging,negligible,lit.: dragon flies, phoenix dances,of gigantic stature
无可匹敌,unmatched,seventeen,nickel,prodigious
过早,premature,armature,creature,twist
职业,vocation,volition,location,vacation
开始,threshold,begin construction,to hit with hands or fists,school opens
自省,introspective,be standoffish,conviction,take into account
血统,lineage,vintage,mileage,linear
新生,revitalization,decay,decompose,am
排外,exclusively,isolated,rape,to endanger
舒适,cozy,satisfied,gentle,dissatisfied
使膨胀,dilate,adulate,slate,dilute
使隔离,isolate,desolate,inflate,slate
美味,tasty,cast,vast,nasty
抱怨,complaint,compliant,complain,abhor
要塞,fort,fool,furl,post
涉水,wade,wavy,mad,adze
被日光照射了的,sunlit,startle,reptile,dethrone
爬行动物,reptile,fertile,revile,repine
邮政,postal,mortal,portal,postman
缺乏,meager,surplus,extant,deficit
使恐怖,terrify,testify,horrify,certify
委托,commission,omission,compassion,my presumptuous request
抗生素,antibiotics,vitamin,laxative,root of herbaceous peony 
渗出,ooze,pose,dose,vote
两重,duplicate,implicate,supplicate,duplicity
路线,itinerary,itinerant,protective screen,road
耕种,cultivate,culminate,cultivator,captivate
特许,charter,chatter,chapter,quarter
雕刻,sculpt,quick sketch,engraving,sketch
缺口,crevice,device,revive,revile
缩写,abbreviate,abbreviation,to care for ,to write
（门等）铰链,hinge,high,ginger,singer
蛋壳,eggshell,eggshell,fingernail,shell
去色,bleach,blotch,breach,blench
（言语、举止等的）文雅,refinement,retirement,gruff,simple and unadorned
(大学)毕业生,graduate,gradual,radiate,intern 
职业,occupation,accusation,nuclear engineering,work
轨道,track,tack,black,aback
动机,incentive,intensive,invective,philately
胡桃,walnut,want,wallet,persimmon
大事改革,revolutionize,milkman,show,progeny
照耀,shine,spike,shirk,fine
至高无上的权力,supremacy,lunchtime,faithful,spittoon
表现…的特色,characterize,savings,laborer,usurer
渣滓,residue,reside,preside,rescue
球场,court,count,curl,scour
剽窃,plagiarism,exploit,fraud,to invade and occupy 
开拓,exploit,explicit,export,explore
可延展的,malleable,hollow,brig,accord
灵活性,mobility,awkward in speech,show no understanding of the times,to have good eyes
不可渗透,impermeable,buoyant,niche,weak
化合物,compound,confound,impound,entirety
移动,migrate,pirate,irate,magnate
斜坡,slope,smoke,stole,lope
有灭绝危险的,endangered,ignoramus,jibe,dissonant
混合,mingling,intersect,transport,spread like wildfire
由地震引起的,seismic,tact,solstice,begone
灌溉,irrigate,frigate,arrogate,exploit
各种,various,vicious,curious,vicarious
苹果酒,cider,rider,hide,cinder
研究生,postgraduate,exchange student,boarder,university and high school students
火柴杆,matchstick,aloud,excursion,polyglot
在伦理上,ethically,clerical,mascot,Fortran
木材,lumber,number,clamber,amber
获胜,victorious,vicarious,excel,vanquish
精密技巧,finesse,fitness,handy,omnipotent
同时存在,coexist,consist,exist,chemist
密码,cipher,either,wither,viper
诽谤,slander,blunder,bladder,pander
自动(化)的,automatic,automat,automation,axiomatic
坚硬,rigid,frigid,rabid,rig
微小,atomic,atomize,tonic,toxic
锯齿状的,indented,arch,precipitous,four-sided
倾向,proclivity,to support ,have confidence in,to believe 
王国,kingdom,vassal,island nation,a power 
狂热,fanatical,not benevolent,craze,paralysis
将机械重新整备,retool,withstand,parallel connection,to intercommunicate
假设,assumption,because of,owing to,only
（公开）宣传,publicize,publicity,answer,mobilize
宇宙,universal,universe,wing,constellation
结束,conclude,include,conclave,concede
（作单数用）制图法,graphics,quail,misreport,ferocity
有天才的,talented,lessen,final,lading
匆忙,haste,vase,paste,caste
包含,embrace,membrane,umbrage,brace
脊,ridge,fridge,rile,rider
把…归于,ascribe,astride,inscribe,describe
诚然,admittedly,admittedly ,sure enough,unavoidable
扩大,broaden,brocade,broad,brazen
进料器,feeder,cajole,swim,elbow
约束,constrict,construct,conscript,contract
废墟,ruins,waterfall,raindrop,remain
激光,laser,last,paper,lasso
服从,subjected,offend,abide by,to break the rules
鸟类羽毛,plumage,plume,plunge,savage
投入于,devote,denote,devise,demote
繁荣,boom,poem,bosom,boob
（化学）有机的,organic,organism,organ,organize
举起,lift,life,gift,sit
有益健康,wholesome,wholesale,principle,grove
渐渐破坏,undermine,underline,undertone,underpin
