#word,meaning,option1,option2,option3
低估,underestimate,reckon,assumption,expect
控制,restrain,strain,refrain,restraint
首都,capital,capitate,capstan,marital
专利,patent,potent,parent,agent
极大,monstrous,to stand tall,height,undersized
荷兰人,Dutch,European ,Swiss ,American person
表示信任(或亲密)的,confidential,boggle,aslant,growth
发出咔哒声,click,lock,clink,flick
投机,gamble,bramble,gable,able
一致,conformity,be classified as,subordinate,of the same age
有助于…,conducive,joint,dalliance,his
微温,lukewarm,gentle,houseboat,Eden
主人,host,cost,hoist,hoot
腹泻,diarrhea,digestion,dizzy,have a high temperature
损害,detriment,nutriment,unfavorable,harmless
(伤口)愈合,heal,pedal,beak,neap
硬件,hardware,software,software and hardware,member
保险额,coverage,beverage,average,codepage
三角,triangle,strangle,tingle,wrangle
(使)振动,oscillate,vacillate,bump,intranet
解释,interpretation,quote,to key in,postscript
谄媚,flatter,flatten,chatter,fluster
用电,electrical,electric,natural gas,steam
无穷大,infinity,infinite,infirmity,indignity
柄,handle,hale,chandler,kindle
缩影胶片,microfilm,queen,tap,eligible
(病)发作,attack,mattock,attache,attract
打气筒,pump,plump,rump,pep
近海岸的,inshore,courteous,word,bombastic
狮身人面像,sphinx,image,portrait,disease
品格不端,disreputable,chastity,abominations,dainty
保证,guarantee,guaranty,guarantor,once again
把…堆起来,stack,snack,sock,soak
节,knot,knit,now,moot
弹,bounce,ounce,pounce,nonce
信号,signal,final,sign,spinal
热的,fervent,ferment,serpent,event
使纠缠,entangle,rectangle,tangle,oblivion
展望,envisage,visage,to watch,fluoroscopy
使丧失能力,disable,sizable,liable,likable
图表,graphic,graphite,graph,duplicate 
潜望镜,periscope,mop,sunglasses,spectacles
传达,convey,conveyor,convex,convoy
在...当中,amidst,heinous,crock,northeast
极好,terrific,terrify,output,dryer
样本,specimen,species,specie,hypertext
沉浸,immerse,inverse,immense,be situated 
（声音）洪亮的,resonant,resonance,remote sensing,ill
无数,innumerable,four-way,oblate,semicircle
声称,represent,present,reprehend,make a descriptive record 
无礼,abrupt,about,erupt,abut
收养关系,adoptive,additive,adoption,abortive
嘲笑,jeer,fig.: wonderful!,criticize,cynical
看穿,pierce,fierce,piece,peace
前奏曲、序曲,overture,overturn,venture,overrule
易受伤害,vulnerable,venerable,housefly,nightdress
因…死亡,succumb,make peace,tame,to convince
跳,leap,leaf,neap,keep
食橱,cupboard,a built-in wardrobe or cupboard,sickbed,deposit
笨重,cumbersome,sharp,softly,in high spirits
谨慎,precaution,careless,consolidate  at every step,firm
妨碍,obstruct,abstract,instruct,construct
隐私,privacy,private,primacy,piracy
娱乐,entertainment,art exhibition,guess a riddle,to play mahjong or cards
潮湿,moist,moss,waist,noise
接近,approach,reproach,for example,on the other hand
贫瘠,barren,burden,barrel,barber
根除,eradicate,predicate,radiate,brush
兴奋,hectic,hepatic,heretic,arctic
蒸汽,vapor,kapok,vapour,viper
传染病,epidemic,endemic,arteriosclerosis,rhinitis
垂直或突然地堕下,plummet,fin,fireman,astronomy
瞌睡,drowse,drowsy,drove,browse
行政部门,executive,execute,elective,execution
(时间)过去,elapse,ease,relapse,lapse
过时,outdated,beautiful,flirtatious,vogue
允许进入,admission,mission,omission,remission
逻辑,logical,comical,lyrical,lexical
震动,tremor,tenor,influence,to infect
扮演,portray,portrayal,portrait,Fortran
比喻,comparison,companion,be called,may after all be accepted as
不拘礼仪,familiarity,to know,acquaintance,consciousness
愤恨,resentment,feel wronged,complain,take the blame
拧,wrench,French,wretch,winch
动脉,artery,barter,battery,watery
盗用,appropriate,contract,be applicable,transfer 
隐遁的、隔绝的,secluded,segment,sincerity,handful
(依法)驱逐,evict,eject,vice,edict
跳跃,hop,hot,hod,cot
退步,setback,stack,ruin,widespread
捍卫者,champion,century,black,astute
坚持主张,contend,content,commend,convent
反对,objection,objector,objective,subjection
目录,catalogue,analogue,table of contents,style
明理,sensible,insensible,senile,tensile
治疗,therapy,thereby,to make a definite diagnosis,carve
支气管炎,bronchitis,measles,epidemic disease,laryngitis
喧闹声,din,dip,sin,dune
刑罚,penalty,realty,penal,the crime of hooliganism
敏感,susceptible,stiff,book worship,to realize
强制的,compulsory,jobcenter,polygon,lover
历元,epoch,loch,pouch,pock
财政,financial,financier,financial affairs,risk
四轮马车,waggon,waggle,jargon,maggot
职位较低,junior,janitor,juror,union
新陈代谢,metabolism,remodel,to adapt,to strengthen
非实质的,insubstantial,fortitude,intelligent,not care about one's appearance
桥面,deck,rack,weak,dusk
使…成最新,update,spate,prate,uptake
横隔膜,diaphragm,sling,their,continuous
使安静,lull,scull,full,fell
气象学者,meteorologist,fairy,postal,pro
哀婉,pathos,maths,patrol,patron
多产,fruitful,trustful,fitful,school opens
认为,deem,dear,see,duet
节俭,frugal,rural,feudal,brutal
庭院,patio,ladder,gutter,eaves
简化,simplify,simply,amplify,simplify
合奏团,ensemble,chorus,caravan,production team
球状物,bulb,but,bulk,bomb
倔强,intractable,false,peace treaty,pessimistic
敲打,dot,bog,kit,dote
弯曲,bent,bolt upright,parallel,languish
蒸馏,distil,instil,dispel,pistol
姿态,gesture,restore,pasture,texture
随意,haphazard,deliberately,energetic,not in the least
类比,analogy,apology,analogue,anatomy
多产,productive,protective,production,commence
画…侧面像简介,profile,profuse,profit,profane
所得,income,intone,come,winsome
而且,moreover,forever,even though,before a verb] handle, deal with
复杂,complicated,troublesome,abnormal,to coordinate
冲洗,rinse,since,rifle,dense
大方,decent,decant,defect,deceit
敏捷,smart,smut,swarm,mart
驱散,dispel,diaper,diesel,dismal
使高兴,exhilarate,beyond,garage,feign
心理学,psychology,psychology,statistics,zoological
话题,theme,chime,them,there
附录,appendix,append,list,ins and outs
流量,flux,flex,flee,clue
开垦,reclaim,declaim,exclaim,proclaim
比赛,tournament,ornament,play a game of chess, etc.,dive
设栅阻挡,barricade,eaves,the Great Wall,fence
输血,transfuse,transpose,to give or have acupuncture and moxibustion,vaccine
天主教的,catholic,carbolic,subjection,scrutinize
牵制,hamper,sharper,whimper,bumper
心智,mental,dental,menial,metal
特种部队,corps,corpse,cop,corn
缩小,shrink,rink,slink,shrine
固定,fixture,fissure,mixture,feature
驱逐,expulsion,excursion,emulsion,explosion
征兆,symptom,whereabouts,whereabouts,indication
有趣味的,delicious,felicitous,malicious,religious
缺陷,deficiency,deficient,efficiency,profit
果肉酱,pulp,polo,quip,put
琐碎,trivial,rival,trial,rough
卫生学,hygiene,hygienic,politics,dynamics
路线,route,arouse,rouge,rote
帮助,assist,assent,artist,resist
执着,clinging,omnipotent,flexible,highly capable
威士忌酒,whisky,whisk,whinny,whisker
唤起,arouse,grouse,argue,carouse
遍及,throughout,throughput,distributed,stack
横断,intersection,import,area outside a city gate,gateway
协议会,consultation,plenary session ,standing committee,public lecture 
污染物质,pollutant,perch,beseech,cave
调味品,sauce,sake,saute,gauge
突变,mutation,variation,suddenly turn hostile,change
中间,midst,Aids,midget,midmost
拖延,prolong,proton,to procrastinate,become due 
象牙,ivory,livery,vary,glory
(衣服的)褶,tuck,touch,tusk,hock
起源于,stem,scum,star,term
大屠杀,massacre,massage,assassinate,to kill 
可见到的,available,gruelling,awareness,naked
想象(力),fancy,saucy,lacy,infancy
贫穷,poverty,covert,puberty,novelty
幻影,mirage,morale,irate,forage
预定(票等),book,boa,berk,look
出席人数,attendance,attendant,souvenir,aggravate
前辈,predecessor,taxpayer,guardian,peer
弥漫,pervade,persuade,parade,evade
不得要领,pointless,painless,countless,acknowledge
传送,propagate,decline  with thanks,to see  off,to express one's thanks
大桶,vat,rant,mat,van
运输,transport,transpire,transpose,transform
模特儿,model,medal,mope,motel
漫游,roam,rim,ram,roast
通知,notify,notice,modify,notary
制定(法律),enact,exact,edict,tenant
彩票,lottery,loiter,pottery,otter
大声叫,exclaim,declaim,claim,reclaim
世袭,hereditary,heredity,it is said,to spread
鹦鹉,parakeet,peacock,azalea,partridge
保护,shield,shed,shred,child
通知,inform,infirm,conform,informal
省略,omit,smite,emir,min
巩固,consolidate,latency,to intensify,with a wavy motion 
因年久而被尊敬「遵守」的,time-honored,target,retribution,conclusion
(使)漂流,drift,riot,drafty,drip
海豚,porpoise,tortoise,purpose,alligator
绝望,doom,room,boob,worm
亲切款待,hospitable,hospital,cruel,meekly
使烦恼,vex,ever,pew,hew
稳定性,stability,stabilize,ability,liability
实况广播报导,commentary,momentary,throw,applicant
能力,competence,competent,nuclear technology,driving force
笔直,erect,enact,reject,select
钉书钉,staple,steeple,stifle,stale
喇叭,trumpet,trumpery,trump,meridian
越过,surmount,surround,cross a river,go by way of
圣歌,anthem,ahem,another,them
授权,authorize,authority,request sb,to give 
小木屋,cabin,bin,robin,cavil
社区,community,communist,immunity,commodity
坐落(某处),situated,matrimony,knickers,effluent
内脏,innards,cover,kidney,fingernail
一圈,circuit,circus,biscuit,circuitry
灌木,shrub,scrub,shroud,throb
光泽,gloss,loss,bless,glory
食欲,appetite,petite,appetizer,to hope
向…致意,compliment,complement,compliant,axis
纯净,neat,eat,goat,beat
垂直,perpendicular,very straight,languish,big and small
秩序,cosmos,common,cosmic,inevitable outcome
分界线,boundary,bounder,foundry,the Tropic of Cancer
环绕轨道动行,orbit,habit,debit,omit
赌物,wager,whaler,paper,payer
下巴,chin,than,whit,thin
不妥协的,intransigent,omnipotent,to have good eyes,handy
(使)蹲下,squat,equate,smut,sweat
披肩,wrap,pray,flap,what
确实,reliable,reliance,pliable,readable
倾注,shower,blower,shovel,shaver
人工制造,prefabricate,synthesis,knock together,complex
镶嵌细工,mosaic,cosmic,prosaic,mohair
顽固,dogged,brilliant,to have good eyes,try to locate sth
超过,outstrip,wholesome,insurmountable,to restrict
呼吸,respiratory,to wake up,vocal,to moan
人类,microcosm,elements,guy,individual
下来,descend,descent,decent,distend
算术,arithmetic,square ,logarithm,scientific
加强,strengthen,strength,postpone,accelerate
合成,resultant,reluctant,resistant,scrape together
追溯,ascend,ascent,assent,abscond
箱,tank,band,rank,hunk
预兆的、不祥的,ominous,minus,odious,luminous
与…联系,connect,concert,concoct,bonnet
不直,skew,re on,fly,to squirm
膨胀,inflation,infraction,isolation,insulation
啤酒厂,brewery,prison,repair shop,munitions or ordnance factory
使失败,frustrate,hailstone,watershed,savagery
强烈,intense,incense,tense,intensive
拥挤,throng,thong,throw,throne
能力,ability,debility,facility,liability
绥靖,pacify,ratify,parity,specify
章程,prospectus,prosperous,prospect,dinner party
用不完的,exhaust,penitent,ointment,baste
按比例绘制,scale,scalp,Yale,stage
党派支持者,partisan,protrude,seedless,fatalism
赤字,deficit,deficient,elicit,defect
通风,air,avid,ail,rip
使用否决权,veto,vein,vet,etc
申报(纳税物品),declare,decease,deplore,hectare
细胞,cellular,cellar,nerve,cell
雄伟,majestic,fig.: flamboyant,robust,deep-rooted 
熄灭,extinguish,derivative,emit,extinguish
太空,ethereal,eternal,celestial,opposite
嘲笑,mock,sock,moth,lock
复活节,Easter,Christmas,Mother's Day,summer vacation
口头,verbal,vernal,venal,aerial
花瓣,petal,metal,seal,portal
与…竞争,rival,trivial,rural,revival
用饵引诱,bait,chit,gait,vain
(音乐等)作品,composition,foreigner,cabby,quench
解冻,thaw,than,that,throw
矮人,pygmy,scarecrow,giant,fairy
今后,henceforth,within the next few days,a while,last time
家畜类,livestock,numerator,generalize,discontent
居民,inmate,innate,invite,intake
小羊,lamb,damn,lame,plumb
使…商业化,commercialize,scoff,inclusive,imagery
液体,fluid,flit,flair,flu
审查,censor,censure,cursor,censer
整洁,tidy,tiny,tire,they
平稳时期,plateau,plateful,plate,malicious
市民,civic,civil,clinic,cavil
提述,mention,munition,motion,mentor
水桶,bucket,basket,bunker,pucker
金发碧眼的（女子）,blonde,bone,lode,blouse
无法摆脱,inextricable,network,to isolate,to intercommunicate
聚中,concentrate,stevedore,starvation,videotape
优先,precedence,preference,precedent,not the only one
协议,agreement,discussions,to step aside,to negotiate
背诵,recite,recipe,remit,rite
不幸,misfortune,luckily,break out,dodge a pit only to fall into a well
编辑,edit,edge,editor,emit
透露,disclose,dispose,to stress,to point out
乱扔的东西,litter,little,letter,otter
税金,taxation,vacation,vexation,taxation
激发起,rouse,arouse,nose,ruse
专家,expert,export,expel,expire
吸,suck,duck,skulk,luck
同化,assimilate,flush ,come to the surface,emotional
包含,embody,ebony,body,moody
教义,doctrine,argument,truth,in general
把…集合起来,rally,relay,holly,daily
复仇,revenge,reverie,revenue,reverse
同等物,equivalent,gas ,liquid crystal,semi-fluid
鞭子,lash,abash,gash,plush
浏览,browse,prose,blouse,rouse
解雇,dismiss,discuss,depose,be on the waiting list 
贵族阶级,nobility,debility,ability,duke
信任,confidence,conference,confident,confluence
公事包,briefcase,moisture,flatter,testament
绷带,bandage,bondage,adage,baggage
起来,arise,rite,iris,arse
小卖部,canteen,lantern,canter,booth
有风度的,stylish,stylus,repetition,viable
在…之前,prior,prim,pair,prick
附带提及,incidentally,overact,thrust,invent
杀人,homicide,domicile,homicidal,murder
融墙,partition,petition,inroad,impeccable
矿物(的),mineral,lineal,general,miner
著名,renowned,bright,humiliation,not to be found in the classics - not authoritative
启示,inspiration,to demonstrate,warn of,impart
悲观,pessimism,pessimist,unreconciled to,generous
安排,arrangement,privately-owned,manage,peaceful
撤销,withdraw,withdrawal,disband,name
删减,abridge,ridge,abrade,bridge
柱,pillar,killer,pillow,pillage
疯狂,insane,inside,instant,inane
范围,extent,extend,extant,expect
贬低,depreciate,appreciate,deprecate,baseless
内科医生,physician,physicist,physical,referendum
不在意的,oblivious,bewilder,wholeheartedly,sag
设计,layout,lout,about,to plot
激起,stir,stick,skin,store
可获利的,commercial,monotonous,ordain,axe
镍,nickel,wicked,nicely,bicker
易浮,buoyant,rapt,to the satisfaction of everyone,kowtow
推进,propel,proper,repel,trowel
猛烈,vehement,element,vestment,tenement
一段时间,span,countdown,stable,grower
磁体,magnet,magneto,maggot,manner
桨形工具,paddle,candle,waddle,peddle
种植园,plantation,plantain,vineyard,pyramid
预料,anticipate,predict,guess,look forward to
杠杆,lever,ever,veer,lager
袭击,raid,bad,card,rail
着火,ignite,dignity,innate,invite
自愿者,volunteer,kiln,gearlever,gleam
海星,starfish,tarnish,satellite,planet
葡萄树,vine,nine,dime,vile
连续,consecutive,at every turn,on schedule,at first
体格,physique,position in the family hierarchy,peer,older generation
吊唁,condolence,bury,to dispatch,to rest
考古学,archaeology,medical science,psychology,theological
盈余(的),surplus,surpass,circumference,every
轻打,flick,brick,flunk,quick
比例,ratio,ration,radio,nation
大大,eminently,aunt,uncle,uncle
使缩小,deflate,delete,defeat,declare
有亲戚关系的,related,to influence,have nothing to do with,to be a suspect 
扭动,wiggle,wriggle,boggle,juggle
描述,depict,debit,deficit,device
退款,drawback,lend,bounce ,to exchange
自大,pompous,porous,not stint,generous
使运转正常,behave,have,beaver,betake
怨恨,resent,decent,reject,crescent
误解,misconceive,to like,favor,unknown
温室,conservatory,basket,vegetable field,Taoyuan 
不同,discrepancy,act in a way that defeats one's purpose,asynchronous,simultaneously
不幸,mischance,break out,out of the frying pan into the fire,to rise to power and position
摇摇晃晃,rickety,rocket,cricket,ticket
怠惰,inactive,native,active,inductive
入门,threshold,pour in,plunge,to permeate
浸,dip,din,dab,rib
行使,wield,yield,weld,welt
地图集,atlas,alas,alms,allay
恳切,obliging,turn ,to hear told,to rebel
仅,exclusively,at will,do one's utmost,jolly
洪水,cataract,attract,to screen,moisture
清洗,purge,merge,curve,nudge
教养,upbringing,lesson ,broadcast ,show 
（身体某部位）张大,dilate,dilute,delete,debate
显示,revelation,regulation,relation,revolution
笨重,ponderous,wondrous,onerous,handy
使孤立,isolate,desolate,slate,insulate
恩惠,bounty,county,bout,bounce
要塞,fort,fogy,foul,port
笔迹,script,stripe,sprint,scrap
爬虫,reptile,textile,fertile,retire
吓唬,terrify,terrific,certify,horrify
努力,hard,hoard,hare,hear
拥金,commission,omission,compassion,salary
可耕,arable,fable,gable,parable
复制,duplicate,delicate,explicate,implicate
行程表,itinerary,itinerant,despatch,capacious
耕作,cultivate,cultivator,captivate,culminate
宪章,charter,chapter,shatter,charge
(被)锁上,lock,lank,loss,lack
缺口,crevice,device,revile,revive
缩短,abbreviate,to write,abbreviation,gently caress and stroke
铰链,hinge,singe,hive,lunge
(男)人,guy,gay,hut,hub
下沉,settle,senile,nettle,style
变白,bleach,blench,beach,breath
提炼,refinement,retirement,zin-plating,silvering
性质上,qualitative,to interest,will to fight,interest
授予学位,graduate,gradual,radiate,indenture
鼻的,nasal,naval,nail,causal
铁轨,track,frank,trait,trawl
活动停止期间,layoff,kink,plebiscite,controller
（自异国）遣返,repatriate,expatriate,swell,latter
激励前进的动力,incentive,intensive,invective,intercede
搁置,shelve,halve,swerve,solve
附言,postscript,to leave a message,handwriting,explanation
描绘…的特征,characterize,defy,zonal,farmyard
剩余（财产）,residue,reside,rescue,preside
赡养,maintain,mountain,adopt ,to abide by
开拓,exploit,explicit,export,explain
可塑,malleable,spoof,hyacinth,delegate
删除,delete,denote,deplete,elate
复合,compound,confound,impound,complex
迁移,migrate,emigrate,grate,migraine
倾斜,slope,shoe,lope,glove
(沙漠中的)绿洲,oasis,basis,mass,dais
震,seismic,snuffle,hymn,mere
摇篮,cradle,cadre,curable,crawl
突出,protrude,depressed,expose,overhang
灌溉,irrigate,frigate,arrogate,winter irrigation
多方面的,various,serious,vicarious,vacuous
类似,similar,inequality,ordinary,like
大学毕业后的,postgraduate,rummage,wedlock,calorie
沉闷,toneless,humorous,laughable,a bit off
大学女生,coed,medical,spend,jubilant
共存,coexist,consist,exist,chemist
诽谤,slander,slender,blunder,gander
狱,infernal,internal,informal,interval
旁观者,onlooker,snooker,private,partisan
自动,automatic,automat,automate,axiomatic
粗俗,vulgar,sugar,improper,nobly
僵硬,rigid,right,frigid,rapid
折磨,torture,nurture,torque,fortune
假定,assumption,if that's the case, then ,else,regardless of
无情,relentless,stabilized,scattered,fickle
普通,universal,universe,unique,freshness
让与,alienate,alternate,to injure,to conspire
(使)激动,thrill,shrill,trill,thrift
真理,truth,trump,strut,trust
鉴定,appraise,apprise,applause,appease
想像得出,conceivable,to approve,trust,to support
加速器,accelerator,accelerator ,reactor,regulator
混乱,disarray,imbalance,filthy,convenient
有才能的,talented,immaterial,glassy,plunge
大比目鱼,halibut,trolley,friction,cobra
赶紧,haste,chaste,taste,haze
拥抱,embrace,membrane,umbrage,brace
直率,straightforward,to allay,immoral,humanity
鼻梁,ridge,hide,ride,lodge
把…归于,ascribe,describe,astride,inscribe
虚荣,vanity,sanity,cavity,amity
收缩,constrict,contract,conscript,construct
把…奉献(给),devote,devour,denote,dote
(发出)隆隆声,boom,loom,beam,loot
实际上的,virtual,virtue,visual,vital
赶牛棒,goad,gnaw,gold,goal
适合卫生,wholesome,wholesale,nativity,verminous
逐渐伤害(健康),undermine,underline,underdone,underlie
紫外线辐射,ultraviolet,asylum,pagan,cap
刹(车),brake,brain,rake,bale
赚头,making,ornamental,brew,clone
模仿,mimic,music,mime,civic
旅游,tourism,tourist,truism,nourish
用挖泥机疏浚,dredge,dredger,edge,drudge
支配,dominate,nominate,dominant,abominate
代理人,deputy,depot,repute,depute
合金,alloy,allow,allay,alley
参考,reference,preference,reverence,deference
警告,caution,ration,caption,action
提倡者,advocate,advocacy,allocate,gramophone
偶然,casual,causal,usual,carnal
凶猛,ferocious,veracious,atrocious,dull
可允许的,permissible,advent,shore,intuition
流产,miscarriage,to succeed,fall to enemy occupation,not do one's best
使烦恼,annoy,cannon,anon,annul
再生,regeneration,grasp,to make better,to weaken
扭曲,distort,disturb,history,discord
费力,arduous,ardour,subtle,first-class
补助金,subsidy,subside,subsist,earnest money
灵活,flexible,legible,inflexible,flexibility
造型,mould,mouth,mouse,moult
欺骗,delude,denude,depute,prelude
外部,external,eternal,internal,paternal
委托人,client,alien,clement,aliment
玻璃缸,aquarium,listen,mailbox,suitcase
果园,orchard,greenhouse,Taoyuan ,flower garden
转移,transfer,transform,transfix,to morph
说明,say,soya,stay,van
一滴滴地流,trickle,truckle,tinkle,tickle
(会议的)议程,agenda,magenta,agency,arena
危害,endanger,danger,unfavorable,harmless
美学,aesthetic,esthetic,subject,psychology
致命,vital,dial,viral,visa
(使)溢出来,spill,silk,spell,sell
主观,subjective,subjection,objective,set up
基本原理,ultimatum,ultimate,will,document
边,border,bored,order,barber
优势,overweight,overnight,oversight,to mix
微光,gleam,steam,leap,germ
弄出缺口,chip,chop,ship,zip
身分,standing,a post,world,fashion
脚镣,fetter,fitter,better,utter
纬度,latitude,platitude,lassitude,aptitude
强制性的,obligatory,handy,futile,vague
)条件,term,deem,mere,seem
通讯,telecommunication,diary,record,biography
风景,scene,see,scent,send
好斗的(人),militant,militate,military,hurricane
水泡,bubble,bungle,gobble,bustle
港口,harbor,city and countryside,Olympic Village,management station
福利,welfare,warfare,insurmountable,step over
区别,discriminate,to distinguish,to know what's what,unity of oppositeness
)两极端,extreme,excrete,luminary,trend
决议(案),resolution,revolution,solution,absolution
错误,erroneous,reasonable,not to be taken as an example,genuine
再考虑,reconsider,charlatan,observe,felicitate
引出,elicit,solicit,limit,evict
活的,live,olive,love,ice
困扰,vexation,relation,vacation,vocation
使成团(块),lump,hump,limp,rump
习语,idiom,idiot,idol,odium
使不悦,offend,defend,offhand,fiend
豪华,grand,grid,gland,franc
渴望,anxiety,unexpectedly,to look for,look forward to
出生,natal,fatal,naval,nasal
妒忌,envy,navy,envoy,nay
不调和,discord,discard,discern,disco
从属,subject,subvert,sublet,suspect
确信,confident,continent,confide,condiment
加重,aggravate,aggregate,settled,defer
用途,utility,ability,humility,utilize
履行(诺言等),fulfil,full,flail,jettison
(火山等)迸发,erupt,exult,crypt,rut
完全相似,tally,call,ally,dally
示威,demonstrate,mass seizure of food from landlords during famines before liberation,teacher's strike,petition 
代表团,mission,emission,omission,missile
选择,selection,detection,reflection,election
预期,prospect,project,protect,respect
起源,originate,original,to depend on,omen
完整,integral,interval,internal,integrate
陶工,potter,pottery,loiter,mutter
杰作,masterpiece,schedule,school timetable,Chinese materia medica
解开（疑团）,decipher,cipher,stamina,dirage
先,precedent,president,preceding,precedence
决议,resolve,revolve,evolve,remove
绝望,despair,repair,alone,totally
车道,lane,lank,lay,and
初等,elementary,alimentary,elemental,member of State Council 
范围广的,inclusive,exclusive,conclusive,illusive
使成堆,heap,slap,leap,hear
急需,imperative,operative,provide,contradictory
模棱两可,ambiguous,ambitious,vague,effective
巨大,enormous,venomous,robust,happy
乐观,optimism,optimist,optimum,unruly
创始,initiative,initiate,imitative,to run a newspaper
拒绝给予,deny,den,day,dear
(使)卷曲,curl,cur,dull,cork
使屈辱,humiliate,humility,grandstand,project
指示,indicative,inductive,indicate,indication
钙,calcium,calcify,cadmium,fancy
抓取,grab,crib,Arab,drab
辽阔,vast,fat,waist,mart
巡逻队,patrol,parrot,patron,petrol
腌渍,preserve,reserve,presence,deserve
壕沟,trench,French,stench,tenth
难住,perplex,purple,people,to cheat
微不足道,negligible,eligible,perfunctory,put emphasis on
太空舱,module,mole,morale,middle
观光,sightseeing,amusement,guess a riddle,to explore
足够,adequate,inadequate,equate,to squander
计划,intend,intern,attend,intent
随身用具,paraphernalia,babble,opposite,cask
谴责,reproach,approach,criticism,criticize
承担,assume,spume,astute,resume
终年,perennial,all day long,eternal,overnight
强调,underline,underling,underlie,underdone
论文,thesis,their,theism,theirs
取...最大值,maximize,minimize,introduce,veer
度数,degree,decree,agree,degrade
相对,relative,negative,gelatine,relation
兴趣,zest,pest,list,nest
假面具,mask,musk,mate,maul
存在但看不见的,latent,latest,patent,parent
(风)吹,sweep,sleep,weep,sweet
先驱,forerunner,grandson ,the latter,pioneer
草地,lawn,can,lava,yawn
总堂,cathedral,parish,northern side,hemisphere
辨认出,identify,identity,supervise and urge,to discuss
交通工具,vehicle,robot,disk,floppy disk
(管的)入口,intake,insane,stake,inmate
首都,metropolitan,Tehran,Warsaw,Shijiazhuang
淹没,inundate,innate,slump,lower
表面上的,ostensible,sensible,to gasp for breath,hold one's breath
旗,banner,dancer,banter,backer
没有说到,untold,unfold,unload,enfold
次要,subordinate,core,significant,perfunctory
方程式,equation,equator,eruption,education
雌性的动物,female,finale,fumble,male
阶层,estate,stare,state,stave
屈服,submission,submissive,to talk sb. over,bruise
概括出,generalize,generality,centralize,lion
怀有,cherish,chemist,churlish,perish
独特,picturesque,regular,fall into a pattern,flat
改变,transform,transfer,transport,industrialization
复仇,vengeance,to erode,enchant,retaliation
区分,distinction,compare,treatment,to distinguish
索价低于常价,undercharge,shoulder,ballyhoo,lockout
阿司匹林,aspirin,aspire,aspirant,spirit
锡箔纸,foil,loll,foul,coin
辨别,discern,discord,discard,cistern
死后,postmortem,within the next few days,a while,one after another
整理,arrange,barrage,arrant,range
有问题的,problematic,upstage,endure,despatch
一回合,bout,boat,gout,pout
概述,sketch,etch,sketchy,retch
化石,fossil,gossip,foil,fossil
不理会,override,overtime,overrule,overrate
盼望中的,prospective,guess,guess,unexpectedly
非难者,accuser,eyewitness,complaint,defendant
辉煌,glorious,in the shade,dazzle the eyes,gloomy
请求,plead,peal,spread,dread
目的,intention,intonation,intuition,retention
说明,illuminate,illumine,origin,mark
拿走,removal,remove,removable,revival
外交,diplomatic,drop in,pay a visit,foreign affairs
使用,employment,in order to,to know what's what,to ascertain
出现,occur,soccer,odour,our
天然色素,pigment,figment,augment,payment
牛奶面糊,batter,bitter,water,backer
天文学,astronomy,gastronomy,autonomy,astrology
母方,maternal,paternal,internal,material
商议,consult,consul,console,consume
传说中的人(或事),legend,emend,lend,defend
通风口,outlet,cutlet,bullet,sublet
(心理学)自我意识,ego,leg,ebb,egg
生脓,fester,jester,master,fetter
国境,frontier,foul line,battlefield,ground
点燃,kindle,kindly,idle,kind
容忍,tolerance,tolerant,tolerable,tolerate
疑心,shabby,hubby,chubby,shaggy
积极性,enthusiasm,passive,having experienced the hard ship of life,grand talents mature slowly
机动脚踏两用车,moped,fellowship,beautify,wardrobe
最高点,summit,summat,submit,summer
简历,resume,result,repute,presume
警察,constabulary,spy,pacesetter,gunner
陶器,pottery,lottery,potter,porter
军服上表示军阶的臂章条纹,stripe,ripe,sterile,strip
危险,perilous,serious,calamity,exhausting
骨骼,skeleton,bone,tip of brow,facial hair
轻击,flip,clip,flat,flirt
头盔,helmet,helper,velvet,helm
口吃,stammer,starter,stagger,shimmer
无名,anonymous,be unpopular,eminent,immortality
贞洁,virtuous,virtuoso,tortuous,mercy
悦耳,melodious,in high spirits,linger on faintly,old 
直径,diameter,diabetes,diameter,weight
街区,block,luck,blank,buck
语体,colloquial,murmur,speech,the daily life of a family
浪花,spray,pray,splay,stray
分,division,vision,diversion,revision
序幕,prelude,preclude,presume,preside
附属,subsidiary,to be part of,be precisely the same,depend upon
冗长,redundant,redundancy,flaky,tight 
(大学的)注册主任,registrar,register,registry,demist
军用,military,solitary,militate,militant
座右铭,motto,bottom,motel,ditto
(未婚男女间的)暖昧关系,liaison,massacre,adultery,murder
口译,interpret,internet,to extract,modern translation
护理人员,attendant,ascendant,attendance,convey
倾向,liability,stability,ability,can
使全神贯注,absorb,absurd,abhor,abort
油煎,fry,orgy,coy,sly
失误,lapse,nape,elapse,lash
苯,benzene,narcissus,pylon,overstep
道歉,apologetic,repay a  kindness,to make way ,reward
指头,digit,light,diet,might
加入,affiliate,officiate,struggle,work for
主张人人平等的,egalitarian,prophesy,blah,prospect
欢呼,cheer,sheer,cower,creek
极重要的,momentous,momentum,fundamental,astonishing
招贴,poster,paste,porter,poser
哀号,wail,ail,bewail,bail
矛盾、似矛盾而正确的说法,paradox,parade,pardon,parasol
铿锵声,clash,slash,lash,claim
绝缘,insulate,isolate,insular,inculcate
隼鹰,hawk,fawn,thaw,hark
颠簸,jolt,soft,dole,tot
外科医生,surgeon,burgeon,surge,surgery
