#word,meaning,option1,option2,option3
intoxicate,使喝醉,欺骗,活动(范围),动物园
fad,古怪念头,电子信函,打印机,大众
pervade,遍布,堆放,排队,列为
vat,把...盛入大桶,幸运,深长,见识
forswear,对...发伪誓,矛尖,读者,蒸汽
enact,扮演,悲歌,闭幕,高唱
blaspheme,亵渎,拼命,报效,补救
shank,腿肉,厨师,极少量的,非法剥夺
meter,计,乞求,(章节、段落等的)标题,佃农
greenery,温室,笼,果园,马厩
affray,恐吓,引出,勾引,诱惑
porpoise,鼠海豚,引起,扮演主角,兴趣
demur,抗辩,辩证,议论,狡辩
surmount,克服,休息,杜绝,解渴
saw,锯,深度,建筑,得到
eyebrow,眉,如此,雄兽,背诵
venal,贪赃,运动,买通,贪污
consulate,领事任期,十,宁愿(选择),站立
slipshod,马虎,郑重,奢侈,仔细
cosmos,秩序,优势,样子,攻势
apprise,通知,报时,忠告,报数
abhor,回避,得出,应得,幸免
outstrip,经过,按理,比照,据悉
morale,道德,美德,品质,兽性
joint,关节,主导,外部,江面
bravo,打手,酒鬼,神女,兵痞
itinerant,巡回,休战,展开,继续
monopolize,独占,摆布,监控,责成
gymnastics,技巧,本领,本事,绝技
engender,生育,褪色,腐败,双生
dapper,衣冠楚楚,卫生,俨然,蓬松
dynamo,发电机,吊车,蒸汽机,动力机
macaroni,通心面,胆敢,已故,告诉
resultant,合量,趣味,警报(器),镀银
portent,奇才,笔底下,口才,才华
larceny,盗窃,盗版,抢夺,断路
accent,着重,区区,主导,高昂
sanitation,公共卫生,保健,体育,教育
mileage,英里数,错误,到达者,十二级风
glint,擦过,领取,用秒表测定时间,多云
quizzical,戏弄,迫使,开玩笑,诱惑
navel,中心,无价,不要紧,不痛不痒
nonchalant,漠不关心,衡量,不齿,理会
debility,体弱,无力,雌雄,步履维艰
barrack,棚屋,牌楼,阁楼,农舍
swag,钱财,不义之财,财富,遗产
corpulent,肥胖,短粗,纤小,狭窄
petal,花瓣,雌蕊,不完全叶,花束
bait,打尖,培土,保苗,补苗
livestock,家畜,杏仁,野兽,牺牲
blare,嘟嘟声,平常,预备,再见
preclude,排除,洗刷,克服,消灭
croak,呱呱叫声,支持,三十个(人或物),八十(个
circa,大约在,烘,传真传输,十四个
suck,吸,接生,进,分歧
mister,平民,人群,民众,人们
browse,吃草,亏本,由…产生,宇宙飞船
encamp,扎营,射击,驻守,空防
draper,布商,帝国主义者,极少量的,喜爱
gad,游荡,恋爱,消遣,兜风
watt,瓦,发表意见,缺席,谁也不
stylish,新式,濡湿,新鲜,现有
blatant,无耻,吃不开,不朽,有名
homicide,杀人者,想象出来的事物,外面,相似
totality,全食,前提,意思,预兆
fussy,易激怒的,时期,违反,现款
word,通知,报晓,报时,报数
beckon,点头,掉头,抬头,骑车
throttle,卡,需要,铀(放射性元素),年轻
queen,酋长夫人,磁带录音,阻止,土豆
abridge,缩短,收缩,浸透,干
depreciate,贬低,中式,当选,升迁
tram,煤车,船只,客车,计程车
roan,红白间色,插页,表示惊讶或询问),工场
calculus,演算,计算,笔算,度量衡
commercial,商业,电力,工商,伯爵
repository,仓库,知识库,武库,堡垒
propel,推动,妨碍,兴奋,加以
flurry,慌张,不得已,徘徊,羞愧
sinew,给...以力量,鸣礼炮,说明,痛
prune,洋李干,空中旅行,任何..的事物,牛奶
debonair,温雅,北方的地区,指示,美术家
reprisal,赔偿,赎回,分期付款,抵押
condolence,吊唁,发送,自杀,安葬
snap,迅速,疾驰,不翼而飞,兵贵神速
resist,抗,还原,安宁,要点
lintel,过梁,奉行,具有..价值,猜迷
pineapple,凤梨,苹果,草莓,梨子
loveless,没有爱的,颤抖的动作或声音,修补,过高
virtuoso,艺术大师,跳水,年,然而
orifice,孔,冠词,给予,不久
scorpion,蝎,壮丽,丑恶,大陆
trill,颤音,笑声,高声,叫声
excise,消费税,租税,税收,工钱
elate,使兴奋,起源,吊死,杂志)记者
killer,杀灭物,财宝,谋杀罪,冷的
upbringing,抚育,服务,抱养,抚养
esthetic,美学,科目,科研,科学
dilate,膨胀,缩小,蔓延,转向
isolate,使隔离,抚摸,两个,狩猎场
tasty,美味,名副其实,真实,十分
colonist,移生动物,舒服,根本,保卫
script,书写体,形状,工商行名录,歌曲
passable,可流通的,天地,十一(个,动身
linguist,语言学家,创造者,制作者,工程师
unscathed,没有负伤,高地,两倍,坐下
askew,错,粗心的,值得...的,接待
itinerary,旅程,总数,多少,全程
cultivate,耕,耕种,耙,补种
hinge,使依靠,便条,多的,戏院
freehold,可终身保有的,豆,共同,蛮荒
guy,家伙,生物武器,常规武器,笪
bleach,漂白度,男朋友,诞生,世界范围
massage,奉承,趋奉,媾和,放任
lugubrious,悲哀,悲切,担忧,痛苦
malleable,易适应的,拔出,纪念物,介绍
trinity,三位一体,久违,告别,团圆
migrate,移居,栖息,迁徙,度过
box,斗拳,饿死,裁缝,损害
finesse,技巧,绝技,笔底下,本领
viewpoint,观点,偏见,想法,呼吁
onlooker,旁观者,比邻,一起,亲信
unveil,除去面纱,青年人,浓的,运动场
atomic,原子,原子核,离子,生物
flagon,酒壶,茶匙,调羹,便壶
alienate,离间,腐蚀,朋比为奸,危害
disavow,否认,干预,了解,推翻
assuage,减轻,衰减,涨价,减刑
punt,踢,氧,军,错误
mitre,主教冠,筹备,利索,冰箱
nebulous,含混,无益,举世瞩目,隐约
admittedly,公认,承认,驳斥,推翻
broaden,变宽,开支,最好,激励
shorthand,速记法的,功绩,城市,痉挛
boom,吊杆,扳手,盖子,网架
designer,谋划者,高速干道,挑选,(比赛)得分
tantamount,等于,同步,并驾齐驱,同性
goad,刺激,妨碍,施加,范围
trudge,跋涉,泄漏,投稿,动植物体内的管道
tourism,旅游团,工会,基金会,协会
dredge,耙网,保护…使免受苦难,宝物,使人伤心
watershed,流域,上流,边远,校园
omniscient,无所不知,无所不能,不学无术,近视
millinery,女帽,偷盗,在向,被听到机会
distort,歪曲,纠察,败子回头,本末倒置
baboon,狒狒,猿猴,猴子,白狐
crony,老朋友,友好,密友,同辈
beholden,依赖,对于,按理,正如
wile,消磨,渡过,迁都,停留
aquarium,水旅馆,洋葱,画,宽的
beck,鞠躬,拜倒,敬礼,下跪
bison,野牛,小牛,公羊,奶牛
trickle,使滴,收获　,无畏,下雪
wheedle,用甜言蜜语骗取,幸福,规定饮食,答复
aesthetic,美学,科研,科技,科目
chick,小鸡,公鸡,锦鸡,母鸡
rank,把...分等,打气,文库,大量
fetter,为...上脚镣,演讲,发生,当时
carouse,闹饮,走遍,不,(使)生根
agate,玛瑙,宝藏,财宝,寿礼
catacomb,地下走道,写字,非直接的,交通(量)
spoonful,一匙的量,神圣,病历,分裂
alimentary,消化,疼痛,泻肚,镇痛
elicit,引起,引人注意,感染,促成
titan,大力士,英雄,牛仔,君子
idiom,方言,外语,警句,汉语
diaphanous,轻柔,有意思,沉重,深刻
mandolin,曼陀林,同事,缚,联合
ingratiate,使得到...的欢心,轻易,篡改,割
subject,题目,西班牙语,议题,印地语
hoot,啐,生活,男(性)的,可判死刑
decoy,引诱,引出,欺负,恐吓
tally,帐,(给试卷)打分,压,长期
tenet,原则,格言,谓语,状语
vandal,野蛮人,温柔,型式,怂恿
swoop,抓起,开车,开演,起飞
potter,陶工,卑贱,宽容,自动售货商店
opal,蛋白石,碎石,暗礁,页岩
hyacinth,红锆石,创始人,(女)好看的,(船、飞机等的)全体人员
libel,诬蔑,争执,辩解,嘲笑
breaker,破碎者,抚养者,个人,自豪
hussy,轻佻女子,初级,超前,很可能
lee,庇荫,趋奉,欺骗,买好
primate,首主教,必须,奖学金,洗澡
humiliate,使蒙耻,奖杯,可靠,热衷
melodrama,音乐戏剧,废物,虎,希望
weedy,杂草,草丛,草,刨花
extirpate,摘除,抽,掰,折断
negligible,极小,(广播或电视节目中的)一般知识测验,言论,靠在...上
free,自由,有意,痛快,专程
smug,整洁,蓬松,严肃,轻松
funk,抽,掰,挖掘,拔掉
disparage,贬低,背黑锅,免职,失业
churn,桶,便桶,吊桶,水桶
braid,编结,出于本性,手指,在下面
fag,磨损,剥落,陨落,打破
tablecloth,桌布,缎子,丝绒,补丁
exactitude,正确,流利,笔误,整齐
penguin,企鹅,野禽,杜鹃,鹧鸪
hulk,庞然大物般出现,认为,高山,区域
howitzer,榴弹炮,大炮,手枪,弹药
outgoing,友好,不即不离,紧密,冰炭不相容
truism,自明之理,承受,白天,以后
override,撤销,解除,解散,免职
buckwheat,荞麦,芑,菠菜,白菜
wildcat,盲目钻井,乐事,到来,削
illuminate,照明,投射,冒烟,反射
erotic,好色,太平,妖艳,贞洁
pithy,髓的,唱片,木乃伊,快乐
machinist,机工,包身工,帮工,矿工
consult,查阅,小写,博览,读报
hoard,贮藏,摸索,找到,囤积
trowel,用镘刀涂抹,粗暴,喷水池,捏造
elliptical,椭圆,芸芸,拱形,千万
tattoo,归营号,教训,按铃,登记
glean,查明,侦探,追查,不准
overall,总的,界限,能手,动物
divisible,可分,当地人,脱掉,顽皮
colossus,巨像,多半,省略符号,坚果
jocund,欢乐,大快人心,鞠躬,欢腾
splinter,分裂,别离,众志成城,久违
colloquial,口语,议题,瑞典语,葡萄牙语
aqueous,水的,夸大地说,搭档,预告通知
blister,水疱,赘疣,机关,雀斑
disinherit,剥夺...有权继承的遗产,颈,抵(反)抗,棒
conscript,应召,在周围,搁板,(儿语)妈妈
bigamy,重婚,上门,休,婚嫁
redundant,累赘,紧紧,普遍,详细
bolster,支撑,保全,在内,留下
liaison,联络,接口,联网,流行
lumpy,多块,寄出,二十,会见
absorb,把...并入,灰色,高山,礼拜
human,人,通常,(使)变脏,接近
squander,浪费,足够,抽出,节省
poster,驿马,总合,高兴,百万
electrode,电极,尺寸,马力,极了
jolt,猛击,润滑,着陆,触发
brazier,火盆,玩偶,拨浪鼓,玩具
fractional,部分,个别,大多数,稀少
appliance,器械,生物武器,马蹄铁,核武器
lame,金银锦缎,一串(珠宝),很少,木乃伊
mesh,网,打电话,奶牛,把…分类
ignition,点火,祝福,伪托,虚构
bestir,使发奋,下雨,彻底,升起
seasick,晕船,不仁,窒息,昏迷
uproarious,骚动,昌盛,按兵不动,百孔千疮
redound,带来,轰动,动摇,污染
neutralize,中和,利害,隆重,有意思
capsule,胶囊,冰袋,背包,套子
keg,小桶,香烟,猪肉,骗子
fauna,动物志,证明,意志坚强,(旅行用)小提箱
fallible,容易弄错,希望,香蕉,了不起的
optimistic,乐观,不甘,活跃,百依百顺
refine,净化,肮脏,整齐,缓和
waterproof,不透水的,敬礼,使(某人)感到恐怖,收集
analytic,分析,简介,标明,标点
abject,奴性,技术,易碎,当时
requital,报偿物,有金属特性的,修理,实验
gag,戏弄,拨弄,诱惑,寻开心
conserve,保护,保驾,照料,侍候
slink,不足月产下,给...房子住,电梯,菱形
apocryphal,次经,伤风,下级,处所
forefront,最前线,图画,疾病,不同
quilt,被,动(植)物的母体,纸牌,获得
salve,解救物,教学,提前,复习
knotty,多节,机车,兴奋,推论
midwinter,仲冬,八月,六月,九月
invoice,开...的发票,咳嗽,议论,台
rotunda,圆形大厅,损害,节奏,血气
trice,扯起,光滑,鞠躬,研究所
lop,砍,争吵,升起,编辑
insidious,阴险,坦率,残忍,敦厚
postmark,盖邮戳于,食糖,战船,敏锐
ambiguity,含糊不清,聋的,浮动,粗心
woodman,伐木人,六分之一,以…自豪,城堡
damper,制音器,卷,边缘,恼人
transverse,横的,农耕,充足,轨道
beatific,至福,使突然陷入,网状系统,省略符号
stagger,摇晃,跳动,回旋,震动
impeach,控告,保佑,揭发,上诉
nothing,没有东西,场地,交叉,成分
weed,拣选,采种,招致,采光
vampire,吸血鬼,债权人,幸运儿,财东
munificent,丰厚,眼花缭乱,动手,贫困
teacup,茶杯,高脚杯,圆盘,杯子
resonance,回声,辅音,响声,擦音
rabid,狂热,瘫痪,堵塞,溃烂
gnu,牛羚,镐,西班牙(欧洲),流域
scrutinize,详细检查,意外(因素),预定,栩栩如生
disclaim,放弃,舍命,断送,牵连
eerie,怪异,有趣,莫名其妙,不知所云
stub,使碰踢,经营,轻触,坏地
ribald,开下流玩笑的人,伦理,迷,缺乏
tractable,驯服,斡旋,屈服,和好
well,井,描写,比如说,不可取的
glisten,闪光,咆哮,发亮,爆裂
befit,适合于,热切,生物学,苍白
hash,把...切碎,百分度(的),完整,由火箭推进的导弹
cleavage,劈开,裁剪,雕刻,割
suave,温文,握手,缺席的时间,柔软的(地)
elocution,演讲技巧,视为,时代,(文章的)一节
rational,理性,先见之明,斗志,才智
reversal,反向,圈套,专业性的,毒(死)
oral,口服,说,听说,窃听
graph,描绘,表示,发挥,记载
wrestler,摔跤运动员,法庭,球(状物),痕迹
crypt,地窖,暗室,图书馆,更衣室
ovation,小凯旋式,油漆,伞,合计
disembark,使上岸,习性,众多,加调味品
snob,鞋匠,电工,园丁,泥水匠
waive,放弃,舍命,牵涉,埋没
dyspepsia,消化不良,收取,管理,盗窃
thorax,胸,企图,滑冰鞋的滑刀,歌剧(院)
anodyne,安慰人的,冲洗法,拉,注射针
obsequies,葬礼,洗礼,典礼,无礼
emolument,利益,优点,缺陷,私利
holocaust,大破坏,控制板,记录,太阳眼镜
imbibe,喝,舔,饮用,叼
rivet,铆钉,定子,暗锁,锻件
forceps,尾铗,耳,封铅,具有
network,用网覆盖,真相,一周一次,优势
seasonal,季节,旺季,月份,寒冬
disprove,证明...不能成立,船员,转送,处境
mercurial,雄辩,狡辩,辩证,辩论
proxy,代理权,知识产权,特权,发言权
static,静电,磁,短波,电磁
indigent,欠缺,不够,盈余,亏损
milliner,妇女头饰,特别,总的,一批
quartet,四人组,(天气)风雨交加的,平面图,图画
bleat,胡扯,咕噜,仗义执言,赘述
improvise,临时做,彻底地,烟,捕捉
mausoleum,陵墓,主席台,站台,舞台
gull,欺骗,趋附,兵不厌诈,庇荫
spongy,多孔,后果,把…插入,少有
wax,耳垢,脓,鼻涕,泪水
dandelion,蒲公英,樗,金银花,贝母
mop,作怪相,能力,梨树,家
pus,脓,大便,胆汁,精子
drastic,严厉,红色,不在乎,慷慨
out,从...里面,已经,小型别墅,候车室
vertebrate,脊椎动物,动植物,动物,奖品
graduation,毕业,下课,闭幕,下班
weakling,瘦弱的人,释出,辉煌功绩,出卖
cartoon,漫画,插图,太极拳,美术
abstemious,有节制的,窘境,窝,(一串)
bitumen,沥青,石膏,水泥,石灰
pervert,误用,操作,照搬,用法
tendril,卷须状物,健壮,奇特,台座
tedium,单调乏味,命令,里面,完成
flounder,鲆,声明,包含,刚强
paucity,量少,快活,几分,咽
billow,鼓起,悬垂,露出,陷落
hostel,学生宿舍,寄出,这时,变种
gape,豁口,门口,孔穴,售票口
mammoth,巨大,微不足道,衰弱,龙飞凤舞
puberty,青春期,明代,年份,唐代
inscribe,刻,打击球,干净,轻轻
sedentary,坐着,所,逼迫,金属制品
ascension,上升,减刑,提高,攀升
zoology,动物区系,真心,达到预期目的,因为
encroach,侵占,讹诈,压迫,诱拐
glutton,狼獾,牺牲,耕畜,野兽
wisp,小把,蛙,消化,修理厂
ramshackle,腐败,实践,奉行,振兴
gash,有见识的,重压,彻底,旅游者
subway,地下过道,牛,旅馆,正直
stave,棍,用星号标出,…以上,人体的本能
celibate,独身,萧条,拥挤,悠闲
presage,预感,酸痛,直觉,滋味
demise,传,蜿蜒而行,周期,晚霞
crucible,熔炉,斗,炉灶,手杖
crater,坑,更好,不真实的,改善
rainfall,降雨,暴风骤雨,阴暗,秋高气爽
economist,经济学家,发明家,研究员,专家
gory,血块似的,保险箱,同志关系,插入物
deflect,偏斜,规则,曲折,舌尖
evaporate,消失,突发,销毁,失去
pantheism,泛神崇拜,魔术,蛙,放宽
assorted,分类,研制,小结,综合
disengage,脱离,加入,解脱,退役
phoenix,凤凰,社会,人间,环球
syringe,注射器,太,拖,羊毛(制)的
remiss,玩忽,对比,收获　,现款
finale,结尾,结果,病程,病历
reaper,收割者,导体,打电话,全世界
ethnic,异教徒的,学时,大头针,人称
shrimp,捕虾,措辞,请求,帮助
terrorism,恐怖主义,社会主义,策略,共和
indicator,指针,货源,依据,能源
apostrophe,撇号,和...相比,熨斗,富于幽默感的
scrub,擦,邮寄,俯冲,思想
defunct,已死,皇后,层,判决
satiate,使饱足,立刻,建筑学,标志
dinghy,小触板,医药,胆怯,地方性的
barb,非洲马,雄的,(使)放慢,（
wordy,言语,仗义执言,低语,多嘴
exponent,代表,反映,可谓,所谓
disastrous,灾难性的,奶奶,脂肪,挑选
pertain,从属,不约而同,同年,一致
propulsion,推进,寄予,范围,施加
dangle,炫示,摆阔,摆门面,编造
zoological,动物学的,测验,打败,呼喊
accost,搭讪,多嘴,仗义执言,对话
afflict,使苦恼,误解,千分之一米,代…致意
hypnotism,催眠,疫苗,扎针,按摩
crank,不稳,病态,小声,试样
fen,分,(声音)低沉地,休息,她的
deadlock,僵待,葡萄藤,祈求,茫茫一片
blot,污点,纪念奖,政绩,成绩
sandal,浅帮鞋,排列,风趣,剧烈
ticklish,棘手,高级,轻而易举,艰巨
hock,典,贴出,表示亲昵,夸大地说
gala,节日,除夕,冬至,新年
sluice,淘洗,冲洗,荡,打扫
nomad,流浪者,俘虏,客人,逃亡者
nonce,特定场合,一节,坏的,爬
rowdy,好争吵的,最,弹簧,雌性
dividend,赠品,材料,生活必需品,备料
furlough,休假,寿辰,暑假,灯节
cerebral,翘舌音的,推动,推进,字母
tea,茶叶,咖啡,冰糕,冰砖
whisk,搅拌器,水槽,算盘,雷达
muck,厩肥,搪瓷,油饼,化肥
offshoot,岩枝,表皮,搁,海边(的)
schoolgirl,女生,实习生,留学生,大学生
incursion,侵入,收复,围住,打破
agape,大张着嘴,船员,冷,必要条件
bewail,痛哭,暗送秋波,呜咽,哀号
petrol,汽油,酒精,焦油,煤油
flier,飞行员,司机,生火,厨师
chit,小孩,小淘气,宝贝,彪形大汉
derrick,钻塔,站台,园艺,台
strut,高视阔步,涉,跑步,奔驰
augur,预言者,四邻,也,热情
wrongful,不道德的,庆祝,光辉,损害
underlie,引起,驱动,引人注意,促使
granary,谷仓,车库,兵站,知识库
evacuate,撤离,逝去,摆渡,走开
prate,唠叨,乱说,咕噜,吞吐
milestone,里程碑,界标,浮标,标语牌
advocacy,拥护,送行,暌,等候
yelp,叫喊着说,直播,追上,学问
bilateral,两边,方面,世界,波段
cogent,有说服力,远于,把…比作,仅仅
octave,八度,顶峰,极了,限度
stilt,使踩高跷,大声,腾出,体操
planetary,行星,变星,伴星,星云
affix,添,划圈,生产,州
bestial,兽欲,食欲,需求,不时之需
flinch,退缩,祈祷,追逐,推进
elegy,挽歌,哀歌,伴唱,催眠曲
paternity,父亲身份,小路,广泛,时态
italic,斜体,单字,词汇,短语
nettle,惹怒,淑女,安排,生长
incisive,锋利,沉重,无情,可观
wold,山丘,幽谷,山脚,群山
vaunt,夸耀,捏合,虚张声势,伪造
curtail,剥夺,放逐,没收,斩首
retort,驳回,归咎,鼓励,承诺
first,第一,日渐,一再,预先
tasteless,无味,例行,可笑,可怜
endorse,签署,报税,报关,报考
galore,多的,拉,送行,想睡
feint,佯攻,攻打,不可抗力,阻抗
winsome,惹人喜爱,杀死,迅速,意外的相见
itch,渴望,向往,预计,要求
asset,资产,不义之财,财帛,不变资本
galaxy,一群,分隔,出生,胜利
insulation,隔离,缠绕,互通,对抗
casualty,死者,白头,尸体,头部
movie,电影业,商业,航运,工程
inverse,相反,究竟,不妨,那么
dignify,使有尊严,安乐椅,亦不可数),建筑师
earshot,听力所及的范围,年级,下雨,同情
fetid,恶臭,芳香,甜美,斑驳
hump,驼峰,背脊,胸部,怀抱
autonomous,自治,归顺,治安,办理
exigency,紧急,不痛不痒,核心,次要
hive,贮存,寻的,保留,找到
sinuous,弯曲,垂直,憔悴,骨头架子
dudgeon,柄木,表“种类”时则可数),体温,静止
amidships,在中部,成绩,陈列,区别
typical,特有,痛快,无意,随意
mauve,淡紫色的,陡的,在...旁边,漂亮
misuse,错用,摄像机,非官职的,(学术)领域
madhouse,精神病院,人大,电影院,戏院
ventricle,室,窗口,所有权,浓的
decadence,堕落,举行,实践,例行
dislodge,强行去除,管辖,珍品,帮助
inductive,引入,侮辱,欺负,践踏
primacy,第一位,有规律地,门口,绕开
blend,协调,鞭辟入里,平衡,广阔
bombard,迫击炮船,小队,物理学家,不完全的
recumbent,横卧,依偎,弯腰,倚靠
capillary,毛状,缝补,磁盘,乞丐
admissible,可进入的,专一,传真件,含量
somersault,翻筋斗,插话,(贴在公共场所的大型)招贴,钉住
slush,烂泥,表土,丹砂,冻土
bet,敢说,取走,扔掉,订(票
dignitary,显贵,不见经传,无价,敝
muffler,手套,袜子,粮食,白米
stitch,联接,遗传,牵连,谣传
plod,吃力的工作,可不是,通向,稠的
shrivel,枯萎,口吃,结果,吐穗
deprecate,贬低,得意,莫须有,中式
trellis,给...搭棚架,浓的,烤薄饼,丛林
eject,喷射,溢出,堆放,遍及
queue,排队,张灯结彩,开列,列为
ski,滑橇,倒退,鼻状物,补救
obituary,关于死亡,顺利,心(脏),安静
goodbye,告别,团圆,纠集,集中
upbraid,责骂,诅咒,骂,竞争
rotary,旋转式机器,牛,六(个,支持
fatuous,痴呆,迟钝,明智,灵活
graceless,不优美的,机场,早,蜂
impolite,不礼貌,(文章的)一节,完全,后来
nominee,被提名者,名单,讲价钱,正直
navigate,驾驶,驾车,总计,骑马
urn,壶,茶匙,便壶,平底锅
target,目标,受事,缘起,笔力
almanac,年鉴,剪报,小册子,百科全书
nestle,偎依,逼近,毗连,挨近
billiard,台球,网球,足球,球拍
dub,一戳,向上,突然一阵(雨、烟等),光辉
nil,没有,奇怪,痛快,有时候
premise,上述各点,在信封上写姓名,难题,台座
bra,奶罩,垫子,丧钟,跑表
housework,家务劳动,后来,大量,粗糙
achieve,达到,换取,得分,吸取
skill,熟练性,牢固,购买东西,香蕉
moisten,变湿,细粒,灼伤,不
gastric,胃部,盲肠,心脏,大肠
rut,动情,百听不厌,偏爱,爱恋
emetic,催吐剂,软膏,白芍,冰片
slum,去贫民窟,运输,口袋,控制板
keynote,给...定音,散步,一连串,(个人的)事
acidity,酸性,边缘,必要性,地区性
pessimist,悲观者,读书,除此,逗人发笑
gruel,稀粥,借口,不可能的,参观者
engulf,大口吞食,月亮,淹没,骑车
autocrat,独裁者,妖孽,北洋军阀,歹徒
firebrand,煽动叛乱者,畅销商品,斗争,呜咽地说
tumult,吵闹,争吵,动武,顶撞
decimal,小数,定额,度数,容量
veterinary,兽医,作者,翻译,姥姥
suffix,下标,饥饿,表演,单独
ferment,发酵,力量,副作用,证验
subvert,搅乱,本末倒置,违章,画蛇添足
effete,过时,破旧,壮丽,现有
stiffen,使变硬,在哪,小河,(疾病等)一次发作
piecemeal,逐个,交叉,亲手,亲自
monologue,独白体诗,自来水,浅滩,到处
spout,水柱,天花板,城墙,华表
double,酷似的人,未爆炸的,入口处,打击
quicksand,流沙,水泥,石灰,丹砂
baptize,施浸礼,来自北方,祝,实现
television,电视机,留声机,电话机,幻灯
tether,拴,谈话,将(声音等)录下,试图
bemoan,哀悼,挂念,回顾,怀念
beet,甜菜根,领悟,救命,(短)桨
unpack,卸下负荷,把…关在圈中,旧时,禾本科植物
minuet,米奴哀舞小步舞,电扇,纳闷,成果
kith,朋友,新娘,媒质,中介
buccaneer,冒险家,研究者,专家,发明家
tulip,郁金香,百合,杜鹃花,刨花
outhouse,户外厕所,保姆,妒忌的对象,胆量
depose,证实,取决,标明,可见
gamut,音阶,不然,平静,普通
grannie,祖母,老爷,姥姥,爹爹
satchel,书包,钱袋,包,手提包
hello,哈罗,量,一点也不,试图
dude,人,家务,分别,敏锐
fawn,生,降落),敏捷,无论如何
disfigure,伪装,喘气,屏气,悬
wallow,打滚,失足,颤栗,绊倒
antiseptic,防腐,避讳,以免,躲避
fillet,把...切成片,无论什么,仇敌,南部
lag,滞后,建设,吸毒,例行
trumpery,花哨而无价值的,尺子,祝贺,产品
compose,收拾,惩戒,公审,传讯
cringe,卑躬屈膝,尊敬,大方,大量
mucous,黏液,鼻涕,眼泪,痰
selfish,自私,清廉,得寸进尺,鄙俗
thousandth,第一千,识别,电线,关于
bulkhead,堤岸,渠道,陷阱,驳岸
pugnacious,好斗,行动,毛病,动作
indelicate,不文雅的,铸造,农田,分级
vault,拱顶,跳跃,处罚,治疗
photo,为...拍照,电动,偶然发生,海员
trident,三叉戟,检查,私人,(尤指)圣诞颂歌
bitch,抱怨,抱恨,哀怨,引咎
min,小的,勇敢地面对(危险等),经营,锻炼
procure,引起,传染,使得,引人注意
lunacy,精神错乱,工厂,激起,奇特
crusty,有外壳的,溢出,八,意外地碰上
hiatus,间隙,课余,期限,转机
forceful,强有力的,擦,人们,放荡
dust,地面,边界线,地平线,境外
abase,垂下,牢固,编辑,平等
debase,降低的成色,他(她、它)们自己,(会议的)主席,一直
babyhood,婴儿期,北宋,明代,唐代
buttonhole,锁,海员,牵制敌军,难以忍受
skein,把...绕成绞,抽烟,半,闲逛
beehive,圆锥形蜂窝状的,扰乱,小提琴(手),破坏
solidarity,团结工会,劳工,黄色,农场
airplane,飞机,班机,滑翔机,驳船
unbend,变直,轮胎,倒置,毁灭
tarpaulin,水手,宇航员,包身工,矿工
statuesque,雕像般的,最后,使不能行动,出去
crux,疑难之事,癖好,广大,世界闻名
pennant,锦旗,座标,微软,摩托罗拉
histrionic,演戏似的,旧的,出版,满口
amulet,护身符,屏障,路线,道路
concubine,姘妇,英雄,朋友,女朋友
will,将,唱片封套,英里,变成
officiate,主持,带领,放假,指挥
recast,重算,颈,好感,加糖于
offing,近岸锚泊,障碍,将要,无足轻重的人物
inversion,倒装,排列,张灯结彩,悬垂
clinch,确定,定局,原定,测定
facsimile,电传真,绘图表,排,空运
analyse,分析,介绍,定量分析,字斟句酌
ref,参考,引证,附笔,简介
embargo,征用,罄,用法,用于
holster,手枪皮套,剧本,使固定,情况
literacy,熟谙文学,(政党的)核心机构,敞开,经营农场
tragedian,悲剧演员,免职,是,时期
crackle,噼啪声,用匕首刺,金刚石,痛
converse,交谈,对话,长谈,多嘴
recession,后退,颁行,发展,建设
fudge,回避,赢得,幸免,防水
brusque,粗鲁,文明,客气,爱面子
feline,猫科动物,对比,拉手,正直
colonnade,成行的树,鼓,火车司机,大大
detract,减损,宝物,生疏,自从
impel,激励,杜绝,妨碍,限制
warble,啭鸣,啧啧,男高音,低音
swap,交换,变频,调换,改口
gabble,咯咯叫声,升起,意外的相见,税(款)
primer,雷管,炸药,暗箭,核弹
misrule,治理不当,理由,(草木)枯萎,大声
prosy,沉闷,担忧,得意,愤怒
scenic,舞台,台,站台,柜台
ewe,母羊,建造,在…里(内,判决
refectory,食堂,商店,小吃店,宾馆
torso,躯干,酵母,病毒,毒菌
nostril,鼻孔,空儿,孔穴,缺口
sharpen,加重,缓和,放松,增高
optimist,乐观者,咀嚼,无线,集市
iota,极少量,用管道输送,面对,充满
terse,简要,对称性,平衡,琐细
stipulate,规定,额定,确认,原定
indoor,室内,里面,外界,体内
classroom,教室,书房,更衣室,地下室
knuckle,叩击,鞭挞,毒打,打碎
urbane,有礼貌的,中午,双,突然抢夺
coyote,人形精怪,(装饰用的)瓶,劳动力,技术
combatant,好斗,行为,暴行,毛病
twitter,嘲笑,反唇相讥,对抗,诽谤
inane,空洞,无误,实际,流利
elite,上层人士,被单,需要,家庭
melon,瓜,盘,贷,相对性
cacao,可可树,检查,有形,运输
sedative,镇静,抱愧,安稳,不好意思
procedure,常规,可笑,尴尬,风趣
embellish,装饰起来,玩,陆军上尉,仅仅
joker,百搭,大气压,灌溉,叫
clinical,门诊部的,绕,祈祷,困难
snout,口吻状物,反应快的,现金,年级
mammon,物质财富,十足,傍晚,只是
segment,段,死气沉沉,投票,不能
cash,钱,展现,体操家,收音机
