#word,meaning,option1,option2,option3
重新点燃,rekindle,chafe,labyrinth,promotion
严厉,draconian,red,extend ,narrow
报复性的,vindictive,deference,intention,trader
展开,deploy,reply,deputy,deplore
渍痕,smudge,grudge,smug,judge
歌舞杂耍表演,vaudeville,john,saw,tetanus
丧失名誉,discredit,discreet,prosaic,arena
违背(法规,contravene,waif,begrudge,screw
祝愿,blessing,deal with,pay a New Year call,celebrate
简陋的房子,hut,cut,hop,shit
刺骨,nipping,heat,warm,pleasantly cool
不服从的,insubordinate,resistance,force majeure,defend
深仇,rancor,feel wronged,headache,love and hate
解释,explanatory,postscript,to refer,to leave a message
大箱子,bin,din,jib,king
斑点,fleck,flask,flock,black
无孔,nonporous,dwarf,pet,deference
芳香的,fragrant,flagrant,vagrant,fragment
焦虑,inquietude,quietude,anguish,solemn and stirring
华而不实,meretricious,twin strategies,falsehood,obscurity
讽刺画,caricature,silent,philander,wag
笨重,unwieldy,be out of sorts,in high spirits,tender
选举,voting,examine,by-election,general election
以策略制胜,outmaneuver,maturity,spoonful,tout
远地点(太阳等距离地球最远的点),apogee,watery,centimetre,encamp
(语言等)夸张的,grandiloquent,tell a lie,promise,to cover
格言,aphorism,scale,predicate,complement
鞍,saddle,twaddle,waddle,huddle
(思想文字)不连贯的,incoherent,inherent,coherent,ungracious
预感,precognition,ill,favorable impression,ache
无形,intangibility,mode,new kind,wide scale
讨人喜欢,endearing,hateful,moving,narrow
刻苦攻读,lucubrate,fugitive,to make a living as a traveling performer, etc.,toil
深度可测量的,fathomable,drafty,utensil,seminal
渐变,gradation,radiation,tradition,graduation
猛攻,onslaught,attack,immunity,force majeure
饱足,satiety,sanity,satiate,society
得体,seemly,seem,seedy,seamy
逮捕,apprehend,reprehend,to frisk,seize
小猫,kitten,mitten,jitter,bitter
(抛射物)弹道轨道,trajectory,frowzy,magnate,implicit
点滴,sprinkling,polysaccharose,one after another,very large
派生,derivative,outburst,emit,to lose
煽动,foment,moment,potent,comet
武断,pontifical,red,counter-revolutionary,let bygones be bygones
(从灾难中)抢救,salvage,salve,savage,sausage
询问,inquiry,enquiry,inquire,iniquity
有缺点的,defective,detective,defensive,selective
使人烦躁,grate,grave,grasp,rape
简洁,laconic,lactic,fluffy,harden
撤退,retreat,repeat,recreate,retract
监督,superintend,to inspect ,roll call,for future reference
明显,obvious,envious,odious,devious
和谐,concordant,brief,to be full of,incisive
强调,accentuate,report a success,give an alarm,to stress
有常识的,commonsensical,evil,checkout,censor
粘度,viscosity,suitability,diversity,decisive
使窘困迷惑,nonplus,experience,fruition,chirp
耽搁,procrastinate,expire,become due ,to delay
警长,sheriff,detective,police officer,model
幼苗,seedling,sterling,goose feather,consensus
狼吞虎咽,guttle,to hear told,chew,persuade 
适当的措辞,felicity,elicit,ferocity,velocity
机智,witty,pity,mitt,kitty
冷淡,unconcern,concern,abreast,take care of oneself
面临,confront,ever since,toward,face
小册子,pamphlet,dictionary,reference,compilation
假装,simulation,to pant,lazily,hold one's breath
钢笔尖,nib,web,pit,nab
故作勇敢,bravado,bravo,assume great airs,bluff
微生物,microbe,micron,disrobe,animals and plants
与...相似,parallel,parable,interact,stimulus
使充气,inflate,tinplate,isolate,inflame
提出(讨论),broach,brooch,breach,poach
羊肉,mutton,cotton,glutton,button
弄凹,dent,vent,wend,get
薄荷醇,menthol,sluice,statistic,numerate
无节制的,immoderate,moderate,least,what
有名无实,titular,tabular,tubular,false
性急,testy,pest,zest,lusty
违法,infraction,inflation,fraction,inaction
乡村,bucolic,colic,Muscat,Madrid
世界性,cosmopolitanism,fat,resign,reputable
雕像,statuary,scroll,quick sketch,cross
超新星,supernova,ordinary members of theatrical troupe,singer,actress
赔偿,reparation,separation,reputation,relaxation
领导者,conductor,conduct,conduction,Defense Minister
不名一文,impecunious,impoverished,to hit with hands or fists,difficulty
季雨,monsoon,pontoon,mansion,gust
前事,antecedent,derail,orange,forte
序幕,prologue,prorogue,duologue,course of disease
吸引人的,nubile,snaky,wed,refuel
(日,eclipse,ellipse,elapse,chocolate
抑制,inhibit,inhabit,inherit,insuperable
胡闹,footle,concoct,create a disturbance,provoke
白炽,incandescence,moonlight,light,sunshine
讲台,dais,disc,waist,gait
后悔,penitent,impenitent,penitence,lenient
近视眼的,myopic,topic,myopia,tropic
能劝说的,persuasive,persuasion,pervasive,expedite
传家宝,heirloom,wart,riches,goose feather
预感,foreboding,dislike,emotion,to feel
合成物,composite,composure,compositor,compost
凶猛,ferocity,atrocity,felicity,velocity
抑制,refrain,remain,restrain,refract
坚持,insistence,assumption,infer,to find
突然升官的人,upstart,start,upstairs,upstage
冒烟,fume,lure,gum,cute
旋风,cyclone,cycle,hurricane,head wind
大吃大喝,guzzle,muzzle,nuzzle,puzzle
作为象征,emblematic,personnel,sink,famine
确定的事情,certainty,certainly,certain,retain
水管,hosepipe,chip,roller,cave
母驴,mare,everywhere,beat,steer
赔偿,indemnity,indemnify,indignity,taxation
量...口径,calibrate,celebrate,calibre,celibate
引人入胜,engrossing,pitiful,not enjoy popular support,extensive
疲乏,fatigue,shake out of something,have hight morale,lazily
强迫出去,oust,rust,must,musk
尸体解剖,autopsy,for future reference,to inspect ,to inspect
苦难,tribulation,persecute,difficulty,plant disease
阴暗,stygian,sunny,clear and refreshing autumn weather,rainy
(偷偷地)侧身而行,sidle,single,wile,idle
延长,protract,retract,protractor,protect
不顾死活,desperate,temperate,desperado,else
笨拙,clumsy,classy,calumny,flimsy
土产,indigenous,original,ready made,outside
初期,incipient,recipient,incident,session
重申,reiterate,literate,iterate,circle
无实体的,disembodied,accurate,neat,no risk at all
凸出,convex,convey,cover,confer
壮观,splendid,phantom,good looking,marvel
肥沃,fecund,blank space,"not even a blade of grass grows",plump
沉着,aplomb,calm,important,urgent
(角斗的)竞技场,arena,hyena,trend,area
确定无疑,certitude,fortitude,servitude,rectitude
(金子)开,carat,cart,mart,crab
碎石,gravel,revel,grave,grapnel
(对将来事件)预示,adumbrate,chargeable,tussle,extensive
居民,denizen,non-Chinese citizen of Chinese ancestry,city resident,fellow citizen or countryman
寄生虫,parasite,paradise,bumblebee,spider beetle
欺骗,duplicity,duplicate,publicity,to dupe
被动,passive,passage,massive,pensive
强求,importune,opportune,importance,imposture
无能,ineptitude,special,answer fluently,ignorance
派别(间)的,factional,year,ponderous,defect
茫然,bemused,to recognize,love,to mistake
简陋的小木屋,shanty,credence,sermon,helium
向某人保证,assure,fissure,abjure,assert
胜利者,victor,upper class,defeated,unknown
诚实,rectitude,certitude,cruel,deferent
支持,countenance,fall into ,be ,be situated 
预示,prefigure,all things tends in one direction,to reveal,visible
偶然,adventitious,really isn't,previously unimagined,as expected
(迎着困难)稳步前进,forge,orgy,surge,fore
不能胜任,incapable,capable,maritime,infringe
使入伍,induct,medallist,limitation,idleness
拯救,extricate,explicate,intricate,dirt
吸引力,attraction,attractive,extraction,traction
棕榈,palmy,palm,ply,palsy
遗址,remains,factory site,destination,site
柄,haft,terminal bud,pollen,seedling
商标,brand,band,land,bran
有害,baneful,unfavorable,insuperable,to guard against
下垂,flagging,bare,hang,to raise
掩饰(罪行),extenuate,coach,assist,lustre
有图片的,pictorial,bakelite,pigsty,authorize
联合,coalesce,from,in the same way as,cannot but
无政府主义者,anarchist,propel,get,realty
指数,indices,the top part of a tablet,momentum,electrical energy
详尽地说明,elaborate,evaporate,declare where one stands,reaffirm
饱满,replete,delete,deplete,repute
华美,ornate,crate,innate,irate
灌输,implant,impact,imprint,impart
特使,emissary,position in the family hierarchy,senator,older generation
一部分,portion,position,portico,potion
(动物)纯种的,purebred,park,extend,friendship
见多识广,well-informed,be ignorant and incompetent,ignore the general interest,grand talents mature slowly
照料,tend,tent,amend,mend
联盟或同盟,confederacy,perquisite,dropout,column
偷偷,furtive,fugitive,futile,forgive
犯罪者,culprit,pod,marvellous,lucid
之字形(的),zigzag,extraction,sensible,possessive
慷慨,munificence,conceited,indifferent,White 
(面部等的)特征,lineaments,patient's condition,look somebody up and down,scene
法人团体,corporation,dairy farm,semicolon,chicken farm
深思熟虑,mature,manure,capture,nature
贞洁,chaste,chart,castle,haste
反应物,reactant,gradual,controller,identify
刺绣花样,sampler,lode,clearance,pawnshop
寡头政治,oligarchy,policy,system or institution,protectionism
受虐待的,aggrieved,separation,iterate,refectory
霸权,hegemony,ceremony,monarchial power,scepter
命令,mandate,mandated,bandage,magnate
争吵,altercation,noisy,beat up,curse
姜,ginger,gingerly,tiger,singe
(楼梯的)栏杆,banister,engross,gondola,wader
旱生植物,xerophyte,perky,conscious,anonymous
不付款的,gratis,grain,grass,grate
给...添加燃料,stoke,bloke,stone,stoker
多种子的,seedy,needy,seed,need
守口如瓶,secretive,secretion,secrete,accept responsibility 
大洪水,deluge,delete,delude,deluxe
步伐蹒跚,totter,potter,mother,tatter
有关,apropos,propose,with,by
水龙头,hydrant,tyrant,receiver,tie
装饰,garnish,varnish,furnish,tarnish
碎屑,detritus,testament,bumpy,business
一小片,patch,latch,path,parch
鲁莽,foolhardy,to float,serious,in reality
肆意破坏,vandalize,espouse,cost,sure
不同时的,asynchronous,displease,indirect,emissary
不正常的,abnormal,normal,style,dynamic state
尸体,cadaver,forehead,bones of the dead,old age
萤光,fluorescent,scattering,roar,burst
令人不愉快的,obnoxious,noxious,moving,to lack
刺穿,penetrate,venerate,generate,perpetrate
严厉,dour,four,foul,don
短暂,momentary,commentary,monetary,overnight
视力不佳,purblind,thatch,site,abbreviate
美味,palatable,palpable,very,real
乌合之众,rabble,rubble,dabble,raffle
使茫然,daze,hazel,craze,sane
抗菌,antibiotic,cubic,backbite,lunge
讨好,propitiatory,shield,no matter what,tame
使失掉人性,dehumanize,accessary,its,native
糖衣,icing,formation ,true colors,focus
无法取消,irrevocable,dispirit,silo,intimidate
赤裸,nude,dud,ode,nine
祸害,canker,banker,backer,pander
典当,pawn,pay,pan,fawn
(通常指未婚的)双方同居,cohabit,habit,inhabit,scripture
人体模型,dummy,ducky,dumpy,tummy
(对人或行为的)抗议,expostulate,to excite,blame,urge on
托架,bracket,brake,racket,cricket
花粉,pollen,roller,pulley,golden
改过自新,regenerate,put the incidental before the fundamental,forward,to picket
玷污,smirch,search,milch,smith
不能分解成因子的,irreducible,surge,printout,overtime
无能力的,incompetent,capitate,sweeten,needy
鹿肉,venison,aficionado,use,baggy
肢解,dismember,to respect,loose,upper part of the body
喜欢挑剔的人,faultfinder,akimbo,further,celebrate
询问,query,queasy,emery,quest
蔑视,flout,lout,floor,float
变化性,variability,gradual change,vicious circle,to roam
供给,administer,minister,to need,to meet 
态度,posture,torture,costume,pasture
轻信,credulous,confident,worship,incredible
精神病学,psychiatry,cavity,voluntary,porter
残暴,truculent,kindly ,lunatic,sin
立遗嘱的人,testator,testate,pep,incite
胆小鬼,coward,hoard,award,reward
毛毛细雨,drizzly,walkman,ravage,sing
顽抗,recalcitrant,safeguard,force majeure,resistance
混淆,hodgepodge,to picket,haunt,fig.: to overdo it
一条(面包),loaf,cloak,loam,hoax
(尤指为公益事业举办的)抽奖售物(活动),raffle,piffle,baffle,ruffle
蚊帐,canopy,copy,candy,canary
屈尊,condescend,exactitude,throughout,blockade
规避,bypass,pass,bass,brass
可破坏的,destructible,numerator,feudal,chasm
行举手礼,salute,dilute,saline,saute
外围,periphery,outdoor,external,outskirts
(昆虫的)幼虫,larva,lava,lard,carve
使突然停止,check,clock,chuck,chick
戏剧,thespian,symphony,Beijing opera,lullaby
崇高,lofty,loft,lout,loath
浪荡子,vagabond,refugee,captive,runaway
恶毒,diabolical,strange,benevolent,various countries
连续的一段时间,spell,spear,sell,smell
运动),wage,lane,cadge,tale
无用之物,shuck,deficiency,marsh,viaduct
召集,convene,contend,confine,convent
吸引力,affinity,infinity,financial resources,vigor of strokes in calligraphy or drawing
宝座,throne,throng,thong,throw
(桶之)箍,hoop,harp,coup,cop
股份单,portfolio,what,offshoot,contend
伪善,pharisaic,tame,devoted,hearty
小贩,vendor,vector,endow,vend
侵扰,harass,amass,harness,morass
克制,restrain,restraint,refrain,strain
易冲动的,impulsive,impassive,impulse,surplus
恶棍,miscreant,local tyrant,person of noble character,saint
专利权(证书),patent,parent,portent,potent
杀真菌剂,fungicide,agog,foundry,shrub
巨大,monstrous,stable,frail,coarse
恳求,entreaty,entreat,to find a path,to participate 
(宗教)任职仪式,investiture,nervy,revolver,vague
领事,consul,consult,counsel,concur
机密,confidential,conspicuous,is driving at,official
草地,sod,end,nod,god
背信,renege,be perfidious,welcome,to put into practice
格言,maxim,maim,taxi,axiom
创始,genesis,nemesis,genetics,genetic
不熟练的,unversed,inverse,universe,woodland
有助于...的,conducive,membrane,cease,outlay
令人迷惑,bewildering,sundial,twelve,margarine
菊,chrysanthemum,Peony ,Cinnamonum cassia,plum blossom
微温,lukewarm,weld,manlike,shrivel
丰富,copious,impious,odious,curious
虚情,fulsomeness,to become reconciled,tame,give shade
鱼卵,roe,applicant,interlude,album
激发活力,vitalize,finalize,vitality,devitalize
镇定,poised,feel ashamed,tranquil,hurried
说谎,equivocate,to make more mild,false,blunt
损害,detriment,nutriment,disadvantageous,insurmountable
自我惩罚,penance,physically,tangerine,desire
治愈,heal,cheat,team,sea
平静,halcyon,falcon,name of a collection of short stories, Pang Huang, "Wandering About", by Lu3 Xun4 鲁迅,urgent
摆动,oscillate,vacillate,to tremble,aftershocks
沙丘,dune,rue,hunk,fund
不忠,perfidious,to practice,to welcome,to break a promise
恭维,flatter,flatten,clutter,tatter
使...过时,fossilize,mayoralty,lord,begone
撕裂,riven,pluck,to break with both hands,to draw out
剥夺财产,divestiture,now,meddle,importance
上流社会,genteel,gentle,typesetter,pavilion
(因自尊心受伤害而导致的)不悦,pique,clique,piece,pile
明暗对照法,chiaroscuro,flatly,gazelle,convey
无限的时间或空间,infinity,infirmity,affinity,infinite
处理,handle,paddle,jangle,saddle
冷落,snub,sour,spur,snug
峡谷,canyon,cannon,crayon,anyone
(指人)好自夸的,boastful,fathom,treachery,aphorism
模范,exemplar,Normal ,quality,typical
迷路,astray,spray,betray,straw
不可理解,impenetrable,intercept,indignity,superior
洒水装置,sprinkler,sprinkle,headway,loss
厚脸皮的,brassy,brass,grassy,grass
确实,veritable,although,as expected,it would be better
同情,sympathize,can't help,concerned,to set one's mind at rest
品格不端,disreputable,programme,blockhead,baseball
翘起,warp,warm,harp,wand
受创伤的,traumatic,slash,frostbite,afflicted part
胆大的(人),daredevil,surly,directive,pram
接壤,contiguous,contagious,continuous,traffic jam
热带或亚热带之大草原,savanna,misapply,mainland,excrement
顺风,leeward,well-known ,break out,awkward
闪烁,scintillate,flaming,diffraction,singe
问题等),parry,parity,curry,party
混杂,potpourri,transport,to spread,intersect
主持人,presenter,editor,head of the household,landlord
使格格作响,rattle,livelihood,bath,whit
狂喜,ecstasy,great celebration,joyful,to the satisfaction of everyone
发信号,signal,spinal,sign,final
检验,verified,for future reference,guard a pass,to inquire
初生,nascent,rise suddenly,precisely,depressed
生羊皮,fleece,fierce,fleet,fleck
热的,fervent,servant,percent,ferment
步枪,rifle,ripple,reflex,rile
使纠缠,entangle,rectangle,tangle,forfeit 
正视,envisage,visage,lookout,overlook
相违,contrary,contrast,contract,honorary
挑衅,provocative,blessings,faking a modern object as an ancient one,to fake
不易燃的,nonflammable,deviation,liquidate,mechanism
贪婪地吃,gorge,force,urge,gauge
秘密,clandestine,inconceivable,useful,strange
生动,graphic,graphite,graph,tablet
怪癖,eccentricity,suspicious,comical,neither fish nor fowl
潜望镜,periscope,scrubbing brush,broom,telescope
运载,convey,cover,convex,convoy
使对抗,antagonize,antagonism,merely,showy
无事实根据的,unfounded,nice,statical,four
公平,evenhanded,resentful,violent,just and fair
(宗教的)仪式,rite,pity,kite,ring
标本,specimen,species,specie,liquid
铸造物,molding,beget,moon,peroxide
(动物或植物上的)刺,prickle,trickle,sprinkle,wrinkle
同年代的,coeval,sheath,analgesic,wreath
秘密,cryptic,crypt,critic,vague
浸入,immerse,inverse,immense,flush
手镯,bracelet,bracket,embroider,necklace
(声音)洪亮的,resonant,resonance,figurative,sideboard
健忘症,amnesia,magnesia,amnesty,moonscape
无法解释,inexplicable,astonish,affray,sir
微薄的薪俸,pittance,distance,genealogy,react
盲目爱国主义者,chauvinist,query,shamefaced,tug
说话不多,reserved,vermin,acceptable,hi
蠢,fatuousness,foodstuff,medallist,face
嘲笑,jeer,criticize,boycott,to vilify
陈旧语句,shibboleth,ethereal,watt,Occident
无礼,contumely,tradition,opening ceremony,baptism
说教,sermonize,undulate,catalogue,turn
令人厌恶,repugnant,repugnance,allay,slimy
穿过,pierce,fierce,pieces,piece
前奏曲,overture,overturn,overtake,overtime
易受攻击,vulnerable,venerable,blank,twirl
孤独,forlorn,foghorn,busy ,snug
腹部,ventral,central,rental,general
侧目而视,askance,advance,glance,overlook
因...死亡,succumb,mutineer,gala,odd
表达,expressive,oppressive,expensive,impressive
笨重,cumbersome,heavy,lightly,sharp
阻塞,obstruct,instruct,construct,abstract
使乳化,emulsify,practise,tear,query
杀虫剂,insecticide,amoeba,aspirin,laxative
疲劳,tire,hie,tiro,life
窗格玻璃,pane,poke,dank,safe
万灵丹,nostrum,lath,inherent,teach
二足动物,biped,ripen,bite,bide
乏味,stodgy,storey,stony,today
候选人的资格,candidacy,duffer,message,percussion
尖塔,steeple,staple,stele,temple
忧郁,gloom,gloomy,loam,loop
自然的增加,accretion,secretion,drench,full
潮湿,moist,mot,joist,hoist
着手处理,approach,reproach,serviceman,republican
大镰刀,scythe,sultry,use,malign
不对称,disproportion,distant,wordy,antidote
江湖郎中,mountebank,hacker ,soldier of fortune,hoodlum
四边形,quadrangle,large scale,rectangle,formation
英雄故事,saga,edition,feature article,examination paper
不结果实,barren,barrel,warden,barred
刺激(某人)(尤指性欲),titillate,settle,shoemaker,causal
神学院,seminary,luminary,seminal,National People's Congress
无结果的,abortive,adoptive,amortize,abortion
扑灭,eradicate,predicate,radiate,extinguish
慢吞吞地说,drawl,trawl,crawl,dial
兴奋,hectic,heroic,lactic,heretic
假笑,smirk,stink,quirk,smock
传染性的,epidemic,endemic,bewail,stencil
垂直或突然地坠下,plummet,whom,lime,stream
狮子,leonine,seal,dinosaur,tiger
无辜,innocence,roly-poly,victim,party 
符合礼节,decorous,junior,argot,breakage
预演,preview,premier,review,acrobatic fighting in Chinese opera or dance
坚忍克己之人,stoic,lookout,tinsel,attitude
全集,corpus,almanac,old books,pamphlet
装饰,adorn,adjourn,adore,aeon
行政人员,executive,execute,execution,elective
(光阴)消逝,elapse,erase,lapse,ellipse
能补救的,reparable,separable,repairable,parable
陈旧,outdated,new type,brand new,fresh
有偏见的,tendentious,ivory,stupid,topical
不满,discontentment,gentle,to plan,feel ashamed
持久,durability,lazy,haul,to squander
震动,tremor,tenor,have nothing to do with,stir
勇敢,valorous,firm,skilled,weak
盖印,imprint,sprint,reprint,print
描绘,portray,portal,portrait,Fortran
亲近,familiarity,urgent,important,be on bad terms
扭,wrench,stench,drench,wretch
谴责,denunciation,accept responsibility ,criticism,keep secret
值得称赞,commendable,thick,haggle,earmark
动脉,artery,barter,watery,astern
拨款,appropriate,to settle accounts,wipe out,charge
隐遁,secluded,oppose,to lose effectiveness,to interoperate
(依法)驱逐,evict,edit,edict,evince
挫折,setback,stack,shut,not exert oneself
喧闹,uproar,roar,uproot,cool-headed
包围、围绕,encompass,cosy,barn,misfire
贬低,derogate,humiliation,be elected,Chinese style
探戈舞,tango,mango,ago,pang
拥护,champion,to see someone off,accompanying,to endorse
婚姻,nuptial,difficult problem,dangerous,grudge
通报...的到来,announce,announcer,renounce,denounce
放肆,licentious,fortitude,to hang around,unruly
据理力争,contend,content,contest,context
厌恶,objection,objective,subjection,objector
肉欲,sensual,sexual,old scores to settle,indignant
不懂世故,unsophisticated,unfinished,for the most part,so much so that
可感觉到,sensible,tensile,ostensible,senile
疗法,therapy,thereby,footwork,enchantment
喧闹声,din,fin,dun,king
著名,illustrious,honored,excel,darkness
剥夺,denude,delude,deride,dense
刑罚,penalty,realty,penal,a  charge
突出,obtrusive,hollow,overhang,barefooted
易受影响,susceptible,overbearing,hard to defeat,silly
强制性的,compulsory,insensate,pagoda,drowse
真实,truthfulness,titular,not just in name only, but also in reality,tasty
纪元,epoch,pouch,poach,pock
调戏追逐女人,philander,horseshoe,ruffle,cling
认为...相等或相仿,equate,emulate,estate,equator
新陈代谢,metabolism,to revise,to expand,change of direction
薄弱,insubstantial,reckless,firm,stupid
粗大的树枝或树干,bough,bush,cough,tough
紫红色(的染料),magenta,agenda,agent,preamble
排斥力,repulsion,emulsion,revulsion,propulsion
足够,suffice,office,suffuse,surface
荒唐,nonsensical,act recklessly,neglect,tactful
强求,exaction,election,inaction,vexation
道学气的,moralistic,moralist,pluck,statuette
使平静,lull,pull,gill,duel
胆汁,bilious,hormone,tears,gall
(崇拜的)神物,fetish,idol,believer,fan
发怒,irate,grave,spate,crater
悲怆,pathos,patrol,python,fathom
推挤,shove,hole,shoe,shore
(指声音)极响亮的,stentorian,stow,democracy,powdery
驱散,dissipation,appraise at the current rate,disperse,to change direction
润肤剂,emollient,sentence,pocket,enchant
售货亭,kiosk,kink,knock,kiss
讨人喜欢,enchanting,terrible,be unpopular,plentiful
权威人士,arbiter,writer,prophet,villain
节约,frugal,regal,brutal,feudal
庭院,patio,terrace,stoop,sewer
简化,simplify,simply,amplify,soften
全体,ensemble,dense,one by one,to come out one after the other
独唱曲,aria,mode,two or more characters with the same vowel formation,frequency modulation
植物的球茎,bulb,pub,full,balm
移民,emigration,migration,native, aboriginal,Han Chinese person or people
家长统治,patriarchy,corsair,son,fester
性冷淡,frigidity,die young,shady,hot  weather
迷惑不解,befuddlement,fascinate,waken,be accustomed or used to
重复,replicate,replica,delicate,explicate
倔强,intractable,hypocritical,to hear told,unreconciled to
粗野,unruly,unroll,patient ,guests feel at home
支持者,proponent,prominent,servant,candidate
延展性,ductility,sensibility,flexibility,poisonousness
预示世界末日的,apocalyptic,incise,automobile,prose
易怒,pettish,corresponding,convenient for,remain
引渡,extradition,ferry,to leave,Get out of the way!
厨房,culinary,luminary,urinary,classroom
肠,intestine,intertwine,intestate,adamant
烫伤,scald,scold,scarf,scale
开脱,exculpate,to withdraw,to quit school,to enter
弯曲,bent,parallel,very straight,meager
微枝末节,minutia,meaning,table of contents,ins and outs
(音乐)轻柔的,piano,pink,pan,pane
光明正大的/地,aboveboard,carbuncle,widow,footnote
打火石,flint,flank,fleet,joint
贫困,necessitous,beat,muddled,beat up
虻,gadfly,amoeba,spider beetle,worm
账簿,ledger,letter,lodger,wedge
任意,haphazard,intentionally,can it be possible that,as much as possible
一夫一妻制,monogamy,monogram,condiment,visitor
相似,analogy,anatomy,analogue,apology
赞颂,encomium,to violate,against ones will or feelings,lit.: slap the table and shout with praise
甲壳类动物,crustacean,mourner,riches,flotsam
生产,productive,protective,production,delivery
最主要的,overriding,on one's own,step by step,always
外形,profile,profuse,profane,promise
使...表面化,externalize,aperture,parity,complex
以清水冲洗,rinse,tense,sense,tinge
启示性的,illuminating,reeducation through labor,correspondence course,directions
得体,decent,descent,decant,cement
未经邀请,unbidden,matrix,misstate,seller
痛苦,smart,mart,mar,part
责难,decry,decay,deity,dearly
干燥,desiccated,laughable,unusual,irregular
驱散,dispel,diesel,dismal,diaper
(水闸的)闸门,floodgate,armour,counsel,crackle
使高兴,exhilarate,sing,sip,cane
专门,specialized,deliberately,haven't,must not
锯齿状,indentation,window,gateway,ticket window
痛斥,vituperate,conceal,take the blame,denounce
语言风格,locution,location,elocution,vocation
附录,appendix,append,table of contents,catalogue
开垦(土地),reclaim,exclaim,declaim,claim
厌倦,blase,love of country,love and hate,plaintive
乐曲的尾声,coda,pear,monastery,vellum
抛射物,projectile,protective,projection,flop
尊敬,veneration,love and hate,accept responsibility ,complain
沙漠化,desertification,make more youthful,soften,simplification
悲哀,dolorous,sonorous,to the satisfaction of everyone,great celebration
(旧时)骑士比武大会,tournament,ornament,duplicator,soak
生育,procreate,metamorphism,thaw,labor
占卜,augury,augur,auburn,angry
爱好,penchant,to have a love affair,acquaintance,patriotism
狂妄,unscrupulousness,fortitude,unruly,resolute
栅栏,barricade,sewer,firewall,wooden partition
充满,transfuse,transpose,reveal,forcibly occupy
(尤指女人)轻浮的,flighty,blight,mighty,light
爽快,alacrity,clarity,to map out,to meet 
(人)宽厚的,catholic,carbolic,reinforce,communion
(感情等)突发,paroxysm,askance,pathname,regiment
有盖提篮,hamper,damper,hanker,hammer
侥幸,fluke,like,flake,blue
坚决,resolute,resolve,desolate,absolute
敏捷,nimble,ramble,nibble,humble
收缩,shrink,shriek,shrine,brink
清晰,defined,long range,fair,distant
生来,innate,inflate,inmate,inane
漠不关心,insouciance,discrimination ,be juxtaposed,non-participant
偏离,stray,strap,stay,scrap
驱逐,expulsion,explosion,excursion,expansion
害羞,bashful,wishful,stealthily give sb,cry piteously
引起反感,exceptionable,foot,murderer,civilian
说笑话、演滑稽剧等的女演员,comedienne,coax,literary,tragedy
演讲,discourse,discourage,disburse,to spread out
轻信,credulity,confidence,jealousy,be convinced
无可争辩,incontestable,odd,to realize,unknown
不足,deficiency,deficient,efficiency,loss
纸浆,pulp,pile,bump,July
琐细,trivial,rival,trial,to coordinate
卫生,hygiene,hygienic,dirty,oversensitive
精神病,psychosis,psychotic,venereal disease,epidemic
使凝结,coagulate,consulate,copulate,concussion
坚信不移,convinced,assail,transcend,imposture
(剑或刀之)柄,hilt,hill,fiat,hit
余烬,cinder,hinder,winter,render
有辨别能力的,discriminating,precedent,chassis,televise
帮助,assist,assert,desist,asset
耸人听闻,sensational,uncalled-for,but,pressing
唤醒,arouse,route,carouse,rose
语文学,philology,beet,snow,fountain
休眠状态,dormancy,dispose,solidity,pare
从事破坏活动者,saboteur,downpour,infraction,hale
(个人所处的)社会环境,milieu,tramp,pilchard,accompany
幻觉,hallucination,intuition,visual,sense
美人鱼,mermaid,barmaid,sardine,turtle
原型,archetype,preempt,foreigner,commentary
崩溃,decomposition,retreat in defeat,not do one's best,shut
误会,misapprehension,loyal to,pay attention to,to love
大洞穴,cavern,caper,cover,camera
协奏曲,concerto,concert,concept,concern
易怒,choleric,cholera,cleric,remain
完美榜样,personification,not stick to one pattern,unparalleled,base
突变,mutation,discolor,gradual change,fluctuate
详细解说,explicate,extricate,expiate,implicate
混合拼凑的作品,pastiche,slump,entwine,render
延长,prolong,proton,pull back,tighten
(使)旋转,slue,snobbish,negotiable,grace
不修边幅的人,sloven,none,appetizing,dabble
象牙,ivory,every,vary,gory
讨好,ingratiating,give shade,to talk sb. over,to kiss up to
(植物的)茎,stem,step,set,stop
大屠杀,massacre,massage,murder,take liberties with
可用,available,abuse,interchangeable,military 
多样化,diversification,simplification,fusion,liquefy
阁楼,garret,arrest,target,garnet
负担,incubus,to see in a dream,high aims,delusion
诚实,veracious,voracious,vexatious,vivacious
捣成糊状,mash,mass,malt,sash
容忍,abide,anode,aside,chide
无节制的,unconscionable,bear,merely,at most
幻影,mirage,dirage,image,umbrage
投掷,sling,flying,line,sting
吓呆,petrify,purify,putrefy,terrify
单调,monotony,unusual,comical,laughable
(流行一时的)狂热,fad,fag,dad,fail
揶揄,spoof,spool,spook,spoon
箴言,precept,prevent,recent,present
双关语,pun,particle ,terminology,slang
笨拙,gaucherie,silly,frail,slow 
可伸缩性,retractability,suppose,rapacious,rest
行善者,benefactor,yore,inexpert,blitz
喜怒无常,temperamental,promote younger staff,to maximize,pathological changes
陈腐,fusty,misty,gusto,musty
前任,predecessor,granddaughter,grandson ,originator 
弥漫,pervade,evade,parade,persuade
有杂色的,mottled,incense,tasteless,colorful
无意义的,pointless,painless,countless,view
传播,propagate,rumor,tradition,transmission
免除惩罚,impunity,immunity,impurity,bungalow
