scour	n.擦;除垢剂v.擦掉;擦
dunce	n.笨蛋;书呆子
niggardly	adj.很小的;小气的adv.小气地
finale	n.结尾;终场
jocular	adj.诙谐的
whimper	v.抽搭;发呜咽声;啜泣
skunk	n.卑鄙的人;臭鼬v.不付...的帐;彻底击败
umbrage	n.生气;叶丛
autocracy	n.独裁统治
belie	v.辜负;掩饰
comma	n.逗号;停顿
palatial	adj.宫殿的
saline	adj.盐的n.碱盐泻药;盐泉
swindle	n.冒名者;诈骗行为v.诈骗;诈取
aspirant	adj.渴望的n.有抱负的人
athletic	adj.健壮的;体育的
fatten	v.育肥;长肥
abnormal	adj.变态的;反常的
blacken	v.破坏;变黑
miser	n.吝啬鬼;守财奴
tack	n.系;东西v.连接;改弦易辙
wriggle	n.扭动v.扭动;摆脱
blare	n.大吹大擂;嘟嘟声v.耀眼地发;发嘟嘟声
hoot	adv.啐n.大叫;报酬v.喊叫;鸣叫
sicken	v.枯萎;生病
mow	n.干草堆;鬼脸v.刈;刈草
iodine	n.碘;碘酊
skill	n.技术;熟练性
unctuous	adj.奉承人的;油的
depose	v.罢免;证实
legation	n.代表团
squeal	n.抱怨;火腿v.抱怨;告密
tulip	n.郁金香
asphalt	n.沥青;天然沥青v.铺沥青于
infect	v.传染;污染
aggressor	n.侵略者
incisive	adj.锋利的;讥刺的
premise	n.假定;上述各点v.引出;预先提出
stunt	n.矮株病;发育不良v.阻止
assorted	adj.分类的;相配的
bumper	n.满杯;反弹球adj.丰富的
downhill	adj.不难的;下山的adv.向山下n.下坡路;下山
gage	n.抵押品;梅子v.以...作担保
loop	n.环路;圈v.把...打成环;打环
elocution	n.演讲技巧
defraud	v.骗取;进行诈骗
beaver	n.海狸毛皮;河狐v.努力工作
affidavit	n.宣誓书
apropos	adj.恰当的adv.附带地;恰当地prep.关于
bolster	n.长枕;垫子v.支撑;支持
pod	n.承窝;荚v.生荚果;聚成群
adverb	n.副词;状语词组
saunter	n.闲逛v.闲逛
demented	adj.疯狂的
vicarious	adj.代理的;间接的
chattel	n.动产;奴隶
consign	v.留出;运送
designer	n.谋划者;设计者
first	adj.第一的;基本的adv.宁可;先
rivet	n.铆钉v.铆
congregate	v.使集合;集合
protege	n.被保护人
laundress	n.洗烫衣物的女工
chick	n.小孩;小鸡
colic	adj.绞病的;结肠的n.绞病
holster	n.手枪皮套
paraffin	n.煤油;石蜡v.涂石蜡于
secrete	v.分泌;隐藏
dune	n.沙丘
enigmatic	adj.谜的
quiescent	adj.静息的;静止的
bowl	n.碗;木球v.得...分
donor	n.供血者;赠送人
manganese	n.锰
leaky	adj.爱哭的;漏的
embellish	v.美化;装饰起来
spinach	n.菠菜;菠菜叶
chlorine	n.氯
tarpaulin	n.水手;油布帽
damper	n.挡板;制音器
intensive	adj.集约的;加强的n.加强器;强调成分
operative	adj.操作的;有效的n.技工;侦探
patronize	v.惠顾;资助
racy	adj.辛辣的
tankard	n.大酒杯
uproarious	adj.骚动的
whitewash	n.粉饰;石灰水v.使得零分
oddity	n.怪人;奇特
assay	n.试金;试样v.化验;试验
hanker	v.渴望
chaplet	n.串珠;花冠
tirade	n.专题描述
synonym	n.换喻词;同义词
visor	n.面甲;遮阳
waif	n.流浪儿;无主失物
cogent	adj.有说服力的
absolutism	n.绝对性;绝对主义
apprise	v.通知
blindfold	adj.鲁莽的adv.鲁莽地;盲目地n.蒙眼的布;障眼物v.蒙住...的眼;使不理解
dote	v.腐朽;溺爱
iron	n.铁;熨斗v.熨;熨衣
croquet	n.贴击;槌球游戏v.贴击
debut	n.首次进入社交界v.首次演出
keyboard	n.键盘;钥匙板
marmalade	n.橘子酱
poniard	n.短剑v.用短剑刺死
trenchant	adj.锐利的;鲜明的
rabid	adj.狂暴的;狂热的
totter	n.收旧货的人v.摇晃;蹒跚
radiate	adj.有辐射的v.发射;流露
shotgun	adj.被迫做的;猎枪的n.猎枪;媒人
dutiful	adj.尽职的;职责的
encircle	v.环绕;绕行
pliable	adj.易适应的;易弯的
telegraphy	n.电报学
thousandth	n.第一千;千分之一
indoor	adj.室内的
revoke	n.藏牌v.撤回;藏牌
rust	adj.铁锈色的n.铁锈色;锈v.发锈;生锈
whiten	v.使白;变白
drizzle	n.毛毛雨;涓涓细流v.洒湿;洒落
fop	n.纨绔子弟v.欺骗
emancipate	v.解放
jig	n.黑人;玩笑v.轻快地跳;跳汰选
parlance	n.说法;谈话
derelict	adj.荒废的n.乞丐
diver	n.潜鸟;潜水艇;蛙人
hydraulic	adj.水力的;水压的
mesh	n.网;网孔v.使缠住;相啮合
elite	adj.杰出的n.上层人士
hearth	n.壁炉边;炉缸
seamanship	n.航海技能
weakling	adj.瘦弱的n.瘦弱的人
bygone	adj.过去的
liaison	n.联络;联系
putty	n.铁油灰;腻子v.用油灰填塞
ribald	adj.下流的n.开下流玩笑的人
amplitude	n.充足;幅度
yen	n.日元;渴望
dimension	n.尺寸;范围v.在...上标出尺寸
infest	v.遍布于;寄生于
usurer	n.放债人;高利贷者
congenital	adj.十足的;天生的
cram	n.极度拥挤;死记硬背v.把...塞进;把...塞满
roseate	adj.光明的;乐观的
concurrent	adj.合作的;同意的
dilatory	adj.迟误的;拖延的
plaudit	n.喝彩
smock	n.罩衣v.给...穿罩衣
immobile	adj.不活动的;不在动的
slush	n.烂泥v.给...灌砂浆;溅泼
harbour	n.避风港;港v.庇护;心怀
abjure	v.避免;发誓弃绝
encroach	v.侵占
flagon	n.酒壶
ulcer	n.腐烂物;溃疡
admissible	adj.可进入的;可容许的
combatant	adj.好斗的n.格斗者
dyspepsia	n.消化不良
gnat	n.琐事;蚊子
pied	adj.杂色的
vodka	n.伏特加
catalogue	n.目录;一系列v.登记;编目录
joint	adj.共有的;接合的n.关节;接合
nibble	n.啃;少量食物v.啃
dab	n.轻击;轻拍v.轻敷;轻击
derisive	adj.嘲笑的;可笑的
inception	n.开始
jerky	adj.不平稳的;多突变的n.肉干
cleavage	n.裂缝;劈开
yacht	n.冰上滑艇;快艇v.驾快艇
disparage	v.贬低;诋毁
pave	adj.密镶的v.铺;铺满
transcend	v.超出;胜过
caper	n.蹦跳;活动v.跳跳蹦蹦
tick	n.虱蝇;蜱v.给...标记号;活动
object	n.对象;物体v.提出;反对
greenery	n.绿色植物;温室
ail	v.使受病痛;处境困难
breaker	n.破碎者;碎浪
deflect	v.转移;偏斜
gut	adj.极其重要的n.肚子;内脏v.抢劫
incision	n.切口;切入
poster	n.招贴;驿马
accelerate	v.促进;加快
churn	n.搅乳器;桶v.过度买卖;剧烈搅动
intensify	v.加厚;加强
monotone	adj.单调的n.单调;单音调
wean	v.使断奶;使放弃
abortion	n.流产;堕胎
sweater	n.发汗剂;针织套衫
kith	n.朋友
notation	n.记法;注释
tubular	adj.管的
typical	adj.典型的;特有的
abstain	v.戒绝;弃权
hymen	n.处女膜
bounce	n.吹牛;弹回v.反射;跳
dwindle	v.使缩小;衰落
absence	n.缺乏;缺席
penguin	n.企鹅
aqueous	adj.水成的;水的
mermaid	n.美人鱼
vampire	n.吸血鬼
commitment	n.交押;托付;诺言
blaspheme	v.诽谤;亵渎
glutton	n.贪吃的人;狼獾
militarism	n.军国主义;尚武精神
coastal	adj.海岸的
lap	n.耳垂;舐v.嵌接;舔
liturgy	n.礼拜仪式;圣餐仪式
romp	n.嬉耍喧闹v.轻快地跑
surfeit	n.恶心;过量v.饮食过度
queue	n.辫子;排队v.使排队;排队
ashy	adj.灰色的;像灰的
oblation	n.供物
bravo	n.喝彩声;打手v.向...喝彩
communism	n.共产主义
lascivious	adj.好色的
ovum	n.卵;卵形饰
armature	n.电枢;盔甲
padlock	n.挂锁;关闭v.正式关闭
plantain	n.车前;大蕉
shambles	n.混乱;屠宰场
feline	n.猫科动物adj.猫科动物的
salvage	n.海上打捞;海上救助v.打捞;抢救
trespass	n.打扰;冒犯v.逾越;打扰
bracket	n.牛腿;托架v.把...围住;给...装托架
jocund	adj.欢乐的
peep	n.初现;窥孔v.窥;隐现
elucidate	v.阐明;提供说明
glut	n.暴食;大量v.充斥;阻塞
yelp	n.尖声急叫v.叫喊着说;尖声急叫
epilogue	n.结尾部分;收场白
livestock	n.家畜
cork	n.瓶塞;栓皮v.给...装软木;克制
requital	n.报偿;报偿物
spa	n.矿泉;游览胜地
fertilizer	n.肥料
totality	n.全食;全体
domino	n.西洋骨牌
elegy	n.挽歌
inverse	adj.反的;相反的n.相反
deprecate	v.贬低
magnate	n.要人
unlettered	adj.无字的
accost	n.搭讪v.勾搭
evaporate	v.消失;蒸发
palliate	v.减轻;掩饰
storey	n.楼层
exasperate	adj.被激怒的;糙面的v.激怒;使加剧
tether	n.缰绳;限度v.拴;限制
aviation	n.航空;航空学
collusion	n.共谋
redundant	adj.过多的;累赘的
hygienic	adj.卫生的;卫生学的
cache	n.秘窖;贮藏处v.秘藏起来
erudite	adj.博学的
extirpate	v.灭绝;摘除
freehold	adj.可终身保有的n.终身职位
orchestral	adj.管弦乐队演奏的
prank	n.胡闹v.胡闹;打扮
libel	n.诽谤;原告诉状v.诬蔑
migratory	adj.流浪的;迁移的
compute	v.计算
ethnic	adj.异教徒的;种族的
handicraft	n.手工业;手艺
scorch	n.烧焦;灼伤v.挖苦;切
anthology	n.选集
gastric	adj.胃部的;胃的
admiralty	n.海事法庭
collegiate	adj.大学的;社团的
nonce	adj.特定场合的n.特定场合;强奸犯
pare	v.修掉;修剪
tress	n.头发;枝条
epilepsy	n.癫痫
linear	adj.线的;线构的
maltreat	v.误用;虐待
tot	n.小孩;合计v.合计
slur	n.蹭污;污点v.对...疏忽;被蹭污
retaliate	v.报复
shear	n.剪v.剪;修剪
corolla	n.花冠
broach	n.凿子;炙叉;提出v.开始提及;钻孔开启
bleach	n.漂白;漂白度v.晒白;消除
compress	n.打包机;敷布v.压紧;镇压
dapper	adj.衣冠楚楚的
marital	adj.夫妻的;婚姻的
pertain	v.从属;适合
slash	n.鞭打;砍;叉口v.鞭打;砍
snowstorm	n.雪暴;掼奶油
blot	n.墨水渍;污点v.弄脏;污损
gad	adv.哎哟n.游荡;钢钎v.蔓延;游荡
optimist	n.乐观者
repository	adj.长效的n.仓库;店铺
seedy	adj.结籽的;破旧的
erosion	n.腐蚀;糜烂
devolve	v.被移交;转让
plantain	n.车前;大蕉
keg	n.桶钉;小桶
main	adj.辽阔的;完全的n.体力;叫数
serenade	n.小夜曲v.唱小夜曲
trellis	n.格子架v.给...搭棚架
cumbersome	adj.笨重的;累赘的
espy	v.看出;窥见
movie	n.电影;电影业
alpha	adj.第一位的n.第一个;优等
condense	v.聚集;冷凝
outermost	adj.最外面的
smoker	n.吸烟室;吸烟者
tenacious	adj.坚韧的;强的
tricky	adj.难以捉摸的
aggressive	adj.侵犯的
esoteric	adj.秘传的
pineapple	n.凤梨;手榴弹
tigress	n.雌老虎;母虎
navel	n.脐;中心
tempo	n.节奏;速度
vaunt	n.夸耀;自吹自擂v.吹嘘
immune	adj.免除的;免疫的n.免疫者
winnings	n.赌赢的钱
bilateral	adj.两边的;双方的
corduroy	n.灯芯绒;木排路
woodman	n.伐木人;护林官
irate	adj.发怒的
vapid	adj.乏味的;无趣乏味
compost	n.堆肥;混合物v.施堆肥于
enact	v.颁布;扮演
pest	n.瘟疫;有害生物
trousseau	n.包袱;嫁妆
cocktail	adj.鸡尾酒会的n.合成物;鸡尾酒
globular	adj.球形的;全球的
revert	v.回复;重提
wallow	n.打滚;堕落v.打滚;颠簸
amidships	adv.在中部
recorder	n.记录者;记录装置
twitter	n.吱吱叫;嘲弄者v.颤动;嘲笑
venereal	adj.性爱的
bated	adj.变弱的
jug	n.大罐;监狱v.煮;鸣叫
polo	n.马球
cobweb	n.陷阱;蜘蛛网
dike	n.漂亮打扮;水坝;排水沟v.把...打扮得漂漂亮亮
#drier	n.干燥工;干燥器dry的比较级
hunch	n.厚片;肉峰;直觉v.使弓起;移
apostrophe	n.撇号
clarity	n.清澈;清晰
affix	n.词缀;贴上;附加v.添;添上
babyhood	n.婴儿期
mauve	adj.淡紫色的n.淡紫色;木槿紫
panacea	n.治百病的灵药
pithy	adj.衬皮厚的;髓的
tumultuous	adj.吵闹的;狂暴的
beautify	v.使美起来;变得美
lanky	adj.过分瘦长的
subversive	adj.颠覆性的
grandiose	adj.宏伟的
millinery	n.女帽
molecule	n.分子;些微
disrepute	n.丧失名誉
chary	adj.节约的;谨慎的
imitator	n.模仿者
pincers	n.钳子;螯
choleric	adj.霍乱的;激怒的
foray	n.初步尝试;突袭v.进行突袭
foundry	n.铸件;铸造
dugout	n.独木舟
agitator	n.鼓动者;搅拌器
bum	adj.假的;劣质的n.差劲者;屁股v.乞求;寄食
whooping	adj.极大的
cop	n.抓;顶v.攫;偷
paternity	n.父亲身份;来源
stentorian	adj.极洪亮的
influenza	n.流行性感冒
recondite	adj.玄妙的
bramble	n.黑莓;黑莓果
corollary	adj.具有推断性质的n.推断;系
dirk	n.短剑v.用短剑刺
emanate	v.发出;发源
offhand	adj.不友好的;随便的adv.不假思索地
garish	adj.俗丽的
orient	n.东;东方v.给...定向;适应
abdicate	v.正式放弃;退出
debonair	adj.温厚的;温雅的
skein	n.一绞;一群v.把...绕成绞
gratuity	n.退伍金;小费
pedagogue	n.教师
snob	n.势利的人;鞋匠
outdo	v.战胜
sperm	n.精液;精子
tanker	n.槽车;罐车
clam	n.蛤;抓斗v.挖蛤
conduit	n.导线管;渠道
idiom	n.方言;习语
scullery	n.洗涤室
climatic	adj.气候的
selfish	adj.自私的
brazier	n.火盆;铜匠
cashmere	n.开士米
squabble	n.争吵v.弄乱;争吵
bolt	n.插销;螺栓v.闩;筛
bray	n.驴叫声v.叫;打
glib	adj.能说会道的
rant	n.大话;狂欢;咆哮v.大声责骂;痛饮
scamper	n.快跑v.奔跑;匆忙游览
citron	n.香橼色;枸橼
inane	adj.空的;空洞的n.空洞之物;空间
virtuoso	n.艺术大师
curb	n.控制;路缘v.控制;勒住
hoard	n.宝窟;临时围篱v.贮藏;积聚钱财
simplify	v.简化;变简单
whet	v.刺激;磨
infringe	v.违反;侵犯
endorse	v.背书;签署;认可
petal	n.花瓣
remiss	adj.玩忽的
abridge	v.减少;缩短;删节
punt	n.踢悬空球;一分v.踢;赌博
wordy	adj.话多的;言语的
bestir	v.使发奋
flounder	n.挣扎;鲆v.犯错误;挣扎
hair	n.毛;头发
dent	n.打;齿v.使凹陷;削减
focus	n.焦点;焦距v.集中;聚焦
dope	n.消息;药v.给服药;吸毒
acclaim	n.欢呼v.宣布;欢呼
gloat	n.心满意足v.爱慕地看
pessimist	n.悲观者
lunge	n.冲;调教索v.用刺
scurrilous	adj.用污言秽语谩骂的
womanish	adj.妇女的;女子气的
canvass	v.检查;细阅;游说
engross	v.正式写成
isolate	v.使隔离;隔离
rut	n.常规;车辙v.动情
vault	n.洞穴;拱顶v.成穹状;跳跃
coast	n.海岸;滑行v.绕...而行;滑行
flue	n.唇管;滑槽
kennel	n.狗窝;沟渠v.为...提供住处
truss	n.捆;构架v.扎
subvert	v.颠覆;搅乱
captivate	v.使入迷;抓住
unofficial	adj.非官方的
acme	n.最高点
fluster	n.慌乱v.使慌张;使醉
impeach	n.控告v.弹劾;控告
injection	n.充血;注射
canny	adj.节约的;精明的adv.十分
palaver	n.废话;奉承v.奉承;交涉
hive	n.蜂群;蜂箱v.贮存;隐居
flout	n.嘲笑v.藐视
label	n.标签;称号v.把...称为;使示踪
longevity	n.长寿;寿命
coerce	v.强制;抑制
network	n.网状物;织物v.用网覆盖
cinder	n.熔渣;炭渣
lame	adj.金银锦缎;跛的n.老古板;薄板v.使跛;变跛
artificer	n.发明者;技工
scribble	n.拙劣的作品v.乱涂;粗梳
shin	n.胫;胫骨v.攀;快步走
elliptical	adj.省略的;椭圆的
emolument	n.报酬;利益
sandal	n.凉鞋;浅帮鞋
sock	n.短袜;套子v.储;打
besotted	adj.痴迷的
gangrene	n.道德败坏;坏疽v.生坏疽
tenable	adj.可担任的;能防守的
dalliance	n.调戏;闲混
excitation	n.刺激;激感
incursion	n.进入;侵入
television	n.电视;电视机
daunt	v.使胆怯;威吓
huddle	n.混乱v.挤作一团
liqueur	n.利口酒
clinch	n.钳住对手;确定v.确定;拥抱
cereal	adj.谷物的n.谷类植物;谷物
captious	adj.糊弄人的
container	n.容量;容器
movie	n.电影;电影业
pointer	n.指示物;指针
secretive	adj.分泌的
dig	n.触;挖苦v.掘得;挖成
fortieth	n.第四十
glaze	n.糖浆;釉v.给...上釉;凝视
lee	n.庇护所;庇荫
malefactor	n.罪犯
variant	adj.变化的;不同的n.变体;异读
zoology	n.动物区系;动物学
weedy	adj.杂草的
lint	n.棉绒;皮棉
pact	n.契约
shifty	adj.变动的;机智的
unprovoked	adj.未受挑衅的
aura	n.光环;气氛
fatalism	n.宿命论
heartache	n.痛心
emporium	n.大百货店;大场所
larceny	n.盗窃
convince	v.使确信;使知错
charlatan	adj.庸医的n.庸医
migrate	v.迁徙;移居
snap	adj.迅速的;摁扣的n.厉声;劈啪声v.发吧嗒声;喀嚓折断
contralto	adj.女低音n.女低音
hobble	n.束缚物;跛行v.束缚;跛行
cosmos	n.宇宙;秩序
hyena	n.袋狼;鬣狗
asthma	n.气喘
catacomb	n.地下墓地;地下走道
granny	n.保姆;奶奶
pollute	v.污染;玷污
zoological	adj.动物的;动物学的
effete	adj.过时的;衰老的
engender	v.生育;发生
uncut	adj.未雕琢的;未切的
overload	n.超载v.使超载;装填...过满
trinket	n.小装饰物v.秘密策划
forefront	n.最前线
gregarious	adj.合群的;群的
gunshot	n.枪弹;射程
reinstate	v.使恢复原职
cede	v.割让;转让
component	adj.组成的n.成分;分力
innocuous	adj.无害的
mercurial	adj.活泼的;雄辩的n.汞制剂
citation	n.表彰;引用
hedgehog	n.刺猬;菱形拒马
buckwheat	n.荞麦;荞麦片
diverge	v.分叉;离题
phonetic	adj.语音的
tanner	n.鞣皮工;鞣皮工;六便便士硬币
blackboard	n.黑板
breakwater	n.防波堤
lymph	n.浆;淋巴
bogus	adj.假的
circumvent	v.环绕;绕过
snowball	n.雪球v.向...扔雪球;扔雪球
electorate	n.选举人
erase	v.擦掉;消除
mediate	adj.间接的;居间的v.转交;调解
augur	n.预言者;占卜官v.预示;预言
booby	n.笨蛋;鲣鸟;倒数第一
brand	n.烙铁;商标v.打烙印于;加商标于
gamut	n.音阶;整个范围
travesty	n.嘲弄;滑稽模仿v.使滑稽化
weld	n.焊接;焊接点v.焊接;焊牢
funk	n.恐慌;懦夫v.害怕;抽
jiffy	n.一会儿
muck	n.厩肥;污物v.把...弄脏;施厩肥于
nestle	v.抱;偎依
titular	adj.名义上的;有称号的n.有称号的人
trowel	n.小铲子;镘刀v.用镘刀涂抹
capitalism	n.资本主义
postmark	n.邮戳v.盖邮戳于
admittedly	adv.公认地
propound	v.提出...请求验证
intersect	v.贯穿;相交
lout	n.笨拙的人v.鄙视;鞠躬
minuet	n.米奴哀舞小步舞
phlegm	n.懒散;痰
ski	n.滑橇;雪板v.在...上滑雪;滑雪
weed	n.杂草;服装v.除;拣选
whaler	n.捕鲸船;捕鲸人
baize	n.台面呢
clearance	n.净空;清除;许可
rank	adj.极度肥沃的n.排;行列v.把...分等;级别高于
scald	adj.加热至接近沸腾的n.晒焦;烫伤v.烫伤;烫洗
senile	adj.老年的;老年期的
flagstaff	n.旗杆
nevermore	adv.永不再
outwit	v.智胜
quartet	n.四人组;四重奏
whisk	n.掸;掸帚;搅拌器v.掸;搅打
balk	n.挫折;埂v.错过;阻止
prune	n.洋李;洋李干v.剪去;删除
auditorium	n.会堂;听众席
pagoda	n.金币;塔式寺庙
selective	adj.选择的;选择性的
graft	n.嫁接;移植物v.嫁接;将...嫁接
ufo	n.不明飞行物
recline	v.斜倚;依靠
carouse	n.闹饮v.喝干;狂饮
touchstone	n.检验标准;试金石
flake	n.小薄片;玉米片v.削;离开
hoax	n.骗局v.欺骗
caption	n.标题;字幕v.给...加标题
static	adj.静的;静止的n.静电;指责
crank	adj.不稳的;怪人的n.怪人;曲柄v.曲折行进;转动曲柄
omniscient	adj.无所不知的
slum	n.贫民;贫民窟v.去贫民窟
cadaverous	adj.惨白的;死尸般的
converge	v.会合;聚集
ovation	n.热烈欢迎;小凯旋式
adhesive	adj.忘不了的;粘的n.绊创膏;粘合剂
fad	n.古怪念头;狂热
sop	n.面包片;一摊v.浸;吸干
tendon	n.钢筋束;腱
bandy	adj.向外弯的
exalt	v.颂扬;提升
joker	n.百搭;伏笔
loch	n.湖;狭长海湾
puss	n.猫咪;嘴
pugnacious	adj.好斗的
seedling	adj.籽生的;籽状的n.籽苗;籽生植物
global	adj.球形的;全球的
eject	n.投射v.喷射;驱逐
pennant	n.符尾;锦旗
puma	n.美洲狮
baboon	n.丑陋的人;狒狒
childbirth	n.分娩
economize	v.节省;节俭
abhor	v.回避;憎恶
emblematic	adj.象征的
swoop	n.飞扑;抓起v.吸;抓起
trump	n.王牌;喇叭v.胜过;出王牌
well	adj.对的;井的adv.好;很n.好;井v.涌出;流出
casualty	n.不幸事故;死者
mountebank	n.江湖骗子v.行骗;走江湖
schoolgirl	n.女生
grime	n.污垢v.将...弄脏
ok	adj.表示同意的adv.好n.同意v.批准
sucker	n.吮吸者;吸血鬼;吸盘v.欺骗
beet	n.甜菜;甜菜根
expatiate	v.漫游;细说
immodest	adj.自负的;不正派的
trudge	n.跋涉v.跋涉
inning	n.挨次轮换;局
pathology	n.病变;病理
referee	n.裁判;证明人v.审阅;担任裁判
viewpoint	n.观点
titter	n.窃笑v.窃笑
adduce	v.引证
quicksand	n.流沙
disfigure	v.伪装
slanderous	adj.诽谤的
goggle	adj.瞪视的v.转动;瞪视
jocose	adj.爱开玩笑的
smug	adj.整洁的;自命不凡的
staff	n.工作班子;全体职员v.雇用
footprint	n.脚印;轮迹
sight	n.检查;看见;视觉v.观测;看到
tack	n.系;东西v.连接;改弦易辙
stitch	n.缝法;一针v.缝;联接
wind	n.风;圈;气息v.包;绕
infraction	n.不全骨折;违犯
peroration	n.结束语;演讲
doggerel	adj.打油诗的n.打油诗;拙劣的诗
emetic	adj.催吐的n.催吐剂
locksmith	n.锁匠
exhale	v.呼;呼气
mat	n.衬垫;地席v.使缠结
procedure	n.常规;程序
monopolize	v.独占;垄断
neutralize	v.使中和;中和
tussle	n.扭打;争执v.扭打;争执
dilettante	n.半吊子
halcyon	adj.平静的;翡翠的n.神翠鸟;翡翠
upholster	v.装潢
watershed	n.分水岭;流域;转折点
harbinger	n.通报者;先遣人员v.充当...的通报者
larynx	n.喉
tangent	adj.离题的;正切的n.正切;直线区间
blazon	n.描绘;纹章v.宣布;装饰
discursive	adj.离题的;推论的;散漫的
haystack	n.大干草堆
mural	n.壁画
flail	v.胡乱摆动
nettle	n.荨麻v.惹怒
stilt	n.长脚鹬;高跷v.使踩高跷
baste	v.狠揍;痛斥
confound	v.混淆;使混乱
urbane	adj.有礼貌的
fixture	n.固定;固定物;装备
limbo	n.监狱;林波舞
corrosive	adj.腐蚀的;有害的n.腐蚀剂;有害因素
kiln	n.窑;窑房v.把...放在窑内烧
lobe	n.耳垂;叶
bewilder	v.使迷惑;使迷路
canister	n.小罐;霰弹
duct	n.导管;管v.用管道输送
makeshift	adj.权宜的n.权宜之计
dally	v.浪费;游荡
epileptic	adj.患癫痫的;癫痫的n.癫痫患者
expedite	v.发出;迅速执行
banns	n.结婚公告
debase	v.降低的成色
ocular	adj.像眼睛的;眼的n.目镜
inside	n.里面;内脏prep.在...的肚内;在...里面
lustful	adj.好色的;强壮的
warble	n.啭鸣;鞍瘤v.啭鸣唱出;啭鸣
dolphin	n.海豚;海豚座
killer	n.杀灭物;杀人者
muffler	n.手套;围巾
amulet	n.护身符
install	v.安顿;安装
nutshell	n.坚果外壳
resonance	n.共振;回声
exalt	v.颂扬;提升
meteoric	adj.大气的;流星的
release	n.发泄;放v.发泄;放出
statuesque	adj.雕像般的;庄严的
bulge	n.船腹;膨胀v.膨胀;塞满
cognac	n.白兰地
ellipse	n.椭圆
foal	n.小雌马v.产
omelette	n.煎蛋饼
pantheism	n.泛神崇拜;泛神论
classroom	n.教室
decadent	adj.堕落的n.堕落者
tenet	n.信条;原则
crux	n.关键;疑难之事
disc	n.唱片;磁盘
smuggle	v.偷运;走私
stationery	n.文具;信笺信封
imbibe	v.喝;吸入
mammal	n.哺乳动物
min	adj.小的n.分钟
monogram	n.交织字母v.把交织字母印于
potential	adj.潜在的;势的n.潜力;潜在性
scrutinize	v.详细检查
slake	v.消解;熟化
garner	n.谷仓v.获得;收集
tusk	n.长牙;尖物v.用长牙抵
etch	n.蚀刻;蚀刻剂v.铭刻;蚀刻
suck	n.吸;吸食v.吸;吸食
esthetic	adj.美学的
quibble	n.双关语v.就...作狡辩;吹毛求疵
lacquer	n.漆;漆器v.用漆涂
lather	n.汗沫;泡沫v.狠狠地打;形成皂沫
thorax	n.胸
windpipe	n.气管
laud	n.晨经;赞歌v.美
ventral	adj.腹的n.腹面
protocol	n.草案;礼仪
caretaker	n.照顾者;管理员
impolite	adj.不礼貌
curtail	v.剥夺;剪短
indicator	n.压力计;指针
saturnine	adj.挖苦的
hawser	n.缆索
slink	adj.早产的n.体弱的动物v.不足月产下
alimentary	adj.饮食的;消化的
dioxide	n.二氧化物
forswear	v.对...发伪誓;发伪誓
marksman	n.二等射手;射手
calculus	n.微积分;演算
colon	n.结肠;冒号
gram	n.克;祖母
pap	n.乳头;软食
petrol	n.汽油;石油
cataclysm	n.洪水;灾变
crucify	v.虐待;诋毁
prosperous	adj.茂盛的;兴旺的
zephyr	n.和风;西风
distort	v.扭歪;歪曲
midwinter	n.冬至;仲冬
nomad	adj.流浪的;游牧的n.流浪者
gibe	n.嘲讽v.嘲讽
hoover	n.真空吸尘器v.用吸尘器清洁
browse	v.吃;吃草
redound	v.带来;报偿
overhaul	n.彻底革新;解体检修v.彻底革新;赶上
postulate	n.公设;假定v.要求
qualm	n.恶心;内疚;疑虑
dumbfound	v.使惊呆
histrionic	adj.演戏似的;演员的
galaxy	n.星系;一群;银河
wrestler	n.摔跤运动员
disastrous	adj.极坏的;灾难性的
mango	n.芒果;泡菜
rotary	adj.轮流的;旋转的n.旋转式机器
sully	n.污点v.弄脏;变脏
clinical	adj.临床的;门诊部的
divisible	adj.可除的;可分的
migrant	adj.迁移的n.候鸟;移居者
squeamish	adj.易呕吐的;易受惊的
carnation	adj.肉红色的n.肉红色;香石竹
obtrude	v.强加;伸出
remedial	adj.补救的;补习的
tantamount	adj.等于的
trill	n.颤动;颤音v.啭鸣;滴
adolescent	adj.青春期的;青少年的n.青少年
testator	n.证人
bicycle	n.自行车v.骑自行车
outhouse	n.附属建筑;户外厕所
thyroid	adj.甲状的;甲状腺的n.甲状软骨;甲状腺
antiseptic	adj.抗菌的;防腐的;消毒的n.抗菌剂;防腐剂;消毒剂
dogmatism	n.教条主义;武断
decimal	adj.小数的;十进制的n.小数
knead	v.揉;揉成
fishy	adj.可疑的;鱼的
knuckle	n.指节;肘v.叩击;屈服
bawl	n.大叫声;号哭v.大声叫出;叫卖
lintel	n.过梁
misrule	n.混乱;治理不当v.对...治理不当
welter	n.混乱;翻腾v.浸泡
optics	n.光学
nonchalant	adj.漠不关心的
tarnish	n.失泽;瑕疵v.败坏;蒙受耻辱
blatant	adj.无耻的
crossroad	n.十字路口;转折点
washstand	n.脸盆架;盥洗盆
fatten	v.育肥;长肥
codicil	n.附加物;附录
dignify	v.使有尊严
quilt	n.被;被状物v.将...缝入;缝被
barb	n.倒钩;非洲马v.在...装倒钩;刈
commercial	adj.商品的;商业的n.商业广告;宣传
equinox	n.二分点;昼夜平分二分时刻
mumble	n.咕哝v.含糊地说;吻
touchy	adj.棘手的;敏感的
nebula	n.薄翳;星云
