you	pron.你;你这个
bud	n.孩子;芽v.使发芽;发芽
sexual	adj.两性的;性的
race	n.比赛;族v.疾走;猛转
switch	n.长假发;一击v.鞭打;挥动
lake	n.池;湖
frankly	adv.非常;确实
issue	n.河口;结果v.发行;分配
cheap	adj.廉价的adv.廉价地
lifetime	n.寿期;一生
deny	v.否认;拒绝给予
paint	n.涂漆;颜料v.画;描写
ear	n.耳;穗
clock	n.示速计;钟v.测...的时间;测出
weight	n.重;重量单位v.使负重;使倾斜
garbage	n.废话;垃圾
tear	n.悲痛;撕v.流泪;撕
ear	n.耳;穗
dig	n.触;挖苦v.掘得;挖成
bullet	n.枪弹;小圆球
sell	n.欺骗;推销v.出卖;卖
indeed	adv.哦;确实
sing	v.唱;啼
tiny	adj.极小的
particular	adj.特定的;特殊的n.详情;一项
draw	n.被拉的量;拉v.拔出;拉
decent	adj.高雅的;合宜的
super	adj.极端的;特大的adv.过分地;十分
spring	n.弹性;反弹;春天v.惊起;跳
avoid	v.避开;避免
mess	n.凌乱状态v.把...弄脏;玩弄
unit	n.单位;股份单位
fill	n.充分;装填物v.挤满;装满
touch	n.触;触觉v.触摸;触摸
score	n.得分;分;乐谱v.得;赢得
disappear	v.使不见;消失
stranger	n.陌生人;生手strange的比较级
exact	adj.精密的;精确的v.索取;要求
pill	n.药丸v.成丸状;抢劫
kick	n.踢;踢球v.踢;反冲
harm	n.损害;邪恶v.损害
recent	adj.全新世的;最近的
snow	n.下雪期;雪v.用雪困住;下雪
fortune	n.富有;好运
strike	n.罢工;打v.打;敲
pretend	v.伪称;装扮
monkey	n.猴v.嘲弄;模仿
insurance	n.保险;保险业
fancy	adj.别致的;特级的n.任性;设想v.相信;想象
drove	n.人群;畜群
car	n.车厢;小汽车
belong	v.合适;属
night	n.黑夜;夜
shape	n.体形;形状v.形成;表规
dog	n.公狗;狗v.跟踪;困扰
base	adj.基础的;卑劣的n.基;基础v.驻扎;作...的基础
lift	n.提;天空v.鼓舞;提
stock	n.砧木;主干;储备v.备货;发肿
fashion	n.方式;上流社会v.改变;制作
freedom	n.直爽;自由
guarantee	n.保证;担保v.担保;确保
chest	n.箱;胸
bridge	n.鼻梁;桥v.架桥于;跨越
source	n.出处;源
patient	adj.忍耐的;有耐心的n.病人;顾客
theory	n.理论;学说
camp	n.兵营;拘留所v.临时安顿;搞同性恋
original	adj.起初的n.原型;原作
juice	n.精;汁v.给...加汁液
burn	n.燃烧;烧伤v.点燃;烧掉
access	n.接近;通道v.存取;接近
watch	n.手表;守卫v.保卫;等待
head	n.上端;头v.长头;发源
selfish	adj.自私的
oil	n.石油;油v.溜;融化
drink	n.喝酒;饮料v.喝
wise	adj.聪明的;了解的v.教导;知道
fail	n.不及格;交割失信v.不;缺乏
period	n.纪;时间
doll	n.俊妞儿;玩偶v.打扮得花枝招展
elevator	n.电梯;起重机
freeze	n.冰冻期;冻结v.冷冻;冻结
noise	n.声音;噪声
exist	v.存在;发生
science	n.科学;科学事物
pair	n.一双;一条v.成对;配合
edge	n.边;刀口v.加边于;使锋利
player	n.演员;运动员
ceremony	n.典礼;礼节
pig	n.猪;陶土v.生;生小猪
peg	n.小钉;桩v.用桩标出;疾行
gun	n.鸣放;炮v.向...开枪;加大油门
vacation	n.假日;休息v.度假
star	n.星;星宿v.用星装饰;当明星
file	n.文件夹;锉刀v.发送;锉
bike	n.巢;群v.骑自行车;蜂拥
weather	n.恶劣天气;天气v.经受风雨;退色
mostly	adv.一般地;主要地
stress	n.压力;应力v.重读;着重
suck	n.吸;吸食v.吸;吸食
permission	n.允许
example	n.范例;例题
borrow	v.借用;借
release	n.发泄;放v.发泄;放出
note	n.按语;短笺v.记录;注意
joy	n.成功;欢欣v.享受;高兴
library	n.书房;图书馆
junior	adj.较年幼的;小n.较年幼者;三年级生
property	n.财产;地产
negative	adj.否定的;禁止的
fabulous	adj.惊人的;寓言的
event	n.结果
door	n.门;门状物
scream	n.尖叫声v.尖叫得使;尖叫着说
vision	n.幻觉;看;视觉
member	n.成员;子句
bone	n.骨;骨质v.施骨肥于;苦学
battle	n.格斗;竞赛v.搏斗;作战
safety	n.安全;无损
term	n.词;期v.把...称为
devil	n.恶棍;魔鬼v.给律师当助手
meal	n.挤奶;进餐
fellow	n.男人;人
apology	n.辩护;道歉
anger	n.怒;痛苦v.使发怒;发怒
honeymoon	n.蜜月假期;新婚之月v.度蜜月
wet	adj.多雨的;湿的n.湿气;雨v.尿湿;变湿
bail	n.保释;戽斗v.保释;托付
park	n.公园;狩猎区v.停放;停放车辆
protection	n.保护;保护者
manager	n.当家人;经理
fix	n.方位;困境v.定居;固定
dawn	n.开端;黎明v.开始;破晓
sport	n.玩笑;游戏;运动v.夸示;浪费
campaign	n.运动;战役v.参加运动;作战
map	n.地图;图v.勘测;被安置
wash	n.洗;洗东西处v.洗;洗去
sensitive	adj.敏感的;易波动的
steal	n.偷盗v.偷盗;偷垒
photo	adj.照片的n.照片v.为...拍照
let	n.出租;租户v.使;允许
comfort	n.安慰;盖被v.安慰;帮助
worry	n.担心;撕咬v.撕咬;担心
whom	pron.谁;他
pocket	n.一袋;钱袋v.把...围住;皱起
bleed	v.抽干;出血
student	n.学生;学者
shoulder	n.肩;肩部v.担负;肩起
ignore	v.驳回;不顾
talent	n.明星;天才
garage	n.加油站;汽车间v.把...送入汽车间
die	n.板牙;模具v.遭受;死
demon	n.恶魔;恶人
travel	n.旅行;漫游v.经过;旅行
success	n.成功;发迹
dump	n.倾倒;倾销v.倒掉;倾卸
train	n.连串;列车v.把...对准;训练
rude	adj.粗鲁的;简单的
crack	n.裂缝;瑕疵v.砸开;变粗
model	n.模型;原型v.使仿效;做模型
bother	n.烦恼;努力v.打扰;迷惑
radar	n.雷达;雷达技术
willow	n.柳树;威罗机v.用威罗机清理
remain	v.留下;剩余
soft	adj.轻的;柔滑的adv.柔软地;嘘
meantime	adv.在间隔时间里n.间隔时间
connect	v.联系;连接
chase	n.打猎;槽v.赶出;追寻
kind	adj.和蔼的;友好的n.类;种类
cast	n.撒网;投v.投
cancer	n.癌;癌症
sky	n.苍天;天
likely	adj.合适的;可信的adv.很可能
fate	n.命运;天命
hug	n.紧抱;紧搂v.抱有;拥抱
throat	n.嗓音;咽
message	n.启示;信息v.通报
east	adj.东部的;在东方的adv.向东方n.东;东部;东方
unit	n.单位;股份单位
intend	v.想要;意指
crew	n.全体船员;v.当船员
ashamed	adj.惭愧的
midnight	n.半夜十二点钟;漆黑
manage	v.管理;控制
guilt	n.内疚;罪
weapon	n.武器;袭击器官
terms	n.条件;细则v.接受;妥协
interrupt	n.隔阂;中断v.打断;中止
gut	adj.极其重要的n.肚子;内脏v.抢劫
tongue	n.舌;语言
distance	n.进展;远v.使远离;远远超过
conference	n.会议;讨论
treatment	n.处理;对待
shoe	n.蹄铁;鞋
basement	n.地下室;墙根
sentence	n.句子;命题v.使遭受;宣判
purse	n.钱包;资金v.使缩拢;
cabin	n.房舱;棚屋
universe	n.世界;星系;宇宙
towards	prep.对;向
repeat	n.复写;重复v.复述;重复
mirror	n.镜;镜子v.反射;反映
tall	adj.长的;高的
reaction	n.反应;看法
odd	adj.奇数的;单只的;古怪的
engagement	n.订婚;约会
therapy	n.理疗;疗法
letter	n.信;字母v.在...上刻字
emotional	adj.动感情的;感情的
run	n.跑步;赛跑v.跑;逃
magazine	n.弹药库;杂志
decision	n.决定;决议
soup	n.汤;马
thrill	n.颤动;兴奋;害怕v.刺穿;颤动
society	n.阶层;社会
sue	v.控告;请求
stake	n.桩;赌本v.资助;打赌
chef	n.厨师长
move	n.搬家;动v.动;调动
genius	n.特征;天才
extreme	adj.极大的;极端的n.极度;极端
entire	adj.单一的;全部的
nasty	adj.龌龊的
moment	n.片刻;时机
expensive	adj.昂贵的;滥花钱的
count	n.计算;数数v.数;值
square	adj.成直角的;正方形的adv.成正方形;成直角n.方格;广场v.符合;结清
clean	adj.纯洁的;清洁的adv.干净地;完全地v.剥光;被打扫
shift	n.班;变向v.变;替换
plate	n.盘状物;盆子v.覆镀
impress	n.特征;压印v.传送;印
smell	n.气味;嗅觉v.感觉到;嗅
male	adj.男的;雄的n.男子;雄性动物
tour	n.旅行;巡视v.在...旅行;旅行
knock	n.一击;指责v.敲;敲
charm	n.美貌;魅力v.使高兴;行魔法
attractive	adj.有吸引力的
argue	v.争论;争吵
put	v.放;出发
whip	n.鞭打;鞭伤v.鞭打;驱使
language	n.全部词汇;语言
embarrass	v.妨碍;使窘
package	n.包裹;包装袋v.包裹;包装
animal	n.动物;畜
disease	n.病;病害
bust	n.前胸;胸像v.爆裂;破产
stair	n.楼梯;梯级
alarm	n.惊恐;警报v.打扰;使惊恐
pure	adj.纯粹的;纯净的
nail	n.钉子;纳尔v.钉;截住
nerve	n.神经;神经质v.使有劲
hill	n.小山;斜坡
walk	n.行走路程;走v.走遍;走
lane	n.车道;小路
dirt	n.泥土;污物
bond	n.镣铐;约束v.为...作保;黏合
stamp	n.标志;印v.被捣碎;跺脚
friendly	adj.朋友的;友善的adv.友好地
easily	adv.容易地;无疑
damn	adv.该死n.丝毫;咒骂v.使失败;咒骂
job	n.工作;职业
suffer	v.经受;忍受
disgust	n.厌恶;作呕v.使厌恶;使作呕
deliver	v.交出;投递
help	n.帮助;补救办法v.帮助;助
federal	adj.联邦的;联合的n.联邦制拥护者
disaster	n.灾难
bar	n.条;闩prep.除...外v.关;闩
cross	adj.交叉的;相互的adv.横跨地n.十字架v.穿过;交叉
rate	n.比率;费率v.呵责;骂走
create	v.创建;创造
trap	n.牢笼;圈套v.从事诱捕;替...装饰
claim	n.权利;要求v.要求;主张
talk	n.讲话;闲话v.讲;谈论
egg	n.蛋;人v.向...扔蛋;鼓励
effect	n.感受;结果v.产生;使发生
chick	n.小孩;小鸡
turkey	n.土耳其;失败之作;吐绶鸡
threaten	v.警告;威胁
snake	n.奸险的人;蛇v.拖曳;蛇行
introduce	v.插入;介绍
rescue	n.强行夺回;营救v.营救;逃叫
confession	n.承认;忏悔
embarrass	v.妨碍;使窘
bag	n.袋;猎袋v.猎获;收割
lover	n.爱人;情夫
impression	n.压印;印象
gate	n.大门;路v.给...装门;用门控制
fantasy	n.幻想作品;想象v.想象;奏幻想曲
reputation	n.好名声;名气
ball	n.球;舞会v.交媾;狂欢
attack	n.攻击;侵蚀v.攻击
among	prep.被...所环绕;系...中之一
knowledge	n.熟悉;知识
present	adj.出席的;现在的n.现在;礼物v.表示;提出
inn	n.宿舍;小酒店
chat	n.鸣禽;闲谈v.劝告;闲谈
suffer	v.经受;忍受
argument	n.理由;说理
crowd	n.群;群众v.挨;挤
homework	n.家庭作业
cancel	v.抵消;取消
accept	v.承认;接受
rip	n.裂口;偷窃v.划破;撕
pride	n.骄傲;自豪v.使得意;自豪
solve	v.解;解决
hopeful	adj.有希望的n.有希望的青年
pound	n.磅;镑v.捣碎;剧跳
pine	n.凤梨;松木v.痛苦;消瘦
mate	n.偶;配偶v.使交配;交配
illegal	adj.不合法的
generous	adj.大的;慷慨的
street	n.街;街区
director	n.导演;董事
glen	n.峡谷
con	n.骗局v.熟读;骗
separate	adj.不同的;分开的v.分割;分隔
outfit	n.全套服装;一队人v.装备;获得装备
maid	n.处女;少女
bath	n.浴;浴水
punch	n.力量;一拳v.挥击;冲
mayor	n.市长
freak	adj.反常的n.畸形;主意突变v.扰乱;胡闹
recall	n.返回通知;回想v.记得;叫回
enjoy	v.经历;享有
bug	n.病菌;虫子v.烦扰;突出
prepare	v.准备
part	n.一部分;组成部分v.放弃;分开
wheel	n.轮;轮状物v.旋转;转弯
signal	n.标志;导因v.是...的标志;发信号
direction	n.管理;指示
defend	v.防御;防守
sign	n.标志;符号v.签;写下
painful	adj.困难的;疼痛的
wall	n.壁;墙v.给...建墙;转动
rat	n.耗子;鼠v.偷;捕鼠
amount	n.量;总数v.等同;合计
suspicious	adj.猜疑的
heart	n.内心;心
flat	adj.瘪的;平的adv.平直地;完全地n.平面;一层
cook	n.厨子;蒸煮v.烹调;烧
button	n.按钮;钮扣v.圆满完成;装钮扣于
warn	v.警告;通知
sixty	n.第六十;六十
pity	n.可惜;同情v.同情;有同情心
crisis	n.关头;危机
coach	n.活动房屋;旅客车厢v.训练;当教练
row	n.路;一排v.划;划运
baseball	n.棒球;棒球运动
yell	n.叫喊;呐喊v.向...叫喊;叫喊
lead	n.指引;铅v.牵;致使
awhile	adv.片刻
pen	n.笔;圈v.起草;写
confidence	n.信任;信心
offer	n.发价;给予v.给予;提出
fall	n.降落;落下v.砍倒;跌倒
image	n.外形;像v.想象;造像
farm	n.农场;饲养场v.耕作;种植
panic	n.恐慌;小米v.使大笑;使恐慌
hers	pron.她的
smith	n.创造者;锻工;工匠
role	n.角色;作用
refuse	n.废料v.拒不;拒绝
grandpa	n.爷爷
progress	n.进步;前进v.改进;前进
testify	v.表明;声明
pass	n.境况;通过v.超过;经过
military	adj.军人的;军事的n.军人;武装部队
choice	adj.上等的;中上级的n.选择;选择时机
artist	n.能手;艺术家
gym	n.体操馆;体育
cruel	adj.残忍的;严格的
wing	n.翅;翅膀v.飞过;飞
traffic	n.交通;运输v.在...上通行;交易
pink	adj.粉红色的;眯着的n.石竹;微光v.刺;刺痛
mental	adj.精神的;颏的
gentleman	n.先生
coma	n.怠惰;昏迷
poison	n.毒物v.给...服毒药;放毒
guest	n.客;旅客
expert	adj.熟练的n.特等射手;专家
bull	adj.大号的;雄的n.公牛;玺v.彻底打扫;闲聊
benefit	n.义演;益处v.有益于;得益
bell	n.钟;钟声v.鸣钟;吼叫
face	n.表面;脸v.面朝;朝
case	n.框;箱v.探察
ghost	n.鬼;灵魂v.代...作文;当捉刀人
jump	n.跳;心神不安v.使跳;跳
toilet	n.便池;厕所v.上盥洗室;梳妆
secretary	n.秘书;书记
sneak	adj.偷偷的;突然的n.告密生v.偷窃;偷偷地做
mix	n.混合;混合物v.拌成;和入
firm	adj.坚定的;坚固的n.工作小组;商号v.确认;变硬
agreement	n.达成协议;协定
privacy	n.秘密;隐退
date	n.日期;时期v.过期;注有日期
remind	v.说...以提醒;提醒
pot	n.罐;坑v.饮酒;用便盆
twin	adj.孪生的n.双子座v.怀;孪生
swing	n.摆程;摆动v.挥舞;摆动
successful	adj.成功的;有成就的
season	n.季;节期v.给...调味;变干燥
scream	n.尖叫声v.尖叫得使;尖叫着说
consider	v.考虑;认为
solid	adj.固体的;牢固的adv.肯定;全部地n.固体;固形物
option	n.选择;选择权
flash	n.闪光;闪亮v.闪;飞驰
commitment	n.交押;托付;诺言
senior	adj.较年长的;老n.较年长者;四年级生
ill	adj.不利的;坏的n.病;坏
crush	n.极度拥挤;压碎v.挤;碾碎
ambulance	n.救护车
wallet	n.工具袋;资金;皮夹
discover	v.发现;显露
official	adj.公职的;正式的n.官员;行政人员
gang	n.一帮;路v.聚集成群;行走
rise	n.岗;上涨v.登上;离席
reach	n.地带;伸出v.到达;伸出
eleven	n.第十一;十一
option	n.选择;选择权
laundry	n.洗衣店;赃东西
former	adj.前任的;以前的
assure	v.弄清楚;使确信
stay	n.逗留;停止v.停止;延迟
skip	n.蹦跳;跳进v.跳;跳越
hunt	n.打猎;猎区v.追猎;摆动
fail	n.不及格;交割失信v.不;缺乏
wide	adj.宽的;宽松的adv.广大地;全部地
challenge	n.怀疑;挑战v.向...挑战;提出挑战
popular	adj.民众的
learn	v.发现;学
discussion	n.论述;讨论
clinic	n.门诊部;专科医院
plant	n.秧苗;植物v.插;种
exchange	n.交换;交火v.换;交换
betray	v.背叛;泄露
stick	n.棍;木条v.刺;停留
university	n.大学;大学人员
target	n.靶;目标v.规定...的指标
member	n.成员;子句
lower	v.放下;减低low的比较级
bored	adj.令人厌烦的
mansion	n.大厦;领主宅第
soda	n.钠;苏打
silver	n.钱;银v.镀银于;变成银色
sheriff	n.名誉郡长;县治安官
suite	n.房间;家具
bust	n.前胸;胸像v.爆裂;破产
senator	n.参议员;理事
load	n.负荷;思想负担v.装;装货
study	n.学科;学习;研究v.记住;学习;研究
procedure	n.常规;程序
ocean	n.海洋;海
section	n.部分;乐器组v.将...切片;被切成片
winter	n.冬;寒冷天气v.过冬
commit	v.把...托付给;犯
bone	n.骨;骨质v.施骨肥于;苦学
assignment	n.分配;任务
suicide	n.自杀;自杀者v.自杀
spread	n.翼展;展开v.撒;涂
mind	n.头脑;智力v.记住;照料
fish	n.鱼;鱼肉v.捕;捕鱼
swim	n.漂浮;眩晕v.浸;漂浮
end	n.端;终止v.结束;胜过
bat	n.短棍;球棒;蝙蝠v.行进;眨
yell	n.叫喊;呐喊v.向...叫喊;叫喊
league	n.盟约;同盟
seat	n.坐部;座v.供给...座位;使坐下
proper	adj.本来的;适宜的
holiday	n.假期;假日
command	n.命令;指挥v.俯临;命令
believe	v.认为;想
hope	n.希望v.希望;相信
fifth	n.第五;第五日
solution	n.解;解决
leader	n.领先者;领袖
yellow	adj.发黄的;黄的n.黄;黄色颜料v.使发黄;发黄
sharp	adj.锋利的;尖的
sale	n.卖;销路
lawyer	n.律师
giant	n.巨人;水枪
nor	adv.也不
material	adj.身体上的;物质的n.布;材料
latest	n.最新款式
ash	n.灰灰2;撒灰于
high	adj.高的;高地的adv.高;高价的n.高地;高峰
audience	n.读者;观众
winner	n.获胜者
parent	n.父亲;祖先v.做...的父亲
burn	n.燃烧;烧伤v.点燃;烧掉
trick	n.诡计;技巧v.打扮;哄骗
insist	v.坚持;被放置
cheer	n.欢呼;心情v.对...欢呼;欢呼
flesh	n.肥胖;肉v.长肉
district	n.地区;区v.把...划分成区
wood	n.木;木材
routine	adj.例行的;一般的n.固定节目;例行公事
century	n.一百分;百人
sandwich	n.三明治v.插入
hand	n.脚;手v.搀扶;交
false	adj.不诚实的;不正确的
beat	adj.筋疲力尽的n.跳动v.打;拍打
appear	v.出现;露面
adult	adj.成年的;成熟的n.成年人
warrant	n.授权;搜查证v.授权给;向...保证
spike	n.大钉;穗v.摔球触地
garden	n.公园;花园v.用花园点缀
awful	adj.使人畏惧的adv.十分
odds	n.机会;投注赔率
article	n.契约;条款;物品;冠词v.列举;进行控告
treat	n.款待;乐事v.对待;看待
thin	adj.薄的;稀薄的;瘦的v.使薄;变薄
suggest	v.建议;意思是
fever	n.发热;热病
female	adj.雌的;女的n.雌性动物;女子
sweat	n.出汗;汗v.分泌;出汗
silent	adj.安静的;不作声的
specific	adj.明确的;特有的n.特效药;特性
clever	adj.机敏的;灵巧的
sweater	n.发汗剂;针织套衫
request	n.需要;要求v.要求
prize	n.奖赏;撬v.估价;撬
mall	n.分隔带;林荫路
mile	n.英里
estate	n.地产
diamond	n.金刚石;钻石
union	n.联合;连接
judgment	n.判断;审判
goodnight	n.晚安
quality	n.品德;性质
despite	prep.不管
sure	adj.可靠的;确信的adv.当然;无疑
step	n.步;步态v.跨;踩
jet	n.喷嘴;煤玉v.喷出;喷射
confess	v.坦白;忏悔
mountain	n.山;山脉
math	n.割;马思
listen	v.听;听从
answer	n.答案;反应v.回应;回击
vulnerable	adj.易受伤的;敏感的
bless	v.使神圣;为...祝福
dream	n.出神;梦v.做;想
room	n.房间;一套房间v.占一房间
chip	n.薄片;缺口;碎片v.削下;镌刻
zero	n.零;零点v.接近
potential	adj.潜在的;势的n.潜力;潜在性
piss	n.尿;啤酒v.尿;排
kill	n.击落;杀死v.冻死;杀死
grant	n.给予;授予物v.承认;授予
wolf	n.狼;狼皮v.取笑;猎狼
tear	n.悲痛;撕v.流泪;撕
knee	n.膝部;膝关节v.向...下跪
chill	n.风寒;寒冷v.变冷;激冷
blonde	n.白肤金发碧眼女人
brain	n.脑;脑袋v.重击...的头
agency	n.代理行
degree	n.程度;度
unusual	adj.与众不同的
joint	adj.共有的;接合的n.关节;接合
rob	v.盗窃;抢
pack	n.包;小包v.挤;洗
dream	n.出神;梦v.做;想
cure	n.药;治疗v.消除;治愈
cover	n.书壳;掩蔽v.盖;代替
newspaper	n.报社;报纸
coast	n.海岸;滑行v.绕...而行;滑行
grave	adj.暗淡的;低沉的n.墓碑;墓穴
egg	n.蛋;人v.向...扔蛋;鼓励
direct	adj.笔直的;直接的adv.径直地v.管理;指示
cheat	n.骗子;欺骗v.哄骗;欺骗
break	n.破裂;破晓v.打破;破坏
quarter	n.四分之一;一刻钟
orange	adj.橙黄色的;柑橘的n.橙;橙树
mix	n.混合;混合物v.拌成;和入
locker	n.锁柜;箱
gift	n.礼物;赠送
brand	n.烙铁;商标v.打烙印于;加商标于
awkward	adj.笨拙的;不雅观的
toy	n.玩具v.调情;玩弄
rare	adj.稀薄的;稀有的adv.很v.渴望
policy	n.方针;计谋
reasonable	adj.公平的;正当的
dozen	n.打;许多
curse	n.灾祸;诅咒v.使遭难;诅咒
million	n.百万;许多
dessert	n.水果;甜食
rolling	adj.滚的;起伏的
detail	n.细部;细节v.列举;详述
alien	adj.外国的n.外国人;外侨v.使疏远;转让
delicious	adj.美味的;有趣的
vampire	n.吸血鬼
ancient	adj.古代的;古老的n.古钱;旗帜
value	n.价格;价值v.夸耀;尊重
tail	n.辫子;尾v.使长尾巴;尾随
site	n.地方;地皮v.给...择址;设置
secure	adj.安全的;安心的v.保证;缚牢
salad	n.色拉;生菜
murderer	n.谋杀犯
hit	n.击;碰撞v.打;碰撞
spit	n.吐;岬v.喷;捅
screen	n.屏;纱窗v.放映;遮
pilot	n.驾驶员;向导v.驾驶;为...引航
penny	n.便士;分
dust	n.地面;粉v.擦去;沾上灰
conscience	n.良心;意识
bread	n.面包;食物
answer	n.答案;反应v.回应;回击
lame	adj.金银锦缎;跛的n.老古板;薄板v.使跛;变跛
invitation	n.吸引;邀请
grief	n.悲伤;不幸
path	n.道路;路
destiny	n.命运;天数
stand	n.停住;站立v.经受;容忍
bowl	n.碗;木球v.得...分
pregnancy	n.充盈;怀孕
prisoner	n.犯人;刑事被告
delivery	n.讲话;交出;传送
guard	n.警戒;警卫员v.保守;看守
desire	n.要求;愿望v.渴望;要求
virus	n.病毒;毒素
shrink	n.缩水;退缩v.不愿;收缩
influence	n.势力;影响v.影响
concert	n.和声;一致;音乐会v.商议;协力
wreck	n.残骸;沉船v.破坏;损害
partner	n.搭档;伙伴v.使合伙;合伙
chain	n.枷锁;链v.束缚
bird	n.鸟;幼鸟
wire	n.电线;金属丝v.打电报给;打电报
technical	adj.技术的
presence	n.出席;进见
anxious	adj.焦虑的
cave	n.酒窖;地窖v.塌落;当心
version	n.变化形式;译本;说法
holiday	n.假期;假日
clear	adj.纯色的;清晰的adv.离开着;完全v.扫清;变晴
car	n.车厢;小汽车
candle	n.堪;蜡烛
charm	n.美貌;魅力v.使高兴;行魔法
apple	n.苹果
pulse	n.脉搏;意向;豆子v.使搏动;搏动
jump	n.跳;心神不安v.使跳;跳
joke	n.笑话v.取笑;说笑话
frame	n.车架;构架v.构筑;制订
boom	n.暴涨;吊杆v.使繁荣;暴涨
vice	adj.代替的n.邪恶;淫乱
occasion	n.时机;时刻v.引起
silence	n.寂静;静默v.使安静;压制
opera	n.歌剧;歌剧院
opal	n.蛋白石
nonsense	n.胡说
frighten	v.使惊恐
downtown	adj.商业区的n.较低地区;商业区
internet	n.因特网
holly	n.冬青树枝
duck	n.鸭;野鸭v.躲避;忽地低下
blow	n.吹;花v.吹;吹响
session	n.会议;开庭
actual	adj.实际的;现行的
spin	n.疾驰;旋转v.纺;吐
classic	adj.仿古希腊;标准的;一流的n.文豪;文学名著
civil	adj.公民的;国内的
tool	n.工具v.驾驶;驱车旅行
pack	n.包;小包v.挤;洗
education	n.教育;教育学
wrap	n.毯子;外衣v.包;覆盖
obsess	v.困扰;迷住
fruit	n.果实;水果v.使结果实;结果实
torture	n.拷打;歪曲v.拷打;歪曲
location	n.定位;位置
loan	n.贷款;暂借v.错出;贷款
effort	n.努力;全部努力
commander	n.海军中校;指挥官
tree	n.木制用具;树v.在...上植树;爬上树
rock	n.大石;矿石v.轻摇使;轻摆
owner	n.船长;物主
fairy	n.仙人;众仙子
bank	n.岸;堆v.开银行;做庄家
network	n.网状物;织物v.用网覆盖
per	prep.按照;每
county	n.郡;县
contest	n.竞赛;争夺v.竞赛
chuck	n.轻击;扔v.放弃;扔
seventy	n.第七十;七十
print	n.印刷;印刷品v.打上;印
motel	n.汽车旅馆
direct	adj.笔直的;直接的adv.径直地v.管理;指示
underwear	n.衬衣
gram	n.克;祖母
exhaust	n.废气;排出v.用完;排出气体
particular	adj.特定的;特殊的n.详情;一项
freak	adj.反常的n.畸形;主意突变v.扰乱;胡闹
careful	adj.关切的;精确的
trace	n.痕迹;迹v.查出;走
touch	n.触;触觉v.触摸;触摸
mess	n.凌乱状态v.把...弄脏;玩弄
committee	n.促进会;委员会
smooth	adj.光溜的;磨平的v.弄平;铺平
recovery	n.恢复;收回
intention	n.意思;意图
enter	v.参加;登记
belt	n.带;腰带v.飞驶;猛击
standard	adj.标准的;普通的n.标准
sacrifice	n.祭品;献祭v.牺牲;献祭
courage	n.勇敢
butter	n.奉承;黄油v.涂黄油于...
officer	n.船长;法警
enjoy	v.经历;享有
ad	n.作广告
lack	n.缺乏;需要v.短少;缺乏
buck	adj.雄的adv.完全地n.鹿皮;男人v.顶撞;反抗
attract	v.偷窃;吸引
appear	v.出现;露面
bay	adj.枣红色的n.湾;坝v.对...吠叫;大声叫嚷
yard	n.码;庭院;场地
return	n.回;送回v.回报;回
remove	v.调动;脱下
nut	n.干果;核心
testimony	n.记述;声明
intense	adj.紧张的;强烈的
grant	n.给予;授予物v.承认;授予
violence	n.暴力;猛劲
heal	v.调停;愈合
defend	v.防御;防守
attempt	n.攻击;企图v.企图;引诱
unfair	adj.不公正的;不正当的
political	adj.国家的;政党的
loyal	adj.忠诚的;忠心的
approach	n.进路;近似v.近似;靠近
slow	adj.耗时的;慢的adv.慢慢地v.放慢;放慢速度
play	n.比赛;玩v.开;玩
normal	adj.平常的;正常的n.师范学校;正常人
buzz	n.谣言;吱吱声v.说闲话
alcohol	n.醇;酒糖;酒精
actor	n.行动者;演员
surprise	n.惊奇;突然袭击v.撞见;惊奇
plain	adj.单色的;朴素的n.平原;平针
attic	n.顶楼
uniform	adj.均匀的n.制服
son	n.儿子;女婿
pet	n.得宠的人;不高兴v.抚摸;生气
clean	adj.纯洁的;清洁的adv.干净地;完全地v.剥光;被打扫
threaten	v.警告;威胁
teach	v.教;教导
mum	adj.无言的n.沉默;妈妈v.化装作乐
motion	n.动;提议v.摆动;做手势
desert	n.荒漠;沙漠v.背离;抛弃
collection	n.募捐;收集
incident	n.伴随的事;事件
failure	n.缺乏;失败
hook	n.钩;陷阱v.钓;钩
headache	n.头痛
act	n.幕;行为v.扮演;演
opposite	adj.对面的;反对的adv.在对面n.对边;对立物prep.在...的对面
gross	adj.恶劣的;总的n.罗;总额v.赚得总收入
golden	adj.含金的;金的
equipment	n.才能;配备
badge	n.标记;徽章
tennis	n.网球运动
visit	n.参观;视察v.访问;视察
studio	n.画室;音乐教室;射影棚
natural	adj.有关自然的n.智力低下的人
sake	n.理由;目的
labor	n.工作;劳动v.劳动;努力
glory	n.光荣;赞颂v.吹嘘;骄傲
trunk	n.躯干;树干
arm	n.臂;军种v.提供;武装起来
twist	n.转弯v.捻;转动
thousand	n.第一千;一千
received	adj.被普遍接受的
costume	adj.与服装匹配的n.成套服装;戏装v.为...提供服装
temporary	adj.短暂的;暂时的n.临时雇员
sixteen	n.第十六;十六
impressive	adj.威严的
zone	n.地带;地区v.将...分成区;分成区
kitty	n.猫咪;小猫
kick	n.踢;踢球v.踢;反冲
unlike	adj.不等同的;不相似的prep.不像的
understand	v.得知;理解
mercy	n.慈悲;宽大处理
describe	v.画出;描写
priest	n.祭司;司铎
client	n.顾客;委托人
cable	n.缆绳;锚链v.系缚;装上缆索
